%soft,ceph01,ceph02,ceph03,ceph04
0,5.29,5.12,5.2,5.28
1,6.28,6.28,6.61,6.52
2,4.36,4.36,4.37,4.73
3,5.06,5.46,4.96,5.21
4,5.68,5.5,5.15,4.98
5,5.02,4.69,4.72,4.64
6,4.87,5.11,4.9,4.83
7,5.71,5.73,5.46,5.57
8,4.1,4.41,4.36,4.72
9,4.14,4.24,4.4,4.84
10,4.23,5.0,4.26,4.28
11,5.31,4.36,4.61,4.42
12,5.77,5.98,5.76,5.81
13,6.05,5.92,6.29,6.01
14,4.53,4.45,4.72,4.48
15,4.49,4.42,4.53,4.78
16,4.68,5.62,4.56,4.75
17,5.56,5.07,5.21,5.07
18,4.93,4.67,4.7,4.71
19,5.14,5.46,5.25,5.33
20,4.77,4.49,4.86,4.45
21,4.26,4.31,4.6,4.83
22,4.66,5.27,4.57,4.77
23,3.65,3.79,3.62,3.41
24,5.33,4.61,4.91,4.97
25,4.38,4.67,4.45,4.57
26,5.37,5.43,5.48,5.45
27,5.77,5.77,5.73,5.76
28,4.44,4.69,4.35,4.46
29,4.88,5.45,5.06,4.9
30,5.84,4.97,4.91,4.9
31,4.43,4.29,4.31,4.58
32,5.08,5.36,5.36,5.38
33,5.3,5.13,5.29,4.96
34,4.43,4.46,4.51,4.88
35,5.14,6.15,5.3,5.46
36,5.79,5.08,5.19,5.34
37,4.25,3.98,4.03,4.33
38,4.17,4.07,4.06,4.31
39,5.54,5.28,5.64,5.4
40,4.95,5.09,5.08,5.12
41,5.21,5.59,5.27,5.22
42,4.7,4.5,4.61,4.46
43,4.65,4.01,3.86,4.1
44,5.98,5.81,5.85,5.77
45,6.0,5.84,5.98,5.7
46,5.26,5.51,5.56,5.23
47,4.61,4.85,4.56,5.25
48,4.17,4.97,4.6,4.45
49,5.7,4.74,4.81,4.35
50,4.94,4.81,4.5,4.88
51,5.44,5.25,5.62,5.05
52,4.41,4.48,4.71,4.37
53,4.36,4.55,4.33,5.95
54,4.42,5.13,4.66,5.36
55,4.06,3.81,3.57,3.49
56,5.39,5.18,5.28,4.9
57,5.6,5.64,5.6,5.76
58,5.33,5.26,5.35,5.26
59,4.99,4.59,4.92,4.94
60,4.07,4.98,4.33,4.28
61,5.11,5.75,4.39,4.61
62,5.36,6.36,5.62,5.57
63,6.18,6.04,6.04,6.28
64,4.41,4.42,4.77,4.35
65,5.34,5.3,5.17,5.25
66,4.16,4.23,4.4,4.59
67,4.06,4.51,4.01,4.0
68,4.76,4.46,4.61,4.68
69,5.69,5.54,5.41,5.56
70,4.63,4.96,5.03,4.56
71,4.8,4.91,5.1,4.79
72,2.86,2.76,2.64,3.21
73,3.74,3.45,2.98,2.95
74,2.7,2.02,2.07,1.86
75,3.8,4.25,4.31,4.35
76,2.31,2.18,2.89,2.17
77,3.77,3.58,5.31,3.6
78,4.49,4.56,4.31,4.34
79,5.09,6.44,4.93,4.97
80,3.06,4.04,2.91,2.68
81,5.8,6.02,5.95,6.14
82,5.8,4.98,4.76,4.85
83,4.93,3.71,4.18,3.95
84,3.92,3.74,3.93,4.2
85,4.94,4.82,4.7,4.9
86,5.08,4.93,4.75,4.58
87,5.12,5.23,5.58,5.43
88,5.05,5.1,5.06,5.02
89,4.08,3.72,4.92,3.9
90,5.27,5.41,5.89,5.68
91,4.95,4.55,4.64,4.86
92,5.77,6.52,5.49,5.61
93,5.01,5.16,5.08,4.86
94,4.39,4.41,4.22,4.63
95,4.51,4.6,5.05,5.19
96,3.7,3.9,4.18,3.85
97,5.99,5.54,5.66,5.79
98,4.88,5.39,5.05,4.78
99,5.35,5.35,5.44,4.99
100,4.76,4.99,4.88,5.2
101,4.4,4.68,4.63,4.38
102,4.46,4.3,4.53,4.22
103,5.79,6.05,6.03,5.85
104,5.28,5.59,5.53,5.3
105,5.49,5.24,4.98,5.12
106,4.76,5.03,5.01,4.81
107,3.78,4.02,3.88,3.94
108,5.26,5.12,5.32,5.17
109,4.94,5.0,5.36,5.16
110,4.84,4.55,4.83,4.83
111,5.12,5.33,4.7,4.9
112,3.72,3.9,4.0,3.62
113,4.54,4.58,4.33,5.24
114,5.14,5.16,5.58,5.2
115,4.53,4.75,5.04,4.9
116,5.02,4.69,4.98,4.96
117,4.61,4.6,4.07,4.38
118,4.11,4.28,3.99,3.95
119,4.33,4.36,4.63,4.93
120,5.56,5.53,5.67,5.43
121,5.18,5.17,5.43,5.03
122,4.56,4.68,4.94,4.68
123,4.7,4.29,4.29,4.21
124,4.56,4.78,4.33,4.27
125,4.57,4.8,4.65,5.23
126,5.32,5.23,5.17,5.32
127,4.95,5.19,5.26,4.88
128,4.88,4.9,5.11,5.04
129,5.36,5.03,5.01,4.69
130,4.97,4.43,4.44,4.79
131,5.0,5.24,5.12,5.09
132,5.8,5.66,5.7,5.89
133,5.33,5.41,5.62,5.34
134,4.19,4.38,4.49,4.29
135,5.09,5.27,5.31,5.21
136,3.88,3.47,3.32,3.54
137,3.68,3.83,3.61,3.28
138,6.12,5.89,6.02,6.6
139,5.58,5.63,5.98,5.92
140,4.55,4.7,4.68,4.4
141,4.62,4.51,4.69,4.95
142,4.71,4.22,4.16,4.15
143,5.55,5.49,5.39,5.5
144,4.94,4.89,5.07,5.41
145,4.31,4.3,4.34,4.3
146,4.13,4.68,4.91,4.32
147,3.38,3.52,3.58,3.87
148,5.0,4.44,4.22,4.04
149,5.83,6.05,5.75,5.87
150,5.33,5.13,5.12,5.36
151,3.93,4.17,4.18,4.49
