avgrq-sz,ceph01,ceph02,ceph03,ceph04
0,33.2687,36.6112,45.6037,38.1075
1,40.3237,41.3512,51.4838,39.08
2,31.71,31.785,33.4637,46.855
3,32.6725,49.41,31.3675,42.6325
4,57.255,38.685,39.645,30.9087
5,40.54,34.985,39.1875,34.3863
6,32.78,40.7525,43.0,40.5738
7,37.1412,38.01,55.0987,40.0063
8,29.2075,29.0663,34.425,49.7687
9,29.6712,39.89,27.9675,38.9375
10,42.97,44.885,30.7875,29.8075
11,59.745,34.9162,42.9075,33.9162
12,36.17,44.2613,46.09,41.05
13,41.2537,42.2075,46.975,39.2563
14,28.4137,29.0637,36.565,42.475
15,32.3687,34.915,30.0425,40.545
16,33.26,56.3825,30.6025,31.725
17,57.8238,33.4838,38.45,32.4813
18,40.585,37.0912,38.9613,41.9612
19,33.9175,36.7037,46.5663,39.9237
20,35.6837,33.64,43.7875,41.71
21,35.045,30.9563,33.2225,44.3912
22,33.925,57.165,34.0438,45.6075
23,42.3325,36.8312,32.6088,26.6438
24,61.7863,37.1362,34.5825,34.2188
25,31.9512,35.87,39.0288,45.8713
26,40.0225,33.7413,46.8925,39.9875
27,42.4812,36.1975,41.4138,44.9075
28,31.0175,44.085,30.8975,40.0337
29,34.1538,44.3975,37.7125,30.1475
30,61.2775,38.8638,40.0075,35.9
31,31.3375,34.255,35.5388,39.0725
32,39.2387,34.0763,41.84,42.7725
33,39.455,33.0913,44.25,38.495
34,29.1775,35.7825,29.6088,44.3837
35,38.0375,50.0987,44.9113,39.0613
36,53.7788,33.6187,32.7338,33.0075
37,38.3438,35.245,34.3275,41.1875
38,34.5962,33.57,38.5175,35.6625
39,38.3625,37.4913,54.3937,37.0162
40,31.8125,35.5812,33.2362,47.4062
41,32.8575,48.425,38.195,38.6213
42,43.41,33.62,32.0075,31.27
43,40.0563,33.4825,31.8025,39.9387
44,38.8513,38.8638,42.6462,41.4387
45,41.0275,39.4512,49.265,40.67
46,37.1775,40.8937,44.5087,46.3137
47,29.2688,40.7475,33.1088,47.185
48,38.8137,51.5812,36.8312,35.76
49,41.6425,35.82,30.2162,34.8212
50,39.3775,33.5413,39.4875,38.2112
51,35.1737,35.6037,53.96,34.4912
52,31.3463,34.5175,45.0087,35.0913
53,34.26,37.9625,32.8113,53.6775
54,33.075,48.8162,36.3013,33.4562
55,39.4087,44.3725,31.975,33.0838
56,41.8875,38.7288,38.5987,50.2525
57,39.575,39.47,50.9188,39.49
58,33.0288,36.6725,48.6238,32.2012
59,32.33,33.8675,32.9875,50.7812
60,35.7812,37.3312,33.6237,37.025
61,41.845,38.2063,32.5012,30.2637
62,40.37,34.71,43.4475,43.3075
63,37.9525,38.6275,44.1287,41.1088
64,33.2438,43.0737,42.1075,33.8888
65,35.0075,36.5838,36.8663,44.9862
66,30.5875,33.81,30.8412,42.2413
67,40.9675,41.8963,27.2675,27.4525
68,36.9338,31.3137,36.57,35.4537
69,38.555,39.6663,42.3,45.0388
70,32.7188,43.6425,49.1225,31.1362
71,37.07,38.4563,43.6575,41.7538
72,32.5037,33.4513,30.5188,41.195
73,48.745,66.0738,32.98,30.42
74,34.59,38.1475,41.9087,30.7537
75,44.6663,37.3575,37.85,44.1937
76,34.14,35.1163,41.88,31.64
77,39.1838,38.2275,50.365,40.0812
78,37.8375,31.4063,35.7762,35.7863
79,46.2537,45.6675,38.245,40.4
80,32.7888,33.2675,49.1225,30.1788
81,39.3312,42.4475,42.4862,54.6325
82,34.2425,37.0388,38.1512,34.1163
83,32.385,28.3087,43.4675,39.1725
84,33.215,31.5138,43.5162,36.34
85,44.1688,46.795,36.7975,36.715
86,38.8,43.9988,42.75,31.7425
87,35.0413,38.3738,48.5487,40.9875
88,35.1063,37.1138,36.2263,36.6075
89,32.4462,33.1525,38.9612,36.8775
90,38.14,34.3188,42.2712,45.895
91,43.795,38.0487,32.2812,33.8088
92,47.6775,58.1438,36.4575,37.0713
93,35.5575,34.6612,38.225,36.1675
94,31.875,35.77,30.4125,39.25
95,29.4275,32.5088,40.0213,36.195
96,34.4175,30.8588,41.4,40.7975
97,48.0888,37.4462,37.865,41.9825
98,38.5263,47.37,31.0463,31.6075
99,42.2163,39.6388,40.5213,36.8825
100,33.945,41.4975,34.8525,46.8325
101,29.6638,34.235,40.9,37.775
102,31.5037,27.535,40.3075,34.2375
103,44.5175,36.6762,40.0012,43.0688
104,38.5238,43.76,34.8088,36.0375
105,42.4375,41.7488,36.8263,35.2737
106,28.765,39.5925,33.2712,33.815
107,32.3225,40.6112,35.5787,44.9875
108,36.9237,31.5312,44.815,37.345
109,37.8225,32.2212,40.495,41.0725
110,41.8438,37.6188,36.2137,41.4787
111,45.86,43.7225,31.52,30.9063
112,27.685,37.3962,31.9338,31.79
113,30.8888,35.3575,35.9937,43.5237
114,39.9225,35.3087,45.9125,37.75
115,33.625,32.2,45.5663,36.75
116,45.4788,31.7237,31.7425,36.775
117,37.6287,62.865,30.2925,30.4125
118,34.5813,45.8813,34.9963,32.1863
119,31.7237,31.2963,40.7188,43.9037
120,37.505,32.9588,44.6188,38.7188
121,34.95,37.59,45.2675,36.1313
122,38.3125,34.105,36.3575,38.7825
123,42.9063,42.0962,28.2387,30.37
124,40.095,43.3013,34.4125,37.0062
125,34.785,33.4213,36.0862,42.3375
126,36.4087,34.3462,44.2488,38.79
127,32.38,33.5825,49.0975,33.2775
128,36.4187,36.1375,40.7737,42.6725
129,51.1775,42.8537,34.46,35.7513
130,39.1562,36.91,37.5513,33.2737
131,32.7638,36.1088,34.7425,40.6088
132,36.3888,37.4175,40.0375,46.8475
133,36.24,36.2713,49.9963,38.5825
134,26.7063,31.995,38.56,31.2475
135,46.155,39.4087,34.5187,38.8912
136,49.8775,32.425,34.945,30.73
137,32.3188,37.0412,29.5925,32.5088
138,35.4725,38.6525,40.37,55.2813
139,33.7862,36.1875,46.63,35.8488
140,31.7525,41.6025,48.6213,34.4438
141,34.825,34.9712,33.7912,45.7387
142,47.9575,32.4188,31.615,28.7575
143,41.0725,42.4988,37.995,43.0112
144,34.2413,35.17,36.65,56.4775
145,33.3612,34.8563,40.8725,40.1713
146,28.7638,40.7737,47.4175,28.6875
147,34.9,27.0587,32.2275,45.4163
148,44.4437,38.7512,36.0388,30.36
149,40.1513,49.5187,40.1225,39.4887
150,36.6638,38.225,34.54,40.8912
151,31.4825,36.2325,35.4888,50.3213
152,32.655,42.3325,47.1625,33.0312
153,33.345,30.21,43.97,42.5562
154,55.5562,44.415,35.1737,34.135
155,47.2638,42.3375,38.3575,38.1125
156,39.6813,42.9638,39.855,43.0325
157,30.0713,40.8075,32.94,44.6125
158,36.5375,36.8987,42.0888,38.7175
159,29.2012,29.7488,47.6925,33.355
160,40.6075,34.245,34.78,34.1075
161,67.5363,46.9688,41.885,40.4275
162,43.9612,43.6625,40.185,39.3675
163,28.8688,41.7462,30.1038,39.7238
164,35.5825,33.2713,40.4013,44.6512
165,33.0562,35.1163,43.5237,35.6638
166,37.125,33.67,40.3213,36.7237
167,54.94,43.58,33.9025,33.3513
168,43.0488,40.8,33.2063,36.3212
169,28.0325,45.2138,28.3975,37.2687
170,31.2,33.175,42.59,48.795
171,34.9,38.7863,56.05,32.635
172,37.2287,32.2113,45.8475,35.79
173,37.2563,32.755,31.835,37.11
174,46.525,48.9825,36.0425,35.005
175,33.0388,45.4862,29.9962,36.6325
176,31.1475,29.5087,33.5237,48.445
177,34.1212,38.3663,58.67,35.5588
178,31.2575,30.4325,49.7787,33.465
179,38.2362,33.3137,39.335,38.5162
180,40.35,62.43,30.3488,29.7975
181,30.5762,47.8325,28.7712,33.4138
182,35.185,37.87,34.8525,59.335
183,31.0187,34.9,41.7625,33.5288
184,31.9587,32.0175,66.6638,32.0838
185,38.8,32.0713,38.7762,37.5425
186,44.4762,40.9425,29.5363,29.0712
187,37.2788,43.32,31.7013,40.025
188,34.05,35.8162,33.0787,43.2
189,35.9012,37.4612,42.735,48.2
190,33.6912,33.9937,61.74,33.6112
191,38.3388,33.6662,42.1625,42.675
192,37.8575,36.6838,27.58,26.8275
193,46.1887,42.1275,34.0888,42.1513
194,32.5175,46.8762,32.88,37.5162
195,37.6187,42.0613,39.8775,58.2762
196,31.54,32.1013,56.4013,32.6463
197,34.7975,32.5825,42.1525,31.51
198,37.4,40.3362,31.7,34.6588
199,47.0487,40.765,34.595,40.9663
200,34.9537,44.3113,31.4025,34.6013
201,35.5675,40.5987,38.5113,62.065
202,32.0638,32.275,38.7338,37.9038
203,36.62,36.3225,58.1675,31.665
204,38.45,39.4438,37.4725,42.5312
205,36.0113,36.6125,30.9537,53.8038
206,44.3238,50.0875,36.9087,37.1362
207,35.9363,33.4062,35.325,43.8987
208,36.3238,37.3275,38.64,47.2437
209,27.1638,33.1713,53.06,25.885
210,35.5562,35.2762,45.0487,35.8837
211,39.325,36.02,32.0725,42.4375
212,37.8813,64.4575,35.6187,34.6925
213,40.5725,43.855,42.1863,43.5425
214,34.7812,38.0125,34.1538,48.5725
215,36.435,34.2725,37.7963,32.3313
216,32.85,30.145,52.0487,33.1925
217,35.8888,40.44,36.84,42.0712
218,42.6138,40.395,35.1088,35.1337
219,42.6688,52.2138,39.1362,42.5487
220,31.615,37.1887,27.1688,38.3875
221,38.9487,32.1137,36.3775,32.295
222,32.1662,31.3025,52.145,32.3313
223,39.0375,40.2013,39.0412,36.7462
224,48.8525,35.1675,34.3137,38.82
225,38.5688,51.5775,37.0037,37.3487
226,32.9625,42.015,29.0125,34.195
227,33.1988,31.1188,43.9062,35.7325
228,29.6825,31.2712,44.8537,32.8863
229,34.23,38.83,40.5462,33.385
230,47.655,37.9275,38.64,44.345
231,42.5525,41.1638,35.1037,37.0662
232,32.2175,48.5663,28.0437,30.69
233,34.445,30.4687,34.7287,42.6475
234,35.2088,40.9387,47.8287,38.0363
235,34.7662,42.455,47.2713,33.52
236,40.5288,31.1187,33.645,38.0563
237,52.8375,42.2338,36.35,42.785
238,35.5713,41.015,28.1375,33.2937
239,37.0775,41.0012,39.0562,47.6863
240,34.265,37.8088,45.75,41.2212
241,34.6088,36.6425,53.0737,29.1113
242,34.39,33.995,40.9737,38.58
243,50.4563,33.18,29.7712,36.975
244,36.5075,45.4825,29.6837,32.9275
245,37.85,42.8288,33.9537,39.2375
246,35.47,41.3925,42.1313,43.8663
247,35.5438,33.1437,41.9812,31.2675
248,37.4138,32.7937,45.1437,33.335
249,37.0712,31.3725,29.8675,44.365
250,31.6262,51.25,28.8037,30.35
251,44.5875,48.2275,40.8025,42.2938
252,31.3987,39.9275,34.7587,39.21
253,42.3525,37.9025,45.99,38.3375
254,33.6037,34.62,43.6262,32.32
255,39.8325,27.4738,31.515,37.19
256,32.18,38.8875,27.7937,43.2225
257,41.6337,40.9838,40.5837,43.31
258,30.9537,35.9763,33.83,32.5975
259,38.0237,34.8713,39.1187,31.7975
260,37.3225,36.5337,43.0575,38.9387
261,35.5775,33.6388,34.3513,36.6812
262,32.0125,39.605,30.2263,39.3638
263,41.725,40.4025,34.9237,31.2663
264,35.9875,36.0688,37.99,40.8013
265,41.4625,36.5637,39.5237,41.8875
266,37.6262,30.975,55.9312,36.985
267,37.9975,38.92,36.9788,38.005
268,44.1937,38.3563,33.1812,46.8237
