svctm,ceph01,ceph02,ceph03,ceph04
0,0.09625,0.12625,0.23125,0.155
1,0.11625,0.12375,0.2075,0.1125
2,0.11,0.1075,0.1125,0.2575
3,0.10625,0.26125,0.105,0.23125
4,0.4125,0.215,0.20375,0.10125
5,0.2,0.1325,0.1775,0.1175
6,0.10875,0.185,0.195,0.19125
7,0.11125,0.11125,0.255,0.1175
8,0.09625,0.0975,0.18375,0.25
9,0.12,0.19125,0.09,0.25
10,0.23625,0.32125,0.12625,0.11
11,0.37875,0.1225,0.20625,0.11
12,0.11125,0.19375,0.235,0.15875
13,0.1075,0.13,0.19375,0.12125
14,0.095,0.1,0.19625,0.2125
15,0.155,0.14125,0.105,0.25375
16,0.13125,0.39625,0.105,0.1075
17,0.36,0.1075,0.18625,0.10125
18,0.18375,0.1475,0.17375,0.17625
19,0.1075,0.1525,0.24125,0.17625
20,0.12125,0.11625,0.23375,0.18625
21,0.18625,0.10625,0.17125,0.3025
22,0.115,0.38375,0.12625,0.25125
23,0.26375,0.26625,0.195,0.0925
24,0.41125,0.13875,0.1175,0.1275
25,0.09875,0.16625,0.2025,0.2825
26,0.17625,0.11125,0.215,0.1575
27,0.1775,0.10875,0.1775,0.1525
28,0.10125,0.2575,0.09625,0.2325
29,0.12375,0.255,0.1925,0.10625
30,0.3525,0.12875,0.125,0.10125
31,0.1375,0.1875,0.2025,0.20875
32,0.135,0.09875,0.195,0.18375
33,0.1675,0.105,0.19875,0.12625
34,0.0925,0.16125,0.0975,0.2825
35,0.11,0.27125,0.19375,0.14
36,0.29875,0.10875,0.12375,0.10625
37,0.20625,0.17625,0.16625,0.19
38,0.14125,0.14375,0.2025,0.17875
39,0.13625,0.10875,0.265,0.11875
40,0.1025,0.1225,0.12375,0.235
41,0.10375,0.26625,0.1725,0.16375
42,0.205,0.1375,0.1225,0.1075
43,0.2925,0.11875,0.16125,0.2275
44,0.13375,0.14625,0.1475,0.16
45,0.12125,0.1125,0.2025,0.115
46,0.10125,0.1475,0.19,0.1725
47,0.09,0.21875,0.13875,0.3425
48,0.15625,0.2925,0.16375,0.13375
49,0.315,0.2075,0.145,0.20125
50,0.16875,0.1275,0.21,0.2
51,0.12,0.11625,0.2825,0.09875
52,0.1125,0.11375,0.245,0.1325
53,0.11125,0.17125,0.11125,0.325
54,0.12,0.34625,0.19125,0.145
55,0.3225,0.27375,0.12875,0.135
56,0.18,0.1375,0.155,0.24125
57,0.11125,0.11625,0.19375,0.115
58,0.115,0.1225,0.2575,0.0975
59,0.10375,0.1225,0.1,0.2425
60,0.1975,0.23625,0.18625,0.1925
61,0.25,0.21375,0.10875,0.11125
62,0.14375,0.10625,0.19625,0.18375
63,0.10875,0.11625,0.13125,0.14625
64,0.10375,0.165,0.21,0.10375
65,0.10375,0.115,0.13375,0.19125
66,0.16,0.165,0.185,0.315
67,0.245,0.31375,0.1,0.09875
68,0.19125,0.10625,0.16125,0.11375
69,0.1075,0.10875,0.145,0.17375
70,0.11125,0.26125,0.285,0.1
71,0.11,0.1275,0.18875,0.17875
72,0.16875,0.15625,0.1525,0.31
73,0.34375,0.98625,0.10625,0.10125
74,0.195,0.19,0.27125,0.12375
75,0.25625,0.10375,0.12,0.23
76,0.14125,0.225,0.3225,0.17
77,0.1275,0.19125,0.25125,0.14375
78,0.18875,0.11625,0.16,0.2425
79,0.195,0.19625,0.12625,0.14375
80,0.17125,0.19375,0.37,0.1025
81,0.1075,0.11625,0.1175,0.21375
82,0.1175,0.155,0.15125,0.11125
83,0.18,0.12625,0.305,0.25875
84,0.17375,0.15625,0.36625,0.22875
85,0.2225,0.19625,0.12625,0.11
86,0.20375,0.245,0.20625,0.12125
87,0.1025,0.135,0.2525,0.17875
88,0.15,0.205,0.1375,0.17
89,0.1375,0.15625,0.23375,0.1825
90,0.12625,0.12125,0.1925,0.2325
91,0.22625,0.14625,0.11625,0.12125
92,0.2025,0.3375,0.12125,0.10625
93,0.14125,0.11,0.14125,0.145
94,0.14625,0.19125,0.14375,0.2225
95,0.10625,0.14625,0.24375,0.14875
96,0.1325,0.09625,0.2275,0.2225
97,0.23375,0.11375,0.11875,0.15
98,0.155,0.27375,0.0975,0.1
99,0.19375,0.1625,0.16,0.11875
100,0.145,0.19375,0.135,0.27875
101,0.10125,0.155,0.21375,0.16625
102,0.1325,0.0975,0.27875,0.1525
103,0.1825,0.105,0.1475,0.1825
104,0.15375,0.18,0.10875,0.11625
105,0.20375,0.2,0.11625,0.105
106,0.1075,0.22375,0.19,0.16625
107,0.10875,0.215,0.1475,0.2225
108,0.16375,0.10125,0.2275,0.14375
109,0.12625,0.09875,0.2225,0.1925
110,0.1975,0.10875,0.1175,0.15375
111,0.23125,0.26625,0.095,0.09875
112,0.12375,0.24875,0.17875,0.17
113,0.10875,0.17875,0.15125,0.26625
114,0.14875,0.10875,0.22125,0.15125
115,0.1025,0.09875,0.2375,0.125
116,0.26,0.115,0.12,0.1975
117,0.2225,0.38,0.10375,0.1
118,0.15375,0.26375,0.16,0.11125
119,0.13375,0.1375,0.2525,0.315
120,0.15,0.11,0.2225,0.15875
121,0.1025,0.11375,0.205,0.11625
122,0.14875,0.1125,0.14625,0.18375
123,0.2925,0.26125,0.09375,0.1025
124,0.1925,0.23375,0.11875,0.13875
125,0.15375,0.13875,0.15,0.2575
126,0.12625,0.10625,0.18375,0.1525
127,0.09625,0.105,0.255,0.1175
128,0.1325,0.1275,0.18,0.1775
129,0.315,0.2225,0.1075,0.1275
130,0.24,0.21875,0.14375,0.145
131,0.13125,0.175,0.14125,0.19375
132,0.10125,0.10875,0.1275,0.2125
133,0.11625,0.11,0.2175,0.11375
134,0.095,0.1625,0.24,0.1175
135,0.2325,0.195,0.12875,0.17625
136,0.39125,0.1575,0.13,0.14375
137,0.15,0.1825,0.10625,0.13375
138,0.10375,0.1175,0.10875,0.26
139,0.10375,0.1075,0.21875,0.11625
140,0.09375,0.2125,0.2875,0.1275
141,0.13125,0.15625,0.14625,0.28375
142,0.37625,0.15125,0.14375,0.11375
143,0.15875,0.165,0.115,0.13625
144,0.09875,0.1125,0.105,0.27375
145,0.1025,0.1275,0.1675,0.18
146,0.09125,0.21875,0.32,0.1
147,0.185,0.10375,0.19875,0.31625
148,0.33125,0.2175,0.19375,0.12
149,0.13,0.20625,0.12125,0.1175
150,0.13,0.13375,0.11,0.16
151,0.0975,0.145,0.13875,0.28375
152,0.11,0.22625,0.25125,0.1225
153,0.13,0.105,0.24875,0.215
154,0.3725,0.2225,0.13,0.1275
155,0.1675,0.1625,0.115,0.1175
156,0.1125,0.1275,0.11,0.12625
157,0.10875,0.20125,0.11125,0.27
158,0.13375,0.155,0.20375,0.15875
159,0.09875,0.10125,0.37,0.1575
160,0.25375,0.16375,0.16875,0.1575
161,0.35125,0.18125,0.11125,0.115
162,0.13375,0.13,0.11375,0.11625
163,0.095,0.23,0.1025,0.25
164,0.145,0.13625,0.21125,0.225
165,0.12625,0.13625,0.22875,0.1225
166,0.1525,0.13375,0.2225,0.17625
167,0.31875,0.17625,0.10875,0.1
168,0.18625,0.17,0.10125,0.11875
169,0.105,0.32875,0.11375,0.18875
170,0.1025,0.125,0.1925,0.33375
171,0.12125,0.17,0.3425,0.1
172,0.15125,0.11875,0.29125,0.17625
173,0.19375,0.11625,0.11375,0.165
174,0.22,0.2425,0.105,0.11
175,0.13375,0.25875,0.09375,0.14375
176,0.13375,0.10625,0.11125,0.34125
177,0.115,0.18,0.36125,0.12375
178,0.11875,0.11375,0.31375,0.125
179,0.18625,0.11375,0.20125,0.19
180,0.24625,0.41875,0.10375,0.1
181,0.12625,0.30125,0.0875,0.125
182,0.1225,0.1375,0.1025,0.3725
183,0.10375,0.135,0.2025,0.13375
184,0.1075,0.10625,0.4525,0.10125
185,0.19125,0.09875,0.1875,0.16875
186,0.29625,0.2375,0.08875,0.095
187,0.15625,0.2425,0.11125,0.17875
188,0.12,0.14875,0.10375,0.23
189,0.1075,0.1225,0.1475,0.215
190,0.10875,0.10375,0.3725,0.11625
191,0.165,0.105,0.22375,0.2025
192,0.25375,0.24125,0.1125,0.115
193,0.23625,0.17625,0.105,0.17875
194,0.11,0.2075,0.10375,0.16
195,0.11375,0.1475,0.1275,0.2725
196,0.105,0.09625,0.315,0.10375
197,0.17125,0.125,0.3,0.1325
198,0.21,0.2175,0.15375,0.1475
199,0.27,0.21,0.10625,0.2175
200,0.1325,0.22875,0.0975,0.11875
201,0.10625,0.13125,0.115,0.335
202,0.10125,0.10125,0.17625,0.15375
203,0.18,0.185,0.46,0.0975
204,0.1925,0.19,0.155,0.25625
205,0.1675,0.16375,0.1025,0.3125
206,0.16625,0.24625,0.11125,0.1125
207,0.12375,0.1025,0.11625,0.1775
208,0.10625,0.11375,0.1325,0.2575
209,0.16,0.21875,0.4325,0.09
210,0.17625,0.15625,0.3,0.16875
211,0.17625,0.14875,0.11375,0.215
212,0.145,0.36375,0.11375,0.11
213,0.125,0.14,0.11875,0.12625
214,0.11875,0.135,0.1025,0.24
215,0.14875,0.185,0.23375,0.15625
216,0.12875,0.105,0.385,0.13375
217,0.165,0.18,0.11125,0.23625
218,0.1975,0.17125,0.10125,0.11375
219,0.13,0.21,0.1125,0.11125
220,0.13125,0.18875,0.09875,0.19625
221,0.2225,0.17,0.185,0.19125
222,0.1175,0.09875,0.35,0.1325
223,0.19125,0.1725,0.18875,0.14375
224,0.245,0.1225,0.09875,0.1525
225,0.12625,0.21125,0.10625,0.11125
226,0.13125,0.27875,0.10375,0.1475
227,0.16875,0.13125,0.23375,0.23875
228,0.1025,0.10875,0.23875,0.13
229,0.13375,0.1825,0.2375,0.1125
230,0.1975,0.11375,0.12,0.1775
231,0.175,0.155,0.10875,0.1075
232,0.165,0.33625,0.09625,0.12875
233,0.1325,0.11375,0.14625,0.24375
234,0.1,0.14375,0.2075,0.12125
235,0.11625,0.18375,0.2625,0.1025
236,0.1675,0.09375,0.1275,0.19125
237,0.28125,0.14125,0.1075,0.1525
238,0.27125,0.37125,0.13375,0.20125
239,0.135,0.17,0.155,0.20875
240,0.10625,0.14875,0.2025,0.19125
241,0.1325,0.1825,0.3775,0.10375
242,0.11625,0.1125,0.1875,0.13125
243,0.3,0.1325,0.105,0.18375
244,0.255,0.33125,0.155,0.20625
245,0.15375,0.185,0.095,0.13125
246,0.1125,0.1625,0.16125,0.195
247,0.14625,0.12125,0.2375,0.1025
248,0.125,0.10625,0.225,0.1
249,0.19375,0.13375,0.11,0.26125
250,0.17,0.44875,0.1325,0.17625
251,0.15625,0.1575,0.1175,0.11625
252,0.105,0.22125,0.12375,0.1825
253,0.17875,0.12375,0.2225,0.1225
254,0.13375,0.12625,0.235,0.11125
255,0.28,0.12625,0.15125,0.2575
256,0.17875,0.28,0.11,0.33875
257,0.17875,0.1375,0.1875,0.1975
258,0.11625,0.17625,0.14125,0.19625
259,0.29125,0.19125,0.2425,0.145
260,0.23375,0.20125,0.29625,0.17875
261,0.21125,0.16,0.17125,0.1975
262,0.16125,0.26625,0.14125,0.25125
263,0.23625,0.265,0.13,0.125
264,0.1725,0.1625,0.17125,0.195
265,0.185,0.13125,0.2325,0.16375
266,0.2275,0.15,0.4425,0.26875
267,0.17,0.17125,0.18,0.1725
268,0.305,0.18875,0.12375,0.25375
269,0.2475,0.145,0.16375,0.16375
270,0.135,0.19875,0.21375,0.30875
271,0.22875,0.155,0.175,0.16375
272,0.19125,0.20125,0.32,0.2575
273,0.18,0.22125,0.19125,0.13375
274,0.2025,0.195,0.125,0.3
275,0.2075,0.24875,0.27875,0.30375
276,0.165,0.16,0.18625,0.17125
277,0.12875,0.28125,0.185,0.175
278,0.1425,0.31625,0.21125,0.1675
279,0.21625,0.14875,0.20125,0.135
280,0.22125,0.22625,0.15875,0.39
281,0.3275,0.16125,0.1575,0.55625
282,0.21625,0.12,0.1675,0.3275
283,0.16375,0.135,0.315,0.24875
284,0.11375,0.21,0.195,0.135
285,0.2825,0.1225,0.20625,0.135
286,0.19375,0.1975,0.1575,0.15375
287,0.165,0.20125,0.14375,0.19875
288,0.13875,0.11,0.1675,0.465
289,0.13625,0.1825,0.295,0.22
290,0.1325,0.19,0.17125,0.1375
291,0.22875,0.135,0.23625,0.14125
292,0.20875,0.17,0.15,0.1775
293,0.14625,0.205,0.17125,0.14
294,0.1325,0.1125,0.2,0.27375
295,0.11,0.2125,0.30375,0.35625
296,0.16375,0.1575,0.12875,0.12625
297,0.15125,0.14,0.265,0.13125
298,0.2025,0.1475,0.155,0.1375
299,0.21625,0.14125,0.1625,0.13875
300,0.1525,0.13,0.19375,0.16875
301,0.0975,0.20375,0.18375,0.275
302,0.16875,0.14625,0.14375,0.1225
303,0.1175,0.12875,0.17625,0.1775
304,0.18875,0.1825,0.16,0.13875
305,0.1875,0.12375,0.16,0.17625
306,0.14875,0.19625,0.15625,0.14875
307,0.13125,0.2125,0.13875,0.2425
308,0.135,0.14375,0.16625,0.13875
309,0.1075,0.165,0.13625,0.15625
310,0.1875,0.225,0.155,0.12
311,0.20125,0.1325,0.19875,0.1575
312,0.1125,0.20375,0.18,0.105
313,0.15,0.17,0.1025,0.16125
314,0.16625,0.135,0.13125,0.1975
315,0.1125,0.14,0.13,0.1825
316,0.1625,0.13,0.16375,0.12125
317,0.1925,0.1525,0.20375,0.18625
318,0.1075,0.2475,0.16875,0.1
319,0.16125,0.13375,0.1075,0.1675
320,0.135,0.145,0.115,0.2275
321,0.13,0.115,0.18875,0.1725
322,0.195,0.12375,0.165,0.135
323,0.185,0.17,0.21375,0.14625
324,0.1625,0.17375,0.14875,0.11
325,0.165,0.1575,0.165,0.115
326,0.11,0.16125,0.11875,0.32625
327,0.12,0.11625,0.1725,0.265
328,0.29375,0.10875,0.1575,0.14625
329,0.115,0.25,0.22375,0.11875
330,0.26375,0.15375,0.1175,0.095
331,0.1525,0.22875,0.1525,0.1125
332,0.12375,0.14,0.1475,0.205
333,0.0975,0.12,0.20625,0.23875
334,0.2425,0.10125,0.16375,0.24375
335,0.155,0.2725,0.15375,0.12875
336,0.27,0.13625,0.12,0.09375
337,0.13125,0.2525,0.1225,0.11375
338,0.1425,0.2025,0.18625,0.15375
339,0.10625,0.09875,0.18125,0.29625
340,0.13875,0.09125,0.2375,0.2075
341,0.1925,0.2675,0.15375,0.1175
342,0.26625,0.19625,0.13875,0.11375
343,0.16875,0.2525,0.12625,0.1025
344,0.115,0.17375,0.19125,0.1
345,0.1225,0.10125,0.145,0.3
346,0.10125,0.1,0.255,0.3775
347,0.17,0.17375,0.10125,0.10375
348,0.17875,0.27875,0.1425,0.1
349,0.31,0.165,0.12875,0.0925
350,0.1075,0.20125,0.18875,0.0975
351,0.1225,0.105,0.18,0.2025
352,0.09625,0.1075,0.16125,0.34875
353,0.16125,0.13,0.12125,0.13625
354,0.1575,0.25875,0.1475,0.08625
355,0.29625,0.115,0.17875,0.09625
356,0.1875,0.24625,0.18,0.10625
357,0.0975,0.1175,0.19,0.25875
358,0.105,0.1075,0.1125,0.27625
359,0.1325,0.11,0.125,0.16875
360,0.2575,0.2225,0.1025,0.1125
361,0.1925,0.175,0.2075,0.095
362,0.1525,0.255,0.18375,0.09
363,0.12125,0.14875,0.2375,0.18125
364,0.11875,0.11875,0.11875,0.2775
365,0.1025,0.105,0.14875,0.22625
366,0.2025,0.1575,0.11125,0.0925
367,0.18875,0.2875,0.23,0.08875
368,0.1825,0.17375,0.17,0.095
369,0.10125,0.26,0.16375,0.17875
370,0.11375,0.1125,0.11375,0.26625
371,0.12625,0.11125,0.11375,0.3625
372,0.19875,0.105,0.1475,0.13
373,0.20375,0.375,0.22,0.10125
374,0.27,0.19875,0.16625,0.12
375,0.11,0.265,0.1525,0.13
376,0.0975,0.15,0.1525,0.14625
377,0.13,0.10375,0.115,0.28375
378,0.15125,0.1175,0.1875,0.28125
379,0.16625,0.21375,0.2025,0.08875
380,0.2375,0.15125,0.20125,0.12125
381,0.115,0.19125,0.11875,0.18125
382,0.11625,0.21,0.175,0.115
383,0.12125,0.12125,0.1125,0.20125
384,0.1475,0.12,0.24625,0.25625
385,0.16,0.15875,0.19625,0.1375
386,0.28125,0.1475,0.175,0.1525
387,0.13625,0.1875,0.11625,0.115
388,0.1475,0.2425,0.14,0.12
389,0.1175,0.1325,0.11875,0.17375
390,0.15625,0.1475,0.205,0.19
391,0.1725,0.125,0.17625,0.1825
392,0.22875,0.1725,0.23125,0.13
393,0.19625,0.13125,0.13125,0.09625
394,0.15125,0.1925,0.13,0.105
395,0.1125,0.18625,0.15125,0.245
396,0.11125,0.17625,0.27,0.21125
397,0.1675,0.10125,0.1675,0.24875
398,0.16875,0.1725,0.145,0.13375
399,0.27,0.12625,0.16,0.10875
