wMB/s,ceph01,ceph02,ceph03,ceph04
0,50.8275,51.1788,51.45,51.3212
1,66.06,66.4013,66.6562,66.325
2,44.0712,43.9825,44.2763,44.57
3,50.53,50.6212,50.545,51.0112
4,43.7175,43.9513,44.48,43.5363
5,44.8312,44.7163,44.765,44.7788
6,48.405,48.305,48.6137,48.6837
7,57.5112,57.83,57.8212,57.9613
8,43.5375,43.5525,43.865,44.1638
9,41.125,41.0587,41.4988,41.2737
10,41.4575,41.3887,41.7625,41.88
11,48.9225,49.2375,49.2538,49.3813
12,55.1487,55.2288,55.1225,55.5087
13,62.2075,62.4613,63.0113,62.2575
14,42.6313,43.1962,43.4163,43.5025
15,43.3612,43.1337,43.8025,44.005
16,46.6238,47.0525,46.845,47.285
17,48.1187,48.2225,48.555,48.4363
18,46.395,46.3888,46.7213,46.12
19,52.0113,52.555,52.1513,52.2613
20,47.905,48.01,48.0087,48.5413
21,39.6425,39.825,40.0462,39.7788
22,47.9737,48.3038,48.1025,48.2013
23,32.5637,32.8237,32.43,33.0237
24,49.5087,49.5425,50.055,50.3025
25,46.6863,46.375,46.4262,46.055
26,49.2037,49.5388,50.2163,49.4712
27,58.0512,58.4525,58.675,58.6313
28,44.5675,44.6475,44.2712,45.41
29,46.94,47.42,47.695,46.9412
30,55.14,54.6137,54.9137,55.7375
31,39.67,39.8075,39.8888,39.73
32,54.24,54.5587,54.7975,55.1613
33,48.0538,48.385,48.335,48.3925
34,44.3488,44.0975,44.51,44.175
35,55.7113,56.1663,56.41,55.9787
36,48.1375,48.5425,48.36,48.3838
37,40.15,40.2975,40.1912,40.1525
38,42.1025,42.24,42.295,42.695
39,56.5512,56.6588,57.0862,57.2212
40,49.465,49.38,49.4887,49.985
41,49.4487,49.7587,49.7875,49.9213
42,46.285,46.9712,47.0775,47.1613
43,36.4375,36.1825,36.3075,35.9075
44,58.085,58.2188,58.685,58.44
45,59.5513,59.5538,60.1163,60.1075
46,56.5625,56.7537,56.8612,56.4887
47,42.3413,42.6125,42.3825,43.32
48,47.8588,48.1325,48.2775,48.44
49,37.85,37.8212,37.9862,37.49
50,50.0713,50.2238,50.42,50.75
51,51.5312,51.6938,51.5938,52.1625
52,43.4475,43.3212,43.71,43.4387
53,44.9675,45.2937,45.4225,45.0963
54,42.3475,42.6588,42.595,42.7862
55,34.1187,34.4525,34.7463,34.2888
56,52.1212,52.3325,52.2163,52.245
57,59.5212,59.78,59.6788,60.0125
58,52.9712,53.0487,53.68,52.9787
59,46.8025,47.055,47.25,47.36
60,37.3738,37.8062,37.9537,37.8025
61,43.0475,42.89,42.965,43.5925
62,56.9625,56.925,57.5963,57.5288
63,60.35,60.7837,61.1575,60.555
64,47.7462,47.325,47.9638,48.1262
65,53.48,53.6875,53.8888,53.605
66,39.925,40.1687,40.555,40.4925
67,34.4038,34.8175,35.0112,35.4138
68,47.6825,47.8825,47.8612,47.31
69,60.8063,60.9562,60.8263,61.7013
70,40.5487,40.6338,41.1088,40.315
71,49.7738,49.855,50.3775,49.7963
72,29.835,29.8912,29.8888,30.8775
73,25.56,25.2538,25.6737,24.8188
74,24.4587,24.5738,24.2013,24.8325
75,36.2963,36.8137,36.99,37.0925
76,23.2562,23.3575,23.4775,22.8887
77,40.6325,40.3312,39.87,41.1562
78,35.6962,35.8237,36.4875,35.4738
79,56.0087,55.8387,56.0587,56.25
80,30.55,30.4662,30.2612,30.9313
81,59.4675,59.7525,59.96,59.7675
82,48.7712,48.78,48.475,49.31
83,36.1525,36.2888,36.3312,35.9487
84,35.515,35.9462,36.1275,35.9375
85,51.41,51.5925,51.5862,52.3375
86,46.1188,45.9913,45.7413,46.2775
87,54.9125,55.3987,55.7725,54.4675
88,45.8125,45.4813,45.88,46.2612
89,41.585,42.0312,41.695,41.4225
90,53.2462,53.3187,53.83,53.3725
91,45.5737,45.4787,46.0975,45.965
92,60.6763,60.5675,60.7987,61.565
93,48.0237,48.9025,48.7675,48.4488
94,42.3375,42.5787,42.3925,42.8713
95,39.3475,39.8163,40.2475,39.4475
96,43.4588,43.9825,43.7925,44.1588
97,57.2875,57.0975,57.6287,57.6487
98,46.7888,47.4337,47.5637,47.0575
99,52.0838,52.385,52.2175,52.5787
100,51.01,50.8987,51.1062,51.4913
101,43.3675,43.6463,43.5262,43.8288
102,38.7638,39.2763,39.3525,39.2075
103,57.8162,58.815,58.645,58.455
104,56.1938,56.5012,56.495,56.9187
105,52.0725,51.8362,52.1263,52.5113
106,43.465,43.705,44.0525,43.2462
107,41.32,41.6663,41.2262,41.8887
108,49.9413,50.4288,50.4962,51.2275
109,47.0613,47.235,47.3725,47.0425
110,50.7012,50.8612,50.9637,50.9225
111,47.855,47.4887,47.5938,48.1238
112,35.3025,35.5475,36.0962,35.33
113,43.9738,44.2925,44.4875,44.3175
114,51.2575,51.1625,51.8125,51.6363
115,49.6725,50.1288,49.9375,50.29
116,43.8913,43.8762,44.05,44.0025
117,41.765,41.5588,41.86,42.0125
118,43.9163,43.7925,43.81,43.96
119,40.5263,40.7825,40.89,40.8675
120,53.985,53.9,53.6587,54.7812
121,55.8512,55.96,56.2625,55.67
122,45.49,45.5775,45.8713,45.6987
123,41.39,41.3312,41.6325,41.9913
124,47.0563,47.2963,47.0363,47.2462
125,46.2812,46.6512,46.515,46.185
126,51.5787,52.0163,51.8725,52.3425
127,50.85,50.4637,51.0,50.2863
128,50.2463,50.5075,50.8463,51.265
129,48.3425,48.7037,48.98,49.7313
130,42.1037,42.3437,42.5012,41.7387
131,47.4375,47.775,48.115,47.7275
132,59.9425,59.3012,59.4688,59.3762
133,59.3363,60.1275,59.7625,60.3625
134,38.26,38.4387,38.9712,39.2575
135,47.4887,47.5538,47.3675,46.99
136,34.9412,35.0888,36.18,36.185
137,35.4438,35.59,34.6438,35.2112
138,62.3438,62.5763,63.2475,63.1438
139,56.1625,56.33,56.09,56.2362
140,45.8787,45.7688,46.135,45.985
141,44.0738,44.88,43.8325,45.3338
142,37.0675,36.8137,38.0263,37.1575
143,55.7825,56.1437,56.5337,56.19
144,48.4288,48.6312,49.0275,48.4975
145,45.705,45.7912,44.7425,46.9625
146,43.5325,43.795,44.2975,44.0975
147,32.8975,32.9012,32.6788,32.7375
148,39.78,39.7088,40.1162,40.1112
149,61.1562,60.9725,62.5387,61.1437
150,52.54,53.1762,52.1675,53.1863
151,41.775,41.2462,41.455,42.09
152,44.275,44.61,44.2625,45.315
153,42.1013,42.9087,43.0625,42.4337
154,50.355,50.3288,51.5525,49.8487
155,59.8187,59.8125,60.2763,59.9237
156,61.845,62.095,61.645,62.8275
157,43.485,43.6425,43.3912,43.4288
158,50.9762,50.57,51.03,50.49
159,41.3963,41.7725,42.07,41.8362
160,37.4237,37.8038,38.0637,38.615
161,69.35,69.9125,69.4788,69.3825
162,61.23,61.0775,60.99,61.6
163,39.585,39.665,39.1088,40.3488
164,42.435,42.7475,43.7063,41.8362
165,45.27,45.4187,44.3362,46.7413
166,48.005,48.0612,48.6638,48.4775
167,50.3362,50.1338,51.435,49.4425
168,53.9237,53.755,53.2275,53.9387
169,36.1188,36.065,36.4087,36.2975
170,46.4812,47.4575,45.7362,47.9712
171,44.8662,44.5362,45.6063,44.2325
172,42.0025,42.565,43.17,41.9038
173,41.36,41.6588,41.005,42.52
174,57.7812,58.2663,58.38,58.37
175,48.2463,48.9162,48.9663,48.7525
176,40.5025,40.1562,40.2475,40.6425
177,51.9763,52.5337,51.7963,52.0825
178,40.4262,40.3237,42.0288,40.32
179,46.5712,46.9237,45.6675,48.12
180,44.8687,44.9963,46.405,45.3275
181,42.6,42.88,41.575,42.6187
182,50.9,51.445,51.8237,50.995
183,45.285,45.4313,45.2225,45.8125
184,50.1013,50.3263,50.49,49.8788
185,44.175,44.1437,44.605,45.36
186,44.3838,44.17,44.75,44.535
187,49.8925,49.7138,49.3862,50.0287
188,50.0825,50.4562,51.0725,50.1662
189,55.845,56.375,55.9,56.565
190,53.0962,53.8263,52.7463,54.4737
191,49.9025,49.7625,51.425,49.68
192,34.0012,34.1638,34.3662,34.3175
193,58.3963,58.2287,58.2963,57.68
194,50.27,50.5975,51.3812,50.475
195,60.8888,61.3812,60.54,62.0112
196,50.3375,50.3413,51.645,49.995
197,37.035,37.0225,37.3413,36.9488
198,46.6888,47.245,46.1425,48.2525
199,50.9862,50.9637,52.1262,50.3375
200,47.8,47.9825,47.6687,48.5438
201,63.7987,64.1088,64.3788,63.2075
202,44.845,45.4075,44.07,46.115
203,40.7275,40.5325,41.8725,40.5188
204,48.8175,49.0312,49.4787,48.5688
205,43.8387,43.5637,43.0213,44.3225
206,62.4338,62.575,63.5237,62.7425
207,53.1863,53.795,53.0613,54.1425
208,46.9862,46.6713,47.0275,48.1675
209,30.0188,30.3788,30.2488,29.9775
210,43.1375,43.015,43.8837,42.6613
211,47.475,47.565,47.685,49.2975
212,56.0425,55.835,56.625,55.0475
213,64.7025,65.0987,65.3713,65.1488
214,55.9275,56.4875,55.5125,56.7075
215,33.8462,34.1463,34.1737,34.8975
216,39.8687,39.7088,39.32,39.0938
217,50.3675,50.7437,51.44,51.7638
218,52.8387,52.4537,53.6012,51.8113
219,62.3525,62.325,63.1825,62.3912
220,38.6125,39.4062,37.4225,40.47
221,35.4525,35.2763,37.3913,35.0262
222,42.4563,42.5463,42.0925,43.2125
223,48.635,48.74,49.5538,48.4987
224,52.5075,52.3575,52.9437,54.0862
225,58.9,59.1775,59.6575,59.6375
226,41.7662,41.6463,41.1575,41.8387
227,37.6175,37.5812,38.335,37.0213
228,44.1412,43.925,44.3375,44.425
229,44.465,44.3613,44.4825,44.205
230,62.7238,63.3538,63.6225,64.3525
231,55.5225,55.3675,55.765,55.225
232,36.265,36.7,35.1438,37.15
233,43.6475,43.75,44.0563,44.3837
234,59.0025,59.0187,59.0075,59.2037
235,44.6225,45.1425,45.815,45.8013
236,41.8937,41.8525,42.28,41.1013
237,59.4525,60.0163,58.7275,60.0188
238,31.735,31.7213,31.9825,32.185
239,56.4363,56.3875,55.7687,55.8325
240,52.9825,53.3675,53.6275,54.24
241,42.7613,43.22,43.1313,42.8363
242,49.8425,49.8975,50.1088,49.7888
243,45.5738,45.3737,46.4087,46.3225
244,33.7737,34.1275,33.1775,34.7225
