w/s,ceph01,ceph02,ceph03,ceph04
0,3130.88,2889.75,2444.88,2807.0
1,3361.88,3298.0,2822.25,3482.62
2,2847.0,2864.12,2771.62,2064.38
3,3175.75,2204.62,3301.5,2508.62
4,1574.62,2376.12,2539.0,2887.62
5,2294.5,2674.12,2409.38,2719.38
6,3025.88,2555.62,2449.5,2608.88
7,3175.12,3122.88,2367.0,2974.25
8,3054.12,3070.62,2768.0,2035.38
9,2875.5,2250.38,3038.88,2259.5
10,1996.5,1966.38,2809.38,2884.75
11,1748.75,2890.5,2501.12,2995.0
12,3134.38,2702.62,2634.25,2872.5
13,3092.25,3049.75,2873.12,3252.12
14,3074.0,3045.0,2595.0,2423.25
15,2845.12,2675.75,2996.0,2395.12
16,2911.88,1848.0,3140.38,3088.38
17,1813.75,2963.12,2755.25,3057.75
18,2353.88,2634.62,2585.0,2398.0
19,3145.88,2991.88,2362.5,2722.62
20,2781.25,2928.5,2392.12,2525.5
21,2428.62,2682.5,2481.75,2036.62
22,2907.38,1821.25,2904.0,2212.0
23,1682.75,1878.5,2162.38,2540.38
24,1770.75,2776.75,2977.88,3024.75
25,3002.62,2751.5,2516.0,2267.25
26,2579.12,3010.88,2279.62,2621.5
27,2850.25,3309.62,3033.75,2765.62
28,2947.12,2158.62,2936.75,2466.25
29,2844.38,2262.5,2811.75,3190.25
30,1930.0,2881.5,2832.25,3182.12
31,2634.12,2526.88,2411.38,2206.88
32,2887.25,3284.5,2729.88,2685.5
33,2594.25,2997.38,2481.88,2640.38
34,3114.62,2580.0,3079.25,2230.25
35,3001.88,2326.75,2772.5,2960.62
36,1925.25,2971.5,3037.25,3003.25
37,2177.75,2515.0,2536.75,2208.5
38,2597.62,2650.88,2406.25,2507.0
39,3047.38,3101.12,2434.75,3179.88
40,3185.0,2944.75,3069.75,2366.25
41,3084.75,2210.75,2818.75,2702.38
42,2293.38,2891.5,3044.25,3091.5
43,1878.5,2365.75,2446.0,2140.88
44,3078.88,3080.25,2908.12,2901.38
45,2977.0,3097.12,2625.5,3032.25
46,3119.0,2883.25,2702.88,2618.38
47,2963.25,2204.25,2660.25,2033.0
48,2565.38,2071.25,2762.88,2795.0
49,1865.12,2474.88,2660.5,2329.5
50,2627.12,3093.0,2770.12,2836.12
51,3008.25,2988.12,2013.88,3100.0
52,2841.12,2638.5,2128.25,2606.12
53,2706.75,2480.25,2837.62,1902.88
54,2691.75,2010.0,2623.75,2646.88
55,1810.38,1836.12,2303.0,2165.75
56,2567.12,2772.88,2813.62,2428.88
57,3082.25,3108.38,2565.62,3119.88
58,3289.0,3070.75,2442.38,3372.88
59,2966.38,2861.0,2940.0,2152.75
60,2230.62,2147.5,2470.0,2244.62
61,2164.5,2349.38,2749.88,2956.88
62,2919.75,3364.5,2835.75,2945.25
63,3268.25,3227.5,2915.0,3041.25
64,2942.5,2489.62,2402.88,2911.38
65,3136.38,3012.12,3024.25,2588.38
66,2728.12,2476.25,2855.0,2110.88
67,1812.38,1792.62,2638.25,2653.88
68,2722.62,3135.88,2839.0,2852.25
69,3260.12,3160.62,2977.38,2904.62
70,2538.62,1962.88,1922.75,2653.38
71,2768.62,2664.12,2411.75,2532.12
72,1923.38,1888.38,2100.62,1593.75
73,1154.25,833.375,1602.0,1674.25
74,1480.25,1347.38,1286.62,1655.5
75,1712.12,2022.88,2007.62,1776.25
76,1400.5,1385.62,1202.12,1487.88
77,2138.88,2168.0,1671.0,2120.0
78,1958.5,2346.25,2177.88,2075.38
79,2550.0,2592.25,3020.12,2880.0
80,1989.25,1884.88,1621.25,2099.38
81,3097.75,2886.88,2895.25,2348.12
82,2935.62,2866.75,2659.12,2968.12
83,2323.62,2636.5,1858.62,2028.25
84,2245.75,2448.25,1984.5,2111.5
85,2474.88,2377.62,2885.12,2921.5
86,2583.25,2216.88,2456.12,3006.38
87,3210.75,2979.5,2639.88,2939.75
88,2699.0,2638.88,2624.5,2647.75
89,2670.38,2666.88,2342.62,2373.88
90,2923.5,3190.12,2709.25,2528.88
91,2277.5,2518.12,2937.0,2811.75
92,2782.88,2286.5,3419.38,3405.62
93,2786.12,2920.5,2760.12,2863.38
94,2808.62,2587.12,2889.25,2416.75
95,2741.12,2563.62,2205.62,2341.75
96,2611.75,2921.88,2287.38,2377.12
97,2558.0,3130.0,3133.88,2852.0
98,2646.12,2264.0,3140.38,3049.88
99,2614.12,2774.75,2720.38,2927.38
100,3130.12,2701.25,3042.75,2407.38
101,2995.62,2676.38,2429.5,2438.25
102,2618.5,2922.12,2090.25,2442.12
103,2789.48,3287.5,3057.25,2894.5
104,3027.38,2765.12,3326.0,3237.38
