kbcached,ceph01,ceph02,ceph03,ceph04
0,29984500.0,50035880.0,29930864.0,49624572.0
1,30085404.0,50117088.0,30010868.0,49687700.0
2,30233272.0,50238440.0,30140512.0,49775756.0
3,30231200.0,50320288.0,30229904.0,49867928.0
4,30293812.0,50408764.0,30309668.0,49957596.0
5,30385672.0,50546868.0,30448792.0,50047372.0
6,30484900.0,50613716.0,30511724.0,50141284.0
7,30578832.0,50714784.0,30599412.0,50224140.0
8,30682504.0,50819732.0,30705376.0,50311168.0
9,30760548.0,50902352.0,30823892.0,50401988.0
10,30839500.0,51062920.0,30923360.0,50478836.0
11,30938380.0,50990588.0,30890624.0,50556444.0
12,31020444.0,51069960.0,30971536.0,50626704.0
13,31105372.0,51164668.0,31052956.0,50702696.0
14,31214900.0,51312368.0,31201204.0,50795724.0
15,31313740.0,51380660.0,31280792.0,50891224.0
16,31392572.0,51473588.0,31372204.0,50982576.0
17,31467412.0,51556784.0,31453820.0,51060360.0
18,31591064.0,51645744.0,31544608.0,51128152.0
19,31602040.0,51746008.0,31640904.0,51216908.0
20,31711572.0,51880776.0,31770636.0,51310624.0
21,31780440.0,51988988.0,31884728.0,51393336.0
22,31868772.0,51929460.0,31829732.0,51474868.0
23,31935896.0,52010920.0,31909232.0,51540268.0
24,32036972.0,52106924.0,32011328.0,51621552.0
25,32116260.0,52200656.0,32086904.0,51702608.0
26,32199176.0,52282424.0,32170160.0,51781440.0
27,32284200.0,52377900.0,32257076.0,51854144.0
28,32398136.0,52472660.0,32371332.0,51950816.0
29,32474512.0,52565924.0,32460496.0,52041036.0
30,32563484.0,52668564.0,32557740.0,52130236.0
31,32689552.0,52763516.0,32646840.0,52210416.0
32,32752584.0,52897396.0,32754444.0,52301640.0
33,32848532.0,53021340.0,32891232.0,52376680.0
34,32932844.0,52955904.0,32853284.0,52462684.0
35,33024392.0,53050384.0,32937688.0,52547324.0
36,33166012.0,53143008.0,33027820.0,52630524.0
37,33121188.0,53244520.0,33130812.0,52716604.0
38,33202504.0,53326044.0,33207840.0,52790460.0
39,33279140.0,53399800.0,33283200.0,52856560.0
40,33376472.0,53508292.0,33392040.0,52936732.0
41,33470544.0,53589024.0,33480848.0,53021476.0
42,33551488.0,53696780.0,33588648.0,53117772.0
43,33632436.0,53776968.0,33655348.0,53191872.0
44,33720700.0,53868892.0,33748092.0,53270176.0
45,33810800.0,54006736.0,33874708.0,53348808.0
46,33903424.0,54111928.0,33978928.0,53421900.0
47,34009408.0,54090992.0,33974864.0,53517260.0
48,34123656.0,54177408.0,34059184.0,53619044.0
49,34188520.0,54277312.0,34161240.0,53704036.0
50,34293632.0,54380576.0,34250888.0,53795500.0
51,34379592.0,54468504.0,34337384.0,53888872.0
52,34490140.0,54554520.0,34438160.0,53963520.0
53,34627616.0,54683312.0,34569152.0,54046760.0
54,34587600.0,54736784.0,34624976.0,54122080.0
55,34641484.0,54806180.0,34676256.0,54180744.0
56,34728320.0,54914352.0,34784172.0,54259908.0
57,34817628.0,54923084.0,34927080.0,54340396.0
58,34911844.0,54999656.0,34879028.0,54425924.0
59,35011312.0,55099636.0,34964664.0,54507732.0
60,35092532.0,55192240.0,35068812.0,54598836.0
61,35206212.0,55286152.0,35150192.0,54684640.0
62,35269744.0,55388160.0,35246908.0,54765664.0
63,35349688.0,55467228.0,35327188.0,54839916.0
64,35458024.0,55565484.0,35422564.0,54940232.0
65,35586652.0,55703532.0,35556196.0,55015360.0
66,35645704.0,55764424.0,35630112.0,55111260.0
67,35716664.0,55858576.0,35724368.0,55191452.0
68,35804876.0,55983684.0,35805584.0,55266188.0
69,35889772.0,56136320.0,35927980.0,55351444.0
70,36019036.0,55955184.0,36052956.0,55434236.0
71,36261816.0,56000808.0,36001176.0,55511608.0
72,36289516.0,56189880.0,36131944.0,55623860.0
73,35444216.0,55332620.0,36270696.0,55775344.0
74,35656740.0,55172752.0,35783780.0,55717964.0
75,35355696.0,55279456.0,35927108.0,55061668.0
76,34614912.0,55046504.0,35872012.0,54847588.0
77,34716164.0,54821816.0,35569816.0,54993356.0
78,34460700.0,54887932.0,35006736.0,54401284.0
79,34564128.0,55020376.0,35149124.0,54541092.0
80,34626824.0,54829392.0,34863376.0,54623116.0
81,34704232.0,54910180.0,35004276.0,54354700.0
82,34836444.0,54892568.0,35002332.0,54485260.0
83,34895216.0,54986572.0,35143044.0,54609300.0
84,34962700.0,55052240.0,34883456.0,54352344.0
85,35052112.0,55139176.0,34985124.0,54441736.0
86,35145744.0,55238224.0,35069204.0,54517784.0
87,35243440.0,55335948.0,35165972.0,54598304.0
88,35406716.0,55438660.0,35263156.0,54684888.0
89,35327936.0,55517688.0,35339788.0,54760816.0
90,35418400.0,55606832.0,35430656.0,54833040.0
91,35510456.0,55704128.0,35531928.0,54932508.0
92,35591108.0,55794408.0,35626132.0,55013116.0
93,35685264.0,55911792.0,35740920.0,55094532.0
94,35793632.0,55918228.0,35738320.0,55190168.0
95,35899900.0,56003936.0,35814220.0,55256632.0
96,35944376.0,56080364.0,35900508.0,55334728.0
97,36030540.0,56159052.0,35980156.0,55414656.0
98,36117112.0,56244020.0,36078540.0,55503804.0
99,36212368.0,56348220.0,36177208.0,55590196.0
100,36318964.0,56446844.0,36288508.0,55682108.0
101,36482036.0,56602304.0,36437508.0,55767316.0
102,36442188.0,56572024.0,36393092.0,55829380.0
103,36517556.0,56649816.0,36499752.0,55907076.0
104,36609048.0,56736840.0,36570788.0,55995956.0
105,36696372.0,56836768.0,36655624.0,56088496.0
106,36792416.0,56931016.0,36757020.0,56169224.0
107,36896556.0,57041036.0,36859544.0,56263484.0
108,36994872.0,57141000.0,36951700.0,56346156.0
109,37107876.0,57238408.0,37047516.0,56431556.0
110,37164944.0,57321136.0,37143824.0,56520856.0
111,37248524.0,57406644.0,37228820.0,56605504.0
112,37330028.0,57522112.0,37330460.0,56665644.0
113,37407580.0,57644552.0,37444376.0,56740068.0
114,37482636.0,57604864.0,37392684.0,56822192.0
115,37582200.0,57681300.0,37480968.0,56912372.0
116,37664620.0,57763692.0,37585040.0,56994160.0
117,37749020.0,57848700.0,37667928.0,57061336.0
118,37873936.0,57937416.0,37742624.0,57137876.0
119,37847112.0,58017060.0,37827004.0,57211484.0
120,37947520.0,58121992.0,37918680.0,57296312.0
121,38045860.0,58224760.0,38014756.0,57381460.0
122,38117140.0,58321468.0,38119772.0,57473572.0
123,38202776.0,58391820.0,38208028.0,57551796.0
124,38292972.0,58526660.0,38334468.0,57627592.0
125,38387896.0,58644944.0,38453564.0,57708784.0
126,38472804.0,58578400.0,38381468.0,57793092.0
127,38565300.0,58673756.0,38468416.0,57883628.0
128,38650160.0,58767504.0,38572408.0,57963284.0
129,38763560.0,58863068.0,38671620.0,58043288.0
130,38835644.0,58944432.0,38756996.0,58127272.0
131,38907484.0,59035468.0,38845368.0,58191792.0
132,38996348.0,59133740.0,38931748.0,58270112.0
133,39093848.0,59254076.0,39050204.0,58354808.0
134,39241888.0,59340568.0,39137092.0,58456436.0
135,39336216.0,59412332.0,39218164.0,58532744.0
136,39302036.0,59526756.0,39331000.0,58622520.0
137,39363748.0,59520100.0,39459316.0,58676568.0
138,39479928.0,59598008.0,39395788.0,58742408.0
139,39526024.0,59676864.0,39460592.0,58823276.0
140,39642148.0,59783964.0,39576448.0,58922932.0
141,39730564.0,59889464.0,39686040.0,59020980.0
142,39816636.0,59978332.0,39783476.0,59105496.0
143,39906628.0,60065860.0,39867544.0,59191724.0
144,39979804.0,60153692.0,39946440.0,59257636.0
145,40088936.0,60299324.0,40086788.0,59363036.0
146,40165808.0,60352288.0,40144344.0,59441884.0
147,40261524.0,60423840.0,40212216.0,59500984.0
148,40300104.0,60485632.0,40285768.0,59571120.0
149,40381952.0,60620348.0,40381316.0,59643184.0
150,40481608.0,60750780.0,40551392.0,59723936.0
