kbmemused,ceph01,ceph02,ceph03,ceph04
0,87969916.0,108047016.0,88007316.0,107915008.0
1,88560668.0,108606452.0,88586860.0,108504440.0
2,88790568.0,108826864.0,88766620.0,108755284.0
3,88847020.0,108993912.0,88886856.0,108906624.0
4,88877636.0,109004700.0,88839868.0,108838432.0
5,88886136.0,109027024.0,88889192.0,108842852.0
6,88988372.0,109109472.0,88992372.0,108957052.0
7,89253900.0,109313116.0,89299648.0,109178772.0
8,89271588.0,109289340.0,89375280.0,109245928.0
9,89198492.0,109342452.0,89187992.0,109112036.0
10,89362136.0,109502292.0,89275320.0,109143416.0
11,89507384.0,109488276.0,89348828.0,109288700.0
12,89688116.0,109643968.0,89695560.0,109557188.0
13,90080740.0,110155600.0,90196888.0,110020144.0
14,90218956.0,110325796.0,90400844.0,110155424.0
15,90101848.0,110203812.0,90263792.0,110134676.0
16,90158536.0,110339360.0,90176648.0,110157440.0
17,90389808.0,110372668.0,90269968.0,110126412.0
18,90496844.0,110519336.0,90443620.0,110324772.0
19,90581768.0,110721356.0,90684732.0,110518988.0
20,90677236.0,110817536.0,90811960.0,110625844.0
21,90732700.0,110890976.0,90740300.0,110586308.0
22,90893904.0,110925180.0,90720604.0,110682420.0
23,91004848.0,111005728.0,90777440.0,110771452.0
24,91181964.0,111156736.0,90949200.0,110953260.0
25,91274344.0,111258400.0,91056372.0,111047724.0
26,91381076.0,111361920.0,91225792.0,111179868.0
27,91644924.0,111636620.0,91591756.0,111546140.0
28,91797636.0,111846788.0,91720884.0,111672288.0
29,91918696.0,111978156.0,91762664.0,111747512.0
30,92178516.0,112116224.0,91963616.0,111941688.0
31,92201268.0,112087372.0,92000784.0,111814088.0
32,92302184.0,112276580.0,92196520.0,111995384.0
33,92447604.0,112456100.0,92411552.0,112160008.0
34,92502852.0,112441248.0,92289540.0,112278948.0
35,92712912.0,112636304.0,92524076.0,112453432.0
36,93037760.0,112786328.0,92692156.0,112555544.0
37,92943480.0,112855124.0,92788184.0,112597888.0
38,92931396.0,112879432.0,92846820.0,112680892.0
39,93179692.0,113139304.0,93106084.0,112931760.0
40,93305076.0,113320040.0,93239612.0,113217532.0
41,93433468.0,113530608.0,93379036.0,113364280.0
42,93649672.0,113674128.0,93482152.0,113477632.0
43,93688156.0,113672904.0,93497756.0,113422584.0
44,93832396.0,113863068.0,93773364.0,113611604.0
45,94111768.0,114139228.0,94272300.0,113965608.0
46,94523672.0,114505512.0,94639932.0,114474252.0
47,94610096.0,114516448.0,94667440.0,114573352.0
48,94755680.0,114722748.0,94719688.0,114627012.0
49,94633656.0,114556992.0,94491328.0,114370504.0
50,94613948.0,114540124.0,94516044.0,114423548.0
51,94691564.0,114668948.0,94721012.0,114521304.0
52,94799612.0,114707256.0,94749772.0,114559960.0
53,94994100.0,114909364.0,94808888.0,114667396.0
54,94988660.0,114937144.0,94875864.0,114695976.0
55,95024616.0,114999920.0,95015436.0,114774456.0
56,95177608.0,115193624.0,95231692.0,114997672.0
57,95360532.0,115307348.0,95614696.0,115221836.0
58,95629796.0,115635076.0,95771616.0,115526800.0
59,95823948.0,115748368.0,95828276.0,115766308.0
60,95879448.0,115775772.0,95695364.0,115716276.0
61,95933880.0,115838592.0,95750268.0,115651632.0
62,95988816.0,115962600.0,95952656.0,115822928.0
63,96331608.0,116271028.0,96416256.0,116186020.0
64,96516096.0,116489576.0,96571636.0,116338292.0
65,96733636.0,116701148.0,96776340.0,116557616.0
66,96660624.0,116711496.0,96760536.0,116544672.0
67,96736152.0,116700212.0,96571692.0,116379144.0
68,96784400.0,116808904.0,96727820.0,116521168.0
69,97009156.0,117160876.0,97085156.0,116839060.0
70,97167036.0,116616664.0,97227644.0,116871808.0
71,97464416.0,116711132.0,97203188.0,117002612.0
72,97482680.0,116868136.0,97200796.0,117046104.0
73,95550980.0,114901584.0,97433136.0,117265176.0
74,95668908.0,114307564.0,96130140.0,116805524.0
75,94650212.0,114448620.0,96328180.0,115380128.0
76,93171512.0,113839560.0,95906608.0,114787692.0
77,93271060.0,113256884.0,95248380.0,114952160.0
78,92721584.0,113403132.0,93979460.0,113605148.0
79,92874684.0,113661048.0,94155464.0,113805912.0
