rxpck/s,ceph01,ceph02,ceph03,ceph04
0,335537.0,335435.0,346645.0,333765.0
1,433192.0,425191.0,440323.0,431713.0
2,286332.0,308569.0,280326.0,278833.0
3,330833.0,328793.0,327394.0,328686.0
4,292694.0,279286.0,308125.0,290103.0
5,297291.0,302412.0,303178.0,291612.0
6,318460.0,315016.0,318952.0,314277.0
7,377943.0,378348.0,376283.0,373701.0
8,282683.0,299785.0,280582.0,277337.0
9,274685.0,277173.0,279671.0,270197.0
10,280443.0,278382.0,286156.0,275928.0
11,321076.0,330288.0,305269.0,314280.0
12,361673.0,355875.0,373240.0,358679.0
13,404386.0,412971.0,407130.0,404494.0
14,287146.0,282956.0,289894.0,282862.0
15,284199.0,291831.0,284440.0,280097.0
16,309122.0,313415.0,301339.0,303074.0
17,319945.0,316662.0,336818.0,317210.0
18,309086.0,303628.0,320797.0,307094.0
19,342160.0,347629.0,339721.0,337426.0
20,311583.0,320429.0,295920.0,303438.0
21,268281.0,265115.0,277521.0,267438.0
22,319594.0,330663.0,315354.0,312045.0
23,219503.0,224080.0,233298.0,215666.0
24,330739.0,327975.0,322880.0,321952.0
25,301546.0,301087.0,289942.0,298026.0
26,333238.0,327953.0,349901.0,330822.0
27,381954.0,384808.0,394295.0,380980.0
28,287266.0,306831.0,278516.0,278456.0
29,318051.0,296195.0,324456.0,318274.0
30,355560.0,378706.0,342460.0,347114.0
31,265485.0,260850.0,272697.0,264493.0
32,355849.0,365154.0,352836.0,350854.0
33,317314.0,312948.0,328267.0,318556.0
34,290451.0,296810.0,291761.0,285044.0
35,370251.0,373946.0,364982.0,363289.0
36,324690.0,310444.0,339615.0,323372.0
37,264409.0,274653.0,262137.0,258973.0
38,279216.0,285373.0,276990.0,278186.0
39,374649.0,365855.0,380424.0,373737.0
40,324388.0,335295.0,331544.0,319637.0
41,326180.0,326518.0,334023.0,322673.0
42,303714.0,310870.0,293032.0,299336.0
43,244485.0,240490.0,255020.0,240215.0
44,383902.0,380488.0,390204.0,381279.0
45,391299.0,392957.0,394371.0,386388.0
46,368335.0,373494.0,358984.0,365134.0
47,277504.0,293933.0,298509.0,274380.0
48,310089.0,321384.0,290986.0,303515.0
