txpck/s,ceph01,ceph02,ceph03,ceph04
0,341281.0,327763.0,338504.0,334162.0
1,438067.0,423210.0,435921.0,433589.0
2,298229.0,302852.0,272827.0,282250.0
3,331628.0,330588.0,323846.0,331183.0
4,294906.0,275242.0,305425.0,290972.0
5,310626.0,296272.0,295028.0,291890.0
6,322412.0,311416.0,317792.0,315651.0
7,388953.0,375124.0,373086.0,376303.0
8,280949.0,296318.0,275493.0,280847.0
9,284433.0,273999.0,272645.0,269977.0
10,294634.0,272183.0,278502.0,276308.0
11,326225.0,329810.0,303307.0,315227.0
12,359012.0,355402.0,371011.0,359696.0
13,417291.0,407781.0,399499.0,404752.0
14,298826.0,276486.0,282817.0,283086.0
15,293579.0,290776.0,278487.0,281968.0
16,311709.0,312298.0,300633.0,303876.0
17,323491.0,313299.0,331120.0,318411.0
18,317876.0,298857.0,314003.0,307862.0
19,351121.0,342235.0,335535.0,339533.0
20,314257.0,320893.0,293075.0,305498.0
21,269699.0,263287.0,276396.0,266913.0
22,331195.0,322464.0,310191.0,313616.0
23,228387.0,218439.0,228442.0,217843.0
24,339335.0,328301.0,319388.0,321099.0
25,298547.0,301865.0,284339.0,299786.0
26,341164.0,323150.0,345337.0,332551.0
27,392315.0,378884.0,388280.0,384425.0
28,291599.0,303005.0,274406.0,279678.0
29,324635.0,296042.0,320992.0,319836.0
30,362323.0,372607.0,337636.0,347240.0
31,270449.0,256872.0,270586.0,265256.0
32,368395.0,360444.0,344479.0,353120.0
33,323702.0,309913.0,325769.0,320674.0
34,290056.0,296844.0,287189.0,285693.0
35,383705.0,365735.0,356928.0,364507.0
36,330395.0,307198.0,335767.0,325719.0
37,273603.0,271877.0,257362.0,260666.0
38,283239.0,282228.0,277359.0,279388.0
39,377485.0,361968.0,373966.0,375293.0
40,338443.0,327906.0,323753.0,321018.0
41,329818.0,323923.0,329712.0,324848.0
42,309403.0,309648.0,289929.0,299780.0
43,248328.0,236744.0,252686.0,240464.0
44,394513.0,375226.0,383423.0,382257.0
45,405236.0,391665.0,390407.0,387437.0
46,365042.0,370477.0,354991.0,366202.0
47,288248.0,288587.0,291681.0,275930.0
48,319968.0,316261.0,285227.0,304454.0
49,266023.0,243179.0,277000.0,255881.0
50,330172.0,333319.0,303714.0,320138.0
51,340947.0,331933.0,284371.0,337158.0
52,295636.0,290739.0,335421.0,283012.0
53,306422.0,297886.0,294274.0,298626.0
54,296225.0,281007.0,283346.0,283122.0
55,231789.0,220540.0,233656.0,234788.0
56,344742.0,350907.0,345965.0,330684.0
57,403488.0,386081.0,378457.0,390848.0
58,353175.0,350353.0,343421.0,343766.0
59,315509.0,305081.0,313631.0,310236.0
60,260432.0,244933.0,178881.0,246667.0
61,294056.0,290771.0,371672.0,286026.0
62,380696.0,371172.0,362886.0,368766.0
63,401989.0,384410.0,405640.0,405629.0
64,312799.0,313898.0,289477.0,302103.0
65,362082.0,357882.0,299063.0,344281.0
66,266802.0,262522.0,262048.0,264266.0
67,251773.0,238312.0,238869.0,238592.0
68,312679.0,301433.0,359888.0,317474.0
69,394894.0,405075.0,341653.0,382121.0
70,298598.0,266307.0,251959.0,279930.0
71,334239.0,324943.0,327959.0,324365.0
72,188947.0,216332.0,230518.0,185740.0
73,197538.0,159721.0,145227.0,186137.0
74,165809.0,182113.0,202588.0,142029.0
75,264735.0,239961.0,277191.0,255882.0
76,162530.0,154600.0,103379.0,163091.0
77,269667.0,273541.0,280069.0,248941.0
78,265815.0,225814.0,217735.0,257175.0
79,374123.0,364178.0,358243.0,357788.0
80,197959.0,213211.0,244427.0,189678.0
81,404154.0,384199.0,346371.0,400961.0
82,329343.0,324646.0,332188.0,316065.0
83,249229.0,238606.0,239672.0,238199.0
84,256511.0,231577.0,217544.0,249578.0
85,330483.0,349691.0,353940.0,321812.0
86,312005.0,303727.0,295553.0,304207.0
87,379814.0,353113.0,351165.0,364530.0
88,302709.0,301247.0,305525.0,301420.0
89,273800.0,278009.0,279751.0,265870.0
90,371566.0,345808.0,339217.0,353499.0
91,311174.0,295271.0,293986.0,303597.0
92,399264.0,400124.0,393056.0,387885.0
93,313036.0,320290.0,323813.0,315981.0
94,284672.0,280297.0,288998.0,269527.0
95,289341.0,258752.0,243967.0,275197.0
96,287582.0,298596.0,301084.0,275810.0
97,379316.0,371607.0,369897.0,376328.0
98,322800.0,303902.0,296132.0,319557.0
99,346719.0,343621.0,350055.0,337663.0
100,335207.0,336869.0,338367.0,322096.0
101,290967.0,283137.0,282303.0,288389.0
102,279254.0,257430.0,244897.0,275545.0
103,394536.0,381932.0,380141.0,378725.0
104,374718.0,371662.0,376525.0,351364.0
105,340511.0,342674.0,338115.0,339043.0
106,291815.0,282985.0,284241.0,290980.0
107,276079.0,281530.0,283035.0,261552.0
108,335637.0,325115.0,318530.0,332387.0
109,326082.0,308513.0,302556.0,311237.0
110,328583.0,334741.0,334486.0,325260.0
111,325765.0,316567.0,314039.0,313899.0
112,255246.0,233181.0,235952.0,240323.0
113,299917.0,289953.0,282246.0,294015.0
114,342507.0,337223.0,336039.0,339800.0
115,330446.0,333753.0,344921.0,312044.0
116,307148.0,284081.0,272684.0,299284.0
117,285987.0,278270.0,276603.0,274402.0
118,278622.0,289664.0,298569.0,277674.0
119,289694.0,267304.0,264162.0,275506.0
120,372824.0,357243.0,352772.0,353661.0
121,361189.0,361193.0,358554.0,350062.0
122,296627.0,298860.0,299530.0,301022.0
123,287814.0,275359.0,271519.0,276795.0
124,317352.0,311831.0,317413.0,300628.0
125,317401.0,299363.0,291111.0,305771.0
126,343143.0,341389.0,338631.0,342370.0
127,350485.0,327143.0,319158.0,338320.0
128,333452.0,333240.0,341748.0,320581.0
129,326231.0,326800.0,324626.0,314633.0
130,282873.0,276831.0,275946.0,278789.0
131,324996.0,309935.0,292041.0,322048.0
132,404381.0,383118.0,382187.0,390619.0
133,381379.0,390624.0,396648.0,370855.0
134,267291.0,260960.0,265016.0,254939.0
135,324657.0,305835.0,288515.0,321873.0
136,239035.0,240757.0,249858.0,228827.0
137,246146.0,237470.0,236279.0,233486.0
138,418578.0,404508.0,401119.0,408739.0
