avgqu-sz,ceph01,ceph02,ceph03,ceph04
0,0.50625,5.205,17.1625,7.18125
1,0.61875,0.77125,13.2837,0.6
2,0.79375,1.29,3.8075,18.7175
3,2.12875,18.4213,1.08125,18.4862
4,28.635,17.325,10.6525,0.7075
5,13.2525,5.12625,11.8237,3.41125
6,0.715,10.725,13.4712,12.1337
7,0.6475,0.66125,14.6125,0.72875
8,0.595,0.6,12.255,16.985
9,5.375,11.0125,0.48625,21.5463
10,14.8312,24.8912,4.17625,0.77
11,27.1762,0.98,13.1375,0.88375
12,0.915,11.1738,16.735,7.04875
13,0.55125,3.1675,12.1125,2.41625
14,0.6275,0.605,13.0813,13.1788
15,7.06875,5.4675,1.73875,18.3938
16,6.31125,28.2575,1.05625,4.0825
17,24.6725,2.71,12.4537,0.55625
18,12.0075,6.75625,9.32875,9.17875
19,2.7275,7.9775,16.545,12.2475
20,2.245,3.38125,19.1062,13.9125
21,12.7212,1.12125,11.8225,19.3387
22,4.95625,26.9062,4.57875,21.1313
23,17.8338,21.94,13.175,1.58125
24,29.75,5.74125,4.14125,3.7675
25,1.02375,13.2925,17.3812,22.1037
26,11.3125,0.635,13.2062,10.1625
27,9.47375,0.6625,10.6262,6.3875
28,0.6525,14.9988,0.80125,16.1962
29,3.67375,19.5687,12.0312,0.765
30,24.03,1.35625,1.99875,0.49125
31,6.77,13.0787,14.5513,12.9562
32,4.5425,0.89,11.8113,11.0075
33,7.6525,0.685,12.585,1.535
34,0.4825,6.595,0.64375,21.7062
35,1.04125,20.4125,9.60375,5.3525
36,19.6037,2.92,4.49625,0.63625
37,14.9912,9.35125,10.075,12.9312
38,5.905,6.87875,12.1288,11.825
39,6.8425,0.51625,16.285,0.6375
40,0.6975,4.585,5.085,15.0113
41,0.6325,20.5787,7.27875,10.4625
42,11.645,7.1875,5.98875,0.72125
43,26.0738,6.99875,8.4975,13.5925
44,3.92625,5.0675,5.28625,9.875
45,1.1075,0.58,12.8287,0.59875
46,0.51,4.175,10.655,5.45
47,0.5525,15.385,5.35875,25.2913
48,6.5275,18.5338,9.9225,5.83875
49,25.5537,12.6025,7.0425,12.39
50,10.6475,5.7725,13.2613,15.1863
51,2.445,2.23375,18.3538,0.58625
52,0.71125,4.88625,18.57,4.21625
53,2.31125,10.98,1.1625,23.2062
54,4.6675,24.6512,14.6725,9.28
55,25.535,17.7687,4.1725,9.6375
56,10.2,5.1875,9.62375,16.7925
57,0.57375,0.705,8.1175,1.09125
58,2.41,5.2275,18.8325,0.94625
59,0.6925,5.63375,1.01375,14.8088
60,11.1088,14.5787,10.8225,15.6575
61,19.6575,17.68,1.62125,4.16625
62,7.4075,0.6125,13.3925,9.14875
63,0.62,0.66125,2.725,6.19875
64,0.59875,8.41875,15.7338,0.56
65,0.60875,4.71125,3.545,10.545
66,9.375,9.3175,10.1675,25.2737
67,19.5312,23.5463,1.85625,0.94125
68,16.3313,0.645,9.0125,3.53375
69,0.86875,0.55875,6.47,11.0762
70,0.64,20.0038,16.4363,0.58375
71,1.4975,4.0275,12.5187,7.585
72,9.885,6.76625,7.42625,26.7113
73,19.6163,51.1337,2.01,1.8275
74,12.2338,9.2975,15.5675,5.175
75,17.3175,0.36375,5.23125,14.0612
76,3.635,12.9987,18.7387,7.1775
77,3.7075,10.8937,14.4913,7.3075
78,10.3737,4.09125,8.9275,19.7975
79,13.7338,12.3163,2.37625,6.125
80,9.3025,14.0375,18.7287,2.39625
81,0.4925,0.6575,2.24875,12.0863
82,2.40375,9.78625,4.87625,1.1275
83,12.2175,6.12625,23.8875,17.5063
84,8.245,7.71375,23.6537,20.68
85,17.2575,9.69875,3.37125,0.635
86,13.495,18.9425,10.1375,3.405
87,1.325,5.55125,18.0137,8.64625
88,7.93625,14.8025,6.83625,11.5625
89,5.75,8.83,17.9325,12.1962
90,4.105,4.78,11.6637,17.21
91,18.6525,5.31125,3.74375,3.98125
92,11.3175,24.2525,0.77875,0.5425
93,7.5975,1.2825,5.7025,5.62875
94,7.61375,12.3812,7.51375,16.9488
95,4.29,7.20875,16.8212,10.8513
96,4.40625,0.485,16.9875,16.705
97,18.5162,0.9875,4.19875,7.51125
98,6.62,17.9637,0.585,0.60875
99,13.825,8.67375,6.68,1.41125
100,6.755,13.0612,7.02875,20.1525
101,0.635,9.5275,12.45,11.1488
102,6.11875,0.50875,20.7163,10.8525
103,10.5925,0.57625,7.2625,10.8037
104,7.07375,7.905,0.6675,0.71875
105,14.05,13.4013,1.59,0.6125
106,4.485,14.8388,14.1238,9.90625
107,0.765,12.8338,6.69875,18.4737
108,8.44125,0.53625,18.23,6.195
109,2.49375,0.56625,16.8625,12.1738
110,12.1413,1.26125,0.8075,6.65375
111,15.8725,19.2937,0.75125,0.8025
112,6.3025,17.7162,10.5663,9.5475
113,1.75125,12.54,7.68,20.3312
114,8.94625,2.68125,14.91,8.215
115,1.03625,0.575,17.4775,4.45375
116,17.6513,4.05875,5.31625,14.8837
117,19.8888,24.2912,2.7025,0.48875
118,9.00125,21.31,9.7375,1.54
119,5.965,8.5725,19.6462,25.4138
120,9.48625,0.75625,15.6825,10.1937
121,0.5475,2.02125,13.6013,1.2475
122,5.35125,3.28375,8.0225,11.8613
123,23.8138,17.3725,0.485,0.85375
124,14.3825,17.175,4.14875,5.21375
125,6.94375,7.145,8.92375,19.2213
126,5.04375,0.56,8.4725,8.43
127,0.5175,0.64375,17.825,0.8425
128,1.82875,4.78375,12.145,8.27875
129,22.8663,14.385,0.645,5.5975
130,20.83,15.3238,6.8025,7.8725
131,5.01375,12.795,7.38,10.4775
132,0.5075,0.70375,2.82375,14.4988
133,0.6425,0.6625,13.7925,0.6675
134,0.5875,8.40625,15.8425,4.32
135,13.53,15.4688,6.74625,12.8537
136,26.5038,7.79625,7.31625,6.95875
137,8.93875,14.0763,4.76625,2.40375
138,0.55125,0.64375,0.63375,19.39
139,0.6725,0.65,11.86,2.88625
140,0.51375,13.495,20.5075,3.835
141,6.41375,8.57,8.71,22.6613
142,30.7425,9.3425,8.8475,3.56625
