avgrq-sz,ceph01,ceph02,ceph03,ceph04
0,8.0,8.4825,12.1113,8.42375
1,8.0,8.0,9.1625,8.0
2,8.0,10.6813,8.57375,14.4525
3,8.9175,13.5,9.2525,9.385
4,14.2613,9.295,8.68875,8.0
5,9.6,11.7788,10.7025,11.3562
6,8.0,8.39875,10.55,8.28375
7,8.0,8.0,13.6613,8.0
8,8.0,8.0,8.28125,14.18
9,8.44625,16.735,8.0,8.89
10,22.0675,9.0925,11.6425,8.58375
11,8.72625,9.52625,13.4337,9.39625
12,9.02375,8.635,12.3238,8.62125
13,8.0,8.57125,10.775,8.5575
14,8.0,8.0,9.13375,12.535
15,9.69375,12.7988,8.58625,9.6225
16,10.9575,9.66375,10.05,8.42
17,12.9538,9.45,8.505,8.0
18,9.75125,10.0162,9.8725,11.1938
19,8.83875,8.385,12.21,10.8175
20,10.0213,8.8175,9.58625,10.49
21,10.4275,12.5725,10.5875,10.19
22,8.51875,11.5712,10.1562,10.1288
23,14.48,11.2637,10.7213,8.59125
24,9.29625,12.4225,10.7163,11.2613
25,8.55875,8.5125,10.5712,10.4987
26,8.99,8.0,12.7788,8.73625
27,9.775,8.0,8.35625,15.2188
28,8.0,14.1875,8.54375,8.61875
29,14.8413,9.1325,8.70625,8.03875
30,9.81125,10.2225,11.1538,8.0
31,8.64375,8.405,12.8662,12.08
32,9.98875,8.7525,12.2587,8.9125
33,8.27125,8.0,8.8625,13.84
34,8.0,18.3525,8.01625,9.21875
35,10.56,8.8925,9.18625,9.0125
36,12.61,8.955,8.42375,8.0
37,11.12,9.145,8.97,12.2688
38,12.035,8.4975,9.8525,8.44
39,8.08375,8.0,9.97,8.0
40,8.0,10.345,8.3875,10.8287
41,8.0,11.4275,9.535,8.91625
42,17.11,8.78125,8.36125,8.0
43,9.48125,10.2662,9.00875,13.3262
44,8.5,8.095,12.5925,8.37875
45,8.1725,8.0,13.35,8.0
46,8.0,11.2625,8.29125,17.1625
47,8.0,13.415,11.8637,8.6975
48,17.6913,8.66125,8.26875,11.2987
49,9.30875,9.1175,9.6125,12.3587
50,12.015,9.11625,12.395,9.01625
51,9.03125,8.90375,13.715,8.16375
52,8.0,11.1412,10.2012,12.1913
53,9.0725,16.6587,10.8375,8.88875
54,11.805,10.5237,8.31875,9.08
55,12.7325,10.8975,13.895,10.5987
56,9.0975,9.51125,8.2225,8.935
57,8.0,8.0,11.285,8.60375
58,8.91625,10.61,9.15375,9.54
59,8.09375,8.31,8.57,11.5562
60,9.91,12.3562,8.86375,10.555
61,13.4863,9.6425,13.0525,8.05875
62,9.295,8.0,8.15,9.395
63,8.0,8.0,13.1587,8.4025
64,8.0,9.96875,9.37625,8.0
65,8.0,8.4175,8.4925,13.4187
66,11.4025,15.3037,8.94625,9.41875
67,15.83,9.28125,8.57875,8.5775
68,8.55875,8.0,9.135,12.1463
69,8.96625,8.0,10.9162,8.26125
70,8.0,15.1088,10.1275,8.0
71,9.165,8.58875,9.0875,12.685
72,18.2287,15.87,9.10125,9.97625
73,17.0375,25.1688,8.51875,10.0012
74,9.74125,15.6013,27.93,19.4038
75,31.5237,8.0,8.1725,17.6462
76,19.8187,19.9725,37.7387,18.6638
77,8.37875,15.3863,13.9525,10.4488
78,19.3525,9.16125,12.9875,20.0713
79,8.98,10.4475,8.46625,10.135
80,8.82125,14.9337,11.76,10.3075
81,8.0,10.2012,8.3525,14.5125
82,8.72,8.68125,12.015,9.9275
83,10.7525,8.9475,10.8887,12.2688
84,14.8725,8.6925,11.6762,12.4575
85,10.2338,15.075,8.9925,8.0
86,9.24375,10.495,11.9962,9.7325
87,8.785,12.1962,8.775,9.20625
88,9.08125,9.62625,12.0837,9.935
89,8.46,10.0838,9.40125,13.5262
90,13.4625,8.0675,9.4275,8.97125
91,8.96625,13.6875,8.49875,8.49375
92,10.1962,8.32625,8.0,8.0
93,10.0663,8.62,10.4425,10.89
94,8.835,9.4475,10.3825,10.0925
95,8.885,9.30125,10.4725,12.6738
96,13.0525,8.0,10.2338,10.365
97,8.635,9.89875,8.5025,8.41875
98,12.47,10.34,8.0,8.0
99,8.685,9.03625,10.2438,11.4425
100,8.675,10.5288,8.3875,11.2487
101,8.0,8.70625,14.2512,10.8975
102,10.525,8.0,11.4937,13.1762
103,10.3187,8.0,8.41125,8.2625
104,11.8175,13.7963,8.0,8.0
105,10.4588,8.6975,13.2662,8.0
106,8.71875,12.79,8.245,12.6112
107,9.06375,8.5,10.8087,11.0388
108,8.7325,8.0,15.5312,9.38875
109,12.825,8.0,9.22125,9.52375
110,9.15875,12.0663,8.33625,8.6075
111,10.0813,10.56,8.87,8.13375
112,8.62125,14.6475,8.77625,13.8275
113,8.70375,8.405,13.3063,11.3812
114,8.7,8.81,9.71,9.14875
115,9.87625,8.0,9.71375,10.5137
116,12.5412,10.2462,9.04,10.2775
117,10.2325,13.3075,9.11125,8.0
118,9.5975,11.2825,11.5775,13.1962
119,11.645,8.2975,10.9837,9.83375
120,8.7725,8.0,11.8975,10.2112
121,8.0,8.9075,9.7825,10.1487
122,15.9012,8.67375,8.39,8.46375
123,12.5312,14.7775,8.0,8.3375
124,10.9725,12.5225,10.015,10.1612
125,11.7538,8.2925,9.1325,12.2088
126,8.0725,8.0,11.7925,9.08375
127,8.0,8.0,13.7475,8.0
128,13.6638,8.465,8.9175,9.34
129,10.9388,11.2287,8.0,9.71625
130,10.595,12.4412,11.4575,8.79125
131,9.32375,8.96125,8.3475,14.3075
