r_await,ceph01,ceph02,ceph03,ceph04
0,0.0,0.25,0.0,0.0
1,0.16625,0.0,0.0,0.03125
2,0.0,0.04125,0.20875,0.25
3,0.04125,0.0,0.25,0.0
4,0.0,0.0,0.0,0.46375
5,0.6075,0.8125,0.0,0.0
6,0.375,1.3,0.5,0.0
7,0.0,0.4375,0.1875,0.0
8,0.09375,0.0,0.09375,0.04125
9,0.0,0.375,0.0,0.0
10,0.875,0.0,0.5,0.0
11,0.735,0.25,0.0,0.25
12,0.25,0.0,1.0,0.0625
13,0.5,0.0,0.5,0.08375
14,0.15625,0.0,0.375,0.9375
15,1.125,0.125,0.625,0.0
16,0.5625,0.1875,0.4375,0.0
17,1.125,0.0,0.5,0.0
18,0.0,0.0,1.04125,0.72875
19,0.3625,0.0,1.0,0.0
20,0.0,0.1875,0.375,0.125
21,0.125,0.0,0.125,1.625
22,0.0,1.41625,0.75,0.6875
23,2.25,0.375,0.0,0.0
24,0.6875,0.0,0.0,0.125
25,0.0,0.4375,0.0,0.9375
26,0.875,0.25,0.0,0.125
27,0.0,0.25,0.0,0.0
28,0.275,0.125,0.08375,0.0
29,0.04125,0.85375,0.0625,0.16625
30,0.125,0.0,0.09375,0.0
31,1.23625,0.04125,0.0,0.125
32,0.125,0.0,0.0,0.0
33,0.75,0.125,0.5,0.0
34,0.0,0.0,0.0,1.3125
35,0.0,0.125,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.09375,0.0,0.0
38,0.0,1.14625,0.0,0.0
39,0.125,0.125,0.04125,0.625
40,0.0,0.0,0.1875,0.65625
41,0.0,0.0,0.375,0.0
42,0.875,0.1875,0.375,0.10375
43,0.25,1.25,0.0,0.0
44,0.375,0.0625,0.0,0.0
45,0.0625,0.125,0.0,0.0
46,0.125,0.0,0.0,0.25
47,0.25,0.0,0.0,1.125
48,0.0,0.375,1.25,0.27125
49,0.21875,0.0625,0.0875,0.125
50,0.875,0.0,0.125,0.0
51,0.0,0.16625,1.0,0.0
52,0.0,1.375,0.0,0.0
53,0.0,0.0,0.0,1.25
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.4375,0.0,0.25,0.0
57,0.0,0.0,0.0,0.0
58,0.28125,0.6,0.0,0.0
59,0.25,0.14625,0.0,0.0
60,0.0,0.0,0.14625,0.08375
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.625
63,0.0,0.25,0.0,0.0
64,0.65625,0.125,0.0,0.0
65,0.0,0.0,0.4375,0.0
66,0.0,0.875,0.125,1.1875
67,0.0,0.625,0.1875,0.125
68,0.0625,0.0625,0.0,0.0
69,0.08375,0.0,0.0625,0.5
70,0.29125,1.34375,0.0,0.0
71,0.125,0.75,0.0,0.0
72,0.0,0.4375,0.265,0.275
73,1.395,1.75,0.0,0.0
74,0.0,0.43,0.4375,0.125
75,0.1875,0.125,0.04125,1.66625
76,0.375,0.75,0.625,2.475
77,0.0,1.1875,1.85375,0.0
78,0.0,0.25,1.125,0.4375
79,0.75,0.125,0.4375,0.0
80,0.0,0.10375,0.25,0.0
81,0.0,0.125,0.0625,0.0625
82,0.25,0.10375,0.125,1.0625
83,0.0,0.0,0.0,0.25
84,0.0,0.0,2.95875,0.75
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0625,0.0
87,0.125,0.5,0.25,0.125
88,0.22375,0.0,0.0,0.375
89,0.0,0.9375,0.0,0.275
90,0.0,0.0,0.25,0.22875
91,0.0,0.0,0.0,0.09375
92,0.25,0.0,0.25,0.0
93,0.0,0.49125,0.0,0.0
94,0.0,0.0,0.125,0.0
95,0.375,0.0625,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.45875
98,0.16625,0.0,0.0,0.0
99,0.0,0.0,0.25,0.1425
100,0.21875,0.03125,0.125,1.0
101,0.0,0.0,0.0,0.0
102,0.0,0.125,0.16625,0.0
103,0.375,0.0625,0.25,1.03125
104,0.0,0.04125,0.04125,0.0
105,0.125,0.0,0.0,0.0625
106,0.375,1.0,0.75,0.0625
107,0.0,0.33375,0.0,0.125
108,0.0,0.125,0.0,0.0
109,0.0,0.25,0.125,0.125
110,0.0,0.0,0.125,0.1875
111,0.4375,0.0,0.0,0.0
112,0.0,0.0,0.0,0.125
113,0.0625,0.375,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.02125
116,0.0,0.125,0.0,0.0
117,0.0,0.75,0.0,0.0
118,0.0,0.0,0.125,0.0
119,0.0,0.375,0.1875,0.5
120,0.875,0.125,0.15625,0.0
121,0.0,0.0,0.0,0.0
122,0.3125,0.25,0.0,1.67
123,1.125,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.08375,0.04125,0.0,0.0
127,0.0,0.025,0.32125,0.0
128,0.25,0.0,0.0,0.04125
129,0.0,0.0,0.375,0.0
130,0.5625,0.71625,0.0,0.0625
131,0.0,0.5,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.25,0.16625,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.125,0.125,0.0,0.25
136,0.125,0.125,0.0,0.0
137,0.0,0.0,0.0,0.875
138,0.0,0.4375,0.0,0.08375
139,0.0,0.25,0.875,0.0
140,0.0,0.0,0.51625,0.25
141,0.0,0.0,0.0,0.0
142,0.0,0.0,0.1875,0.0
143,0.0,0.25,0.0,1.125
144,0.08375,0.0,0.0,0.25
145,0.125,0.125,0.0,0.0
146,0.0,0.0,2.625,0.0625
147,0.3125,0.125,0.375,0.1875
148,0.0,0.0,0.125,0.0
149,0.0,1.125,0.0,0.0
150,0.5,0.04125,0.0,0.6875
151,0.0,0.25,0.0,0.625
152,0.0,0.0,0.25,0.0
153,0.0,0.125,0.0,0.0
154,0.75,0.0,0.0,0.0
155,0.41625,0.0,0.0,0.28125
156,0.0,0.4375,0.0,0.0
157,0.0,0.0,0.3875,0.875
158,0.03125,0.1875,0.0625,1.125
159,0.125,0.5,0.0,0.0
160,0.0,0.0,0.125,0.125
161,0.875,0.0,0.0,0.0
162,0.25,0.19625,0.0,0.0
163,0.03125,0.65,0.0,0.6725
164,0.0625,0.0,0.0,2.125
165,0.0,0.0,0.0,0.375
166,0.0,0.0,0.0,0.08375
167,0.0,0.0,0.0,0.0
168,0.375,0.0,0.0,0.0
169,0.0,0.625,0.0,0.0
170,0.125,0.0,0.16625,0.125
171,0.0,0.0,0.0,0.0
172,0.0,0.54125,0.0,0.0
173,0.4375,0.75,0.0,0.125
174,0.375,1.9,0.0,0.125
175,0.125,0.0,0.0,0.04125
176,0.0,0.0,0.0,0.0
177,0.125,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0
179,0.0,0.0,0.375,0.0
180,0.5,1.0,0.20875,0.0
181,0.0,0.0,0.0,0.16625
182,0.0,0.0,0.0,0.375
183,0.0,0.0,0.0,1.04125
184,0.0,0.20875,0.75,0.0
185,0.25,0.0625,0.875,0.0
186,0.45875,0.9375,0.0,0.0
187,0.0,0.875,0.0,0.0
188,0.0,0.0,0.0,0.0
189,0.25,0.125,0.25,0.0
190,0.0625,0.0,0.0,0.125
191,0.0,0.0,0.5,1.75
192,0.0,0.875,0.5,0.0
193,0.0,0.125,0.025,0.125
194,0.125,0.0,0.0,0.0
195,0.0625,0.375,0.0,0.25
196,0.0,0.20875,0.0,0.0
197,0.1875,0.05375,1.04125,1.24125
198,0.375,0.0,0.375,0.0
199,0.0,0.0,0.0,0.125
200,0.0,0.125,0.0,0.03125
201,0.0,0.125,0.0,0.0
202,0.0,0.0,0.375,0.375
203,0.625,0.0,1.59375,0.0
204,0.0,0.0,0.0,0.125
205,0.0,0.0,0.0,0.0
206,0.0,1.0625,0.0,0.25
207,0.0,0.1875,0.0625,0.0
208,0.1075,0.5,0.0,0.3125
209,0.08375,1.15625,0.375,0.25
210,0.0,0.3125,0.125,0.0
