r/s,ceph01,ceph02,ceph03,ceph04
0,0.0,0.75,0.0,0.625
1,0.375,0.125,0.0,0.5
2,0.25,0.375,0.875,0.125
3,1.125,0.0,0.375,0.0
4,0.0,0.25,0.0,1.0
5,0.875,0.375,0.0,0.125
6,0.25,0.625,0.125,0.125
7,0.125,0.25,0.25,0.0
8,0.625,0.0,0.625,0.375
9,0.375,0.375,1.0,0.0
10,0.25,0.0,0.125,0.0
11,1.25,0.25,0.0,0.875
12,0.125,0.25,0.5,0.375
13,0.25,0.375,0.375,0.625
14,0.625,0.125,0.375,0.5
15,0.25,0.125,0.5,0.0
16,0.375,0.25,1.0,0.5
17,0.125,0.0,0.125,0.25
18,0.125,0.125,0.5,0.875
19,1.375,0.0,0.25,0.0
20,0.0,0.375,0.5,0.25
21,0.125,0.0,0.125,0.25
22,0.0,0.5,0.375,0.25
23,0.25,0.125,0.0,0.375
24,0.25,0.25,0.0,0.125
25,0.0,0.375,0.0,0.375
26,0.125,0.125,0.0,0.375
27,0.125,0.25,0.0,0.0
28,1.0,0.25,0.375,0.0
29,0.5,1.125,0.25,0.875
30,0.125,0.0,0.5,0.0
31,1.125,0.375,0.0,0.125
32,0.375,0.0,0.0,0.0
33,0.25,0.125,0.25,0.0
34,0.0,0.0,0.125,0.25
35,0.0,0.125,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.5,0.0,0.0
38,0.0,0.875,0.0,0.0
39,0.125,0.125,0.375,0.125
40,0.125,0.0,0.25,0.5
41,0.25,0.0,0.375,0.0
42,0.125,0.75,0.75,0.625
43,0.125,0.5,0.0,0.0
44,0.5,0.375,0.0,0.125
45,0.25,0.125,0.0,0.0
46,0.125,0.125,0.0,0.75
47,0.125,0.0,0.0,0.75
48,0.0,0.875,0.125,1.25
49,0.5,0.75,1.0,1.125
50,0.125,0.0,0.75,0.0
51,0.0,0.375,0.25,0.0
52,0.0,0.5,0.0,0.25
53,0.0,0.0,0.0,0.125
54,0.0,0.0,0.0,0.125
55,0.0,0.0,0.125,0.0
56,0.25,0.0,0.375,0.0
57,0.125,0.0,0.0,0.0
58,0.625,0.875,0.0,0.125
59,0.125,0.75,0.0,0.0
60,0.0,0.0,0.625,1.125
61,0.25,0.375,0.125,0.0
62,0.0,0.125,0.0,0.25
63,0.0,0.375,0.0,0.125
64,0.625,0.375,0.0,0.0
65,0.125,0.125,1.5,0.0
66,0.0,0.625,0.5,0.375
67,0.0,0.125,0.375,0.125
68,0.25,0.25,0.0,0.0
69,0.375,0.125,0.25,0.125
70,0.5,1.5,0.0,0.625
71,0.375,0.25,0.0,0.0
72,0.0,1.0,1.25,0.875
73,1.75,1.125,0.0,0.25
74,0.375,1.5,0.875,0.25
75,0.25,0.5,0.375,0.875
76,0.875,0.125,0.125,1.25
77,0.125,0.375,0.875,0.0
78,0.125,0.25,0.625,0.875
79,0.625,0.125,0.375,0.0
80,0.125,1.0,0.125,0.0
81,0.0,0.25,0.25,0.25
82,0.125,0.625,0.75,1.125
83,0.0,0.0,0.0,0.75
84,0.0,0.0,0.5,0.25
85,0.125,0.0,0.0,0.0
86,0.125,0.0,0.25,0.0
87,0.125,0.25,0.125,0.25
88,1.125,0.25,0.0,0.375
89,0.0,0.25,0.0,0.625
90,0.0,0.0,0.125,0.625
91,0.125,0.0,0.125,0.5
92,0.25,0.0,0.125,0.0
93,0.0,1.25,0.0,0.0
94,0.125,0.0,0.25,0.0
95,0.25,0.25,0.0,0.0
96,0.125,0.25,0.0,0.0
97,0.0,0.0,0.25,0.5
98,0.375,0.0,0.0,0.25
99,0.0,0.0,0.125,0.875
100,0.5,0.5,0.25,0.125
101,0.0,0.0,0.0,0.0
102,0.125,0.25,0.375,0.0
103,0.2475,0.375,0.125,0.625
104,0.125,0.375,0.75,0.0
105,0.125,0.0,0.125,0.25
106,0.25,0.125,0.25,0.375
107,0.0,0.5,0.0,0.5
108,0.0,0.25,0.0,0.0
109,0.0,0.5,0.125,0.125
110,0.0,0.0,0.5,0.25
111,0.875,0.0,0.25,0.125
112,0.0,0.0,0.0,0.125
113,0.375,0.125,0.0,0.0
114,0.0,0.125,0.0,0.0
115,0.0,0.125,0.0,0.875
116,0.0,0.125,0.0,0.0
117,0.0,0.12375,0.125,0.0
118,0.0,0.0,0.25,0.0
119,0.125,0.25,0.375,0.125
120,0.125,0.125,0.625,0.0
121,0.125,0.0,0.0,0.0
122,0.25,0.25,0.0,1.625
123,0.125,0.0,0.0,0.125
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.375,0.375,0.0,0.0
127,0.0,0.625,1.125,0.375
128,0.25,0.0,0.0,0.375
129,0.0,0.0,1.125,0.25
130,0.25,1.0,0.125,0.25
131,0.125,0.25,0.0,0.0
132,0.0,0.0,0.0,0.0
133,1.125,0.625,0.0,0.0
134,0.0,0.125,0.0,0.0
135,0.125,0.125,0.0,0.125
136,0.125,0.25,0.0,0.0
137,0.0,0.125,0.0,0.25
138,0.0,0.75,0.125,0.375
139,0.0,0.875,0.25,0.0
140,0.0,0.0,0.99,0.875
141,0.0,0.0,0.125,0.0
142,0.25,0.0,0.25,0.0
143,0.0,0.125,0.0,0.25
144,0.625,0.0,0.0,0.125
145,0.375,0.125,0.25,0.0
146,0.0,0.0,0.25,0.25
147,0.5,0.25,0.25,0.25
148,0.0,0.125,0.375,0.0
149,0.0,0.375,0.125,0.125
150,0.25,0.5,0.125,0.5
151,0.0,0.125,0.125,0.25
152,0.0,0.0,0.25,0.0
153,0.0,0.125,0.0,0.0
154,0.125,0.0,0.0,0.0
155,0.375,0.0,0.0,0.75
156,0.125,0.375,0.0,0.0
157,0.0,0.375,1.625,0.25
158,0.5,0.25,0.25,0.25
159,0.375,1.0,0.0,0.0
160,0.0,0.0,0.125,0.25
161,0.125,0.0,0.375,0.0
162,0.5,0.875,0.0,0.0
163,1.25,0.875,0.0,1.0
164,0.375,0.0,0.0,0.25
165,0.0,0.0,0.0,0.75
166,0.0,0.0,0.0,0.375
167,0.0,0.0,0.0,0.0
168,0.125,0.0,0.0,0.0
169,0.0,0.25,0.0,0.0
170,0.25,0.0,0.375,0.125
171,0.0,0.0,0.0,0.125
172,0.0,0.375,0.0,0.0
173,0.25,0.25,0.0,0.875
174,0.125,0.75,0.25,0.125
175,0.25,0.0,0.0,0.375
176,0.0,0.0,0.0,0.0
177,0.375,0.0,0.0,0.0
178,0.125,0.125,0.0,0.0
179,0.0,0.0,1.0,0.0
180,0.125,0.125,0.375,0.0
181,0.0,0.0,0.0,0.375
182,0.0,0.0,0.0,0.125
183,0.125,0.125,0.0,0.75
184,0.0,0.375,0.25,0.125
185,0.125,0.25,0.5,0.0
186,0.375,0.25,0.0,0.0
187,0.0,0.125,0.0,0.0
188,0.0,0.0,0.0,0.0
189,0.625,0.25,0.125,0.0
190,0.25,0.0,0.0,0.125
191,0.0,0.125,0.125,0.875
192,0.0,0.125,0.375,0.25
193,0.0,0.125,0.625,0.25
194,0.125,0.0,0.0,0.0
195,0.5,0.125,0.0,0.12375
196,0.25,0.875,0.0,0.0
197,0.5,2.0,0.375,2.125
198,0.25,0.0,0.125,0.125
199,0.0,0.0,0.0,0.125
200,0.0,0.5,0.0,0.5
201,0.0,0.625,0.0,0.0
202,0.0,0.0,0.375,0.375
203,0.125,0.0,0.75,0.0
204,0.125,0.0,0.0,0.125
205,0.0,0.25,0.0,0.0
206,0.0,0.375,0.0,0.125
207,0.0,0.25,0.25,0.0
208,1.0,0.375,0.0,0.75
209,0.375,0.625,0.125,0.375
210,0.125,0.5,0.25,0.0
211,0.5,0.25,0.125,0.0
212,0.125,0.25,0.0,0.0
213,0.0,0.5,0.125,0.0
214,0.0,0.625,0.0,0.0
215,0.0,0.0,0.5,0.0
216,0.0,0.0,0.25,0.5
217,0.125,0.125,0.75,0.0
218,0.25,0.125,0.0,0.125
219,0.625,1.5,0.0,0.625
220,0.125,0.875,0.375,0.25
221,0.25,0.0,0.125,0.0
222,0.0,0.0,0.0,0.125
223,0.0,0.0,0.125,0.0
224,0.0,0.12375,0.0,0.125
225,0.25,0.25,0.0,0.125
226,0.0,0.25,0.0,0.625
227,0.0,0.875,0.125,0.375
228,0.125,0.0,0.0,0.0
229,0.0,0.0,0.125,0.0
230,0.5,0.25,0.125,0.875
231,0.0,0.25,0.25,0.625
232,0.125,0.375,0.5,0.0
233,0.375,0.25,0.0,0.0
234,0.0,0.375,0.0,0.0
235,0.125,0.0,0.75,0.25
236,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0
238,0.0,0.25,0.625,0.125
239,0.0,0.75,0.0,0.0
240,0.125,0.5,0.0,0.25
241,0.125,0.0,0.125,0.125
242,0.0,0.125,0.75,0.0
243,0.375,0.375,0.0,0.0
244,0.125,0.125,0.0,0.0
245,0.375,0.0,0.0,0.125
246,0.0,0.0,0.125,0.125
247,0.0,0.75,0.0,0.375
248,0.0,0.25,0.375,0.0
249,0.25,0.375,0.125,0.0
250,0.0,7.875,0.0,0.0
251,0.375,18.5,0.0,0.0
252,0.0,23.125,0.625,0.25
253,0.0,15.125,0.375,0.5
254,0.25,19.875,0.0,0.0
255,11.375,22.625,0.0,0.125
256,25.5,24.375,0.125,2.375
257,23.125,18.5,0.75,27.0
258,27.5,30.75,26.0,46.625
259,36.125,49.125,18.75,65.75
260,52.375,45.125,23.375,67.375
261,65.25,47.625,43.0,68.875
262,71.125,47.375,47.375,51.875
263,63.375,43.25,45.875,81.0
264,63.125,44.125,44.375,53.5
265,56.25,36.625,28.75,53.625
266,73.5,49.375,59.125,61.0
267,61.625,40.0,63.25,56.125
268,47.25,43.125,67.75,43.75
269,41.875,43.25,58.375,50.75
270,65.25,40.375,65.5,46.625
271,47.0,39.25,57.375,59.0
272,63.75,39.75,66.25,64.0
273,62.125,34.875,61.625,58.125
274,58.5,46.25,69.25,39.75
275,61.875,48.0,57.125,50.75
276,61.125,35.375,55.375,53.375
277,65.875,31.75,61.875,66.0
278,71.125,33.75,67.625,66.5
279,49.5,38.375,57.0,49.0
280,59.125,47.625,76.625,43.5
281,53.75,43.25,65.125,43.0
282,55.75,43.125,65.75,38.375
283,67.75,39.625,56.125,65.75
284,61.75,27.375,56.375,60.375
285,52.375,25.875,52.25,53.375
286,50.75,14.0,53.625,49.375
287,53.125,20.125,59.75,53.875
288,60.375,23.375,62.25,38.375
289,48.5,22.875,58.25,58.75
290,5.0,14.75,63.5,56.25
291,8.0,17.5,57.125,39.0
292,0.75,4.125,49.875,28.875
293,0.125,7.5,38.0,23.375
294,0.375,0.25,15.0,15.625
295,0.0,0.125,24.5,12.125
296,0.0,0.0,22.125,19.4312
297,0.0,0.625,20.75,15.875
298,0.0,0.25,20.625,1.75
299,0.0,0.0,15.375,6.5
300,0.125,0.625,1.625,0.125
301,0.0,0.0,6.75,0.125
302,0.0,0.25,0.0,0.0
303,0.0,0.5,0.0,0.0
304,0.0,0.0,0.0,0.125
305,0.375,0.125,0.0,0.375
306,0.0,0.875,0.25,0.0
307,0.0,0.125,0.0,0.125
308,0.625,1.125,0.0,0.0
309,0.125,0.125,0.5,0.375
310,0.5,0.0,0.0,0.0
311,0.0,0.0,0.25,0.0
312,0.0,0.625,0.375,0.0
313,0.0,0.125,0.125,0.375
314,0.25,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0
316,0.375,0.0,0.0,0.125
317,0.0,0.0,0.0,0.0
318,0.25,0.125,0.0,0.0
319,0.0,1.25,0.0,0.125
320,0.25,0.75,0.125,0.375
321,0.0,0.125,0.25,0.0
322,0.125,0.25,0.25,0.0
323,0.125,0.0,0.125,0.0
324,0.0,0.125,0.0,0.0
325,0.375,0.75,0.0,0.25
326,0.0,0.25,0.0,0.25
327,0.0,0.125,0.5,0.0
328,0.0,0.0,0.875,0.375
329,0.0,0.0,0.0,0.0
330,0.0,0.125,0.0,0.0
331,0.125,0.25,0.0,0.0
332,1.5,0.0,0.0,0.0
333,0.5,0.25,0.0,0.0
334,0.25,1.125,0.375,0.375
335,0.375,0.375,0.0,0.0
336,0.5,0.0,0.0,0.0
337,0.0,0.25,0.0,0.875
338,0.0,0.5,0.25,0.0
339,0.0,0.0,0.0,0.25
340,0.125,0.0,0.375,0.0
341,0.0,0.125,0.0,0.0
342,0.0,0.0,0.0,0.0
343,0.0,0.125,0.875,0.0
344,0.0,0.0,0.0,0.5
345,0.125,0.0,0.0,0.125
346,0.5,0.0,0.125,0.0
347,0.125,0.375,0.0,0.0
348,0.0,0.0,0.25,0.0
349,0.0,0.0,0.0,0.25
350,0.0,0.25,0.0,0.0
351,0.25,0.75,0.0,0.125
352,0.0,0.25,0.25,0.0
353,0.0,0.125,0.0,1.125
354,0.25,0.125,0.125,0.0
355,0.25,0.0,0.0,0.25
356,0.0,0.0,0.0,0.0
357,0.125,0.0,0.125,0.25
358,0.0,0.0,0.125,0.0
359,0.0,0.25,0.375,0.375
360,0.625,0.625,0.125,0.125
361,0.0,0.25,0.0,0.125
362,0.0,0.25,0.0,0.125
363,0.125,0.0,0.375,0.0
364,0.0,0.5,0.25,0.0
365,0.0,0.625,0.375,0.5
366,0.625,0.625,0.375,0.25
367,0.0,0.375,0.25,0.0
368,0.0,0.125,0.0,0.25
369,0.25,0.0,0.0,0.25
370,0.25,0.0,0.0,0.125
371,0.5,0.375,0.0,0.25
372,0.0,0.25,0.0,0.0
373,0.0,1.0,0.0,0.25
374,0.0,0.0,0.0,0.0
375,0.125,0.0,0.0,0.0
376,0.25,0.125,0.25,0.0
377,0.0,0.75,0.625,0.0
378,0.0,0.25,0.0,0.5
379,0.375,0.375,0.0,0.875
380,0.125,0.0,0.0,0.625
381,0.625,0.0,0.0,0.0
382,0.0,0.375,0.875,0.0
383,0.75,0.125,0.25,0.5
384,0.0,0.0,0.125,0.75
385,0.0,0.0,0.0,0.0
386,0.0,0.125,0.25,0.0
387,0.125,0.25,0.0,0.0
388,0.25,0.0,0.0,0.0
389,0.0,0.375,0.0,0.0
390,0.25,0.75,0.0,0.125
391,0.375,0.0,0.5,0.0
392,0.375,0.25,0.0,1.0
393,0.625,0.125,0.125,0.0
394,0.25,0.0,0.25,0.75
395,0.0,0.5,0.625,0.0
396,0.0,0.0,0.0,0.0
397,0.0,0.25,0.625,0.25
398,0.0,0.25,0.25,0.125
399,0.0,0.125,0.0,0.125
