bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,70647465,53243450,49807040,71847803,69842399,53624536,69497027,56728170,68469500,53623146,68207085,61056564,63919817,57713576,62228842,63265453,51099068,53872733,48639149,52794703,59440759,49947310,49511991,53780669,51269279,47699511,55183937,48978228,60589366,55748508,47175518,45809503
1,87446098,73065384,70436065,87772040,86008979,68870869,86644216,71319373,82770342,68117380,82096609,75219244,79412581,71356182,76946765,77495410,65418417,68237676,63824796,67245856,73873180,64156749,65199830,68490732,66617203,62562355,71605377,63753054,74223400,69974779,62512570,59644198
2,105778838,88362707,85855259,106109252,103586402,88912125,103256518,91637428,101938775,87424035,102077522,94261172,96639583,93583442,96201504,96704739,85453424,86222933,82805572,87518010,94004575,84237118,83559222,87243995,88417192,86860857,93010226,87176780,95658255,97354354,84689582,80555278
3,137099203,123991881,119756551,140781882,135734476,122632965,132079608,125558435,130517474,117392118,129919853,123679599,124332947,122505629,128270867,125093335,116414323,113822685,112294118,118104166,123853943,118566943,117573022,119622239,119287254,117237782,121549051,119361698,128131299,120605108,114297357,112024328
4,179380517,163677007,162946592,180517108,175574043,161406991,176636929,168014996,176547459,160575651,173476193,168561778,167232619,166725938,170789240,169221195,160561591,156341916,162015107,160865853,165978575,158379552,154881904,161731495,163835318,162460194,164258642,161056847,170181597,168309680,161854956,156231382
5,214874135,204149526,200025460,213601939,209341810,196805146,212566145,203107857,210525264,196740724,209265015,201883549,204818208,205896574,206537432,201373829,196190118,191842723,193759126,198768094,201667918,194783203,191496483,198269920,194113467,193148091,199078671,196251484,202690554,197677832,194143947,193519329
6,250547857,238796571,234446900,252474873,246440401,238207481,252297927,244189744,249944209,236660250,249842624,241664567,243921203,246838943,246932879,239715491,236332215,229728136,231414400,237014271,239812022,232587382,231966951,236990606,233253791,232666879,235786822,235978844,241358702,236136570,233841123,232035388
7,287944081,277321987,275745356,291593869,285948268,276575126,290761478,282929826,288336244,278675282,291560729,280110943,283550573,288030526,289332787,278967302,276926286,266914215,272525222,278536102,278975960,272379274,271520712,277234833,270122478,272191623,274497830,277173664,280185788,273963506,274421176,271530561
8,333470046,319493601,319930898,331171191,325240844,320784015,331197497,324222808,334314148,316231897,327827598,322506802,321770241,333558678,330401734,316457658,312585417,311382328,316712882,319342476,318740986,316994354,306949857,321868178,314572157,315617769,313439938,317777278,320020345,315313804,318779028,316153668
9,371943291,364188474,361355844,375439466,368012705,361627159,376520888,370720659,374890122,363626883,371624339,363406684,364556336,373505423,371047000,358611753,361802364,350215930,355162885,362522827,362902108,358871776,353647108,362945829,354117751,360102286,358755792,364106841,366334553,358671865,360944411,358252681
10,401960391,393282369,390635465,403451521,396816556,392462756,407846914,399341345,400480370,391913196,401851211,391670584,392629160,404840666,400344711,385028403,389604711,376453236,383588914,392059776,393558442,387116973,383447330,392165054,384290674,390027459,390379300,393578920,393700321,386425810,392812711,388692534
11,437431456,432133571,430103797,440511878,434050587,431497485,444334202,437878912,438827252,427604132,438571717,427400460,428234271,440859173,435899460,420870845,425401802,411670153,420559053,427772576,429101226,424875467,418959896,428570764,421164448,427509216,427837670,431982500,432681450,426384420,431922420,423797759
12,480917280,475429784,482371553,484065431,473476637,476500568,486421297,477677930,478832811,475054736,478804654,478101221,469573229,484894160,478481989,463745939,468043234,452261937,462980201,467482445,472681374,470511868,456185229,465314861,464370036,479104351,466279075,476579805,478789934,470228559,471810613,466197642
13,512306899,507186877,505739494,515096210,507831444,505038160,520972868,512861168,513368619,503341248,517290768,505497639,506003534,522541966,515299456,495527171,501492209,483217433,496101698,506697731,498787498,498388647,490850813,501757300,494501301,504370814,500680890,509640171,506262265,500190939,506038807,501510767
14,541287405,537199719,536682850,546145499,535166025,534152846,548890418,544782565,542206877,530621209,544371912,532910065,532774590,551785062,541288487,524302088,530288955,514506655,525326342,534779195,531588505,532185844,523075572,534951939,525572910,535308342,529206050,541125176,536804143,529016923,538755939,535115623
15,579839007,578783171,578458783,586235045,576983407,577624758,589928686,587200964,583032736,573409060,583393229,575207854,574863137,593538122,580960460,563998207,570896227,556368081,568558846,576038517,573111118,572659099,563807416,576365678,564367712,576228192,573461445,582276296,576986316,574441166,578471870,575288783
16,619400042,617632547,616568609,624503359,614245865,614499582,626042497,626894498,624579343,609703459,624583510,615869688,612744172,631694926,620166429,601456828,609311112,594234935,603079761,614723139,610249331,607119594,602086960,612334015,603987977,615095769,608291188,617829680,615083214,608907046,615069701,615001061
17,662696051,666466795,668989207,671605367,662906415,660580899,673300351,674614762,662203359,653480436,661250107,657969938,652582504,674597986,663564742,643187289,652079473,631859815,644993351,654736807,659799467,665759387,643997255,651739186,650037536,662880011,654999997,666221585,662678498,653859912,667098010,662227174
18,696787066,698028997,698628817,701993551,690775137,696340900,707289073,705829493,700940588,692819495,702020196,692431058,692463345,718465355,702376992,680392251,688842898,669676529,683840539,696704253,688317405,692280856,685136719,694981286,679598281,694394476,688085465,702325182,696012917,689840897,698668146,699330338
19,729139623,733351917,733448450,738051534,722870704,728241588,738570839,740432306,729954305,726563554,738444206,722277430,719271596,752770687,738636674,712175776,717064422,694481801,710796055,721162574,716372629,719257070,709279142,720907098,711522648,729582142,723019473,736472136,728344794,721476626,737310101,733530612
20,767155900,769024961,774997903,773764381,759948522,769022855,776845786,782671187,765362547,757993373,768518254,756382347,755976835,788407510,770550429,745618445,754793643,732244373,749830235,759441523,753276399,758622030,747441109,758846797,747884216,768005159,758427226,775865693,769090772,761270173,774714475,769036329
21,797379791,801648544,803137091,804227732,790230972,799637660,809909874,812059967,803859640,798321493,807074465,796678411,796163132,827334310,807895550,782979901,796176417,769332872,788219674,800709013,792576599,797484811,786163883,799793786,780539167,798181191,789198530,808188936,799086538,793009618,805251710,803850245
22,839937078,847057474,846553659,843274775,831991703,845009698,849919908,854634499,845716142,839702582,849153498,837599884,835407767,868947934,852280405,826064242,835866026,809308552,832540878,836379519,833110285,837709150,823273307,839083976,824328628,842502115,831213883,852473102,841007402,836404992,848356411,846671149
23,884510868,891488724,892587624,890454289,875380438,888959450,897842793,902132197,892877519,888281929,894990764,883423178,883752793,916658252,899241145,870225499,879992771,855937859,879584567,885656564,882916203,889653150,875069482,887683261,867047415,886320592,876021165,897414511,887568338,880827503,895415018,893455199
24,923622227,932121355,934495772,930696490,917591603,930463133,936588872,945454195,929912710,928226959,937948677,922209177,922128645,957105781,937802805,909657867,931956693,892390344,913280451,928412312,915763226,919906962,913564026,924847562,904828013,925832123,917176591,939134430,927646485,922006566,937308466,935268153
25,949683893,964645859,961230280,957988754,940135587,959239234,964886351,968884515,955475021,953978695,958950727,949742616,946802916,986486622,961461717,932044214,951125639,918777050,942791621,956795090,946011525,952642860,941429143,955960572,936284159,959940091,946921540,971107187,960021834,951640354,968199851,966599511
