journal_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.000444,0.00057,0.000515,0.000414,0.000545,0.000584,0.000466,0.000689,0.000373,0.000413,0.000358,0.00048,0.000632,0.000925,0.000327,0.000452,0.000782,0.000934,0.000741,0.000447,0.000542,0.000509,0.000618,0.000546,0.000576,0.000511,0.000471,0.000459,0.000555,0.000586,0.000896,0.000416
1,0.000429,0.000547,0.00044,0.000536,0.000464,0.00052,0.000472,0.000437,0.00033,0.000295,0.000416,0.000384,0.000346,0.000351,0.000332,0.00035,0.000331,0.00032,0.000911,0.001133,0.000498,0.000456,0.001053,0.000944,0.000934,0.000845,0.0004,0.000847,0.000522,0.000426,0.00038,0.000424
2,0.000677,0.001474,0.000801,0.000547,0.000842,0.000814,0.000785,0.000611,0.000547,0.000841,0.000696,0.0005,0.000671,0.000806,0.000502,0.000626,0.000573,0.00049,0.00058,0.000591,0.000726,0.000545,0.000573,0.000488,0.000843,0.000747,0.001717,0.001328,0.000976,0.001641,0.002342,0.002203
3,0.002474,0.001755,0.002704,0.003015,0.002879,0.002921,0.000707,0.000718,0.000787,0.00062,0.000833,0.000791,0.000857,0.000961,0.00085,0.000681,0.000641,0.000704,0.000721,0.000815,0.000809,0.000677,0.000699,0.000634,0.000644,0.000774,0.000648,0.000737,0.000777,0.000776,0.000832,0.000779
4,0.000481,0.000441,0.000473,0.000419,0.000969,0.001033,0.003244,0.00302,0.00457,0.004109,0.003169,0.004072,0.000526,0.000492,0.005504,0.005879,0.000421,0.000435,0.000433,0.000421,0.00043,0.000449,0.000406,0.000494,0.000436,0.000523,0.000418,0.000573,0.000522,0.000534,0.000427,0.000554
5,0.000387,0.000379,0.000711,0.000459,0.000431,0.000449,0.000388,0.000407,0.000413,0.000372,0.003392,0.003357,0.004623,0.004857,0.000511,0.000458,0.004028,0.004101,0.002241,0.002218,0.000396,0.00035,0.000602,0.000516,0.000424,0.000503,0.000431,0.000415,0.000471,0.000436,0.000495,0.0005
6,0.000478,0.000628,0.000512,0.000555,0.000558,0.000643,0.00042,0.000433,0.000454,0.000445,0.000417,0.000469,0.000549,0.000548,0.000446,0.0004,0.001166,0.00074,0.00505,0.004387,0.007227,0.007174,0.005072,0.005054,0.00257,0.002569,0.000451,0.000555,0.000445,0.000438,0.000459,0.000426
7,0.000542,0.000591,0.00052,0.000564,0.000505,0.000565,0.000557,0.000648,0.000559,0.000486,0.000536,0.000519,0.00052,0.00064,0.000535,0.000518,0.000515,0.000535,0.00067,0.000511,0.000495,0.000552,0.000449,0.000508,0.003168,0.003414,0.005609,0.005864,0.005682,0.005707,0.005345,0.00539
8,0.006149,0.005642,0.006372,0.006012,0.002308,0.002343,0.000691,0.000688,0.000578,0.000647,0.000672,0.000653,0.00073,0.000671,0.000528,0.000569,0.000662,0.000575,0.000625,0.000604,0.000865,0.000615,0.000687,0.000596,0.000533,0.000647,0.000588,0.000599,0.000651,0.000636,0.001475,0.001257
9,0.000482,0.00054,0.000513,0.000483,0.008314,0.008592,0.007854,0.007945,0.004566,0.005142,0.002362,0.002254,0.000418,0.000431,0.009665,0.01093,0.000509,0.000461,0.000429,0.000439,0.000419,0.000417,0.000509,0.000381,0.000405,0.000438,0.000524,0.000469,0.000414,0.00037,0.000476,0.000512
