journal_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6095,0,6113,0,0,24314,0,0,0,0,0,18219,0,0,0,0,0,6011,0,0,42449,0,0,0,60248,0,0,12124,0,0,12106
2,0,0,0,0,0,0,0,30445,0,0,0,0,6095,21861,6095,0,0,0,24230,0,0,6095,0,0,6011,6095,0,0,0,42449,6113,0
3,115637,164061,0,0,60614,0,12190,0,0,0,0,84826,6095,6011,12190,6095,24212,0,103195,0,0,30241,6095,0,0,88570,24212,91089,0,18117,0,0
4,0,0,0,0,30307,18285,0,6011,6011,0,12106,6011,6095,0,0,6011,12106,6095,6095,18201,6011,0,12190,42581,6095,42665,0,0,12022,6011,12190,0
5,6011,6011,539767,0,0,0,12106,0,6011,0,321271,276206,0,0,0,0,0,6095,0,0,0,0,0,0,6095,0,12106,0,0,0,12106,0
6,0,0,0,0,0,6095,0,0,0,0,0,0,0,0,0,0,0,0,179743,807492,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,6011,0,36402,24380,0,0,0,0,0,0,12106,0,0,0,0,0,0,603789,679952,0,6095,0,91005,0,0
8,0,90837,36570,0,0,12106,12190,157714,6095,6095,124636,6095,6095,6095,0,30307,0,0,0,18285,12022,6011,24128,6011,0,0,0,0,6095,6095,157882,6095
9,0,0,0,0,527997,266584,24380,12106,0,0,0,24212,6011,0,6011,0,0,0,0,0,0,0,0,6095,0,0,0,18117,0,0,0,0
