journal_wr,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,22806,18040,17887,24723,24641,19432,25030,20656,24172,19008,24638,22110,23718,21160,21087,22185,18016,20032,13447,13343,22174,16867,16869,18475,19388,14437,20163,13179,21551,19874,14543,14881
1,24895,20557,20431,26837,26686,21330,27209,22489,26139,20910,26525,23909,25692,22882,23082,24004,19765,21792,15337,15254,23904,18594,18800,20352,21308,16313,22285,15098,23214,21647,16285,16653
2,27278,22447,22463,29178,28975,23868,29288,25074,28769,23622,29174,26492,27999,25876,25763,26663,22458,24275,17671,17700,26475,21256,21071,22731,24009,19234,25098,18085,25868,25153,19172,19349
3,30479,26142,25748,33035,32084,27200,32193,28596,31990,26773,32361,29892,31139,28845,29397,29746,25885,27528,20940,21073,29707,24957,24741,26400,26903,22191,27806,20996,29174,27079,21780,22173
4,33397,29130,28686,35605,34914,29916,35972,32152,35811,30565,35979,33461,34874,32048,32790,33531,29538,31152,24907,24372,33210,28418,27797,30048,30695,26028,31637,24461,32862,30987,25724,25892
5,37007,33303,32553,39152,38175,33340,38969,35001,38179,33069,39038,36254,38720,36084,35333,35759,33226,34829,28246,28226,36813,32161,31649,33609,34158,29398,35318,28083,36430,34213,29276,29695
6,40655,36840,35932,43004,41946,37471,42995,39042,42280,37493,42506,39723,41435,38838,39615,39960,35937,37454,31786,31881,40879,36205,35834,37595,38382,33415,39116,32117,40435,38344,33259,33613
7,44391,40507,40065,46870,45948,41183,46794,42877,46007,41519,46613,43410,45370,42637,43704,43917,39208,40693,34720,34759,42669,38025,38224,39872,41520,36791,42786,36133,44252,42010,37038,37507
8,48782,44438,44160,50574,49738,45268,50565,46836,50189,45156,50059,47402,49040,46659,47497,47475,42653,44997,38786,38775,46599,42417,41861,44053,44598,39796,44839,38370,46443,44629,39645,39955
9,50611,46650,46029,52581,52936,48244,54108,50657,53645,49246,53753,51014,52720,49965,51248,51329,46826,48484,42152,42458,50093,45995,45746,47519,48495,43824,48927,42502,50613,48636,42958,43433
10,53634,49577,49085,55505,54816,50168,56085,52456,55726,51378,56485,53543,55617,53052,52923,52819,49686,51328,45075,45506,53199,48930,48703,50724,51577,46898,52085,45564,53353,51543,46187,46457
11,56842,53206,52598,58897,58404,53683,59171,55819,58113,53617,58205,55237,57931,55423,55605,55818,52053,53798,48190,48541,56381,52364,52015,54098,54969,50432,55402,49038,56689,55161,49608,49618
12,60110,56537,56528,62434,61639,57158,62532,59119,61339,57625,61677,59498,60490,57981,59226,59750,54745,56805,50207,50521,58999,55041,54193,56397,58508,54209,58523,52366,60337,58574,52608,52907
13,62913,59173,58822,65145,64590,59670,65299,61924,64114,60109,64748,61992,63506,60864,62392,62440,57457,59309,52819,53655,61035,57156,56279,58479,59807,55224,60504,54184,61836,60386,55319,55842
14,65206,61476,60259,66645,67472,62752,68222,65145,67086,62886,67586,64855,66278,63886,65093,65383,60452,62313,55708,56558,64282,60459,59569,61761,62371,57697,62492,56243,64677,63133,57108,57646
15,67109,63587,63330,69660,69757,65025,71079,67900,70569,66577,70638,68296,69803,67132,67088,67353,63720,65755,59175,60032,67593,63826,62869,65095,65560,60887,66133,59749,68017,66873,60342,60719
16,70460,66703,66458,72926,72385,67548,72592,69586,73534,69245,72360,70092,73116,70281,69601,69818,67158,69041,62282,63452,70747,66824,66134,68417,69011,64213,68990,62859,71311,69937,63553,64134
17,74066,70712,70531,76746,76348,71168,76342,73338,76023,72037,75289,73087,75247,72365,72911,73367,69018,70677,64551,65488,74403,70950,69307,71429,72754,68172,72603,66460,75055,73535,67491,68028
18,77087,73553,73143,79611,78881,74223,79324,76082,79155,75359,78696,76183,78006,75260,75956,76524,71029,73011,66828,67971,75685,72068,71503,73753,75657,71160,75769,69742,76576,75346,70271,71310
