journal_wr_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,10897.0,10663.0,10975.0,10201.0,10695.0,10878.0,10656.0,10781.0,9859.0,10315.0,9971.0,10662.0,10630.0,10756.0,9988.0,10587.0,11081.0,11056.0,10877.0,10241.0,11319.0,11130.0,11004.0,10609.0,10818.0,10722.0,10473.0,10422.0,11105.0,10867.0,11940.0,10575.0
1,10397.0,10950.0,10272.0,10599.0,10391.0,10688.0,10810.0,10635.0,9856.0,9635.0,10200.0,9972.0,10105.0,10036.0,9719.0,9780.0,10068.0,9802.0,11001.0,11214.0,10586.0,10207.0,10942.0,10667.0,10923.0,11258.0,10298.0,10686.0,10922.0,10602.0,10439.0,10501.0
2,13554.0,13055.0,13973.0,12167.0,14004.0,13705.0,13538.0,13038.0,12014.0,12878.0,11833.0,11714.0,11935.0,13188.0,11946.0,12468.0,12227.0,11494.0,12214.0,12294.0,12552.0,12602.0,12549.0,11950.0,14446.0,13901.0,14270.0,14896.0,13307.0,16281.0,15325.0,15084.0
3,19385.0,18007.0,19897.0,20954.0,19128.0,19415.0,15884.0,16158.0,16312.0,15435.0,16294.0,17040.0,15547.0,18696.0,16969.0,15809.0,16370.0,15927.0,16999.0,17529.0,16231.0,15522.0,16531.0,15632.0,15908.0,15955.0,15094.0,16294.0,15431.0,16537.0,16387.0,16087.0
4,13234.0,13124.0,12981.0,12613.0,13961.0,13947.0,16230.0,16681.0,19428.0,19563.0,16216.0,16557.0,13231.0,13142.0,19036.0,19520.0,13069.0,13045.0,12848.0,13316.0,13406.0,13170.0,12866.0,13890.0,11900.0,12329.0,12812.0,13159.0,12336.0,12317.0,12254.0,13276.0
5,13241.0,13263.0,13797.0,13666.0,13320.0,13583.0,13361.0,13756.0,13016.0,12208.0,15515.0,15196.0,19505.0,20131.0,12772.0,12362.0,20050.0,19528.0,14521.0,14350.0,12702.0,12654.0,13097.0,13153.0,12507.0,13321.0,13090.0,13353.0,13072.0,12606.0,13500.0,13314.0
6,13552.0,14228.0,13532.0,13702.0,13374.0,13984.0,13714.0,13678.0,13957.0,14133.0,13758.0,14127.0,13635.0,14683.0,14044.0,13441.0,16808.0,15567.0,18829.0,19311.0,29628.0,29617.0,22418.0,23930.0,16036.0,15988.0,14290.0,13879.0,13773.0,13973.0,14545.0,13737.0
7,14042.0,14534.0,14610.0,14473.0,14033.0,14663.0,14544.0,14119.0,14882.0,14021.0,14293.0,14404.0,14161.0,15326.0,14661.0,14274.0,14073.0,14007.0,14762.0,13755.0,13701.0,13772.0,13193.0,14452.0,19459.0,19430.0,25739.0,24586.0,24682.0,21410.0,23196.0,24766.0
8,28481.0,27364.0,30015.0,29859.0,18260.0,18788.0,17314.0,16477.0,15895.0,15663.0,16016.0,15331.0,15683.0,16366.0,14671.0,14813.0,15926.0,15058.0,15410.0,15876.0,17111.0,15828.0,16274.0,16056.0,13727.0,14947.0,14983.0,15185.0,15005.0,14630.0,17136.0,16332.0
9,13450.0,13467.0,12975.0,12982.0,20499.0,21393.0,21513.0,21559.0,16647.0,17976.0,15028.0,15115.0,13125.0,13743.0,23690.0,24111.0,13164.0,12486.0,13201.0,13123.0,13364.0,13038.0,13655.0,12337.0,13260.0,13182.0,13564.0,13034.0,13549.0,12922.0,13362.0,13627.0
