avg_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.000148,8.8e-05,0.000119,0.000123,0.000112,0.000157,0.00016,0.000128,9.6e-05,6.1e-05,6.9e-05,0.000333,7.4e-05,0.000108,6.8e-05,4.8e-05,0.000101,0.000117,0.000113,7.6e-05,6.2e-05,0.000109,0.000187,8.4e-05,9.4e-05,9.6e-05,0.000111,0.000132,0.000115,0.000153,0.000286,9.3e-05
1,0.000104,8.5e-05,6.4e-05,6.9e-05,0.000102,0.000102,0.000224,8.9e-05,4.1e-05,5.7e-05,8.1e-05,6.4e-05,4.7e-05,6.5e-05,4.4e-05,6.5e-05,7.5e-05,5.7e-05,7.2e-05,6.9e-05,6.3e-05,7.7e-05,7.6e-05,5.3e-05,0.00021,0.000132,0.000131,0.000218,0.0001,0.000209,0.000155,0.00016
2,6.9e-05,0.000104,0.000112,7.8e-05,6e-05,8.5e-05,8.3e-05,7.5e-05,8e-05,6.9e-05,7.3e-05,6.9e-05,4.8e-05,7.1e-05,6.7e-05,8.5e-05,5.3e-05,6.2e-05,6.5e-05,6.5e-05,8.4e-05,8.1e-05,7.3e-05,7.1e-05,9.1e-05,0.000146,0.00012,0.000154,0.000232,0.000603,0.000176,0.000321
3,0.000122,9.3e-05,8.2e-05,8.4e-05,8.2e-05,0.000131,5.1e-05,6.5e-05,4.5e-05,5.8e-05,8.6e-05,5.9e-05,6.2e-05,6.8e-05,7.3e-05,6.2e-05,7e-05,7.2e-05,5.2e-05,7.5e-05,7.5e-05,6.5e-05,4.9e-05,5.4e-05,4e-05,3.7e-05,5.6e-05,5.3e-05,4.5e-05,3.7e-05,7.9e-05,5.2e-05
4,3e-05,4e-05,4.9e-05,4.1e-05,4.5e-05,3.6e-05,0.000122,6.2e-05,0.000102,5e-05,5e-05,8e-05,4.3e-05,4.2e-05,5e-05,0.000113,3.2e-05,4.1e-05,3.5e-05,3.4e-05,3.6e-05,5.6e-05,3.9e-05,5.2e-05,3.2e-05,3.8e-05,3.2e-05,3.9e-05,3.9e-05,0.000113,3.1e-05,3.7e-05
5,3.1e-05,3.3e-05,4e-05,5.3e-05,3.9e-05,3e-05,5e-05,3.6e-05,5.5e-05,2.7e-05,5e-05,9.5e-05,3.8e-05,4.8e-05,3.3e-05,3.7e-05,0.000213,0.000169,4.4e-05,3.1e-05,3.8e-05,3.2e-05,7.7e-05,7e-05,3.4e-05,3.7e-05,3.6e-05,3.8e-05,3.6e-05,3.2e-05,4.1e-05,3.7e-05
6,3.5e-05,3.5e-05,0.000172,4.5e-05,3.4e-05,4.9e-05,3.1e-05,4.6e-05,3.5e-05,4.1e-05,4e-05,4.4e-05,3.4e-05,3.8e-05,4.4e-05,3.5e-05,3.6e-05,3.9e-05,4.9e-05,4.1e-05,6.7e-05,0.000233,6.3e-05,7.7e-05,4.4e-05,7.3e-05,3.9e-05,3.9e-05,3.7e-05,4.2e-05,5.1e-05,4.1e-05
7,4.2e-05,4.9e-05,4.3e-05,4.6e-05,3.8e-05,5.3e-05,4.4e-05,4.4e-05,3.5e-05,3.4e-05,4.2e-05,4.6e-05,3.9e-05,4.1e-05,4.4e-05,3.7e-05,3.6e-05,3.9e-05,3.9e-05,3.8e-05,4.2e-05,3.5e-05,3.3e-05,4.8e-05,4.5e-05,5.6e-05,6.4e-05,7.5e-05,5.2e-05,5.9e-05,8.8e-05,8.1e-05
8,0.000205,6.4e-05,9.5e-05,8.1e-05,6e-05,8.1e-05,4.4e-05,5.1e-05,3.8e-05,4.7e-05,4.5e-05,4.8e-05,3.7e-05,4e-05,4.8e-05,4.7e-05,5.9e-05,4.5e-05,4.5e-05,4.4e-05,3.6e-05,4.5e-05,8.1e-05,5e-05,3.4e-05,3.3e-05,4.3e-05,3.4e-05,7.3e-05,4.6e-05,3.8e-05,0.00017
9,3.9e-05,4.6e-05,3.5e-05,3.6e-05,6.1e-05,0.000127,5.7e-05,5.8e-05,8e-05,7.7e-05,5.4e-05,4.7e-05,3.3e-05,4.9e-05,8.1e-05,8.5e-05,3.7e-05,3.7e-05,3.9e-05,4.1e-05,4.4e-05,3.8e-05,4.2e-05,3.9e-05,4e-05,4.2e-05,4.2e-05,4.3e-05,4.4e-05,3.7e-05,4.2e-05,4.3e-05
10,3.6e-05,3.5e-05,4.7e-05,3.9e-05,3.4e-05,3.8e-05,4.2e-05,3.8e-05,6.5e-05,6.8e-05,0.000118,0.000122,7.4e-05,5.6e-05,5.1e-05,4.2e-05,4.5e-05,7.5e-05,3.8e-05,4.2e-05,3.3e-05,5.4e-05,4.1e-05,3.7e-05,4e-05,5.5e-05,5.1e-05,4.2e-05,3.8e-05,4.2e-05,4e-05,0.000148
11,7.2e-05,6.4e-05,4.4e-05,5.3e-05,5.4e-05,4.8e-05,3.8e-05,4.9e-05,0.000168,4.5e-05,4.3e-05,5.1e-05,5.8e-05,7.3e-05,4e-05,5.4e-05,6.6e-05,5.9e-05,9.4e-05,9.4e-05,5.4e-05,8e-05,7.1e-05,5.9e-05,5e-05,7.7e-05,4.1e-05,5.4e-05,4.1e-05,4.4e-05,6.1e-05,4e-05
12,4e-05,3.6e-05,4.2e-05,4.4e-05,5e-05,4.1e-05,4.4e-05,5.4e-05,4.3e-05,4.8e-05,5.4e-05,4.2e-05,4.7e-05,3.3e-05,3.6e-05,4.4e-05,4.5e-05,6.4e-05,4.5e-05,4.3e-05,4.1e-05,6.3e-05,6e-05,4.4e-05,7.3e-05,7.3e-05,3.7e-05,6.2e-05,7.1e-05,5.2e-05,4.2e-05,3.6e-05
13,9.1e-05,9.1e-05,0.000113,0.000158,3.8e-05,4.1e-05,4.5e-05,5e-05,4e-05,3.8e-05,7.7e-05,3.8e-05,6e-05,4.4e-05,4.2e-05,3.9e-05,5.2e-05,4.4e-05,4.1e-05,5.3e-05,4.2e-05,6.2e-05,4.5e-05,5.8e-05,4.9e-05,4.1e-05,5e-05,6.9e-05,4.2e-05,3.3e-05,0.000127,8.3e-05
14,9.8e-05,4.6e-05,6.2e-05,7.5e-05,5.3e-05,5.6e-05,4.6e-05,8.3e-05,3.5e-05,3.7e-05,3.6e-05,4.3e-05,3.4e-05,3.2e-05,7e-05,0.000145,3.9e-05,4.3e-05,5.1e-05,5.2e-05,5.4e-05,5.3e-05,4.9e-05,4.4e-05,3.7e-05,3.9e-05,4.3e-05,4.2e-05,3.9e-05,4.3e-05,3.7e-05,4.1e-05
15,4.9e-05,4.5e-05,4.7e-05,5.4e-05,7e-05,6e-05,9.1e-05,8.6e-05,5.9e-05,4.9e-05,7.6e-05,0.000142,5.3e-05,5.4e-05,7.5e-05,5.5e-05,4.2e-05,5.3e-05,5e-05,5.1e-05,5.9e-05,4.5e-05,6.4e-05,7.8e-05,8.3e-05,4.9e-05,6.2e-05,6.3e-05,4.5e-05,4.1e-05,4e-05,6.6e-05
