heartbeat_to_peers,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
1,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
2,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
3,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
4,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
5,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
6,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
7,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
8,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
9,25,26,26,26,26,26,26,25,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,25,25,26,26,26,26,25,26,24
