loadavg,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,278,278,278,278,278,293,278,278,333,314,314,333,314,314,314,314,276,300,276,276,276,276,276,300,316,316,316,316,316,316,316,316
1,278,278,278,278,278,335,278,278,333,314,314,314,314,314,314,314,276,276,276,276,276,276,276,300,316,867,316,316,867,316,316,867
2,335,335,278,278,278,335,278,278,333,314,314,314,314,314,769,314,276,276,276,276,276,276,276,918,867,867,867,316,867,316,867,867
3,335,335,278,278,278,335,335,278,769,769,314,769,769,314,769,769,276,918,918,918,918,276,918,918,867,867,867,316,867,316,867,867
4,335,335,335,335,278,335,335,335,769,769,314,769,769,769,769,769,918,918,918,918,918,918,918,918,867,867,867,316,867,316,867,867
5,335,335,335,335,278,335,335,335,769,769,769,769,769,769,769,769,918,918,918,918,918,918,918,918,867,867,867,867,867,867,867,867
6,1093,335,335,335,1093,335,335,335,769,769,769,769,769,769,769,769,918,918,918,918,918,918,918,918,867,867,867,867,867,1327,867,867
7,1093,1093,1093,1093,1093,1093,335,1093,769,769,769,769,769,769,769,769,918,1886,918,1886,918,1886,1886,918,1327,867,1327,867,867,1327,1327,867
8,1093,1093,1093,1093,1093,1093,1093,1093,1236,1236,769,1236,769,1236,769,769,918,1886,1886,1886,918,1886,1886,918,1327,1327,1327,867,1327,1327,1327,1327
9,1093,1093,1093,1093,1093,1093,1093,1093,1236,1236,1236,1236,769,1236,1236,769,1886,1886,1886,1886,918,1886,1886,1886,1327,1327,1327,867,1327,1327,1327,1327
10,1093,1093,1093,2295,1093,1093,1093,1093,1236,1236,1236,1236,1236,1236,1236,769,1886,1886,1886,1886,918,1886,1886,1886,1327,1327,1327,1327,1327,1327,1327,1327
11,1093,1093,2295,2295,2295,1093,1093,2295,1236,1236,1236,1236,1236,1236,1236,1236,1886,1886,1886,1886,1886,1886,1886,1886,1327,1327,1327,1327,1327,1327,1327,1300
12,1093,2295,2295,2295,2295,1093,1093,2295,1236,1442,1236,1236,1236,1236,1236,1236,1886,2407,1886,1886,2407,2407,2407,1886,1300,1327,1327,1300,1327,1300,1327,1300
13,1093,2295,2295,2295,2295,2295,2295,2295,1442,1442,1236,1236,1442,1442,1236,1442,1886,2407,1886,1886,2407,2407,2407,2407,1300,1300,1327,1300,1327,1300,1300,1300
14,1093,2295,2295,2295,2295,2295,2295,2295,1442,1442,1236,1442,1442,1442,1442,1442,2407,2407,2407,1886,2407,2407,2407,2407,1300,1300,1300,1300,1300,1300,1300,1300
15,2928,2295,2295,2928,2295,2928,2295,2928,1442,1442,1442,1442,1442,1442,1442,1442,2407,2407,2407,2407,2407,2407,2407,2407,1300,1300,1300,1300,1300,1404,1300,1300
16,2928,2295,2295,2928,2928,2928,2295,2928,1442,1442,1442,1442,1442,1442,1442,1646,2407,2407,2407,2407,2407,2407,2407,2495,1300,1300,1300,1404,1404,1404,1300,1300
17,2928,2295,2928,2928,2928,2928,2295,2928,1442,1442,1442,1442,1646,1646,1442,1646,2407,2495,2407,2407,2495,2407,2407,2495,1404,1404,1300,1404,1404,1404,1300,1300
18,2928,2928,2928,2928,2928,2928,2928,2928,1442,1442,1442,1442,1646,1646,1442,1646,2407,2495,2407,2495,2495,2407,2407,2495,1404,1404,1300,1404,1404,1404,1404,1300
19,2928,2928,2928,2928,2928,2928,2928,2928,1442,1646,1442,1442,1646,1646,1442,1646,2407,2495,2407,2495,2495,2495,2495,2495,1404,1404,1300,1404,1404,1404,1404,1404
20,3494,2928,2928,3494,2928,2928,3494,2928,1646,1646,1646,1646,1646,1646,1646,1646,2495,2495,2495,2495,2495,2495,2495,2495,1404,1404,1869,1869,1404,1404,1404,1404
21,3494,2928,3494,3494,2928,3494,3494,3494,1646,1646,1646,1646,1646,1646,1646,1646,2495,2495,2495,2495,2495,2495,2495,2679,1404,1404,1869,1869,1404,1404,1404,1869
22,3494,2928,3494,3494,3494,3494,3494,3494,1979,1646,1979,1646,1646,1979,1646,1646,2495,2495,2495,2679,2679,2495,2495,2679,1869,1404,1869,1869,1404,1404,1869,1869
23,3494,3494,3494,3494,3494,3494,3494,3494,1979,1979,1979,1646,1979,1979,1979,1646,2495,2679,2679,2679,2679,2495,2495,2679,1869,1404,1869,1869,1404,1404,1869,1869
