numpg_replica,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
1,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
2,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
3,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
4,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
5,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
6,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
7,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
8,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
9,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
10,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
11,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
12,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
13,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
14,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
15,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
16,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
17,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
18,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
19,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
20,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
21,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
22,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
23,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
24,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
25,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
26,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
27,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
28,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
29,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
30,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
31,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
32,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
33,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
34,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
35,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
36,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
37,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
38,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
39,2002,2018,2051,2054,1996,2014,2022,2160,2058,2007,2068,2022,2063,2117,2082,1959,2081,1977,2036,2083,2075,2100,2054,2107,1947,2076,1983,2078,2076,2060,2006,2104
