op,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,8,2,1,0,0,0,0,0,8,6,0,0,0,0,2,2,12,8,12,9,6,2,12,8,9,5,4,2,4,4,18,14
1,995,1090,1189,872,879,873,969,783,819,895,796,803,843,812,770,859,811,849,883,859,830,704,918,856,915,841,960,860,772,762,1099,787
2,1927,1960,2058,1844,1833,2014,1838,1837,1817,1999,1889,1808,1771,2048,1772,2003,1880,1887,1910,1970,1911,1820,1957,1886,2124,2157,2158,2177,1918,2230,2457,1899
3,3610,3986,3862,3628,3590,3969,3403,3549,3394,3734,3373,3477,3264,3636,3517,3631,3531,3403,3515,3612,3431,3657,3772,3596,3983,3728,3821,3983,3685,3475,4296,3618
4,5941,6260,6200,5726,5763,6166,5797,5763,5887,6204,5745,5963,5529,6018,5771,6208,5873,5755,6293,5949,5588,5756,5799,5916,6537,6089,6283,6287,5948,6065,7139,5991
5,7913,8605,8260,7497,7579,8176,7726,7536,7711,8370,7739,7813,7541,8181,7706,8086,7780,7781,8068,7971,7479,7642,7810,7837,8275,7694,8280,8233,7676,7682,9012,7974
6,9815,10559,10162,9573,9629,10471,9863,9579,9854,10634,9936,10015,9647,10343,9921,10250,9976,9903,10114,10114,9518,9674,10028,9923,10577,9760,10411,10509,9690,9724,11379,10082
7,11822,12729,12458,11666,11815,12629,11977,11613,11901,12992,12190,12145,11698,12546,12260,12515,12200,12004,12350,12322,11584,11871,12239,11995,12754,11896,12597,12792,11743,11769,13816,12205
8,14313,15184,14881,13738,13898,15144,14189,13761,14423,15189,14172,14522,13791,15058,14450,14596,14178,14508,14780,14434,13715,14290,14169,14367,15316,14203,14747,15071,13874,14009,16481,14556
9,16384,17720,17192,16031,16208,17504,16676,16188,16603,17884,16594,16766,16055,17254,16647,16996,16838,16710,16834,16770,16014,16580,16658,16538,17613,16575,17304,17722,16387,16342,19004,16787
10,17989,19306,18810,17474,17774,19250,18381,17639,17996,19491,18201,18284,17529,18952,18240,18498,18359,18146,18419,18392,17646,18159,18312,18109,19388,18196,19159,19403,17868,17846,20935,18401
11,19857,21549,20920,19374,19772,21517,20350,19717,20052,21531,20172,20384,19403,20907,20177,20576,20316,20130,20355,20328,19587,20127,20277,20032,21537,20268,21261,21579,20005,19947,23231,20297
12,22270,23933,23841,21678,21952,24148,22591,21720,22185,24176,22352,23269,21647,23221,22405,23017,22652,22458,22715,22518,21848,22545,22381,21930,24018,23067,23398,24135,22478,22278,25581,22527
13,23970,25729,25141,23280,23755,25810,24525,23567,24068,25804,24388,24773,23583,25230,24371,24761,24495,24215,24577,24667,23200,24094,24359,23891,25785,24413,25332,26012,23950,23868,27561,24441
14,25554,27502,26860,24916,25265,27490,26084,25183,25596,27385,25857,26382,25006,26768,25745,26437,26057,26012,26160,26175,24885,25872,26129,25586,27563,26117,26925,27809,25531,25422,29503,26258
15,27604,29846,29109,27005,27535,30068,28335,27368,27841,29818,28006,28776,27275,29060,27826,28679,28282,28401,28565,28357,27043,28029,28385,27836,29772,28350,29463,30113,27630,27866,31877,28413
16,29753,31994,31203,28995,29494,32165,30283,29385,30138,31944,30236,31021,29254,31075,29884,30803,30401,30522,30490,30471,29040,29832,30481,29733,32101,30464,31468,32128,29652,29739,34100,30571
17,32073,34765,34127,31537,32126,34802,32924,31753,32071,34452,32240,33339,31385,33429,32137,33211,32735,32621,32801,32627,31634,33036,32844,31851,34733,33092,34181,34813,32149,32138,37225,33096
18,33887,36539,35733,33124,33608,36836,34774,33329,34145,36733,34424,35284,33480,35803,34215,35373,34789,34747,34974,34836,33140,34472,35098,34140,36495,34774,36087,36841,33929,34081,39106,35047
19,35635,38560,37636,34954,35341,38717,36400,35113,35706,38668,36412,36924,34897,37655,36109,37206,36317,36086,36457,36150,34697,35932,36471,35579,38292,36656,38096,38720,35709,35798,41485,36896
20,37679,40546,39847,36791,37389,41139,38481,37366,37606,40526,37978,38872,36811,39566,37790,39159,38369,38241,38579,38214,36694,38025,38564,37612,40421,38730,40093,40953,37833,37964,43691,38772
21,39325,42433,41393,38337,39051,42925,40246,38896,39700,42839,40091,41085,38895,41716,39755,41322,40593,40325,40691,40433,38793,40115,40684,39845,42354,40385,41786,42736,39347,39608,45545,40691
22,41562,44968,43826,40417,41321,45552,42467,41130,41892,45171,42399,43435,41037,43975,42098,43715,42820,42579,43093,42341,40961,42346,42710,41915,44857,42810,44143,45201,41549,41909,48099,42938
23,43992,47436,46343,42904,43713,48041,45022,43572,44381,47984,44938,46032,43708,46595,44615,46210,45270,45140,45738,44985,43527,45193,45628,44506,47420,45148,46720,47703,43960,44296,50920,45452
24,46099,49836,48681,44948,46010,50397,47117,45909,46414,50297,47158,48222,45703,48807,46745,48455,48153,47182,47575,47250,45263,46792,47777,46511,49599,47362,49122,49980,46084,46438,53485,47666
25,47513,51685,50155,46407,47247,52050,48674,47110,47811,51763,48289,49743,47010,50426,47967,49699,49190,48664,49146,48725,46836,48520,49266,48153,51433,49264,50860,51790,47829,48061,55396,49298
26,49740,53832,52723,48803,49625,54370,50964,49363,50053,54097,50594,51879,49307,52644,50197,51950,51609,50916,51327,51002,49055,50823,51402,50369,53737,51421,53232,53954,50121,50339,57979,51656
27,51534,55622,54366,50269,51190,56284,52646,51057,51816,56005,52447,53800,51138,54673,52201,53947,53269,52739,53227,52809,50813,52567,53355,52126,55512,53181,54892,55759,51556,52124,59790,53282
28,53747,58151,56824,52581,53617,58917,55140,53346,54254,58498,54910,56427,53523,57072,54642,56489,55979,55469,55861,55382,53428,55143,55957,54553,57851,55370,57291,58265,53924,54366,62342,55585
29,55815,60597,59028,54686,55778,61496,57708,55558,56488,60681,56762,58477,55383,59308,56611,58520,58024,57497,57996,57534,55387,57245,58070,56507,60098,57861,59607,60705,56414,56689,64885,58054
30,58088,62941,61324,56816,57969,63564,59575,57641,58518,63208,59199,61066,57669,61810,58989,60951,60481,59991,60510,59958,57705,59666,60467,58902,62405,59808,61663,62857,58405,58633,67365,60132
31,60188,65058,63806,58916,59837,65746,61525,59365,60141,65266,60850,62743,59844,63874,60656,63029,62400,61705,62214,61959,59290,61585,62272,60781,64490,61890,63907,65250,60966,60972,69515,62542
32,61902,67219,65387,60597,61767,67869,63343,61513,62094,67347,63111,65072,61469,65668,62639,64994,64335,63738,64240,63829,61333,63512,64332,62754,66610,63900,65959,67210,62440,62691,71950,64261
33,63956,69678,67665,62545,63832,70413,65631,63571,64495,69759,65388,67253,63790,68259,64860,67177,66671,65934,66574,65981,63412,65738,66730,64979,69044,65985,68142,69349,64380,64703,74266,66413
34,66085,71995,69954,64624,66105,72634,67720,65775,66571,72024,67541,69486,65954,70452,67030,69450,68951,68264,68956,68293,65659,67934,69072,67244,71164,68175,70391,71608,66567,66755,76812,68528
35,68113,74201,72021,66483,68048,74785,69801,67685,68594,74363,69528,71547,67789,72592,68968,71546,71100,70251,71249,70462,67793,69990,71121,69329,73138,70166,72472,73746,68414,68775,79052,70509
36,70185,76358,74033,68547,70278,77034,72027,69702,70741,76629,71690,73540,69940,74830,71039,73756,73235,72447,73021,72367,69736,71941,73041,71455,75232,72298,74539,75988,70450,70828,81266,72591
37,72330,78411,76259,70467,72180,79197,74029,71655,72658,78678,73405,75617,71731,76737,72826,75641,75167,74146,75112,74394,71528,73966,75097,73310,77469,74593,76716,78134,72390,72864,83685,74592
38,73937,80896,78064,72257,73904,81283,75883,73230,74455,80482,75373,77474,73489,78573,74571,77399,76777,75932,76736,75999,73018,75626,76818,74816,79540,76280,78637,79924,74359,74605,85618,76457
39,76001,82634,80070,73702,75557,83075,77720,75350,76215,82498,77173,79358,75441,80538,76408,79357,78886,77892,78793,78083,74993,77774,79059,76904,81534,78254,80389,82208,75982,76343,87732,78293
40,78548,85511,82967,76304,78258,86224,80594,77955,79114,85813,80169,82446,78375,83598,79410,82298,81987,80871,81885,81153,77849,80641,82009,79770,84359,81045,83399,84997,78765,79239,90907,81233
41,80793,87960,85360,78663,80559,88772,82952,79983,81536,88001,82546,84698,80540,85880,81639,84719,84393,83188,84298,83525,80179,82875,84529,82192,86766,83481,85753,87355,81123,81681,93600,83547
42,82936,90497,87761,80749,82843,91041,85258,82256,83546,90317,84737,87101,82743,88000,83878,86924,86724,85541,86680,85696,82161,85049,86795,84329,89192,85512,88287,89614,83317,83866,95987,85980
