op_process_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.009381,0.009527,0.007993,0.007748,0.008881,0.009526,0.009456,0.00858,0.007698,0.008047,0.008509,0.009396,0.009225,0.008828,0.008306,0.007731,0.009623,0.009426,0.008683,0.008249,0.00924,0.009337,0.009777,0.00785,0.008992,0.00882,0.008466,0.008215,0.008619,0.009014,0.010139,0.00783
1,0.007469,0.010752,0.008055,0.007398,0.007611,0.010459,0.008966,0.008209,0.00882,0.008192,0.009062,0.008981,0.008623,0.00887,0.008944,0.008681,0.008534,0.008138,0.009347,0.008581,0.00893,0.0091,0.009784,0.008716,0.010032,0.008512,0.007525,0.009809,0.008395,0.008645,0.008465,0.00809
2,0.006618,0.008,0.006541,0.006994,0.007339,0.007185,0.007349,0.006943,0.007309,0.007425,0.007679,0.007778,0.006599,0.007237,0.006971,0.007115,0.007467,0.008157,0.007308,0.007299,0.007562,0.006811,0.006793,0.007108,0.005818,0.005642,0.006687,0.00695,0.007004,0.007859,0.007981,0.008144
3,0.006561,0.006626,0.006176,0.006516,0.006422,0.006619,0.003964,0.003867,0.00506,0.004913,0.005326,0.005066,0.004938,0.00528,0.005199,0.005013,0.004989,0.004962,0.005218,0.005427,0.005065,0.005028,0.004866,0.004954,0.004961,0.004999,0.004748,0.005183,0.005702,0.005408,0.005886,0.005583
4,0.005542,0.004871,0.005498,0.005746,0.005895,0.005835,0.008149,0.00796,0.007456,0.006978,0.006819,0.007483,0.003329,0.003433,0.009318,0.009916,0.00533,0.005354,0.006124,0.005631,0.005479,0.005668,0.005399,0.005467,0.006588,0.006634,0.0054,0.00535,0.006863,0.007125,0.005985,0.005931
5,0.005006,0.004978,0.005155,0.005017,0.004663,0.005216,0.004792,0.004696,0.003411,0.003554,0.007946,0.007894,0.009165,0.008876,0.004814,0.004483,0.009037,0.008416,0.005709,0.005943,0.003748,0.00384,0.004785,0.004628,0.005088,0.005351,0.004509,0.004657,0.005138,0.005785,0.005394,0.005439
6,0.00535,0.006005,0.006331,0.006144,0.006572,0.00656,0.005153,0.005326,0.005868,0.00551,0.005841,0.005668,0.005812,0.006242,0.00556,0.005658,0.003868,0.002909,0.007414,0.00718,0.010313,0.010201,0.00799,0.007889,0.006948,0.006948,0.004704,0.005134,0.005008,0.004982,0.005237,0.005536
7,0.005608,0.005908,0.005315,0.005509,0.005346,0.005847,0.005468,0.005763,0.005515,0.005984,0.005977,0.005648,0.005551,0.005851,0.005858,0.005681,0.005674,0.005273,0.005626,0.006136,0.006138,0.006106,0.005834,0.005755,0.00573,0.006185,0.007854,0.007908,0.008238,0.008504,0.007367,0.007619
8,0.008395,0.007708,0.008604,0.008382,0.004735,0.004168,0.002964,0.00302,0.005094,0.00495,0.004939,0.005254,0.005159,0.004893,0.005282,0.00497,0.004824,0.004823,0.005085,0.005059,0.005229,0.004875,0.004881,0.004968,0.005612,0.005719,0.004771,0.00484,0.005082,0.005186,0.006605,0.006068
9,0.004908,0.004703,0.005255,0.004926,0.012986,0.013253,0.01196,0.011665,0.008432,0.009058,0.006722,0.006435,0.004753,0.005065,0.013017,0.015086,0.007161,0.00791,0.007483,0.007617,0.007158,0.007128,0.007154,0.007258,0.00715,0.007336,0.007481,0.007025,0.007608,0.007387,0.00729,0.00777
10,0.00541,0.005901,0.006153,0.005692,0.006046,0.006133,0.005842,0.00597,0.005721,0.005399,0.012094,0.01178,0.006837,0.007624,0.00358,0.003461,0.009084,0.008649,0.005698,0.005844,0.005194,0.005711,0.005497,0.005068,0.005661,0.005243,0.006006,0.005862,0.005444,0.005621,0.005891,0.006168
11,0.006101,0.005795,0.00546,0.005745,0.005772,0.005231,0.005598,0.005666,0.005896,0.005265,0.005342,0.005372,0.008421,0.008749,0.005003,0.005335,0.004262,0.003992,0.010595,0.011132,0.005615,0.006261,0.007583,0.00746,0.005544,0.005248,0.005642,0.005623,0.00549,0.005323,0.006023,0.00576
12,0.006214,0.006823,0.007845,0.007185,0.005841,0.006384,0.006706,0.006822,0.00658,0.00664,0.006317,0.006554,0.006632,0.006203,0.006674,0.006371,0.005978,0.006388,0.006352,0.006334,0.006973,0.00693,0.007724,0.007547,0.014287,0.016449,0.007237,0.007902,0.008181,0.007755,0.004811,0.004569
13,0.00835,0.009574,0.015944,0.015089,0.004647,0.004459,0.004653,0.004567,0.007313,0.007502,0.007088,0.007197,0.007682,0.007256,0.007471,0.007551,0.006678,0.007172,0.006873,0.007277,0.0067,0.006931,0.006504,0.006631,0.007028,0.007015,0.008793,0.008712,0.004875,0.004851,0.01234,0.011968
14,0.006187,0.006312,0.004702,0.00461,0.008304,0.007549,0.005108,0.00559,0.004576,0.00462,0.004786,0.004687,0.004552,0.004679,0.010339,0.010863,0.005304,0.005975,0.005483,0.00555,0.005871,0.005427,0.005736,0.005699,0.005267,0.006002,0.005608,0.005543,0.005545,0.00562,0.005207,0.005707
15,0.005244,0.005239,0.005285,0.004884,0.006068,0.006179,0.010849,0.011161,0.005711,0.006466,0.012666,0.012797,0.003562,0.003711,0.006474,0.005766,0.006572,0.006699,0.006826,0.00674,0.006547,0.006967,0.006545,0.006555,0.005993,0.005807,0.006472,0.005907,0.006443,0.006272,0.006497,0.006293
16,0.005608,0.00546,0.005542,0.005243,0.005426,0.005627,0.005507,0.005418,0.005469,0.005749,0.004741,0.00508,0.008994,0.009375,0.005119,0.004664,0.009495,0.009354,0.007058,0.007753,0.004588,0.004396,0.004607,0.004515,0.005577,0.005456,0.005605,0.0058,0.00549,0.005632,0.005945,0.005725
17,0.006656,0.006676,0.00659,0.007069,0.006466,0.006609,0.005892,0.005949,0.006128,0.005839,0.005675,0.005795,0.006425,0.006363,0.005905,0.006027,0.006054,0.005865,0.006348,0.005805,0.009761,0.010272,0.006766,0.006873,0.004957,0.005307,0.004611,0.00504,0.014493,0.013045,0.004978,0.004991
