op_rw,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,2,0,2,0,1,1,0,0,0,0,4,4
1,6,6,12,12,0,6,12,12,18,24,6,0,6,6,0,12,12,6,12,6,12,0,12,12,6,6,6,6,12,6,24,12
2,6,6,12,12,0,6,12,12,18,24,6,0,6,6,0,12,12,6,12,6,12,0,12,12,6,6,6,6,12,6,24,12
3,6,6,12,12,0,6,12,12,18,24,6,0,6,6,0,12,12,6,12,6,12,0,12,12,6,6,6,6,12,6,24,12
4,6,6,12,12,0,6,12,12,18,24,6,0,6,6,0,12,12,6,12,6,12,0,12,12,6,6,6,6,12,6,24,12
5,8,8,16,16,0,8,14,12,20,26,6,0,8,6,0,14,14,8,14,6,13,0,12,14,8,8,8,8,16,8,30,16
6,8,8,16,16,0,8,16,16,24,32,8,0,8,8,0,16,16,8,16,8,16,0,16,16,8,8,8,8,16,8,32,16
7,8,8,16,16,0,8,16,16,24,32,8,0,8,8,0,16,16,8,16,8,16,0,16,16,8,8,8,8,16,8,32,16
8,8,8,16,16,0,8,16,16,24,32,8,0,8,8,0,16,16,8,16,8,16,0,16,16,8,8,8,8,16,8,32,16
9,8,8,16,16,0,8,16,16,24,32,8,0,8,8,0,16,16,8,16,8,16,0,16,16,8,8,8,8,16,8,32,16
10,10,10,20,20,0,10,20,20,30,40,10,0,10,10,0,20,20,10,20,10,20,0,20,20,10,10,10,10,20,10,40,20
11,10,10,20,20,0,10,20,20,30,40,10,0,10,10,0,20,20,10,20,10,20,0,20,20,10,10,10,10,20,10,40,20
12,10,10,20,20,0,10,20,20,30,40,10,0,10,10,0,20,20,10,20,10,20,0,20,20,10,10,10,10,20,10,40,20
13,10,10,20,20,0,10,20,20,30,40,10,0,10,10,0,20,20,10,20,10,20,0,20,20,10,10,10,10,20,10,40,20
14,10,10,20,20,0,10,20,20,30,40,10,0,10,10,0,20,20,10,20,10,20,0,20,20,10,10,10,10,20,10,40,20
15,12,12,24,24,0,12,24,24,36,48,12,0,12,12,0,24,24,12,24,12,24,0,24,24,12,12,12,12,24,12,48,24
16,12,12,24,24,0,12,24,24,36,48,12,0,12,12,0,24,24,12,24,12,24,0,24,24,12,12,12,12,24,12,48,24
17,12,12,24,24,0,12,24,24,36,48,12,0,12,12,0,24,24,12,24,12,24,0,24,24,12,12,12,12,24,12,48,24
18,12,12,24,24,0,12,24,24,36,48,12,0,12,12,0,24,24,12,24,12,24,0,24,24,12,12,12,12,24,12,48,24
19,12,12,24,24,0,12,24,24,36,48,12,0,12,12,0,24,24,12,24,12,24,0,24,24,12,12,14,12,24,12,52,24
20,14,14,28,28,0,14,28,28,42,56,14,0,14,14,0,28,28,14,28,14,28,0,28,28,14,14,14,14,28,14,56,28
21,14,14,28,28,0,14,28,28,42,56,14,0,14,14,0,28,28,14,28,14,28,0,28,28,14,14,14,14,28,14,56,28
22,14,14,28,28,0,14,28,28,42,56,14,0,14,14,0,28,28,14,28,14,28,0,28,28,14,14,14,14,28,14,56,28
23,14,14,28,28,0,14,28,28,42,56,14,0,14,14,0,28,28,14,28,14,28,0,28,28,14,14,14,14,28,14,56,28
24,16,16,32,32,0,16,32,32,48,64,16,0,16,16,0,32,32,16,30,16,29,0,32,30,16,16,16,16,32,16,64,32
25,16,16,32,32,0,16,32,32,48,64,16,0,16,16,0,32,32,16,32,16,32,0,32,32,16,16,16,16,32,16,64,32
26,16,16,32,32,0,16,32,32,48,64,16,0,16,16,0,32,32,16,32,16,32,0,32,32,16,16,16,16,32,16,64,32
27,16,16,32,32,0,16,32,32,48,64,16,0,16,16,0,32,32,16,32,16,32,0,32,32,16,16,16,16,32,16,64,32
28,16,16,32,32,0,16,32,32,48,64,16,0,16,16,0,32,32,16,32,16,32,0,32,32,16,16,16,16,32,16,64,32
29,18,18,36,36,0,18,36,36,54,72,18,0,18,18,0,36,36,18,36,18,36,0,36,36,18,18,18,18,36,18,72,36
30,18,18,36,36,0,18,36,36,54,72,18,0,18,18,0,36,36,18,36,18,36,0,36,36,18,18,18,18,36,18,72,36
31,18,18,36,36,0,18,36,36,54,72,18,0,18,18,0,36,36,18,36,18,36,0,36,36,18,18,18,18,36,18,72,36
32,18,18,36,36,0,18,36,36,54,72,18,0,18,18,0,36,36,18,36,18,36,0,36,36,18,18,18,18,36,18,72,36
33,18,18,36,36,0,18,36,36,54,72,18,0,18,18,0,36,36,18,36,18,36,0,36,36,18,18,18,18,36,18,72,36
34,20,20,40,40,0,20,40,40,60,80,20,0,20,20,0,40,40,20,40,20,40,0,40,40,20,20,20,20,40,20,80,40
35,20,20,40,40,0,20,40,40,60,80,20,0,20,20,0,40,40,20,40,20,40,0,40,40,20,20,20,20,40,20,80,40
36,20,20,40,40,0,20,40,40,60,80,20,0,20,20,0,40,40,20,40,20,40,0,40,40,20,20,20,20,40,20,80,40
37,20,20,40,40,0,20,40,40,60,80,20,0,20,20,0,40,40,20,40,20,40,0,40,40,20,20,20,20,40,20,80,40
38,20,22,40,44,0,20,40,40,60,80,20,0,20,20,0,40,40,20,40,20,40,0,40,40,20,20,22,20,44,20,80,40
39,22,22,44,44,0,22,44,44,66,88,22,0,22,22,0,44,44,22,44,22,44,0,44,44,22,22,22,22,44,22,88,44
40,22,22,44,44,0,22,44,44,66,88,22,0,22,22,0,44,44,22,44,22,44,0,44,44,22,22,22,22,44,22,88,44
41,22,22,44,44,0,22,44,44,66,88,22,0,22,22,0,44,44,22,44,22,44,0,44,44,22,22,22,22,44,22,88,44
42,22,22,44,44,0,22,44,44,66,88,22,0,22,22,0,44,44,22,44,22,44,0,44,44,22,22,22,22,44,22,88,44
43,24,24,48,48,0,24,48,48,72,96,24,0,24,24,0,48,48,24,48,24,48,0,48,48,24,24,24,24,48,24,96,48
44,24,24,48,48,0,24,48,48,72,96,24,0,24,24,0,48,48,24,48,24,48,0,48,48,24,24,24,24,48,24,96,48
45,24,24,48,48,0,24,48,48,72,96,24,0,24,24,0,48,48,24,48,24,48,0,48,48,24,24,24,24,48,24,96,48
46,24,24,48,48,0,24,48,48,72,96,24,0,24,24,0,48,48,24,48,24,48,0,48,48,24,24,24,24,48,24,96,48
47,24,24,48,48,0,24,48,48,72,96,24,0,24,24,0,48,48,24,48,24,48,0,48,48,24,24,24,24,48,24,96,48
48,26,26,52,52,0,26,52,52,78,104,26,0,26,26,0,52,52,26,52,26,52,0,52,52,26,26,26,26,52,26,104,52
49,26,26,52,52,0,26,52,52,78,104,26,0,26,26,0,52,52,26,52,26,52,0,52,52,26,26,26,26,52,26,104,52
50,26,26,52,52,0,26,52,52,78,104,26,0,26,26,0,52,52,26,52,26,52,0,52,52,26,26,26,26,52,26,104,52
51,26,26,52,52,0,26,52,52,78,104,26,0,26,26,0,52,52,26,52,26,52,0,52,52,26,26,26,26,52,26,104,52
52,26,26,52,52,0,26,52,52,78,104,26,0,26,26,0,52,52,26,52,26,52,0,52,52,26,26,26,26,52,26,104,52
53,28,28,56,56,0,28,56,56,84,112,28,0,28,28,0,56,56,28,56,28,56,0,56,56,28,28,28,28,56,28,112,56
54,28,28,56,56,0,28,56,56,84,112,28,0,28,28,0,56,56,28,56,28,56,0,56,56,28,28,28,28,56,28,112,56
55,28,28,56,56,0,28,56,56,84,112,28,0,28,28,0,56,56,28,56,28,56,0,56,56,28,28,28,28,56,28,112,56
56,28,28,56,56,0,28,56,56,84,112,28,0,28,28,0,56,56,28,56,28,56,0,56,56,28,28,28,28,56,28,112,56
57,30,30,60,60,0,28,58,60,86,112,28,0,30,28,0,56,60,30,56,30,58,0,56,56,28,28,28,28,56,28,112,56
58,30,30,60,60,0,30,60,60,90,120,30,0,30,30,0,60,60,30,60,30,60,0,60,60,30,30,30,30,60,30,120,60
59,30,30,60,60,0,30,60,60,90,120,30,0,30,30,0,60,60,30,60,30,60,0,60,60,30,30,30,30,60,30,120,60
