op_rw_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.001156,0.002483,0.00186,0.00187,0,0.001023,0.001428,0.002939,0.002541,0.003354,0.004359,0,0.003424,0.001476,0,0.003448,0.001578,0.001381,0.001844,0.002166,0.001988,0,0.001976,0.004717,0.001254,0.001306,0.0034,0.002314,0.002597,0.00287,0.022237,0.004102
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000122,6.7e-05,0.000976,7.3e-05,0,7.4e-05,9.2e-05,0,6.4e-05,6.2e-05,0,0,0.000106,0,0,0.000194,7.7e-05,0.000717,8.2e-05,0,0.000144,0,0,9.2e-05,0.000127,8.2e-05,8.5e-05,5.9e-05,8.6e-05,8.1e-05,8.8e-05,0.000103
5,0,0,0,0,0,0,0.000123,0.000195,5.5e-05,7.5e-05,8.6e-05,0,0,8.6e-05,0,7.3e-05,9.5e-05,0,7e-05,8.4e-05,7.4e-05,0,0.000136,0.000271,0,0,0,0,0,0,0.000102,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9e-05,5.7e-05,8.5e-05,7.7e-05,0,0.000144,8.8e-05,7e-05,0.000943,7.2e-05,6.2e-05,0,0.000113,0.00013,0,9e-05,8.1e-05,7.6e-05,0.000349,5.5e-05,8e-05,0,0.00023,8.1e-05,7.9e-05,8.5e-05,9.4e-05,0.00036,0.000182,9.8e-05,0.000169,8.2e-05
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9.3e-05,0.000284,0.000269,0.001321,0,0.000134,0.000115,9.3e-05,0.000147,0.000178,7.8e-05,0,0.000605,0.000172,0,0.000128,0.000433,0.000179,0.000214,0.000214,0.000305,0,0.000201,0.000146,0.000348,0.000472,0.000101,7.8e-05,0.000171,0.000693,9e-05,0.000505
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000327,0,0,0,8.6e-05,0
19,8.8e-05,8.7e-05,0.000165,0.000244,0,0.00012,0.000116,7e-05,0.000138,0.000145,0.000278,0,9.4e-05,0.000514,0,0.000165,0.001205,0.000134,0.000201,8.5e-05,0.000153,0,0.000214,0.00011,7.2e-05,0.000231,0,6.9e-05,7.6e-05,0.000373,0.001184,0.000116
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.000131,8e-05,9.6e-05,8.6e-05,0,0.003611,0.00013,9.3e-05,0.000122,0.000418,7.5e-05,0,7.6e-05,0.000129,0,9.9e-05,0.00016,8e-05,0.000113,6.4e-05,0.000103,0,7.8e-05,9.6e-05,7.7e-05,6.8e-05,0.000221,8e-05,6.9e-05,0.000157,0.000133,0.000225
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6e-05,0,0.000226,0,0,0.004064,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.000141,0.000755,0.000138,0.000198,0,0.000109,7e-05,0.000234,0.000132,0.000505,0.000892,0,7e-05,7.7e-05,0,0.000286,0.0001,0.000214,0.000123,0.000189,0.000125,0,0.000187,0.000492,8.3e-05,0.000208,7.9e-05,6.3e-05,0.001163,0.001483,0.0001,0.000364
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
