op_rw_prepare_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.000504,0.000661,0.000629,0.00063,0,0.000537,0.00061,0.000564,0.000444,0.000454,0.000401,0,0.000385,0.00047,0,0.000465,0.000179,0.000418,0.000146,0.000452,0.000591,0,0.000469,0.000522,0.000451,0.0006,0.001156,0.00062,0.000558,0.000488,0.001756,0.000218
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6.2e-05,4.6e-05,4.3e-05,5.1e-05,0,4.6e-05,6e-05,0,4e-05,3.8e-05,0,0,8e-05,0,0,4e-05,4.9e-05,4e-05,4.1e-05,0,0.000121,0,0,4.6e-05,6.7e-05,4.3e-05,4.6e-05,3.1e-05,5.5e-05,5.3e-05,4.9e-05,5.1e-05
5,0,0,0,0,0,0,9.5e-05,4.5e-05,3.3e-05,5.1e-05,5.2e-05,0,0,5.7e-05,0,4.5e-05,5.4e-05,0,4.7e-05,5.6e-05,4.9e-05,0,5.5e-05,3.6e-05,0,0,0,0,0,0,0.000151,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.9e-05,3.4e-05,5.1e-05,4.5e-05,0,4e-05,4.9e-05,3.8e-05,4.1e-05,4.3e-05,4.1e-05,0,4e-05,6.4e-05,0,5.7e-05,4.6e-05,5.5e-05,4e-05,3.4e-05,4.1e-05,0,4.7e-05,4.7e-05,4.8e-05,6e-05,3.8e-05,5.4e-05,3.9e-05,5e-05,4.8e-05,4.3e-05
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4.4e-05,3.4e-05,6.3e-05,4.4e-05,0,4.7e-05,5.4e-05,5.4e-05,5.2e-05,4.8e-05,5e-05,0,4.5e-05,6.6e-05,0,4.8e-05,5.1e-05,4.8e-05,5.7e-05,4.4e-05,5.2e-05,0,5.2e-05,5.7e-05,3.6e-05,5.7e-05,4.5e-05,5.4e-05,6.2e-05,0.000327,5.2e-05,4.7e-05
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7e-05,0,0,0,5e-05,0
19,3.9e-05,6.1e-05,5.3e-05,6.3e-05,0,7.7e-05,5e-05,4.5e-05,6.5e-05,5.1e-05,5.8e-05,0,5.5e-05,5.7e-05,0,6.5e-05,4.7e-05,4.2e-05,4.7e-05,5.9e-05,5.3e-05,0,5.3e-05,6e-05,4.2e-05,5e-05,0,4.1e-05,3.7e-05,4.7e-05,5.3e-05,5.5e-05
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8.7e-05,5.3e-05,4.6e-05,6e-05,0,6.1e-05,4.6e-05,6.3e-05,4.8e-05,6.6e-05,5.3e-05,0,4.6e-05,6.2e-05,0,5.3e-05,5.3e-05,5.5e-05,4.3e-05,4.5e-05,5.4e-05,0,4.9e-05,7.2e-05,4.6e-05,4.7e-05,5.4e-05,5.2e-05,4.7e-05,6.2e-05,5e-05,5.5e-05
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7e-05,0,5.3e-05,0,0,4e-05,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3.9e-05,5.9e-05,5.8e-05,4.6e-05,0,5.3e-05,4.8e-05,5.5e-05,6.8e-05,7.3e-05,8.1e-05,0,4.2e-05,5.1e-05,0,4.9e-05,6e-05,5.4e-05,6.2e-05,5.3e-05,6e-05,0,6.1e-05,7.4e-05,4.3e-05,4.2e-05,4.6e-05,3.9e-05,3.7e-05,4.7e-05,6.2e-05,4.7e-05
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4.9e-05,5.1e-05,4.6e-05,3.9e-05,0,5.5e-05,5.2e-05,8.6e-05,5.2e-05,4.6e-05,0.0001,0,6.1e-05,4.4e-05,0,5.3e-05,5.1e-05,4.6e-05,4.7e-05,5e-05,4.4e-05,0,4.9e-05,4.4e-05,5.5e-05,4.7e-05,6e-05,3.6e-05,4.6e-05,4.8e-05,5e-05,3.9e-05
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,4.7e-05,0,6.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4e-05,0,5.2e-05,0,0,0
38,4.7e-05,0,5.7e-05,0,0,9.6e-05,5.6e-05,5.8e-05,4.6e-05,5.5e-05,5e-05,0,5.8e-05,6.1e-05,0,0.000108,6e-05,4.5e-05,4.6e-05,4.2e-05,5.3e-05,0,4.9e-05,4.3e-05,4.4e-05,4.9e-05,0,4.7e-05,0,5.3e-05,6.1e-05,5.6e-05
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5.4e-05,4.2e-05,4.5e-05,5.4e-05,0,4.8e-05,4.9e-05,4.9e-05,4.8e-05,5e-05,5e-05,0,4.9e-05,4.8e-05,0,6.5e-05,7.2e-05,4.8e-05,4.7e-05,5.6e-05,7.3e-05,0,4.7e-05,5.2e-05,5.1e-05,9.1e-05,3.9e-05,5.2e-05,5e-05,4.6e-05,6.1e-05,0.000214
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4.3e-05,4.9e-05,5.1e-05,5.4e-05,0,4.1e-05,4.7e-05,4.9e-05,5.4e-05,5.4e-05,8.4e-05,0,4.9e-05,5.4e-05,0,5.7e-05,4.6e-05,5.4e-05,5.2e-05,5.5e-05,6e-05,0,6.1e-05,4.3e-05,3.9e-05,4.9e-05,6.6e-05,6e-05,9e-05,5.2e-05,5.7e-05,4.5e-05
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,7.7e-05,4.8e-05,4.2e-05,5.6e-05,0,3.9e-05,5.9e-05,5.7e-05,5.8e-05,5.6e-05,6.7e-05,0,5.3e-05,7.4e-05,0,5.4e-05,6.9e-05,5.4e-05,7.5e-05,3.8e-05,6.2e-05,0,5.4e-05,4.4e-05,3.2e-05,3.7e-05,7.2e-05,3.9e-05,4.4e-05,7.2e-05,5e-05,4.5e-05
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4.5e-05,4.4e-05,6.4e-05,5e-05,0,0,6.4e-05,5.3e-05,6.1e-05,0,0,0,4.5e-05,0,0,0,5.2e-05,5.3e-05,0,4.6e-05,6.7e-05,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,9.4e-05,5.5e-05,0,6.6e-05,5.1e-05,5e-05,0,0,6.2e-05,0,6.1e-05,0,0,0.000109,0,7.2e-05,0,5.6e-05,5.5e-05,4.7e-05,5.3e-05,4.2e-05,6.4e-05,5e-05,5.3e-05,5.7e-05,6.5e-05
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4.9e-05,4.2e-05,4.6e-05,5.8e-05,0,4.6e-05,6.2e-05,6.4e-05,5.8e-05,5.3e-05,5e-05,0,4.9e-05,8.8e-05,0,0.000218,4.9e-05,6.1e-05,5.2e-05,5.3e-05,5.9e-05,0,5.1e-05,4.6e-05,5e-05,6.5e-05,3.6e-05,4.9e-05,5e-05,0.000199,6.1e-05,4.9e-05
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5e-05,5e-05,4.9e-05,5.3e-05,0,5.3e-05,6.3e-05,4.9e-05,5.6e-05,4.9e-05,5.1e-05,0,5.6e-05,0.000102,0,5.1e-05,5.8e-05,5e-05,7e-05,5.1e-05,6.6e-05,0,4.9e-05,5.6e-05,5.3e-05,4.3e-05,4.1e-05,4.2e-05,4.1e-05,6.7e-05,7.5e-05,5e-05
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.000111,6.1e-05,5.7e-05,5.2e-05,0,5.4e-05,8.1e-05,0.00018,5.2e-05,0.000103,5.7e-05,0,4.8e-05,5.3e-05,0,4.5e-05,4.7e-05,4.6e-05,6.8e-05,4.5e-05,0.000143,0,6.9e-05,7.1e-05,5e-05,8.3e-05,3.9e-05,6e-05,5.1e-05,5.9e-05,6.1e-05,5.8e-05
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5.6e-05,7e-05,4.4e-05,5.7e-05,0,7e-05,5.4e-05,4.6e-05,5.1e-05,6.1e-05,4.3e-05,0,4.8e-05,4.7e-05,0,5.4e-05,5.3e-05,4.9e-05,4.2e-05,6.7e-05,6.5e-05,0,4e-05,6.9e-05,5.3e-05,6.2e-05,4.2e-05,5.1e-05,4.3e-05,4.6e-05,5e-05,4.4e-05
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4.3e-05,5.5e-05,6.6e-05,6.4e-05,0,5.1e-05,6e-05,6.3e-05,5.8e-05,6.1e-05,7.8e-05,0,5.7e-05,6.7e-05,0,5.7e-05,5.1e-05,4.5e-05,5.6e-05,7e-05,6.2e-05,0,6.8e-05,5.7e-05,4.8e-05,3.9e-05,6.2e-05,4.1e-05,5.9e-05,4.9e-05,5.6e-05,5.9e-05
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4.9e-05,4.5e-05,9.2e-05,5.5e-05,0,6.1e-05,4.5e-05,6.8e-05,6.5e-05,5.9e-05,6.2e-05,0,4.5e-05,6.3e-05,0,4.6e-05,0.000195,4.9e-05,6.3e-05,0.000113,0.00028,0,8.8e-05,5.3e-05,5.2e-05,0.000249,7.4e-05,5.2e-05,4.3e-05,4.6e-05,5.1e-05,5.2e-05
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6.4e-05,4e-05,4.4e-05,4.4e-05,0,5.9e-05,6e-05,5.3e-05,5.4e-05,4.4e-05,3.8e-05,0,6.3e-05,4.9e-05,0,6.2e-05,5.2e-05,4.3e-05,5e-05,5.1e-05,6.5e-05,0,5.3e-05,6.7e-05,5.3e-05,6e-05,4.5e-05,6.4e-05,4.9e-05,4.9e-05,5.7e-05,5.1e-05
