op_rw_wait_pa_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.035386,0.043841,0.048153,0.043857,0.03317,0.025566,0.042838,0.033266,0.032234,0.024677,0.021417,0.019183,0.049783,0.041615,0.01028,0.03773,0.103528,0.074816,0.012829,0.017154,0.019228,0.043327,0.035171,0.015411,0.060798,0.035343,0.038065,0.035297,0.050192,0.079583,0.086231,0.021065
1,0.201911,0.263299,0.27496,0.261444,0.264358,0.390989,0.355464,0.408949,0.075442,0.009936,0.142037,0.034621,0.091502,0.187486,0.01643,0.014033,0.254541,0.138557,0.035779,0.050496,0.051349,0.080599,0.078317,0.057345,0.248161,0.34283,0.060661,0.280441,0.305722,0.121071,0.13835,0.02983
2,0.059026,0.098421,0.409269,0.445926,0.468198,0.614387,0.150582,0.256015,0.03674,0.037444,0.150959,0.074495,0.024682,0.035816,0.10859,0.034206,0.323039,0.143801,0.029297,0.050574,0.029495,0.085933,0.047591,0.041626,0.714857,0.723259,0.491071,1.021507,0.717356,0.522777,0.531283,0.393939
3,0.626474,0.685,0.87976,0.848184,0.706734,0.790831,0.401176,0.550731,0.390416,0.360982,0.462113,0.470549,0.303478,0.359233,0.416855,0.316831,0.654385,0.423133,0.36183,0.370391,0.299925,0.463489,0.323081,0.351674,0.860542,0.871632,0.701629,1.098461,1.084528,0.914809,0.823872,0.774893
4,0.948268,1.052154,1.111231,1.058368,1.124053,1.193889,0.933869,1.144159,0.747355,0.661706,0.791807,0.781684,0.60442,0.749791,0.969227,0.878002,0.914755,0.652638,0.740073,0.741643,0.612199,0.760023,0.632567,0.717843,1.149748,1.209216,0.886202,1.19034,1.560434,1.431769,1.267275,1.246344
5,0.975906,1.184858,1.468303,1.416145,1.198281,1.347509,1.101468,1.389499,1.067569,0.940969,1.530164,1.468402,0.879714,1.012002,1.642036,1.411406,1.332781,0.907836,0.805899,0.842768,0.634074,0.807003,0.779019,0.901251,1.608246,1.748834,0.834187,1.229542,2.048458,1.944722,1.766561,1.791546
6,0.832173,1.077859,1.499882,1.460525,1.362705,1.536695,0.942991,1.335395,0.908174,0.856765,1.591263,1.506341,1.377009,1.59592,1.651746,1.346232,1.792199,1.278798,1.156451,1.212502,0.707117,0.88372,1.418472,1.439642,1.478905,1.67428,0.703268,1.110504,2.249536,2.113882,1.866475,1.908583
7,0.813444,1.09848,1.783841,1.749469,1.48383,1.815905,0.748007,1.232188,0.716258,0.70496,1.464701,1.379635,1.533486,1.875053,1.754157,1.257504,1.828089,1.127097,1.094071,1.104597,1.274801,1.446372,1.75136,1.875841,1.919425,2.234044,0.994025,1.49015,2.412358,2.250902,1.955886,1.995906
8,1.307664,1.694188,2.189818,2.033134,1.362957,1.711169,0.677254,1.180709,0.652727,0.675012,1.566012,1.472799,1.656588,1.977991,1.82159,1.34556,1.742416,1.025505,1.188142,1.226179,1.452372,1.634286,1.791348,1.89483,2.08014,2.476708,1.098389,1.606828,3.000008,2.832124,2.380913,2.402168
9,1.205966,1.6088,2.174105,2.072101,1.838475,2.216927,0.927535,1.460643,0.628944,0.601087,1.570001,1.467349,1.55742,2.000817,2.310839,1.691909,1.803478,1.095482,1.270844,1.241459,1.343969,1.552332,1.849181,2.008175,2.046542,2.485844,1.042332,1.529422,2.860005,2.699459,2.609704,2.638543
10,0.768066,1.407801,2.24908,2.086858,2.087172,2.467778,1.423689,2.036319,0.82754,0.740736,2.002389,1.973612,1.404299,1.868473,2.503368,2.011263,1.901328,1.05047,1.196921,1.061058,1.33496,1.528479,1.809051,2.005114,1.896667,2.320028,0.84295,1.513981,2.70294,2.493277,2.575388,2.60093
11,0.59277,1.193357,2.060653,1.867498,1.793267,2.338105,1.099404,1.855386,0.864704,0.778969,1.763172,1.659243,1.786352,2.578772,2.289688,1.564114,2.288956,1.191413,1.31574,1.270698,1.254189,1.400311,1.536777,1.8591,1.542698,2.172991,0.559708,1.199907,2.770761,2.485971,2.567578,2.602651
12,0.532552,1.099123,1.896273,1.690138,1.507987,2.050991,0.957366,1.693665,0.747497,0.68555,1.591011,1.446764,1.767509,2.475883,2.104851,1.40416,2.147445,1.007475,1.40271,1.409112,1.499463,1.680538,1.902255,2.173187,1.994145,2.663315,0.524128,1.161992,2.946974,2.566349,2.43297,2.421392
13,0.112643,0.912032,1.944461,1.57712,1.209835,1.818326,0.565872,1.401773,0.33373,0.295093,1.418781,1.26937,1.547636,2.248727,1.892788,1.233461,1.953245,0.817222,1.149875,1.164465,1.202018,1.517855,1.704049,1.988502,2.110281,2.809167,0.525388,1.424388,2.955908,2.837804,2.773276,2.74324
14,0.481687,1.023061,2.174555,1.887574,0.979456,1.84744,0.191929,1.121792,0.145597,0.128447,1.144234,0.947034,1.309046,2.273157,1.909938,0.986823,1.995462,0.462904,0.77569,0.806967,0.889743,1.264093,1.537026,1.905956,1.974129,2.764808,0.316673,1.196218,2.868621,2.762743,2.900931,2.896632
15,0.358802,0.971621,1.768455,1.42503,1.03973,1.864722,0.32688,1.387203,0.085606,0.053264,1.228064,0.916146,0.964632,1.881053,1.904043,1.257955,1.628422,0.257931,0.646753,0.581932,0.721845,0.995853,1.274264,1.562617,1.509895,2.409257,0.088669,1.01312,2.658307,2.346476,2.587154,2.661697
16,0.1256,0.763806,1.663309,1.251206,0.671939,1.743644,0.209996,1.426379,0.190048,0.179282,1.303752,1.145195,0.918536,1.881877,1.726323,0.877706,1.746354,0.290969,0.62189,0.360504,0.423306,0.742125,1.000487,1.387635,1.299364,2.268869,0.0759,0.723217,2.315703,2.061852,2.392757,2.472737
17,0.112425,0.720404,1.46116,1.095431,0.62724,1.642793,0.241379,1.347355,0.206691,0.231841,1.172778,0.995573,1.203804,2.171931,1.581562,0.770589,1.717932,0.391569,0.772269,0.601154,0.741614,1.095378,1.135248,1.427712,1.187845,2.181407,0.147454,0.659466,2.329753,1.935983,2.326262,2.414428
