op_rw_wait_pc_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.008073,0.013402,0.007558,0.005069,0.009115,0.011913,0.010389,0.008152,0.00403,0.004095,0.003925,0.00618,0.0048,0.005338,0.003808,0.003955,0.005637,0.006122,0.004564,0.004363,0.005656,0.006316,0.00849,0.004668,0.00704,0.005972,0.004701,0.005028,0.007402,0.007252,0.02192,0.004819
1,0.005913,0.03702,0.00677,0.00542,0.005519,0.023821,0.012805,0.006815,0.002855,0.002757,0.003682,0.003418,0.003092,0.003177,0.002768,0.002692,0.003078,0.002987,0.004127,0.004148,0.004037,0.004058,0.004519,0.004177,0.012817,0.009843,0.004398,0.013925,0.007331,0.011856,0.008281,0.005995
2,0.002656,0.004367,0.003349,0.00289,0.003737,0.003747,0.003307,0.003012,0.003075,0.002928,0.003989,0.003054,0.002674,0.002666,0.00267,0.002966,0.003421,0.003125,0.002747,0.002709,0.002753,0.002484,0.002322,0.002273,0.006374,0.005408,0.00603,0.009353,0.013228,0.011681,0.009574,0.01392
3,0.006024,0.006757,0.005495,0.005681,0.00564,0.00572,0.002282,0.002434,0.002441,0.002128,0.002759,0.002476,0.002411,0.00308,0.002611,0.002184,0.002308,0.002219,0.002776,0.003063,0.002404,0.002238,0.002214,0.002128,0.002492,0.002642,0.002192,0.002539,0.003549,0.003228,0.004281,0.003376
4,0.001656,0.001548,0.0021,0.002352,0.00311,0.003291,0.005495,0.005342,0.006537,0.006107,0.005574,0.006493,0.001569,0.001634,0.008915,0.00951,0.001427,0.001443,0.001817,0.001796,0.001598,0.001714,0.00141,0.001629,0.002715,0.00298,0.001436,0.001624,0.002929,0.003249,0.002152,0.002652
5,0.001251,0.001316,0.00193,0.001747,0.001493,0.001599,0.001249,0.00134,0.001394,0.001349,0.007316,0.007381,0.009288,0.008501,0.002937,0.002585,0.008595,0.00815,0.003986,0.003998,0.001264,0.001177,0.002772,0.002588,0.001728,0.001925,0.001319,0.001335,0.002359,0.002198,0.002249,0.002249
6,0.001664,0.00177,0.002167,0.002179,0.002804,0.003012,0.001306,0.001292,0.001528,0.001517,0.001301,0.001464,0.001978,0.001935,0.00134,0.001235,0.003184,0.001947,0.00666,0.006607,0.010992,0.011158,0.00789,0.007884,0.003822,0.003801,0.001299,0.001427,0.001268,0.001336,0.001475,0.001463
7,0.001614,0.001715,0.001527,0.001575,0.00145,0.001596,0.001444,0.001407,0.001493,0.001324,0.001487,0.00154,0.001466,0.001861,0.001562,0.001577,0.001349,0.001344,0.001999,0.001672,0.001753,0.001846,0.001451,0.001654,0.005546,0.005998,0.007793,0.007751,0.008182,0.008245,0.007488,0.007899
8,0.008165,0.007415,0.008536,0.008006,0.003412,0.003142,0.001597,0.001666,0.001617,0.00153,0.001927,0.001787,0.001838,0.001885,0.001596,0.001721,0.001795,0.001598,0.001838,0.001878,0.002297,0.001654,0.002084,0.001652,0.002071,0.002454,0.001582,0.001562,0.002148,0.002457,0.004086,0.003539
9,0.001067,0.001158,0.001553,0.001261,0.010139,0.010665,0.009856,0.009922,0.005287,0.005997,0.003156,0.00317,0.001074,0.001078,0.011721,0.013703,0.001442,0.001421,0.001199,0.001228,0.001147,0.001161,0.001326,0.001224,0.001066,0.001164,0.001302,0.001323,0.001109,0.001022,0.00151,0.001563
10,0.001354,0.001323,0.001859,0.001802,0.001461,0.001662,0.001859,0.001896,0.004728,0.004644,0.011556,0.011503,0.005546,0.006477,0.002035,0.001531,0.00627,0.005959,0.001949,0.002579,0.001833,0.001826,0.001264,0.001334,0.001438,0.001264,0.001488,0.001504,0.001441,0.001354,0.001471,0.001557
11,0.002341,0.001947,0.002016,0.001643,0.001371,0.001612,0.001531,0.001539,0.002179,0.001459,0.001371,0.001558,0.005406,0.005873,0.001525,0.001163,0.002968,0.002536,0.010151,0.010463,0.004642,0.004971,0.006531,0.00655,0.001848,0.002027,0.001519,0.00222,0.001953,0.001905,0.002088,0.001828
12,0.001614,0.001685,0.001211,0.001908,0.001261,0.001259,0.002034,0.00172,0.001639,0.001175,0.001715,0.001316,0.001803,0.00192,0.001675,0.001657,0.001665,0.001888,0.001847,0.001661,0.002543,0.002508,0.004293,0.004351,0.013991,0.016563,0.006408,0.007169,0.00758,0.00691,0.003812,0.003512
13,0.005606,0.006381,0.014058,0.013106,0.001316,0.00116,0.001025,0.00114,0.001024,0.001183,0.001122,0.001096,0.001164,0.001061,0.000987,0.00106,0.001292,0.001251,0.00105,0.000919,0.001136,0.001105,0.00113,0.001178,0.00363,0.003828,0.005925,0.006114,0.001511,0.001444,0.009433,0.009631
14,0.005538,0.005396,0.002363,0.002389,0.006505,0.006215,0.003271,0.003818,0.001721,0.001664,0.001795,0.001718,0.001572,0.001891,0.008522,0.008893,0.001556,0.001546,0.001764,0.001417,0.001678,0.001341,0.001617,0.001599,0.001625,0.001718,0.001493,0.001445,0.001537,0.001527,0.001419,0.001552
15,0.00156,0.001868,0.00135,0.00152,0.003142,0.003197,0.008491,0.009121,0.003763,0.004357,0.01154,0.011777,0.001482,0.001537,0.00503,0.003788,0.001225,0.001277,0.001165,0.001193,0.001754,0.001511,0.001417,0.001194,0.001702,0.001373,0.001358,0.001423,0.001304,0.001193,0.001327,0.001426
16,0.001241,0.001601,0.001794,0.001431,0.001744,0.001642,0.001841,0.001488,0.002885,0.003366,0.00188,0.002634,0.006895,0.00733,0.00188,0.001426,0.007939,0.007784,0.00517,0.005813,0.0026,0.002119,0.002129,0.002034,0.001657,0.001623,0.001807,0.001996,0.001633,0.001416,0.001815,0.001348
17,0.001326,0.001303,0.001356,0.001095,0.001322,0.00173,0.001379,0.001301,0.001565,0.001336,0.00132,0.001175,0.002683,0.002589,0.001673,0.001488,0.004873,0.004724,0.004839,0.004158,0.008509,0.00917,0.004981,0.005419,0.00101,0.001358,0.001147,0.001359,0.011779,0.010211,0.001302,0.001241
18,0.00115,0.001433,0.003965,0.005001,0.001279,0.001401,0.00134,0.001454,0.001018,0.001156,0.001122,0.001336,0.001021,0.001106,0.001173,0.001119,0.001098,0.001069,0.001164,0.001165,0.007165,0.007499,0.002819,0.002616,0.006997,0.007455,0.007861,0.008994,0.007053,0.006869,0.006492,0.00586
19,0.005926,0.005681,0.010341,0.009898,0.001428,0.001507,0.001525,0.001747,0.001196,0.001103,0.001201,0.001396,0.001295,0.001405,0.005123,0.004215,0.001371,0.001316,0.001055,0.001249,0.001184,0.00135,0.001193,0.001248,0.003407,0.003207,0.004372,0.004722,0.001815,0.001955,0.003995,0.004452
20,0.003871,0.004207,0.001376,0.001271,0.010049,0.011057,0.004763,0.005057,0.001295,0.001233,0.005688,0.004727,0.001497,0.001406,0.007764,0.007942,0.001368,0.001145,0.001276,0.00136,0.001153,0.001278,0.00122,0.001518,0.001011,0.000992,0.000906,0.001083,0.0011,0.001097,0.001009,0.001044
21,0.00155,0.001877,0.00144,0.001973,0.004456,0.005976,0.004717,0.004232,0.005269,0.005326,0.011238,0.010469,0.001317,0.002374,0.002149,0.002267,0.00174,0.001856,0.001754,0.001201,0.0019,0.002242,0.002261,0.001307,0.001457,0.001526,0.001457,0.001741,0.001322,0.001953,0.001795,0.001868
22,0.001934,0.001193,0.001066,0.00146,0.001239,0.001386,0.001543,0.001724,0.001812,0.002019,0.00185,0.002009,0.005967,0.007142,0.002264,0.001592,0.006457,0.006827,0.007947,0.006877,0.001875,0.002961,0.002707,0.001933,0.001568,0.00185,0.001605,0.001506,0.002808,0.002765,0.001682,0.001698
23,0.00161,0.001345,0.001359,0.001626,0.001239,0.00165,0.001273,0.001258,0.001902,0.001418,0.001366,0.001743,0.002793,0.003648,0.001392,0.001289,0.003519,0.002903,0.003618,0.002771,0.005409,0.004942,0.006783,0.009864,0.002492,0.002443,0.001887,0.001286,0.008092,0.007862,0.002615,0.001396
24,0.001006,0.00103,0.02125,0.018462,0.00093,0.001142,0.001005,0.000994,0.001194,0.000943,0.000867,0.00109,0.000993,0.001044,0.001026,0.000933,0.00103,0.001348,0.00145,0.001109,0.004817,0.004831,0.003893,0.005232,0.008073,0.00977,0.005387,0.005147,0.001492,0.001116,0.005767,0.005434
25,0.007579,0.008328,0.00275,0.002756,0.001377,0.001445,0.002029,0.002262,0.001248,0.001093,0.001208,0.000991,0.001311,0.001166,0.004841,0.004505,0.001554,0.001275,0.001156,0.001275,0.001012,0.00133,0.001262,0.001177,0.002954,0.002067,0.002733,0.002999,0.001349,0.001419,0.005247,0.005009
26,0.004178,0.003962,0.001004,0.0012,0.010609,0.009337,0.00707,0.006587,0.002451,0.001872,0.008368,0.007284,0.001506,0.001351,0.006352,0.006176,0.001102,0.001136,0.001109,0.000998,0.000941,0.000975,0.001048,0.001191,0.000933,0.001131,0.000957,0.001067,0.001094,0.001087,0.001007,0.001255
27,0.00164,0.001687,0.00174,0.001492,0.003999,0.004109,0.004898,0.004881,0.007448,0.008868,0.003032,0.003033,0.002607,0.002032,0.002788,0.001595,0.003506,0.002578,0.001849,0.001735,0.001302,0.002037,0.001727,0.001686,0.001276,0.001478,0.001328,0.001354,0.001612,0.001498,0.001448,0.001676
28,0.001425,0.001466,0.001555,0.001306,0.001284,0.001296,0.001397,0.001353,0.002809,0.003017,0.001209,0.001327,0.010628,0.009193,0.001393,0.001234,0.006619,0.007,0.006248,0.00631,0.001316,0.001252,0.001291,0.002017,0.001355,0.001388,0.001285,0.001468,0.005959,0.00671,0.001594,0.001432
29,0.001393,0.001399,0.005201,0.005037,0.001174,0.001403,0.001468,0.001522,0.001578,0.001081,0.001451,0.001539,0.003471,0.003911,0.001422,0.001248,0.002049,0.001923,0.002917,0.003565,0.00532,0.006342,0.006166,0.006452,0.002793,0.004179,0.001297,0.001217,0.002984,0.003539,0.002164,0.001791
30,0.001251,0.001237,0.005285,0.005468,0.001169,0.001552,0.001257,0.001403,0.001094,0.000931,0.001265,0.001049,0.001084,0.001441,0.001074,0.001196,0.001236,0.001185,0.001094,0.001193,0.005018,0.005035,0.001737,0.001828,0.008929,0.009318,0.004888,0.004892,0.001403,0.002111,0.009473,0.008098
31,0.007888,0.006857,0.001416,0.001334,0.001301,0.001461,0.001478,0.001444,0.001055,0.001367,0.00517,0.004565,0.001323,0.001097,0.005939,0.006425,0.001187,0.001065,0.001144,0.001185,0.001169,0.0011,0.001168,0.001076,0.002649,0.0031,0.002789,0.003292,0.001503,0.001605,0.006349,0.004788
32,0.003438,0.003427,0.001288,0.001314,0.006274,0.006235,0.00517,0.005819,0.003492,0.002565,0.007282,0.007858,0.001357,0.001525,0.005383,0.005236,0.001218,0.001755,0.001423,0.00116,0.001174,0.001568,0.001258,0.001481,0.001152,0.001319,0.001221,0.001078,0.001322,0.001393,0.001185,0.001574
33,0.001417,0.001781,0.001683,0.00164,0.004867,0.00532,0.007334,0.006657,0.004926,0.006533,0.001515,0.001694,0.001652,0.002957,0.00172,0.001265,0.004639,0.005727,0.001828,0.001375,0.001344,0.001832,0.001268,0.001612,0.001258,0.001379,0.001357,0.001668,0.001307,0.001658,0.001712,0.001675
34,0.001248,0.001156,0.001027,0.001269,0.00115,0.001376,0.001046,0.001364,0.001975,0.001383,0.001766,0.001183,0.009168,0.009646,0.001213,0.001374,0.008237,0.005665,0.006903,0.007411,0.001505,0.00144,0.002546,0.001422,0.00098,0.001279,0.001022,0.001198,0.008196,0.006528,0.001171,0.001885
35,0.001268,0.001062,0.009905,0.009391,0.001164,0.001591,0.00188,0.001064,0.00136,0.001094,0.001221,0.001332,0.00344,0.003351,0.001128,0.001255,0.004388,0.005189,0.003216,0.003445,0.00599,0.006197,0.006897,0.007144,0.001136,0.001562,0.001222,0.00159,0.002647,0.002557,0.001949,0.001509
36,0.001206,0.001488,0.003237,0.001427,0.001282,0.001225,0.001223,0.001321,0.001308,0.001125,0.000973,0.001199,0.00104,0.00168,0.001076,0.001048,0.001712,0.001191,0.001219,0.001195,0.003901,0.003027,0.002162,0.002343,0.007073,0.007687,0.007866,0.008399,0.001833,0.001929,0.009453,0.009082
37,0.008782,0.008256,0.001619,0.001465,0.001276,0.001384,0.001202,0.001094,0.001374,0.001232,0.008917,0.008371,0.001365,0.001555,0.010212,0.010253,0.001335,0.000998,0.00099,0.000905,0.001224,0.001176,0.00099,0.001169,0.003742,0.003629,0.002763,0.002957,0.002652,0.001183,0.003699,0.003992
38,0.003858,0.002469,0.001326,0.001115,0.009129,0.009697,0.007392,0.006886,0.007601,0.007203,0.002502,0.002375,0.001304,0.001442,0.003865,0.002901,0.001266,0.00103,0.001034,0.001057,0.001284,0.001215,0.001219,0.001409,0.000998,0.001213,0.001119,0.001231,0.001036,0.001118,0.001276,0.00179
39,0.001994,0.002052,0.001681,0.001795,0.002603,0.003017,0.003967,0.004244,0.006417,0.006172,0.001995,0.002193,0.002776,0.003406,0.001944,0.002739,0.002462,0.001921,0.002079,0.002498,0.002212,0.001537,0.001825,0.001684,0.001486,0.002482,0.001549,0.001946,0.001607,0.00176,0.002502,0.002042
40,0.001459,0.001316,0.003581,0.003824,0.001287,0.001522,0.001096,0.001458,0.001605,0.001895,0.0016,0.00149,0.009348,0.010097,0.001905,0.001431,0.003993,0.004706,0.00638,0.006337,0.001564,0.001938,0.001631,0.002275,0.001451,0.00173,0.001651,0.001883,0.006624,0.006136,0.002109,0.001871
41,0.001476,0.001296,0.009906,0.01035,0.001191,0.001488,0.001717,0.00132,0.001637,0.001426,0.002251,0.001667,0.002471,0.003059,0.001427,0.00136,0.002072,0.002354,0.003078,0.003913,0.005718,0.006482,0.00501,0.00469,0.003086,0.002943,0.002288,0.001661,0.002021,0.001728,0.001877,0.001618
42,0.001038,0.001007,0.001134,0.001192,0.000918,0.001169,0.00098,0.000958,0.001198,0.001106,0.004773,0.003532,0.00125,0.001364,0.001587,0.001181,0.001132,0.001161,0.00108,0.001362,0.005161,0.004762,0.001515,0.001771,0.008584,0.009404,0.008985,0.008337,0.00141,0.00124,0.007039,0.007446
43,0.007532,0.007771,0.001729,0.00195,0.001971,0.001602,0.001406,0.001561,0.00133,0.00132,0.003987,0.003984,0.00116,0.00138,0.006526,0.007233,0.001464,0.00161,0.002425,0.001272,0.001365,0.001537,0.001579,0.001388,0.001588,0.001624,0.001784,0.003094,0.001888,0.001578,0.004869,0.006185
44,0.002233,0.00204,0.001875,0.001458,0.008533,0.007135,0.006582,0.006426,0.003762,0.005202,0.002504,0.001396,0.001225,0.001327,0.005595,0.005084,0.001405,0.001206,0.001431,0.001231,0.001262,0.001308,0.001225,0.001856,0.00108,0.0011,0.001299,0.001187,0.00154,0.001372,0.001358,0.001368
45,0.001096,0.001783,0.001476,0.001433,0.006853,0.006315,0.003783,0.004029,0.008043,0.0069,0.001436,0.001956,0.001387,0.002194,0.001478,0.001434,0.006348,0.007821,0.003182,0.002427,0.001101,0.00135,0.001443,0.001508,0.001276,0.001724,0.001447,0.00148,0.001478,0.0016,0.001473,0.001625
46,0.001275,0.001238,0.006802,0.007082,0.000961,0.001533,0.00136,0.001262,0.00182,0.001759,0.001835,0.001067,0.005841,0.005973,0.00131,0.001682,0.004996,0.004722,0.005861,0.005748,0.001491,0.001364,0.002954,0.001786,0.001056,0.001187,0.00144,0.001348,0.006925,0.006827,0.001425,0.002012
