op_rw_wait_sa_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0.011715,0.024602,0.012624,0.006476,0.002902,0.003111,0.005342,0.007001,0.005545,0.007635,0.00751,0.004245,0.006405,0.010961,0.009228,0.00275,0.017121,0.011405,0.005909,0.01074,0.010091,0.025535,0.016878,0.004593,0.009166,0.01567,0.005794,0.014019,0.027222,0.025354,0.005806
1,0.012446,0.001577,0.005199,0.008569,0,0.004937,0.013665,0.002922,0,0,0,0.018401,0.018488,0,0,0,0,0.002458,0,0.003908,0,0.002412,0.001429,0,0.043542,0.012243,0.003552,0.004894,0.003016,0.002854,0.003064,0
2,0.003357,0.00257,0.005043,0.003763,0,0.002839,0.004083,0.001605,0.001535,0,0.002552,0.002529,0,0.001487,0.004933,0.002902,0.001318,0.004323,0.00194,0,0.001142,0.002044,0.002027,0.003492,0.001584,0.003545,0.0105,0,0.035099,0.005844,0,0.002051
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0.001891,0,0,0,0,0,0,0,0,0.001235,0,0,0,0,0,0.001439,0,0,0,0,0,0,0.002693,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0.00171,0.000872,0,0,0,0.000976,0.001296,0,0,0,0,0.001293,0.001041,0.001035,0.00172,0,0,0,0,0,0,0,0.001437,0,0,0.002953,0
19,0,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0,0,0,0.001739,0,0.000846,0,0.002439,0,0,0,0.001024,0,0,0,0,0,0
20,0,0,0,0,0,0.001197,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0.005224,0,0,0,0.001001,0,0
21,0,0,0,0.00229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002038,0,0,0.000815,0,0,0,0.002408,0,0,0,0,0,0,0.002815
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0.012458,0,0,0,0,0,0,0,0,0,0,0,0,0.012122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0.007678,0,0,0.001634,0.001766,0,0,0.001305,0.003536,0.001988,0,0,0,0,0,0.001629,0,0.002003,0.001365,0.001353,0,0,0,0.002311,0.003383,0.00939,0
25,0,0,0,0,0,0,0.002765,0,0,0,0,0,0.007332,0,0.005252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001342,0,0
26,0,0,0.005905,0,0,0,0,0,0,0,0.005813,0.004598,0,0.005226,0.006258,0.002316,0,0,0.003299,0,0.007088,0.001306,0,0.007081,0.000845,0.005759,0,0.004368,0.000732,0.008994,0.005454,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001536,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0.006747,0,0.002071,0,0.002009,0,0,0.000742,0.001263,0.001601,0,0,0.00657,0,0.006324,0.00176,0,0.007025,0,0,0.005649,0.006201,0.007063,0,0.006554,0.017514,0,0.007554
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0.001864,0,0.002735,0,0,0,0,0,0,0,0,0,0,0.002898,0,0.002119,0,0,0,0,0.002257,0
31,0,0,0.001782,0,0,0,0,0,0,0,0,0.00312,0,0,0,0,0,0,0.004115,0,0,0.000844,0,0.001237,0,0.001514,0,0.001096,0.002142,0.001395,0,0.001288
32,0,0,0,0,0,0.001257,0.00157,0,0,0.002423,0.002124,0,0.005784,0.001614,0,0,0,0,0,0,0,0.004661,0.003349,0,0,0,0,0,0,0,0.001757,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0.001588,0,0.006617,0.004316,0.003051,0.000897,0.001123,0,0,0,0,0,0,0,0,0.002731,0.004162,0,0,0.003612,0,0,0.005114,0,0,0.001205,0.009572,0.001891,0
35,0.003526,0,0.006532,0,0.000872,0,0,0,0.001039,0,0.002657,0.005003,0.003689,0.003648,0.001578,0,0,0,0.000816,0.002643,0,0,0,0,0.008645,0.004164,0.002619,0,0,0,0.009715,0.012313
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004027,0,0,0,0,0,0,0,0,0,0,0,0.003141,0.003062,0,0,0.002449,0.000725
37,0.008459,0.005943,0.004979,0,0.005488,0,0,0,0.002179,0,0.003306,0,0,0,0,0.001628,0.005662,0,0.003331,0.002489,0.005662,0.008107,0.004623,0.006507,0.005477,0,0,0.004043,0,0,0,0.002606
38,0,0.004704,0.007113,0.00071,0.001449,0,0,0.01756,0.003841,0,0,0.002145,0,0,0,0,0,0,0,0,0,0,0.001061,0,0.02002,0.00723,0,0,0,0.00543,0.000799,0.001831
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016562,0,0,0,0,0,0,0,0.016819,0,0,0,0,0.011406
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001479,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001338,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0.002145,0,0.001415,0,0,0,0,0,0,0,0.001312,0.001123,0.001801,0,0,0.001552,0,0,0,0,0,0,0,0,0.0038,0,0
48,0,0.002678,0,0.005296,0,0,0,0,0,0,0.003648,0.008603,0,0.002662,0.005633,0.007767,0.00241,0.003671,0,0.001978,0.002392,0.001301,0,0,0,0.001059,0,0.001853,0,0.001564,0,0.003813
49,0,0,0,0,0,0,0,0.005224,0,0,0,0,0.000804,0.000979,0.005906,0,0.006446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0.00136
54,0,0,0,0.002258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001043,0,0,0.001947,0,0,0,0,0,0,0
55,0.001916,0,0.001609,0.001628,0,0.000846,0,0,0,0,0,0,0.001575,0.002865,0,0.001354,0,0,0,0,0,0.001383,0.002507,0,0,0,0,0,0,0,0.004085,0
56,0,0,0,0,0,0,0,0,0,0.002163,0,0.005626,0,0,0,0.010208,0,0,0.006114,0.002948,0.008475,0.00432,0.000785,0.008926,0.007252,0,0.006103,0,0.00792,0.005135,0.005971,0
57,0,0,0,0.003324,0,0,0,0.004218,0,0.002894,0.003021,0.004536,0,0.002177,0,0.005104,0,0,0,0,0,0,0,0.000749,0,0,0.000915,0.001967,0,0.000806,0.004503,0
58,0.011399,0.001516,0.008405,0.002164,0.008234,0.007187,0.002923,0.001415,0.005871,0.005854,0,0.008255,0,0.002889,0.007747,0.002917,0.001,0.002887,0.00204,0.005596,0.001912,0.006129,0,0.001347,0,0.005731,0,0.000942,0.001386,0,0,0.004684
59,0.001093,0,0,0.000711,0.001603,0.001234,0,0,0,0,0,0,0.001392,0.002823,0,0.00184,0,0,0,0,0,0,0.002753,0.001408,0.001908,0,0,0,0,0.000803,0.003518,0
60,0.006877,0.005636,0,0,0,0,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0,0.002205,0.002329,0,0,0,0,0,0,0.000943,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.001709,0.003902,0,0,0,0,0.002753,0.006225,0,0.002518,0.000998,0,0.000903,0,0,0,0,0,0,0,0,0,0,0.006361,0,0,0,0,0,0,0,0
63,0.005144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0.001736,0,0.002663,0.001192,0.000788,0.002802,0,0,0.000869,0.001305,0.00152,0,0,0,0.01346,0,0,0,0,0,0.001392,0,0.001369,0,0,0,0.000942,0.00271,0,0
65,0,0.001884,0,0,0,0,0.006515,0,0,0,0,0.006511,0.001899,0,0,0.001918,0,0,0.001813,0,0.00097,0.003592,0,0,0,0,0.002257,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0.001766,0,0,0,0,0,0,0,0,0,0.003519,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0.003018,0,0,0.001653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000941,0,0,0,0
70,0,0.002708,0,0.001,0,0,0.001911,0.001293,0,0.001876,0.007123,0,0.003277,0,0,0.000935,0.001142,0.002637,0.001426,0.004123,0.004368,0.003144,0,0.003742,0,0.001754,0,0.00178,0.001039,0,0.001517,0
71,0,0,0.002563,0.015513,0,0.001539,0,0,0,0.01579,0,0.001608,0.001926,0.003787,0,0,0.001991,0.017443,0.001698,0,0,0,0,0,0,0.001117,0,0.000923,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0.016251,0,0,0,0,0,0,0,0.017037,0,0.019059,0.018106,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0.004733,0.003606,0,0,0,0,0,0,0,0,0,0.002404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0.003277,0,0,0,0,0.001492,0,0,0,0,0.001348,0.000907,0,0,0,0,0,0,0,0,0,0,0,0.001522,0.001226
77,0,0,0,0,0.002037,0,0,0.003197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00812,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
