op_rw_wait_sc_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.009862,0.015807,0.009008,0.006535,0.010956,0.014166,0.012587,0.009895,0.005374,0.005715,0.005559,0.007847,0.006191,0.006649,0.005359,0.005358,0.00707,0.007367,0.005819,0.005848,0.007091,0.007914,0.010267,0.005858,0.008509,0.007607,0.00617,0.006429,0.009078,0.00861,0.024821,0.006296
1,0.007187,0.038915,0.007758,0.006599,0.006477,0.026497,0.014012,0.008156,0.004195,0.004244,0.004965,0.004791,0.004431,0.004521,0.004,0.004026,0.004212,0.004095,0.004913,0.004883,0.005209,0.005133,0.005145,0.004818,0.014773,0.011074,0.0054,0.015168,0.008476,0.013589,0.009847,0.007309
2,0.003318,0.004375,0.003854,0.003686,0.004491,0.004361,0.003952,0.003712,0.004023,0.0035,0.004809,0.004049,0.00331,0.003292,0.003577,0.003701,0.004304,0.004027,0.003533,0.003598,0.003553,0.003332,0.003099,0.003106,0.007315,0.006103,0.005899,0.009904,0.013392,0.012226,0.008555,0.01351
3,0.005263,0.006843,0.004439,0.004273,0.004423,0.004426,0.002687,0.002743,0.002964,0.00269,0.003135,0.002991,0.002794,0.003353,0.002916,0.002725,0.002836,0.002786,0.003316,0.003543,0.002851,0.002762,0.002702,0.002687,0.002952,0.002971,0.00263,0.002933,0.003994,0.003671,0.004768,0.003933
4,0.001997,0.00196,0.002526,0.002827,0.003603,0.003593,0.003551,0.003662,0.003467,0.00331,0.004013,0.004067,0.001921,0.001984,0.004992,0.005032,0.001912,0.001905,0.002397,0.002409,0.002089,0.002204,0.001912,0.002052,0.003305,0.003488,0.001884,0.001916,0.003435,0.003743,0.002583,0.003085
5,0.001712,0.001757,0.002092,0.002195,0.001919,0.002021,0.001707,0.001768,0.001707,0.001725,0.0053,0.005634,0.00606,0.005258,0.003461,0.003069,0.006162,0.005762,0.00294,0.002924,0.001617,0.001576,0.003154,0.002924,0.002172,0.002375,0.00173,0.001732,0.002774,0.002691,0.002678,0.002673
6,0.002062,0.002103,0.002597,0.002661,0.003322,0.003368,0.001728,0.001686,0.002034,0.001961,0.001728,0.001913,0.002343,0.002328,0.001767,0.00169,0.002881,0.001997,0.00317,0.003222,0.005225,0.005564,0.004296,0.004163,0.002657,0.002408,0.001685,0.001768,0.00168,0.001776,0.001908,0.001914
7,0.002026,0.002095,0.001967,0.001904,0.00189,0.001966,0.001824,0.001692,0.001808,0.001718,0.001887,0.001952,0.001878,0.002204,0.001941,0.001924,0.001715,0.001758,0.0023,0.002085,0.002192,0.002217,0.001861,0.00212,0.003436,0.003758,0.003063,0.003163,0.003459,0.00361,0.003488,0.0037
8,0.003148,0.003093,0.003627,0.003329,0.00214,0.002175,0.001769,0.001948,0.002007,0.001883,0.002242,0.002199,0.002199,0.002191,0.002076,0.00225,0.002127,0.001996,0.002232,0.002349,0.002492,0.002057,0.002439,0.002075,0.002637,0.002882,0.002015,0.001896,0.002485,0.002879,0.003952,0.003629
9,0.001352,0.00142,0.001965,0.001593,0.002966,0.003054,0.003355,0.003299,0.001962,0.001999,0.001831,0.001762,0.001422,0.001434,0.003276,0.003757,0.001922,0.001996,0.001723,0.001812,0.001694,0.001663,0.001725,0.001818,0.001578,0.001738,0.001839,0.001876,0.001792,0.001697,0.001983,0.002217
10,0.001799,0.001855,0.002301,0.002263,0.001992,0.002111,0.0021,0.002155,0.002695,0.002759,0.003373,0.00358,0.002461,0.002585,0.001933,0.001753,0.002562,0.002404,0.002039,0.002369,0.00208,0.0022,0.001663,0.001809,0.001977,0.001764,0.002001,0.002062,0.001868,0.001847,0.001944,0.001969
11,0.002447,0.002325,0.002401,0.002185,0.001847,0.002086,0.001999,0.002008,0.00239,0.001999,0.00182,0.002043,0.002951,0.002966,0.001975,0.001779,0.002311,0.001924,0.003265,0.002961,0.00242,0.002282,0.002527,0.002799,0.002252,0.002247,0.00207,0.002467,0.002375,0.0023,0.002402,0.002165
12,0.001984,0.001915,0.001656,0.002274,0.001788,0.001743,0.002426,0.002109,0.001986,0.001699,0.0021,0.001817,0.002122,0.002306,0.002153,0.001967,0.002039,0.001922,0.002027,0.002014,0.00219,0.002266,0.002758,0.002806,0.00276,0.002813,0.00248,0.0024,0.002587,0.002485,0.002877,0.002986
