op_w_in_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3854336,4308992,4657152,3325952,3567616,3485696,3756032,3026944,2985984,3305472,3137536,3256320,3330048,3137536,3088384,3305472,3141632,3280896,3436544,3330048,3186688,2850816,3514368,3260416,3559424,3321856,3776512,3432448,2916352,2998272,4042752,3010560
2,7671808,7872512,8216576,7307264,7475200,8159232,7315456,7344128,7073792,7827456,7614464,7372800,7131136,8200192,7192576,7991296,7520256,7532544,7643136,7880704,7614464,7421952,7770112,7479296,8511488,8712192,8683520,8826880,7610368,9011200,9605120,7565312
3,14565376,16171008,15605760,14614528,14671872,16166912,13725696,14356480,13533184,14934016,13692928,14209024,13246464,14704640,14340096,14659584,14282752,13742080,14217216,14606336,13840384,14946304,15204352,14483456,16125952,15147008,15495168,16224256,14848000,14110720,17137664,14606336
4,24113152,25485312,25182208,23207936,23572480,25165824,23531520,23425024,23744512,25051136,23408640,24391680,22523904,24461312,23572480,25214976,23875584,23375872,25595904,24178688,22675456,23543808,23506944,23986176,26587136,24817664,25579520,25661440,24117248,24719360,28782592,24326144
5,32182272,35082240,33603584,30445568,31010816,33390592,31424512,30687232,31207424,33914880,31576064,31969280,30756864,33320960,31498240,32899072,31678464,31666176,32858112,32460800,30420992,31268864,31744000,31846400,33697792,31383552,33751040,33624064,31178752,31334400,36429824,32432128
6,39972864,43085824,41394176,38948864,39407616,42790912,40169472,39038976,39968768,43163648,40566784,40988672,39383040,42168320,40570880,41754624,40665088,40357888,41230336,41230336,38756352,39591936,40812544,40382464,43126784,39845888,42479616,42946560,39428096,39698432,46116864,41066496
7,48193536,51974144,50798592,47521792,48361472,51630080,48828416,47370240,48353280,52822016,49799168,49713152,47783936,51191808,50151424,51032064,49774592,48963584,50388992,50274304,47218688,48590848,49868800,48869376,52043776,48594944,51433472,52297728,47837184,48074752,56098816,49762304
8,58396672,62029824,60723200,56012800,56893440,61931520,57888768,56168448,58683392,61820928,57917440,59449344,56356864,61480960,59125760,59555840,57880576,59219968,60342272,58925056,55947264,58499072,57774080,58585088,62541824,58044416,60239872,61632512,56565760,57253888,67014656,59392000
9,66879488,72417280,70189056,65400832,66355200,71598080,68075520,66109440,67612672,72859648,67837952,68640768,65630208,70475776,68120576,69386240,68771840,68239360,68755456,68493312,65363968,67878912,67969024,67477504,71946240,67760128,70713344,72491008,66859008,66805760,77348864,68530176
10,73445376,78905344,76800000,71294976,72769536,78741504,75042816,72036352,73293824,79409152,74412032,74858496,71659520,77422592,74645504,75522048,74985472,74113024,75231232,75128832,72032256,74346496,74727424,73895936,79208448,74391552,78303232,79368192,72908800,72957952,85225472,75124736
11,81096704,88092672,85442560,79077376,80953344,88027136,83107840,80547840,81715200,87764992,82485248,83460096,79335424,85430272,82579456,84033536,83001344,82239488,83161088,83058688,79982592,82407424,82776064,81772544,88010752,82878464,86913024,88281088,81661952,81563648,94629888,82890752
12,90980352,97857536,97406976,88518656,89882624,98803712,92286976,88752128,90451968,98598912,91414528,95277056,88526848,94908416,91705344,94031872,92569600,91774976,92831744,92028928,89243648,92311552,91394048,89546752,98172928,94343168,95666176,98754560,91791360,91111424,104255488,92024832
13,97943552,105213952,102731776,95076352,97267712,105611264,100208640,96317440,98164736,105267200,99753984,101437440,96456704,103137280,99758080,101175296,100118528,98971648,100454400,100831232,94781440,98656256,99495936,97579008,105410560,99856384,103587840,106438656,97820672,97624064,112365568,99864576
14,104431616,112476160,109772800,101777408,103452672,112492544,106594304,102936576,104423424,111742976,105771008,108027904,102285312,109436928,105385984,108040192,106516480,106332160,106938368,107008000,101683200,105938944,106745856,104521728,112693248,106835968,110112768,113799168,104296448,103989248,120320000,107307008
15,112820224,122068992,118968320,110317568,112750592,123043840,115798016,111869952,113594368,121675776,114565120,117833728,111570944,118816768,113909760,117207040,115613696,116109312,116772864,115937280,110505984,114774016,115970048,113721344,121733120,115974144,120500224,123228160,112877568,113991680,130011136,116117504
16,121622528,130867200,127545344,118468608,120774656,131633152,123777024,120131584,123002880,130383872,123699200,127029248,119676928,127070208,122339328,125906944,124293120,124796928,124657664,124596224,118685696,122159104,124559360,121491456,131272704,124633088,128712704,131481600,121159680,121663488,139116544,124956672
17,131125248,142217216,139522048,128880640,131555328,142434304,134594560,129830912,130920448,140656640,131907584,136523776,128405504,136712192,131567616,135770112,133853184,133394432,134123520,133427200,129310720,135282688,134234112,130166784,142053376,135397376,139825152,142479360,131391488,131489792,151916544,135299072
18,138555392,149483520,146100224,135380992,137625600,150765568,142172160,136286208,139415552,149999616,140853248,144490496,136986624,146436096,140079104,144625664,142266368,142102528,143024128,142475264,135479296,141164544,143466496,139542528,149270528,142290944,147632128,150786048,138678272,139448320,159621120,143290368
19,145715200,157761536,153894912,142876672,144723968,158470144,148832256,143593472,145809408,157925376,148996096,151207936,142790656,154021888,147836928,152133632,148525056,147587072,149098496,147857408,141856768,147144704,149090304,145436672,156631040,149995520,155852800,158482432,145969152,146481152,169349120,150863872
20,154079232,165888000,162934784,150384640,153112576,168382464,157339648,152805376,153567232,165502976,155402240,159186944,150622208,161841152,154722304,160116736,156913664,156405760,157773824,156303360,150020096,155717632,157646848,153747456,165343232,158482432,164032512,167620608,154652672,155344896,178368512,158531584
21,160821248,173617152,169267200,156717056,159920128,175697920,164569088,159072256,162144256,174977024,164057088,168251392,159158272,170647552,162770944,168976384,166023168,164941824,166424576,165396480,158617600,164278272,166330368,162893824,173260800,165261312,170967040,174923776,160854016,162078720,185962496,166391808
22,169984000,184000512,179232768,165236736,169218048,186458112,173666304,168222720,171126784,184528896,173510656,177876992,167931904,179900416,172371968,178778112,175144960,174174208,176263168,173207552,167497728,173416448,174628864,171372544,183513088,175194112,180621312,185020416,169873408,171503616,196423680,175595520
23,179937280,194109440,189542400,175423488,179015680,196653056,184131584,178225152,181317632,196050944,183910400,188514304,178872320,190631936,182677504,189001728,185184256,184664064,187097088,184037376,178008064,185077760,186580992,181985280,194011136,184770560,191176704,195268608,179748864,181280768,207978496,185892864
24,188559360,203931648,199102464,183779328,188424192,206295040,192696320,187781120,189620224,205492224,192995328,197484544,187035648,199684096,191401984,198176768,196976640,193019904,194613248,193310720,185114624,191627264,195366912,190189568,202928128,193830912,201007104,204587008,188432384,190046208,218451968,194945024
25,194351104,211505152,205139968,189755392,193490944,213065728,199073792,192700416,195342336,211496960,197627904,203714560,192389120,206315520,196407296,203272192,201220096,199090176,201039872,199348224,191545344,198705152,201465856,196907008,210440192,201621504,208125952,212000768,195579904,196694016,226279424,201629696
26,203472896,220299264,215658496,199569408,203231232,222568448,208453632,201928704,204525568,221057024,207069184,212463616,201797632,215400448,205541376,212492288,211128320,208314368,209973248,208674816,200634368,208138240,210214912,205983744,219877376,210456576,217841664,220864512,204972032,206024704,236859392,211288064
27,210821120,227631104,222388224,205574144,209641472,230408192,215343104,208867328,211746816,228872192,214659072,220332032,209297408,223711232,213749760,220672000,217927680,215781376,217755648,216076288,207835136,215281664,218214400,213180416,227147776,217665536,224641024,228257792,210845696,213336064,244277248,217948160
28,219885568,237989888,232456192,215044096,219582464,241192960,225558528,218243072,221732864,239083520,224747520,231092224,219066368,233537536,223748096,231084032,229027840,226963456,228544512,226615296,218546176,225832960,228872192,223121408,236728320,226631680,234467328,238522368,220545024,222519296,254730240,227381248
29,228347904,248000512,241467392,223649792,228433920,251748352,236060672,227287040,230862848,247992320,232325120,239489024,226676736,242688000,231813120,239386624,237387776,235261952,237273088,235421696,226553856,234442752,237510656,231108608,245923840,236826624,243945472,248508416,230727680,232026112,265113600,237477888
30,237658112,257601536,250871808,232374272,237408256,260218880,243707904,235819008,239173632,258342912,242307072,250093568,236040192,252936192,241553408,249344000,247451648,245477376,247570432,245350400,236048384,244359168,247328768,240918528,255373312,244801536,252366848,257323008,238882816,239988736,275271680,245989376
31,246259712,266272768,261038080,240975872,245059584,269156352,251695104,242880512,245821440,266772480,249069568,256962560,244948992,261390336,248381440,257855488,255311872,252497920,254550016,253546496,242540544,252219392,254722048,248614912,263913472,253329408,261558272,267124736,249372672,249569280,284078080,255860736
32,253280256,275124224,267513856,247861248,252964864,277852160,259141632,251678720,253820928,275300352,258330624,266502144,251604992,268738560,256503808,265904128,263237632,260825088,262848512,261206016,250908672,260112384,263159808,256696320,272596992,261562368,269963264,275152896,255410176,256610304,294051840,262901760
33,261693440,285196288,276844544,255840256,261423104,288272384,268513280,260108288,263655424,285175808,267657216,275435520,261111808,279351296,265601024,274845696,272805888,269819904,272408576,270020608,259428352,269230080,272982016,265809920,282566656,270102528,278904832,283914240,263356416,264851456,303538176,271716352
34,270405632,294678528,286203904,264339456,270733312,297361408,277053440,269119488,272134144,294420480,276467712,284581888,269967360,288325632,274493440,284139520,282128384,279355392,282148864,279482368,268611584,278224896,282558464,275070976,291241984,279064576,288108544,293158912,272297984,273248256,313933824,280363008
35,278712320,303714304,294670336,271953920,278691840,306171904,285577216,276942848,280420352,304001024,284606464,293023744,277483520,297091072,282427392,292724736,290930688,287494144,291540992,288366592,277352448,286646272,290951168,283611136,299327488,287219712,296632320,301916160,279863296,281522176,323112960,288477184
36,287199232,312549376,302911488,280408064,287825920,315383808,294694912,285204480,289214464,313282560,293462016,301187072,286294016,306257920,290910208,301776896,299675648,296488960,298799104,296169472,285310976,294637568,298815488,292319232,307904512,295952384,305098752,311099392,288202752,289931264,332177408,297005056
37,295985152,320958464,312029184,288272384,295616512,324243456,302899200,293203968,297066496,321675264,300486656,309694464,293629952,314068992,298229760,309497856,307589120,303448064,307363840,304472064,292651008,302931968,307236864,299917312,317067264,305352704,314015744,319889408,296148992,298270720,342085632,305201152
38,302567424,331128832,319422464,295587840,302678016,332791808,310489088,299655168,304427008,329068544,308551680,317300736,300830720,321589248,305377280,316698624,314183680,310763520,314015744,311046144,298758144,309731328,314286080,306085888,325550080,312262656,321875968,327221248,304197632,305401856,350003200,312840192
39,311013376,338247680,327622656,301506560,309448704,340119552,317997056,308322304,311611392,337289216,315912192,325017600,308817920,329629696,312901632,324702208,322805760,318783488,322424832,319574016,306827264,318529536,323448832,314621952,333709312,320344064,329052160,336568320,310845440,312512512,358633472,320344064
