op_w_rlat,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.012346,0.009707,0.010434,0.008991,0.013499,0.009883,0.011667,0.008399,0.008988,0.010089,0.010197,0.013419,0.008285,0.008164,0.010857,0.008297,0.00957,0.009881,0.012763,0.011354,0.015783,0.010322,0.021949,0.012769,0.007814,0.009843,0.008644,0.006859,0.008009,0.007725,0.01864,0.008549
1,0,0,0,0,0,0,0,0,0.014996,0.012261,0.040576,0.016684,0.012611,0,0.013303,0.011078,0,0.016774,0.021528,0.022644,0.035039,0.062069,0.024973,0.014486,0,0,0.025667,0.095103,0,0,0.099261,0.017058
2,0.01184,0.015779,0,0,0,0,0.036525,0,0.013535,0.012218,0.021556,0.013755,0.009635,0.01334,0.072022,0.017023,0,0.053472,0.012524,0.014746,0.013441,0.011642,0.015601,0.013874,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.006321,0,0,0,0,0,0,0,0.014458,0.021273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0.035263,0,0.012429,0.013345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0.00998,0.011645,0,0,0,0,0,0,0,0.020188,0,0,0,0,0,0,0,0,0.020877,0,0,0,0,0
16,0.013406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012319,0,0,0,0,0
17,0.026115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002867,0,0,0,0,0
18,0.01426,0.01112,0,0,0.0098,0,0.014291,0,0.016093,0.015537,0,0,0,0,0,0,0,0.015179,0,0.016764,0,0,0,0,0,0,0.009736,0,0,0,0,0
19,0.004872,0.00472,0,0,0.009049,0,0.010087,0,0.015176,0.015199,0,0.013829,0,0,0,0.030258,0,0.013787,0.022159,0.01641,0,0,0,0,0,0,0.032187,0,0,0,0,0
20,0.028271,0,0,0,0,0,0.010506,0,0.013839,0.010914,0,0.017081,0,0,0,0,0,0.01486,0.017442,0.014538,0,0,0,0,0,0,0.017154,0,0,0,0,0
21,0.020931,0.023783,0,0.005265,0.029312,0,0.02232,0,0.005014,0.005235,0.027038,0,0.007807,0,0,0.008522,0,0.016223,0.017854,0.014819,0.017675,0.023123,0.023222,0,0.018747,0,0.017334,0.018426,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011392,0.010419,0,0,0,0,0,0,0,0,0,0
23,0.027824,0.03043,0,0.018889,0.030891,0,0,0,0,0,0,0,0,0,0,0.030385,0,0,0,0,0,0,0,0,0.005555,0,0.006678,0,0,0,0,0
24,0.010378,0.010472,0,0.024036,0.009407,0,0.009972,0.004944,0.020869,0.022387,0.014831,0.023433,0,0,0,0.013687,0,0,0,0,0,0,0,0,0.032393,0,0.028139,0.034469,0,0,0,0
25,0,0,0,0,0.017948,0,0.017788,0.016222,0.015631,0.015987,0.018904,0.015166,0.020395,0,0,0.0157,0,0.024101,0.021524,0,0,0,0,0,0.014569,0,0.014553,0,0,0,0,0
26,0.014254,0.017253,0.012428,0.010946,0,0,0.00354,0.003637,0.014545,0.014121,0.023718,0.027164,0.014893,0,0.022969,0.025412,0.018183,0.014274,0.015551,0.014422,0.015895,0.014507,0.015605,0,0.014154,0,0.014963,0.01444,0,0,0,0
27,0.019773,0.026643,0.026223,0.023417,0.031794,0.042186,0,0,0,0,0.005911,0,0.003218,0,0.007271,0.007572,0.014495,0.016223,0.015507,0.015066,0.012715,0.01417,0.015113,0.019814,0.020406,0,0.017785,0.01643,0,0,0,0
28,0.015558,0.016638,0.015878,0.014279,0.016982,0.018736,0.015759,0.020528,0,0,0.009552,0.006826,0,0,0.006801,0.006915,0,0,0,0,0.017804,0.018396,0.021453,0.018746,0.014828,0,0.014136,0.018363,0,0,0,0
29,0.014857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017737,0,0,0,0,0
30,0.013135,0.01443,0,0,0.014348,0.013009,0.014703,0.015644,0.019777,0.014718,0.017629,0.016961,0,0,0.016991,0.016215,0,0.015366,0,0,0,0,0,0,0,0,0.003969,0,0,0,0,0
31,0,0,0.020761,0,0.017635,0.018251,0.017525,0.01751,0.007992,0.00903,0.029927,0.018208,0,0,0.018436,0.004117,0.021686,0.019984,0,0.040343,0,0,0,0,0.015584,0,0.015475,0,0,0,0,0
32,0,0.005132,0.008719,0.009792,0,0.031271,0.011713,0.009643,0.014877,0.012674,0.027619,0,0.014677,0,0.023462,0.037313,0.01607,0.01609,0.014831,0.014491,0.013605,0.01593,0.01545,0.052835,0.013574,0,0.017078,0.019942,0.01778,0.021031,0,0
33,0.030252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02972,0,0,0,0,0,0,0,0,0.022002,0,0,0,0.033834,0,0,0
34,0.016759,0.015852,0.016804,0.016281,0.015111,0,0.015321,0.030301,0.020388,0.023152,0.014781,0.016055,0,0,0.012182,0.012254,0,0.025116,0,0,0.013642,0.018893,0.019889,0.019281,0.010413,0,0.009673,0.008302,0.019682,0.052998,0,0
35,0.014002,0.014337,0.015344,0.018892,0.013814,0.015338,0.013931,0.013883,0.013811,0.013324,0.011782,0.015124,0.014733,0,0.01344,0.013199,0.014027,0.00995,0.011411,0.010222,0.008563,0.007997,0,0,0.014884,0,0.017755,0.016162,0.024301,0.019871,0,0
36,0.020458,0.020387,0.01887,0,0.018909,0.021308,0.019257,0.020483,0.018122,0.021691,0.019831,0.017932,0.018813,0,0.021294,0.016482,0.023406,0.018383,0.022967,0.020995,0,0,0,0,0,0,0,0,0.005127,0.006347,0,0
37,0.021758,0.021314,0.015437,0.015748,0.015855,0.016911,0.015881,0.0158,0.011969,0.010576,0.014493,0.02412,0.012693,0,0.019032,0.022348,0.018253,0.017624,0.017549,0.017307,0.016908,0.017801,0.017074,0.018018,0.016652,0,0.016248,0.017056,0.015154,0.017837,0,0
38,0.015744,0.014421,0.016348,0.015217,0,0,0,0,0,0,0.015021,0.002675,0.011431,0,0,0.007419,0.01905,0.021051,0.018826,0.01948,0.021166,0.016528,0.025664,0.022651,0.017721,0,0.022336,0.017567,0.019569,0.021373,0,0
39,0,0,0,0,0,0,0,0,0,0,0.003998,0.004091,0.006394,0.005011,0.029553,0.003635,0.013385,0.017336,0.015465,0.014156,0.016037,0.015273,0.017744,0.018298,0,0,0,0,0.024719,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0.011015,0,0,0.022666,0.017664,0,0,0,0,0,0.03437,0,0,0.00954,0,0,0,0,0,0,0
41,0.007386,0.016541,0,0,0.013477,0,0,0,0,0,0.019932,0.033313,0,0,0.022866,0.028389,0,0,0,0,0,0,0,0,0.028866,0,0.026562,0,0,0,0,0
42,0.016233,0.013857,0,0,0.014363,0,0.017825,0,0.020106,0.043409,0.017343,0.023928,0,0,0.017336,0.014174,0,0,0,0,0,0,0,0,0,0,0,0,0.053938,0,0,0
43,0,0,0.01008,0.012667,0.011144,0.009451,0.008697,0.009195,0.009453,0.010128,0.011992,0.013153,0,0,0,0.033981,0,0.019184,0.029572,0,0,0,0,0.022013,0.01776,0,0.020214,0,0.017887,0.017693,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030293,0,0,0,0,0,0,0
45,0,0,0,0.029606,0,0,0,0,0,0,0.035619,0.028848,0,0,0,0,0,0.028037,0.032087,0,0,0,0,0,0.019694,0,0.058804,0,0.042894,0,0,0
46,0.013166,0,0.020433,0.014997,0,0,0,0,0,0,0.011368,0.009499,0,0,0,0.009937,0,0,0,0,0.015783,0.017156,0.017729,0.017276,0.011006,0,0.01122,0,0,0,0,0
47,0.017579,0.018008,0.019116,0.020039,0.018615,0.016882,0.018417,0.02164,0.018791,0.014591,0.018556,0.019399,0,0,0.018144,0.019083,0,0.014565,0.024192,0,0,0.05214,0,0,0.011542,0.022391,0.012229,0,0.002298,0,0,0
48,0.01471,0.01822,0.019393,0.016435,0.018174,0.017314,0.019993,0.01861,0.011581,0.013744,0.026689,0.02304,0.010636,0.017291,0.012558,0.012481,0.020219,0.019657,0.020859,0.020483,0.023148,0.024537,0.022788,0.023201,0.020445,0.0115,0.035236,0.044458,0.013648,0.013349,0.039936,0.027663
49,0.037753,0,0.014774,0.013482,0.011449,0.014109,0.015144,0.017555,0.022861,0.023351,0.020878,0.016402,0.021032,0.025492,0.027861,0.026786,0.030671,0.023045,0.023628,0.028261,0.022989,0.023121,0.02905,0.025262,0.028353,0.034111,0.025492,0.033983,0.02959,0.020807,0.039967,0.041012
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.034223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004987,0,0,0,0,0,0,0
53,0.016581,0,0,0,0,0,0,0,0,0,0,0.017654,0,0,0,0.011531,0,0.027151,0,0,0,0,0,0,0,0,0.010374,0,0,0,0,0.04444
54,0,0,0.016796,0.02035,0.016987,0,0.015731,0,0.014008,0,0,0,0,0,0,0.01366,0,0.014605,0,0,0.016138,0,0,0,0.017358,0,0,0,0,0.010138,0.019751,0.01689
55,0.019164,0,0.014966,0.015619,0.016574,0.017778,0.019007,0.016379,0.019868,0.02024,0.023172,0.016533,0.01544,0.031749,0.060514,0.054748,0.021332,0.020224,0.017169,0.017583,0.023068,0.025955,0.024727,0.019641,0.019597,0,0.030506,0.002555,0.005323,0.025619,0,0
56,0.012943,0.023054,0.015108,0.013477,0,0,0,0,0.007865,0.012119,0.008801,0.007884,0.003675,0.003447,0,0.003286,0.019633,0.015376,0.019801,0.017754,0.017531,0.022131,0.019121,0.020794,0.020294,0.017941,0.018531,0.018504,0.021126,0.020181,0.021145,0.021957
57,0.011278,0.014552,0.027143,0,0.012286,0.016791,0.01572,0,0,0,0.018863,0.017247,0.020683,0.01675,0.013969,0.017741,0,0.03321,0.015989,0.016316,0.016789,0.012419,0.012904,0.016066,0.016288,0.01357,0.018635,0.018124,0.015204,0.016885,0.017879,0.015418
58,0.013061,0.014134,0.014719,0.014367,0.013156,0.012307,0.014282,0.014253,0.014353,0.014701,0.012247,0.012884,0.022947,0,0.013323,0.014033,0.013244,0.014203,0.012101,0.012417,0.013352,0.014422,0.01441,0.015239,0.013798,0.011143,0.012022,0.01032,0.015986,0.015333,0.01111,0.010282
59,0.016104,0.015914,0.018086,0.016404,0.016295,0.017836,0.017267,0.0185,0.010311,0.010612,0.012491,0.015064,0.011234,0.010167,0.009938,0.008999,0.01887,0.018457,0.019764,0.020652,0.026151,0.030465,0.025047,0,0.016533,0.014287,0.018155,0.016409,0.018332,0.018326,0.016757,0.017046
60,0.031973,0,0.010688,0.010722,0.009958,0.010934,0.011813,0.011248,0.019148,0.020424,0.021864,0.015135,0.01937,0.020162,0.020476,0.021201,0.019504,0.019097,0.019169,0.019333,0.01918,0.022731,0.018179,0.018214,0.018804,0.017177,0.02952,0.037305,0.017778,0.016198,0.027161,0.027898
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.012112,0,0.013442,0.019348,0,0,0,0,0.0202,0.013306,0.01205,0.009829,0.008556,0.008083,0,0,0.013259,0.015258,0.014907,0.013719,0.017446,0.014575,0.01403,0.029934,0.015584,0.015,0.014055,0.014246,0.017515,0.025285,0,0
63,0.047938,0,0,0,0,0,0,0,0,0,0.031394,0,0.017928,0.02481,0,0,0,0,0,0.031487,0.016805,0.014718,0.014436,0,0,0,0.02073,0,0,0,0,0
64,0.014405,0.017958,0.012962,0.013806,0.018301,0.019505,0.019792,0,0.022381,0.015238,0.013158,0.015674,0,0,0,0.014787,0.008039,0.006452,0,0,0.012979,0.014661,0.014614,0.014633,0.016209,0,0.011073,0.011817,0.022052,0.017132,0.018634,0.015729
65,0.015767,0.019595,0.017842,0.018057,0.014925,0.015695,0.017605,0.019525,0.013654,0.011762,0.019974,0.02675,0.013147,0.014841,0.014714,0.010967,0.020083,0.019504,0.024144,0.020175,0.036829,0,0.019997,0.023702,0.012492,0.011966,0.016916,0.01694,0.015623,0.013913,0.01324,0.012514
66,0,0,0,0,0.023751,0,0,0,0,0,0.030206,0,0,0,0,0.036062,0,0,0,0.034824,0,0,0.04159,0,0,0.039806,0,0,0.012725,0.021013,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.019951,0,0,0,0.0035,0,0,0,0,0.022017,0.008595,0,0.009831,0,0,0,0,0.01637,0,0,0.03227,0.015487,0,0,0.017116,0,0,0,0.016108,0.015866,0,0
69,0.014874,0,0,0,0,0,0,0,0,0,0.013209,0.010928,0.026981,0,0,0.012027,0,0,0.018191,0.021422,0.013425,0.011807,0.012594,0.012598,0.023131,0,0,0,0.021333,0.015735,0,0
70,0.012887,0.014106,0.01228,0.011534,0.012819,0.01429,0.013145,0.014825,0.011314,0.010833,0.015489,0.015446,0.019051,0.028047,0.00944,0.009787,0.011131,0.012376,0.014052,0.015716,0.011086,0.01332,0.01643,0.015803,0.013749,0.012922,0.013285,0.01224,0.017067,0.023188,0.01246,0
