op_wip,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,1,0,0
1,102,73,168,97,92,180,127,143,101,7,58,61,150,161,8,53,261,233,45,25,36,92,81,7,195,180,38,84,129,177,116,2
2,202,243,375,441,453,627,417,440,6,14,277,96,3,77,97,42,213,65,22,34,14,27,132,104,498,535,209,703,515,285,349,121
3,392,587,1008,884,1140,1383,420,698,402,436,587,562,259,299,485,342,897,554,303,335,297,584,374,426,1476,1332,1148,1786,1457,1016,1364,1127
4,2032,2253,2439,2179,2283,2589,1341,1739,1451,1296,1540,1599,1191,1518,1432,1315,1982,1379,1582,1465,1137,1506,1225,1476,2449,2355,2080,2800,2802,2687,2892,2422
5,1869,2452,2784,2443,2148,2593,1985,2404,2113,2092,2390,2244,1164,1629,2620,2392,1929,1284,1576,1526,1193,1543,1319,1495,3031,2963,1679,2447,3578,3329,3353,3164
6,1687,2267,2969,2748,2368,2765,1966,2654,1962,1803,3294,3079,2426,3050,3406,2958,3381,2430,1881,2055,1188,1599,2106,2294,3252,3320,1466,2407,4383,4028,4123,3805
7,1600,2286,3467,3182,3114,3794,1835,2560,1733,1851,3155,2992,2856,3511,3499,2665,3895,2696,2398,2517,2231,2630,3490,3525,3374,3672,1410,2317,4223,4029,4323,3914
8,1985,2772,3874,3465,2922,3892,1546,2422,1599,1590,2953,2963,3160,4229,3752,2747,3607,2321,2504,2255,2804,3403,3552,3885,4243,4749,2532,3629,5271,5122,5291,4645
9,3145,4291,5207,4644,3176,4252,1670,2648,1745,1789,3766,3594,3771,4929,4275,3301,3961,2557,2977,3129,3294,3819,4118,4454,4992,5635,2603,3872,6353,6040,6365,5532
10,1578,2823,4161,3522,3649,4909,2411,3328,1082,1166,3223,2570,2447,3720,4910,3890,3516,1796,2108,2039,2227,2771,3435,3809,3755,4608,1757,2922,5301,4907,5563,5023
11,1172,2466,4139,3571,3618,4862,2420,3681,1712,1593,3543,3502,2742,4160,4570,3443,4125,2293,2013,1681,2373,2717,3015,3377,3518,4341,1436,2738,5115,4573,5522,4886
12,1545,2744,4511,3493,3366,4906,2208,3488,1675,1847,3331,3553,3517,4997,4093,3045,4344,2318,2950,2899,2978,3346,3520,3772,3303,4619,1121,2764,5486,4843,5435,4879
13,373,1947,3590,2934,2466,3933,1529,2847,1025,1033,2787,2589,3105,4721,3903,2566,4124,1735,2543,2545,2284,2987,3622,3941,4397,5454,1120,2783,5822,5472,5075,4554
14,497,1664,3874,3152,1318,2914,208,1815,8,10,1933,1814,2227,3856,2879,1640,3335,853,1430,1483,1504,2216,2777,3227,3586,4813,458,2286,4942,4660,5666,5240
15,895,2069,3695,2889,2190,4179,207,2101,124,18,2025,1749,2274,4066,3724,2515,3522,810,1503,1378,1568,2162,2738,3336,3304,4838,333,2205,4968,4776,5619,5248
