stat_bytes_avail,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,476771254272,459407249408,459117731840,472877682688,479885471744,460234817536,469131677696,454507126784,467585789952,462260776960,465913286656,467408560128,468304982016,448273920000,462374580224,477461671936,460323979264,476990320640,464029507584,459313315840,468153069568,458914398208,461809074176,458816638976,475206656000,460701720576,471212101632,454942244864,465317875712,467069779968,453522169856,456445227008
1,476771254272,459407249408,459117731840,472877682688,479885471744,460234817536,469131677696,454507126784,467585789952,462260776960,465913286656,467408560128,468304982016,448273920000,462374580224,477461671936,460323979264,476990320640,464029507584,459313315840,468153069568,458914398208,461809074176,458816638976,475206656000,460701720576,471212101632,454942244864,465317875712,467069779968,453522169856,456445227008
2,476771254272,459407249408,459117731840,472877682688,479885471744,460234817536,469131677696,454507126784,467585789952,462260776960,465913286656,467408560128,468304982016,448273920000,462375772160,477461671936,460323979264,476990320640,464029507584,459313315840,468153069568,458914398208,461809074176,458817568768,475206656000,460701720576,471212699648,454942244864,465317875712,467069779968,453523800064,456445227008
3,476771254272,459407249408,459117731840,472877682688,479885471744,460234817536,469131677696,454507126784,467586887680,462262652928,465913286656,467410931712,468307222528,448273920000,462375772160,477463166976,460323979264,476990541824,464033734656,459313315840,468156428288,458914398208,461812576256,458817568768,475206656000,460701720576,471214604288,454942244864,465317875712,467069779968,453523800064,456445227008
4,476771254272,459407249408,459121373184,472881651712,479885471744,460234817536,469131677696,454511169536,467586887680,462262652928,465913286656,467410931712,468307222528,448277991424,462375772160,477463166976,460328497152,476990541824,464033734656,459313315840,468156428288,458918506496,461812576256,458817568768,475206656000,460706238464,471214604288,454942244864,465317875712,467069779968,453523800064,456448946176
5,476771254272,459407249408,459121373184,472881651712,479885471744,460234817536,469131677696,454511169536,467586887680,462262652928,465916215296,467410931712,468309438464,448277991424,462375772160,477463166976,460328497152,476990541824,464033734656,459313315840,468156997632,458918670336,461813592064,458821156864,475206656000,460706238464,471214604288,454942244864,465317875712,467074256896,453523800064,456448946176
6,476775772160,459407249408,459121373184,472881651712,479885471744,460234817536,469131677696,454511169536,467590246400,462262652928,465916215296,467413078016,468309438464,448277991424,462379098112,477464600576,460328497152,476994838528,464033734656,459313315840,468157526016,458918670336,461813592064,458821156864,475206656000,460706238464,471214604288,454942244864,465317875712,467074297856,453523800064,456448946176
7,476775772160,459407249408,459122249728,472882200576,479885471744,460239273984,469131677696,454511644672,467590307840,462262652928,465916215296,467413078016,468309438464,448277991424,462379098112,477464600576,460328497152,476994838528,464033734656,459313315840,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456448946176
8,476775772160,459407249408,459122249728,472882200576,479885410304,460239273984,469131677696,454511644672,467590307840,462265233408,465916215296,467413078016,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464034025472,459313315840,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
9,476775772160,459407249408,459122249728,472882200576,479885410304,460239273984,469131677696,454511644672,467590307840,462265233408,465916215296,467413078016,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464034025472,459313315840,468157526016,458918916096,461813592064,458821095424,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
