stat_bytes_used,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,472764252160,490128257024,490417774592,476657823744,469650034688,489300688896,480403828736,495028379648,481949716480,487274729472,483622219776,482126946304,481230524416,501261586432,487160926208,472073834496,489211527168,472545185792,485505998848,490222190592,481382436864,490621108224,487726432256,490718867456,474328850432,488833785856,478323404800,494593261568,484217630720,482465726464,496013336576,493090279424
1,472764252160,490128257024,490417774592,476657823744,469650034688,489300688896,480403828736,495028379648,481949716480,487274729472,483622219776,482126946304,481230524416,501261586432,487160926208,472073834496,489211527168,472545185792,485505998848,490222190592,481382436864,490621108224,487726432256,490718867456,474328850432,488833785856,478323404800,494593261568,484217630720,482465726464,496013336576,493090279424
2,472764252160,490128257024,490417774592,476657823744,469650034688,489300688896,480403828736,495028379648,481949716480,487274729472,483622219776,482126946304,481230524416,501261586432,487159734272,472073834496,489211527168,472545185792,485505998848,490222190592,481382436864,490621108224,487726432256,490717937664,474328850432,488833785856,478322806784,494593261568,484217630720,482465726464,496011706368,493090279424
3,472764252160,490128257024,490417774592,476657823744,469650034688,489300688896,480403828736,495028379648,481948618752,487272853504,483622219776,482124574720,481228283904,501261586432,487159734272,472072339456,489211527168,472544964608,485501771776,490222190592,481379078144,490621108224,487722930176,490717937664,474328850432,488833785856,478320902144,494593261568,484217630720,482465726464,496011706368,493090279424
4,472764252160,490128257024,490414133248,476653854720,469650034688,489300688896,480403828736,495024336896,481948618752,487272853504,483622219776,482124574720,481228283904,501257515008,487159734272,472072339456,489207009280,472544964608,485501771776,490222190592,481379078144,490616999936,487722930176,490717937664,474328850432,488829267968,478320902144,494593261568,484217630720,482465726464,496011706368,493086560256
5,472764252160,490128257024,490414133248,476653854720,469650034688,489300688896,480403828736,495024336896,481948618752,487272853504,483619291136,482124574720,481226067968,501257515008,487159734272,472072339456,489207009280,472544964608,485501771776,490222190592,481378508800,490616836096,487721914368,490714349568,474328850432,488829267968,478320902144,494593261568,484217630720,482461249536,496011706368,493086560256
6,472759734272,490128257024,490414133248,476653854720,469650034688,489300688896,480403828736,495024336896,481945260032,487272853504,483619291136,482122428416,481226067968,501257515008,487156408320,472070905856,489207009280,472540667904,485501771776,490222190592,481377980416,490616836096,487721914368,490714349568,474328850432,488829267968,478320902144,494593261568,484217630720,482461208576,496011706368,493086560256
7,472759734272,490128257024,490413256704,476653305856,469650034688,489296232448,480403828736,495023861760,481945198592,487272853504,483619291136,482122428416,481226067968,501257515008,487156408320,472070905856,489207009280,472540667904,485501771776,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493086560256
8,472759734272,490128257024,490413256704,476653305856,469650096128,489296232448,480403828736,495023861760,481945198592,487270273024,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714349568,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
9,472759734272,490128257024,490413256704,476653305856,469650096128,489296232448,480403828736,495023861760,481945198592,487270273024,483619291136,482122428416,481226067968,501257068544,487156408320,472070905856,489207009280,472540667904,485501480960,490222190592,481377980416,490616590336,487721914368,490714411008,474328850432,488829267968,478318886912,494593261568,484217630720,482461208576,496008818688,493085761536
