subop_in_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,917,0,0,0,0,0,0,0,1834,0,0,0,0,0,0,0,4500,5168,3000,2751,3668,1834,3668,0,917,2417,917,1834,1834,4585,1500,7500
1,8555915,10384104,10581595,8498904,8390050,7764131,8937213,7778270,7590660,7389984,7117540,7212255,8118061,6911078,7797577,7196751,7452618,7316851,7786786,7335248,7490777,7716546,8075189,7626544,7772192,7673674,8361317,7494580,7141105,7538362,7183067,7269721
2,18288260,18108711,18447592,18099285,17528557,17906507,17675115,18552188,17700045,17117616,17457862,17236806,17101039,18344816,18005935,16712298,17920191,16365811,17641669,17798108,17996054,17981460,17425781,17297620,18974993,20313940,19323755,19437322,18400462,21880021,18004115,18232159
3,34647083,36164214,36220315,36583671,34184299,34854455,32667168,36763220,32399892,32161512,32054023,32153451,31503967,33303878,34661677,31039818,34137624,30523663,32940067,33756326,34057958,35980407,35212643,34335115,34113149,36413548,33608858,35885692,35207020,34011283,32256227,34435453
4,56430569,56161473,58597639,57452835,54803674,54526517,55897545,59178248,56341932,53992128,54591589,55233012,53970838,56331596,56991871,53115510,57278454,52472104,58427971,55841444,56416430,56840145,54502952,56071471,56594159,60350875,55034156,57296851,57131896,58768672,55745819,57515014
5,74698157,76521633,77633446,74749545,72378451,72586733,74612868,77987831,74138220,71844972,72972289,72397758,73671178,76550366,75575230,69252822,75885378,70433347,74640691,75678461,75127040,76158732,73420934,75338215,71925548,76554169,72632498,75465466,74188243,73892689,71939687,77097529
6,93361637,94110549,95302483,95123844,91428397,93832937,95331216,100190774,94550223,92120298,94034686,92805048,94031338,98084063,96401977,88750503,96693273,89883898,94260910,95284541,95138438,95901489,94436201,95566411,91418516,97446898,91008485,95547559,94670941,94087894,91536341,97019380
7,112859318,113801463,116525122,115592403,111774418,113391887,115257780,120678185,114712437,113550309,115794607,112576083,115037179,119622473,118293862,108554529,117637845,108797167,115535392,117020897,115738961,116374761,114692675,116949292,109780364,118099264,110751242,116741920,115120648,113802373,111561878,117704737
8,136410179,134986398,139317190,136513410,132464488,135821054,136155222,142522940,138489522,132359892,134627755,134293587,134911900,143083787,139808707,127830699,136027971,131443132,138369877,138705410,136509152,139567434,133101653,140344624,132176540,140872480,130790918,137469694,135914404,135232384,133416059,141184903
9,156525263,157670067,160591672,160083123,154775830,156365021,159649527,167148365,159599049,156358488,157108765,155393688,157355206,163722014,160922947,149161737,161633700,151209454,158414266,161148716,159909197,161237808,157524419,161967868,151961714,164140561,153846914,160926295,159960130,157798228,154167398,163340716
10,172243118,172756380,175673272,174990342,169659484,172040459,175904664,182517458,172913274,170775555,172986862,170168943,172191730,180024281,176169502,162612639,176013063,164768755,173033992,176381132,175961675,175664301,172785113,177247414,167038601,179731165,169602473,175814662,174240520,172234147,169786280,179331925
11,190901885,192329469,196264369,194775516,189119461,191608835,194879202,202599551,192934098,188831058,192192337,188002935,190982461,198730178,194578480,180611586,194572857,182767702,192512821,194936213,194380079,195685125,191095118,196415185,185504135,199002622,188751392,195364186,194402734,193282405,189307526,197599513
12,213194375,214626672,223005931,217642992,209446630,214113410,216940755,224005997,213850392,213098295,213009658,213693498,212440750,221993546,217007647,202352655,216601419,203321095,214334011,215390633,217436075,219763842,210064943,216025978,207297047,225763036,208513001,217859335,218490877,216343114,209163395,219924994
13,229501355,230768697,235019368,234166770,227553976,228417365,234661635,242504522,231722088,227416389,233266132,227794794,231542539,241651469,236283817,218838729,233879277,219024811,231182986,235651820,231315860,234020667,227625581,234967525,222383360,239063122,226083065,234670606,232865527,232079821,226427114,238286842
14,244545251,245713620,250911604,250591575,241626994,243070082,248956164,259650416,246888522,241107654,247315585,241514337,245601418,257029988,249946804,233175675,248828913,234770944,246387124,250332815,248744534,251831094,244215341,252711970,238058798,254983636,240617957,250567555,249097099,247071874,242649260,255734368
15,264731030,266959824,272657386,271818927,263372776,264641483,270188229,282249251,268021614,262825158,267496651,263019756,267554572,278662658,270924367,253432149,269858319,255960592,268547650,272007902,270834365,273049020,265221182,274212676,257712008,276102589,262999994,271573396,270352729,270716995,262288331,276702505
16,285265571,286933518,292371865,292047123,282992995,283328528,288950682,303471890,289404495,280932504,288879532,283940763,287556544,298716473,291619150,272434965,289629354,275331022,286216687,292057004,290218934,291293043,285001643,293111806,277450052,296278942,280551206,289652464,290331136,288645247,280174166,297331306
17,307916249,311733324,319202974,316568862,308287666,306573044,313095381,329313269,309529005,303102456,307854070,305620563,308411569,320900564,314552608,293440806,311851149,294621331,307854070,312945020,316446779,321611772,306384524,313688764,300793541,320890228,304021946,314471122,315602242,312214960,305878868,322055704
18,325773806,327790515,334614484,332654331,322864975,324732233,330703149,346063271,329601672,322821648,329114413,323218905,329417410,343735049,334823221,312076008,330684297,313925779,327662809,334983008,331434119,335420862,327597737,336381859,315465110,337442284,320687114,332922517,332946082,330963274,321497750,341609941
19,342641633,345685776,352688839,351991770,339624403,340591478,347283483,364481675,344786958,339868569,347999404,338592711,343509280,361578467,354028696,328034226,345365292,326834686,341556733,347731673,345822908,349409046,339823259,349667806,331734386,355851262,338304308,350539711,349620676,347378653,340236638,359396803
20,362450372,363793122,374453473,371084133,358792174,360852665,367139352,386679905,363290196,355591137,364004752,355879995,362959831,380241947,370816402,344817219,364957233,345950614,361822633,367705367,365018957,370122681,359584868,369547240,349926566,375834382,356345672,370522831,371210929,367974463,358829423,378126265
21,378135236,380373456,388898818,387362835,374429908,376174628,384497331,402232805,383245038,375923019,383898325,376711455,384257878,400328753,390554446,363645654,386542773,364896874,381626659,389253203,385529933,390332025,379624544,390760453,366153425,391434412,372209630,387131443,387334102,384842290,373717790,396063943
22,400578542,403632111,411158317,407854959,396100282,398914853,405055437,424727954,405372573,397051398,405592264,397340256,404561482,421933145,413893222,385777902,406846377,385308877,404734498,407869553,406794989,411045660,398858297,411540070,388337516,414372583,393649067,409918798,409395655,407686201,395105384,418629787
23,423681668,426410040,434996671,432730173,418449328,421235621,430166301,449989634,430172379,421464738,429209107,420589485,429512104,446544431,438443239,408244773,429563037,409420585,428728381,433654376,433286762,437909760,425246384,436990270,409357496,437362597,416295032,432965368,434153044,430911865,418382891,443076118
24,444065393,446586393,456483238,454306287,440336500,442316870,450337941,472597895,449396706,441659943,452010601,440303964,449848699,467484290,458303821,428227893,456224478,428088778,446199472,456111821,450602324,453811422,445073975,456365413,428398016,457614358,436928546,454616890,455196589,452737768,438879728,465095254
25,457610555,463091319,470282902,468647946,452020027,456847049,465004797,485092058,462588393,454630119,462987178,454499520,462776458,482660150,470911096,439718187,466140630,441544393,461601556,471122726,466607672,471056289,459590015,472714810,444120584,475099588,451831052,470872027,472087981,468078583,453876494,481680301
26,480100991,482018727,494059987,492773793,474006172,477372164,485972934,509151923,484550973,475230642,485293807,474520344,484465684,504085448,492341107,460262154,488536806,462036517,482569693,493697996,487736051,492952887,480360206,495299506,464292224,496647424,473633390,491383003,494276785,489315361,475801370,505193458
27,496181747,498434106,508806964,507440649,489365839,494320112,502317618,527372381,501564903,491707290,502830880,492580560,502379797,523314488,511461748,477742671,504353634,478400053,499809847,510961715,505037474,510070503,498368579,513006247,479863976,513543529,488177708,508076449,508783399,505806148,490981943,521458021
28,517135745,521551371,531391660,530110179,511663042,516551333,524478144,551762156,525615342,514089327,527588269,515386767,526496218,546695681,535743124,500261385,530053623,502780402,524345725,535846355,530101208,535176654,522631103,537183937,501256283,534756742,510163853,531749848,531787552,527811145,512854976,544127551
29,537519470,542166033,552208981,549838797,531928942,539032343,548457888,573870839,546988797,533384349,546261175,534417861,545131420,568186961,555118267,517397853,549108282,521415604,543791563,555801197,549419795,555296451,542878151,557595940,520725686,559735642,531037730,554051764,555230014,550438258,533389517,567833941
30,559213409,563087040,574086727,572192556,552562456,556998299,567192063,594768281,567386661,556190556,569911009,558190233,568682281,592817099,579319522,539421702,572079444,543976735,567545083,578315198,572626607,578861451,566259344,581057254,539841614,578139907,550120667,573351499,574096153,569459926,554579165,587364613
31,579243659,581957892,597260548,593514168,570500134,575718335,586275000,612399614,584457147,574175364,586430074,573719568,590522323,613464752,595650067,557642160,589856880,559864258,583305355,597237893,589018421,596874537,583664453,599164600,558179897,597076741,568802999,595403626,599103331,592266133,572300045,609232933
32,595593056,600795753,612370426,610330152,589484098,593731421,604000593,634249082,602738874,592240293,608166430,596049762,606028093,629800010,614723578,574934157,608930391,578716258,602539108,615712853,608695196,616197837,603133856,618784819,576810386,616381189,587240255,612888856,613930429,609119821,593188061,627217741
33,615392369,620995671,633729742,630190734,609368245,615067172,624982869,655066403,626374569,613081179,629242966,616061160,627802153,653562956,637091476,595044528,631467957,599896480,623912563,637453922,629927261,637821081,624808943,641949214,597406196,636911017,607048994,633173608,633357415,628876717,611512205,648826846
34,635738390,640597038,654584767,650810109,630529615,634333916,644400429,677891462,647488809,633446052,649560709,636642831,649448962,674304869,659148316,615084204,652322982,620680810,646681066,659963210,652394132,661084449,647148563,663662005,615216623,657822598,626933141,653034190,655263439,649420684,632975207,669663019
35,654722354,660514176,673827946,669963741,648957445,653383862,663167595,697648358,667222140,653509293,668874583,656522265,668107729,695409683,678481042,633964482,672268398,639589366,666979957,681336665,672820274,681604851,666453011,683593282,632942216,676872544,644663447,672946615,673969336,668984347,650969441,688925050
36,674941124,680690529,692090821,691506864,669930295,672872117,684229992,718800302,687935775,672710055,689135770,674841696,689542453,717023501,699354919,653452737,692034720,659704450,684276667,699905885,692638439,699688632,685041083,704358760,651143822,696982915,663774662,693316201,694145689,687982450,669354854,709803640
37,694891253,699165489,713242765,711230769,688146040,691799525,702417459,739028498,706693515,691137885,706220395,694476054,706546957,735097856,717547099,670169748,709958259,675516565,703477429,718969970,710378171,719077914,703864805,723592513,670038239,717969904,682230770,714124096,712955272,708106960,689672597,728735761
