subop_w,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,4,3,4,2,4,0,1,3,1,2,2,5,2,10
1,1835,2218,2255,1818,1790,1667,1911,1670,1640,1568,1520,1545,1747,1486,1679,1527,1596,1577,1662,1576,1609,1652,1733,1628,1654,1638,1779,1600,1525,1624,1529,1567
2,3900,3857,3924,3855,3729,3819,3765,3956,3785,3633,3714,3672,3653,3912,3845,3546,3817,3497,3753,3796,3838,3830,3717,3680,4031,4320,4105,4135,3914,4667,3825,3893
3,7371,7688,7695,7777,7263,7415,6946,7820,6904,6824,6811,6837,6709,7086,7379,6586,7258,6501,6999,7182,7246,7649,7491,7295,7243,7736,7136,7624,7480,7241,6849,7331
4,11993,11931,12443,12205,11638,11589,11875,12576,11984,11456,11593,11734,11476,11972,12117,11270,12168,11158,12407,11868,11990,12075,11584,11907,12013,12815,11682,12167,12132,12494,11833,12228
5,15869,16251,16482,15875,15367,15421,15846,16567,15760,15244,15493,15376,15656,16262,16060,14694,16116,14969,15847,16077,15960,16174,15598,15995,15266,16253,15416,16022,15751,15703,15269,16383
6,19829,19983,20231,20198,19409,19929,20242,21278,20091,19546,19962,19706,19976,20831,20479,18831,20531,19096,20010,20237,20206,20363,20057,20287,19402,20686,19315,20284,20097,19988,19427,20610
7,23966,24161,24734,24541,23726,24079,24470,25625,24369,24093,24579,23901,24433,25401,25124,23033,24975,23109,24524,24849,24577,24707,24355,24824,23298,25068,23504,24780,24436,24171,23676,24999
8,28963,28656,29570,28980,28116,28838,28904,30260,29414,28084,28575,28511,28650,30379,29689,27123,28877,27914,29369,29450,28984,29628,28261,29788,28050,29900,27756,29178,28848,28718,28313,29981
9,33231,33469,34084,33981,32850,33197,33889,35485,33893,33176,33345,32986,33412,34758,34169,31649,34310,32108,33622,34212,33949,34226,33443,34376,32248,34837,32648,34155,33950,33506,32716,34682
