%idle,ceph01,ceph02,ceph03,ceph04
0,18.56,17.51,19.52,18.03
1,11.61,11.52,11.61,11.98
2,20.63,23.66,20.71,24.87
3,18.12,19.22,19.47,17.13
4,23.15,17.57,20.24,18.59
5,18.78,22.96,21.14,23.14
6,20.69,19.89,20.87,19.36
7,16.02,16.53,17.35,16.21
8,24.07,24.96,21.82,26.4
9,29.88,31.26,24.42,23.83
10,31.06,24.46,29.24,30.81
11,19.12,27.48,26.65,27.89
12,16.23,16.69,16.9,16.77
13,13.83,13.91,14.96,14.48
14,20.27,21.12,20.9,23.63
15,23.51,25.04,21.86,21.54
16,26.81,19.03,22.97,21.46
17,23.03,22.3,21.56,21.83
18,19.68,25.95,25.53,26.06
19,16.88,17.26,18.48,17.43
20,21.83,20.55,21.61,23.14
21,30.33,31.96,24.32,24.83
22,27.55,24.18,27.5,24.05
23,40.38,36.07,40.33,42.81
24,17.82,24.47,22.48,23.18
25,28.02,25.73,27.36,25.99
26,21.57,21.69,20.95,20.92
27,13.85,14.67,13.62,17.57
28,21.66,26.02,22.65,20.99
29,24.95,17.53,19.47,20.49
30,17.0,19.71,20.53,18.26
31,25.53,25.43,28.39,26.8
32,18.25,17.78,18.3,16.91
33,19.89,20.17,18.47,23.47
34,28.43,30.49,24.78,25.47
35,21.15,15.63,19.83,18.08
36,21.09,17.33,18.77,18.4
37,22.72,29.71,30.84,29.75
38,30.84,31.37,31.97,31.33
39,19.48,20.19,19.39,21.27
40,18.06,19.26,18.35,21.5
41,18.89,19.94,19.31,17.42
42,28.67,21.42,22.04,22.83
43,29.97,34.31,35.74,33.94
44,14.96,15.49,16.58,15.06
45,14.85,14.75,15.61,14.72
46,16.27,16.94,15.23,20.15
47,20.3,23.05,21.37,18.63
48,28.4,20.49,20.38,21.06
49,18.96,21.61,22.29,24.73
50,21.17,22.14,23.67,20.74
51,19.46,19.51,18.83,19.22
52,29.78,29.34,25.3,29.87
53,27.14,30.77,27.66,23.72
54,29.73,23.26,29.07,28.96
55,38.24,39.08,45.33,41.74
56,18.82,19.74,18.71,20.54
57,14.7,14.5,17.09,15.5
58,16.85,17.46,16.91,18.78
59,20.32,20.23,20.29,22.81
60,32.57,27.94,23.92,27.0
61,26.57,24.8,28.63,25.67
62,15.94,17.08,16.42,18.83
63,13.23,13.34,14.74,12.64
64,20.69,22.21,20.99,21.6
65,16.7,16.8,17.37,20.78
66,27.45,26.02,22.93,20.61
67,36.61,29.64,31.19,32.01
68,23.36,25.3,26.9,28.47
69,15.12,14.55,16.92,15.15
70,25.21,22.38,24.79,24.64
71,16.17,15.69,17.9,23.9
72,44.76,41.68,45.82,43.56
73,46.26,44.75,51.52,48.91
74,53.21,56.26,56.77,57.0
75,28.81,29.94,27.79,27.87
76,57.69,58.87,52.96,58.97
77,40.24,39.55,33.59,37.23
78,33.39,32.1,31.0,28.83
79,17.29,20.82,17.5,17.98
80,48.55,43.57,51.1,50.24
81,16.18,15.36,13.38,14.37
82,18.86,17.91,20.64,18.92
83,29.82,30.35,22.69,26.39
84,41.49,39.77,34.49,34.19
85,21.28,25.78,21.88,22.76
86,23.08,20.65,26.9,26.82
87,17.56,17.86,16.69,19.27
88,18.72,18.47,19.81,19.27
89,33.42,32.21,32.16,33.4
90,20.58,19.25,18.48,18.84
91,22.81,25.42,20.3,20.65
92,16.85,14.58,16.33,16.54
93,18.71,18.75,19.5,20.35
94,23.34,22.32,26.27,24.79
95,31.39,27.15,26.85,29.65
96,34.6,33.38,29.42,32.33
97,15.74,18.76,16.8,16.09
98,21.92,22.98,20.22,19.95
99,17.63,17.44,18.46,19.83
100,19.56,20.64,19.5,18.92
101,24.74,21.11,26.35,24.81
102,33.23,32.37,29.69,33.57
103,15.9,14.6,14.56,14.6
