%usr,ceph01,ceph02,ceph03,ceph04
0,52.56,53.34,50.57,53.27
1,57.05,57.43,56.44,56.71
2,51.21,48.74,51.26,45.14
3,52.19,49.61,51.8,52.76
4,44.39,51.8,50.55,52.36
5,50.83,49.18,49.03,48.99
6,51.14,50.97,49.28,51.93
7,54.67,53.87,52.55,54.46
8,48.72,48.44,49.84,44.22
9,44.55,41.45,48.35,47.3
10,41.22,46.0,44.46,44.66
11,49.29,46.46,45.71,46.1
12,53.98,52.6,52.12,52.83
13,56.13,55.46,53.78,55.25
14,51.66,50.96,49.78,47.51
15,47.8,46.14,50.12,48.84
16,45.96,49.03,49.37,50.33
17,45.97,49.69,49.24,50.32
18,50.64,47.12,46.89,46.52
19,53.46,53.33,51.19,52.24
20,49.59,51.03,48.74,48.21
21,43.98,43.37,47.87,46.23
22,46.56,45.28,45.9,47.55
23,34.76,39.31,36.75,36.76
24,50.63,47.97,48.88,48.7
25,46.77,47.03,45.59,45.82
26,49.34,50.39,50.05,50.41
27,55.3,54.9,55.82,52.19
28,50.46,44.94,49.28,49.56
29,46.52,52.02,50.86,51.22
30,50.66,52.12,51.32,52.98
31,47.25,47.05,44.44,44.41
32,52.52,53.12,51.44,53.17
33,51.28,51.34,51.93,48.82
34,46.03,42.65,48.2,45.93
35,51.05,52.42,51.1,52.91
36,48.34,53.54,52.49,52.89
37,47.9,44.34,43.47,42.6
38,43.59,43.51,42.4,43.64
39,51.78,51.99,50.57,51.54
40,52.94,51.29,52.57,48.56
41,52.45,48.83,51.58,51.99
42,43.36,50.04,50.0,50.16
43,41.83,40.54,39.85,39.76
44,54.56,54.61,53.36,54.35
45,54.99,55.13,52.87,55.49
46,54.41,53.35,53.57,50.48
47,51.42,47.21,50.23,50.37
48,44.3,49.34,50.33,50.32
49,47.15,48.35,48.48,46.48
50,49.33,49.57,47.36,50.1
51,52.15,51.86,49.88,52.6
52,45.03,44.58,46.63,43.99
53,46.69,43.07,46.41,46.5
54,43.98,46.46,44.25,43.76
55,35.98,37.08,34.35,36.98
56,51.8,51.8,51.68,50.12
57,55.48,55.8,52.85,54.84
58,53.39,52.0,52.14,51.93
59,50.96,51.24,51.77,48.05
60,41.24,43.23,47.36,45.0
61,43.93,45.16,45.18,47.62
62,53.8,53.14,52.94,51.66
63,56.66,56.17,54.4,56.61
64,51.43,48.95,49.35,50.99
65,53.87,53.85,53.46,49.72
66,44.57,45.14,48.21,48.34
67,37.23,42.44,43.65,43.79
68,48.22,49.19,46.46,45.35
69,55.49,56.46,53.39,54.72
70,48.9,48.82,46.74,48.72
71,55.15,55.23,52.25,47.64
72,34.69,36.51,34.26,33.45
73,32.03,31.45,32.34,34.59
74,30.0,27.13,26.43,28.14
75,46.79,46.11,47.4,45.37
76,27.53,25.68,27.99,26.94
77,38.56,37.92,40.53,39.8
78,40.88,43.63,43.82,44.18
79,51.83,48.86,53.33,53.57
80,31.74,34.59,30.06,32.48
81,54.38,54.1,55.85,54.1
82,50.97,51.87,50.01,52.6
83,43.07,43.56,47.37,45.15
84,36.17,37.89,39.7,40.22
85,49.67,45.72,50.36,49.77
86,48.12,49.33,45.7,47.0
87,53.55,53.22,53.08,51.15
88,51.79,51.51,50.77,51.46
89,41.82,42.65,41.16,40.97
90,50.44,52.23,51.09,51.11
91,47.86,46.59,51.47,51.03
92,53.18,52.64,54.01,54.43
93,51.88,52.79,51.02,50.94
94,48.46,47.8,46.46,46.65
95,43.9,45.74,44.43,43.47
96,40.83,42.88,43.56,41.68
97,52.77,52.33,53.78,54.05
98,49.86,47.62,51.48,52.15
99,52.05,52.71,51.39,51.77
100,51.48,48.85,51.85,50.21
101,48.01,50.0,45.12,47.23
102,41.3,43.32,42.86,41.46
103,52.82,54.97,54.49,54.4
104,52.34,50.46,53.73,53.59
105,50.99,52.16,50.95,52.5
106,51.86,49.24,51.72,48.43
107,45.77,45.61,42.63,43.94
108,51.08,51.38,49.97,51.22
109,47.36,50.21,51.13,50.8
110,49.78,47.36,50.9,50.18
111,47.49,47.61,47.35,48.19
112,40.53,38.91,39.42,37.05
113,44.08,46.39,43.68,44.75
114,49.88,51.28,49.88,51.67
115,50.14,51.8,50.71,50.45
116,46.8,47.04,50.67,48.26
117,43.29,40.93,43.11,42.95
118,44.63,44.71,42.75,42.41
119,42.78,43.52,43.51,43.58
120,53.71,53.93,51.68,54.33
121,53.4,52.98,52.14,52.17
122,45.26,49.7,51.25,49.08
123,44.44,40.79,44.73,44.01
124,45.75,45.96,45.24,44.75
125,46.83,48.36,46.1,46.82
126,52.24,51.62,49.4,51.77
127,53.13,53.0,49.69,52.51
128,47.65,50.35,51.67,48.37
129,47.69,47.86,51.56,49.4
130,47.68,44.66,45.9,47.34
131,48.88,50.74,51.16,46.39
132,55.76,55.31,53.04,54.26
133,53.71,54.37,50.35,54.13
134,49.4,46.8,47.75,48.3
135,44.78,47.3,51.06,49.84
136,39.62,38.44,39.53,41.64
137,36.88,36.59,36.68,34.18
138,54.89,55.26,54.31,53.61
139,55.02,55.01,52.15,55.4
140,51.23,48.32,49.09,49.07
141,44.26,49.89,50.1,49.16
142,40.26,40.8,44.22,44.3
143,54.1,54.02,53.61,53.42
144,47.22,48.73,47.81,45.15
145,50.21,48.51,46.9,50.27
146,43.21,43.66,44.47,45.43
147,33.48,36.39,34.8,34.94
148,41.72,40.24,40.82,41.87
149,56.12,55.59,55.98,56.06
150,53.61,54.22,53.09,50.35
151,47.37,48.01,46.57,48.79
152,44.19,44.37,43.02,46.07
153,40.21,43.04,44.63,41.46
154,49.25,47.96,50.86,50.9
155,55.59,54.78,55.78,56.18
156,54.49,54.99,54.79,51.62
157,51.24,49.6,50.49,49.53
