avgqu-sz,ceph01,ceph02,ceph03,ceph04
0,0.5725,0.98375,2.0375,1.35875
1,0.8925,1.025,2.05625,0.8775
2,0.6975,0.66625,0.7775,1.64375
3,0.785,1.7775,0.805,1.8475
4,2.215,1.37125,1.4575,0.605
5,1.39875,1.015,1.405,0.885
6,0.72875,1.38375,1.64625,1.56375
7,0.76125,0.76375,2.135,0.83
8,0.575,0.565,1.58625,1.4975
9,0.89875,1.17125,0.49,1.83125
10,1.7025,1.82125,0.95125,0.6325
11,2.01875,0.855,1.75625,0.7275
12,0.72125,1.665,2.015,1.28375
13,0.715,1.04375,1.96875,0.95375
14,0.55,0.565,1.62625,1.51125
15,1.24375,0.9825,0.675,2.07
16,1.15,2.4,0.70125,0.77625
17,2.17875,0.67625,1.52125,0.6525
18,1.25,1.2075,1.44625,1.29375
19,0.76375,1.41375,2.16125,1.77625
20,0.83,0.8325,1.96,1.42875
21,1.3225,0.59,1.1575,1.91625
22,0.87125,2.345,0.9675,1.405
23,1.305,1.3075,1.1225,0.46375
24,1.98,1.18,0.92625,0.995
25,0.56625,1.41125,1.8625,1.90125
26,1.2725,0.72375,1.70375,1.165
27,1.5725,0.79875,1.78,1.205
28,0.60875,1.6625,0.565,1.7875
29,1.0125,1.84125,1.56125,0.6975
30,2.42375,0.90375,0.9275,0.6175
31,0.97875,1.42,1.63375,1.32625
32,1.0475,0.6375,1.81,1.42
33,1.32875,0.68,1.345,0.8575
34,0.5425,1.33375,0.62625,2.07375
35,0.7775,2.13,1.675,1.11125
36,2.07375,0.74,0.9425,0.64
37,1.3975,1.27,1.25875,1.11375
38,1.00875,1.0275,1.5525,1.33125
39,1.2175,0.7125,2.15125,0.86625
40,0.67625,0.82625,1.01,1.81
41,0.65875,2.15875,1.43375,1.1775
42,1.65125,1.17,1.0625,0.70625
43,1.71,0.5725,1.035,1.3375
44,1.1175,1.32375,1.3125,1.49125
45,0.84875,0.74125,1.88625,0.77
46,0.6125,1.10625,1.565,1.345
47,0.49625,1.80875,1.075,2.01125
48,1.21125,1.825,1.41,1.02625
49,1.76125,1.215,1.0775,1.4425
50,1.31375,1.1075,1.97375,1.87875
51,0.85125,0.79625,1.96875,0.6025
52,0.6875,0.7075,1.715,0.9225
53,0.72375,1.39875,0.7175,1.82875
54,0.82375,1.91375,1.4975,1.19125
55,2.0,1.325,0.81875,0.7475
56,1.34625,0.96875,1.4375,1.68125
57,0.7425,0.85125,1.68375,0.82375
58,0.84875,0.88375,2.15375,0.67125
59,0.655,0.8575,0.5775,1.59375
60,1.285,1.5825,1.2075,1.30875
61,1.825,1.71375,0.66,0.87125
62,1.16125,0.74875,1.89125,1.62625
63,0.75875,0.84375,0.98375,1.375
64,0.605,1.0325,1.7075,0.60625
65,0.67625,0.84,1.065,1.7
66,1.42375,1.37,1.49125,2.04625
67,1.665,1.49625,0.51375,0.50375
68,1.81625,0.7175,1.345,0.74375
69,0.71875,0.7225,1.3825,1.73375
70,0.59625,1.5275,1.5525,0.5375
71,0.70375,0.91875,1.385,1.45625
72,1.10625,0.8325,0.78875,1.41375
73,1.2675,2.14,0.355,0.3325
74,1.00125,0.77,0.90875,0.405
75,1.33875,0.41625,0.54375,1.58375
76,0.45375,0.975,1.22,0.6275
77,0.7675,1.14875,1.42875,0.79
78,1.41625,0.63125,1.07375,1.77625
79,1.51,1.6175,0.99375,1.16625
80,1.05,0.98625,1.24625,0.5075
81,0.69875,0.78625,0.78,1.9425
82,0.785,1.22625,1.17375,0.7125
83,1.19125,0.90375,1.6525,1.71125
84,1.13375,1.095,1.835,1.51625
85,1.925,1.50125,0.955,0.68625
86,1.67125,1.66125,1.36625,0.8975
87,0.70375,1.25875,2.09625,1.5925
88,1.25375,1.83125,1.05,1.39625
89,1.03875,1.21,1.84625,1.52375
90,0.985,1.00125,1.645,2.0425
91,1.5925,0.93875,0.83875,0.85
92,1.8775,2.57625,0.95875,0.76625
93,1.19,0.65125,1.0175,1.12375
94,1.15125,1.44375,1.28625,1.82125
95,0.70875,1.02125,1.6975,0.9925
96,0.99625,0.53375,1.60375,1.845
97,2.1325,0.87,0.96125,1.245
