%util,ceph01,ceph02,ceph03,ceph04
0,30.3375,35.5125,49.3125,41.9625
1,38.55,40.9125,48.7625,39.3125
2,31.425,30.65,29.7625,47.95
3,33.5625,51.2375,34.2875,54.6
4,64.475,47.775,40.7875,29.6125
5,44.575,33.625,39.6625,30.8625
6,32.95,40.925,42.875,41.4
7,35.5625,35.0,51.075,35.325
8,29.6125,30.15,42.2125,42.6875
9,32.8,37.625,27.25,50.9875
10,46.2375,57.2875,34.25,30.975
11,60.7125,35.1625,44.425,32.55
12,34.05,44.25,50.55,41.2
13,33.175,39.2625,49.275,39.3875
14,29.225,30.15,43.45,39.6875
15,39.3625,35.2125,31.375,52.5375
16,36.9,64.25,32.6,32.4
17,58.425,31.275,42.0625,31.2875
18,42.1,35.775,38.6625,36.9125
19,34.0,43.3625,53.5,46.2375
20,33.425,33.65,48.4,41.325
21,39.3125,27.55,42.0375,50.5
22,32.9,64.2625,36.1,53.875
23,38.375,46.3125,34.675,23.2
24,63.4,36.3625,34.575,37.425
25,29.4,40.2625,47.3,51.0125
26,41.925,32.9625,45.55,38.05
27,48.1125,36.2625,47.725,39.8625
28,29.8125,50.5875,28.0125,50.75
29,34.9125,54.1,42.75,33.7625
30,62.5125,36.7875,34.9125,31.3125
31,34.1,38.9375,41.4,41.0875
32,36.6,32.5,50.9875,47.1
33,39.225,31.7375,39.1,32.0625
34,29.1,40.025,30.4,52.1
35,33.1625,60.85,44.4,40.5125
36,52.025,32.3625,36.9875,31.6125
37,42.8375,36.775,35.5875,34.7875
38,32.325,35.15,39.6875,42.4125
39,39.9125,33.975,51.7125,37.6
40,32.75,34.0625,36.8625,46.975
41,31.8125,54.2875,43.95,42.2625
42,42.5625,38.8375,35.9125,33.6125
43,54.3625,25.9,34.3875,36.025
44,40.7,44.3375,40.9125,45.5125
45,35.9375,34.425,47.775,34.5125
46,31.1375,40.025,47.2125,42.2375
47,26.9125,45.7375,35.325,58.3875
48,38.4375,51.8875,40.2,36.7
49,58.8,37.0125,34.025,41.3875
50,43.75,38.425,50.5,49.8625
51,35.375,34.5875,54.625,30.55
52,32.4,28.175,45.7,32.1
53,29.875,40.0125,31.55,51.6625
54,31.2375,55.9875,38.2625,37.3875
55,56.1875,40.35,27.9375,27.2625
56,45.2625,38.175,41.0625,45.5875
57,34.1375,36.3,44.2125,36.0125
58,37.4125,36.2375,54.475,32.775
59,31.25,34.25,29.2125,41.75
60,40.2625,46.95,38.0,39.35
61,51.9375,47.3,29.375,32.625
62,40.75,35.15,48.275,44.8
63,35.6375,37.35,37.0625,43.5875
64,30.5,35.0375,47.075,30.425
65,32.5375,34.4,39.775,43.0625
66,41.525,39.7125,44.6375,59.0625
67,42.4375,51.275,25.7375,25.8875
68,46.4,33.1875,38.9875,30.5125
69,34.825,34.0625,41.925,44.625
70,28.4,47.725,43.8375,26.8375
71,30.3125,33.375,43.7625,42.225
72,30.975,27.1,27.2625,45.9375
73,34.8625,73.8,16.7625,17.0125
74,26.1,24.9125,31.2,20.4625
75,41.025,21.3,23.9625,36.5625
76,19.4625,29.8,34.6375,25.0125
77,26.3375,41.575,38.9375,30.0125
78,36.375,26.2875,32.05,47.825
79,47.325,47.6,37.8625,40.1625
80,29.0875,35.675,40.9,21.475
81,33.4625,33.7625,33.8625,44.9625
82,34.85,37.6625,38.3875,33.0875
83,39.5375,32.425,48.275,43.85
84,36.1625,33.6625,51.425,44.775
85,49.5375,42.9125,35.6875,31.9625
86,44.775,50.3125,39.85,35.175
87,32.875,40.1,51.275,43.7625
88,38.3,46.225,35.05,41.4625
89,34.3375,37.4125,46.6875,40.0375
90,35.375,38.35,46.825,51.95
91,45.8375,35.1375,33.2,33.0625
92,48.8375,66.7375,41.025,36.4125
93,38.1375,31.9125,34.6125,37.9625
94,36.625,42.475,39.7,44.75
95,28.85,35.375,46.0375,32.775
96,33.9,28.1375,46.6375,45.3125
97,53.3125,35.6125,37.475,41.075
98,36.125,51.3625,30.5875,30.9
99,46.0625,41.9875,40.7625,34.6
100,42.7,45.2,38.7375,58.875
101,30.35,38.6,40.9875,37.025
102,31.6,28.55,52.4125,34.075
103,46.0775,34.4875,42.475,46.6375
104,45.5625,45.1625,35.7,37.95
105,49.2125,48.55,33.825,32.4625
106,32.7875,47.825,45.8,39.2875
107,27.9875,42.6375,33.5875,41.7125
108,42.3625,33.175,49.525,39.625
109,31.425,29.3125,49.7625,39.85
110,46.0375,30.4375,33.575,36.05
111,45.8625,54.9875,29.9125,31.15
112,31.8625,46.6,36.0375,36.0625
