w_await,ceph01,ceph02,ceph03,ceph04
0,0.18,0.36625,1.035,0.5375
1,0.2675,0.31125,0.98875,0.2525
2,0.24625,0.2375,0.31875,0.9325
3,0.25125,0.95375,0.2425,0.81
4,1.42,0.6375,0.88,0.20875
5,0.64375,0.4375,0.67,0.3625
6,0.24,0.7,0.81125,0.83
7,0.24,0.24375,1.18625,0.2825
8,0.1875,0.18375,0.78625,0.97
9,0.3475,0.645,0.1625,0.94625
10,0.88375,1.03625,0.36625,0.22125
11,1.29,0.29625,0.9175,0.24875
12,0.23375,0.82,1.07125,0.54
13,0.2325,0.35,0.845,0.29625
14,0.18,0.18875,0.8275,0.945
15,0.5425,0.4175,0.23125,1.07
16,0.42,1.535,0.22625,0.27125
17,1.385,0.23375,0.77625,0.2125
18,0.555,0.5475,0.7325,0.69625
19,0.24625,0.5325,1.00375,0.7025
20,0.30625,0.29,1.0325,0.70625
21,0.69625,0.23625,0.48125,1.27625
22,0.31375,1.43625,0.34,0.68125
23,0.9425,0.76625,0.71125,0.18375
24,1.385,0.45375,0.32375,0.34125
25,0.19125,0.65,0.85875,1.20125
26,0.57125,0.24125,0.85875,0.52125
27,0.6125,0.24,0.75125,0.485
28,0.2075,0.87875,0.19375,0.89
29,0.36875,0.90125,0.81375,0.21875
30,1.41625,0.3175,0.3375,0.19625
31,0.4175,0.78375,0.86,0.72625
32,0.40875,0.195,0.72375,0.5775
33,0.62875,0.2275,0.82,0.355
34,0.17625,0.555,0.2025,1.205
35,0.26,0.97875,0.83,0.395
36,1.22375,0.255,0.32625,0.215
37,0.69625,0.705,0.66625,0.68875
38,0.48875,0.45875,0.88,0.5925
39,0.43625,0.23125,1.27875,0.27375
40,0.21375,0.31125,0.34625,1.01
41,0.215,1.09625,0.63125,0.48
42,0.83,0.43125,0.385,0.22875
43,0.92875,0.285,0.5375,0.985
44,0.3775,0.44125,0.49875,0.54
45,0.2875,0.24,0.85,0.25375
46,0.1975,0.4225,0.69,0.58
47,0.16875,0.89625,0.435,1.28
48,0.5025,1.1175,0.62625,0.38375
49,0.9475,0.82375,0.505,0.78125
50,0.51375,0.38625,0.9175,0.81375
51,0.29,0.2725,1.02875,0.195
52,0.2425,0.30125,1.00625,0.40625
53,0.27625,0.625,0.25375,1.2725
54,0.3425,1.29,0.8875,0.4825
55,1.165,1.02875,0.4025,0.3875
56,0.54,0.35375,0.585,1.1025
57,0.24125,0.275,0.82875,0.265
58,0.26125,0.3175,1.095,0.2
59,0.2225,0.315,0.20125,1.04125
60,0.67625,0.82125,0.68625,0.6775
61,0.905,0.795,0.2475,0.30875
62,0.43,0.2225,0.855,0.77
63,0.23375,0.26375,0.36625,0.4825
64,0.20625,0.545,0.805,0.21
65,0.215,0.2875,0.36375,0.8275
66,0.5775,0.58875,0.70375,1.13375
67,0.97375,0.94375,0.20125,0.19375
68,0.815,0.23,0.635,0.3
69,0.22375,0.23,0.49625,0.74625
70,0.235,0.9,1.125,0.2025
71,0.26125,0.36,0.635,0.64625
72,0.53,0.4975,0.495,0.9875
73,1.58875,2.9975,0.225,0.20375
74,0.78875,0.6025,0.81625,0.2125
75,0.87875,0.20625,0.27875,1.0825
76,0.3775,0.74875,1.2475,0.43375
77,0.38625,0.54125,0.90625,0.38875
78,0.7375,0.27875,0.64,0.9275
79,0.66,0.695,0.33625,0.4275
80,0.6975,0.54125,1.50875,0.22875
81,0.2275,0.27625,0.27,0.99875
82,0.275,0.57125,0.48,0.24125
83,0.5675,0.365,1.13125,1.11625
84,0.56,0.57125,1.58,0.80625
85,0.91875,0.74375,0.3425,0.23625
86,0.83875,0.84125,0.86375,0.315
87,0.22,0.4325,1.23375,0.75
88,0.51,0.91875,0.42625,0.60375
