wrqm/s,ceph01,ceph02,ceph03,ceph04
0,0.0,0.0,15.375,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,84.625
3,0.0,131.125,0.0,134.25
4,341.0,100.875,0.0,0.0
5,66.125,0.0,17.375,0.0
6,0.0,18.625,23.25,0.125
7,0.0,0.0,18.0,0.0
8,0.0,0.0,0.875,76.875
9,0.0,68.875,0.0,126.375
10,75.625,210.25,0.0,0.0
11,283.75,0.0,17.625,0.0
12,0.0,15.75,44.25,0.0
13,0.0,0.0,3.25,0.0
14,0.0,0.0,0.25,0.0
15,0.0,6.875,0.0,43.5
16,0.25,268.0,0.0,0.0
17,205.75,0.0,16.375,0.0
18,67.75,0.0,0.0,0.0
19,0.0,0.0,57.125,0.25
20,0.0,0.0,17.875,16.25
21,28.875,0.0,57.75,143.75
22,0.0,247.875,0.0,173.875
23,109.75,123.375,27.125,0.0
24,300.375,0.0,0.0,0.0
25,0.0,8.0,28.625,90.125
26,44.625,0.0,36.25,8.375
27,26.5,0.0,1.75,22.25
28,0.0,117.0,0.0,53.375
29,7.5,174.875,0.0,0.0
30,180.0,0.0,0.0,0.0
31,0.0,3.25,3.25,61.625
32,0.0,0.0,19.125,84.75
33,0.0,0.0,17.375,0.0
34,0.0,12.625,0.0,96.375
35,0.0,149.625,0.25,3.125
36,131.625,0.875,0.0,0.0
37,81.875,0.0,0.625,25.125
38,0.0,2.625,2.625,71.75
39,0.25,0.0,43.75,0.0
40,0.0,0.0,0.0,82.5
41,0.0,107.125,0.0,88.75
42,33.375,9.375,0.0,0.0
43,222.25,5.25,0.0,14.0
44,0.0,0.0,0.0,16.875
45,0.0,0.0,4.5,0.0
46,0.0,0.0,49.25,14.5
47,0.0,28.0,0.0,168.5
48,4.25,138.375,6.5,5.125
49,281.25,0.0,0.0,20.625
50,31.5,5.875,12.0,36.375
51,0.0,0.0,114.125,0.0
52,0.0,0.0,43.875,0.0
53,0.0,0.125,0.0,108.375
54,7.25,179.875,8.0,0.875
55,157.75,76.75,0.0,8.875
56,61.125,24.125,0.0,35.75
57,0.0,0.0,2.5,0.0
58,0.0,0.0,37.5,0.0
59,0.0,0.125,0.0,38.625
60,65.25,109.25,24.75,27.0
61,79.25,51.875,0.0,0.0
62,35.5,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,28.75,0.0
65,0.0,0.0,0.0,11.25
66,2.375,49.0,12.25,155.625
67,39.125,214.625,0.0,0.0
68,18.875,0.0,0.0,0.0
69,0.0,0.0,1.125,0.0
70,0.0,37.0,91.125,0.0
71,0.0,0.0,74.375,16.25
72,19.125,13.5,5.625,129.875
73,65.5,176.75,0.0,0.0
74,1.875,40.25,24.375,1.5
75,17.25,0.0,0.625,0.125
76,0.0,11.0,25.25,11.875
77,0.0,21.75,26.125,0.875
78,2.5,0.0,5.875,29.25
79,68.625,66.875,0.0,19.0
