%commit,ceph01,ceph02,ceph03,ceph04
0,45.2,57.14,45.35,57.39
1,45.21,57.15,45.29,57.27
2,45.21,57.15,45.3,57.27
3,45.23,57.18,45.3,57.28
4,45.32,57.43,45.43,57.44
5,45.5,57.28,45.31,57.38
6,45.67,57.81,45.33,57.83
7,45.5,57.4,45.34,57.57
8,45.29,57.24,45.49,57.36
9,45.3,57.24,45.37,57.35
10,45.39,57.37,45.45,57.46
11,45.34,57.27,45.38,57.35
12,45.35,57.27,45.93,57.37
13,45.5,57.45,45.94,57.47
14,45.38,57.32,45.87,57.4
15,45.38,57.32,45.51,57.4
16,45.38,57.46,45.51,57.53
17,45.49,57.35,45.49,57.41
18,45.42,57.35,45.58,57.41
19,45.43,57.53,45.5,57.42
20,45.57,57.5,45.53,57.55
21,45.45,57.47,45.67,57.46
22,45.65,57.71,45.55,57.59
23,45.84,58.02,45.55,57.94
24,45.8,58.12,45.56,58.02
25,46.04,58.06,45.68,58.03
26,45.64,57.58,45.56,57.63
27,45.53,57.47,45.69,57.51
28,45.57,57.49,45.61,57.53
29,45.57,57.64,45.64,57.55
30,45.72,57.52,45.65,57.68
31,45.6,57.53,45.78,57.56
32,45.6,57.66,45.66,57.56
33,45.63,57.56,45.67,57.57
34,45.64,57.57,45.67,57.57
35,45.67,57.58,45.82,57.59
36,45.78,57.59,46.12,57.6
37,45.71,57.61,45.91,57.62
38,45.71,57.61,45.76,57.63
39,45.95,57.83,45.86,57.75
40,45.72,57.65,45.77,57.82
41,46.05,57.93,45.78,57.76
42,46.15,58.03,45.79,57.92
43,46.11,58.29,45.88,58.08
44,45.91,57.76,45.84,57.71
45,45.85,57.8,46.05,57.75
46,46.04,57.97,46.02,57.89
47,45.92,57.87,46.15,57.83
48,45.92,57.9,46.05,57.93
49,46.06,58.03,46.05,57.84
50,45.95,57.92,46.07,57.85
51,45.97,57.93,46.2,57.86
52,46.06,58.02,46.09,57.97
53,45.98,57.95,46.11,57.89
54,45.98,57.96,46.22,57.89
55,45.98,58.08,46.66,57.89
56,45.99,57.96,46.3,57.98
57,46.01,57.98,46.41,57.98
58,46.03,58.12,46.16,57.94
59,46.38,58.18,46.16,58.67
60,46.47,58.12,46.27,58.31
61,46.08,58.05,46.18,58.0
62,46.06,58.04,46.19,57.99
63,46.11,58.05,46.33,58.0
64,46.26,58.21,46.22,58.01
65,46.14,58.09,46.34,58.02
66,46.17,58.1,46.24,58.05
67,46.29,58.23,46.26,58.06
68,46.18,58.13,46.28,58.15
69,46.19,58.14,46.37,58.08
70,46.29,58.16,46.29,58.1
71,46.22,58.18,46.28,58.09
72,46.25,58.2,46.31,58.12
73,46.36,58.34,46.49,58.22
74,46.31,58.24,46.36,58.17
75,46.33,58.25,46.38,58.18
76,46.47,58.26,46.52,58.2
77,46.36,58.27,46.55,58.22
78,46.52,58.67,46.83,58.31
79,46.59,58.6,46.99,58.4
80,46.83,58.37,46.48,58.25
81,46.62,58.42,46.59,58.81
82,46.37,58.32,46.46,58.45
83,46.48,58.3,46.46,58.29
84,46.36,58.29,46.47,58.38
85,46.36,58.41,46.59,58.28
86,46.48,58.29,46.47,58.28
87,46.35,58.29,46.47,58.39
88,46.36,58.29,46.47,58.28
89,46.36,58.38,46.55,58.28
90,46.47,58.29,46.47,58.39
91,46.36,58.41,46.47,58.28
92,46.36,58.29,46.47,58.28
93,46.48,58.29,46.47,58.4
94,46.36,58.29,46.47,58.28
95,46.44,58.37,46.86,58.28
96,46.36,58.29,46.47,58.39
97,46.64,58.29,46.47,58.28
98,46.69,58.61,47.03,58.68
99,46.38,58.67,46.72,58.81
100,46.49,58.33,46.62,58.46
101,46.36,58.31,46.48,58.31
102,46.36,58.29,46.47,58.28
103,46.47,58.38,46.59,58.36
104,46.36,58.29,46.47,58.28
105,46.36,58.29,46.47,58.28
106,46.48,58.41,46.6,58.28
107,46.36,58.29,46.47,58.28
108,46.36,58.29,46.47,58.28
109,46.47,58.29,46.55,58.28
110,46.36,58.29,46.47,58.41
111,46.36,58.29,46.47,58.28
112,46.48,58.37,46.59,58.28
113,46.36,58.29,46.47,58.28
114,46.36,58.29,46.47,58.36
115,46.36,58.29,46.59,58.28
116,46.36,58.37,46.47,58.28
117,46.76,58.84,46.47,58.28
118,46.36,58.29,46.47,58.28
119,46.77,58.77,46.75,58.51
120,46.7,58.56,46.87,58.8
121,46.63,58.3,47.02,58.67
