kbactive,ceph01,ceph02,ceph03,ceph04
0,49834972.0,49685148.0,49820084.0,49877728.0
1,50294144.0,50165144.0,50342916.0,50367940.0
2,50339380.0,50219780.0,50394272.0,50541808.0
3,50367808.0,50313784.0,50425332.0,50615868.0
4,50400176.0,50244040.0,50283340.0,50456376.0
5,50367776.0,50155644.0,50196276.0,50381196.0
6,50375988.0,50170080.0,50248232.0,50403312.0
7,50507204.0,50284168.0,50478352.0,50525556.0
8,50382256.0,50125400.0,50461856.0,50501168.0
9,50211388.0,50087112.0,50160228.0,50303192.0
10,50331416.0,50100284.0,50149636.0,50266852.0
11,50454620.0,50168360.0,50241864.0,50340680.0
12,50545716.0,50342524.0,50513596.0,50538916.0
13,50857736.0,50744112.0,50938164.0,50930340.0
14,50850356.0,50743224.0,51017372.0,50984228.0
15,50633188.0,50564540.0,50806836.0,50882488.0
16,50590504.0,50588484.0,50601488.0,50810368.0
17,50773164.0,50547376.0,50617396.0,50709760.0
18,50771760.0,50641844.0,50713012.0,50840752.0
19,50855548.0,50756664.0,50865432.0,50957216.0
20,50862100.0,50714480.0,50887812.0,50984332.0
21,50838396.0,50650224.0,50702944.0,50879452.0
22,50919764.0,50781880.0,50760636.0,50903024.0
23,50970136.0,50784592.0,50747832.0,50925356.0
24,51068692.0,50876156.0,50821408.0,51029036.0
25,51082940.0,50902584.0,50863492.0,51048296.0
26,51113340.0,50919028.0,50959964.0,51102884.0
27,51293904.0,51077388.0,51238100.0,51401912.0
28,51314668.0,51193296.0,51246112.0,51439864.0
29,51324696.0,51210960.0,51203968.0,51431980.0
30,51523196.0,51260364.0,51288792.0,51498424.0
31,51422184.0,51138600.0,51237464.0,51286536.0
32,51477376.0,51222616.0,51330344.0,51383364.0
33,51535668.0,51245556.0,51419116.0,51474528.0
34,51496740.0,51288760.0,51346688.0,51527448.0
35,51578792.0,51428904.0,51498548.0,51625584.0
36,51772308.0,51453412.0,51576156.0,51640748.0
37,51761904.0,51446448.0,51568944.0,51607700.0
38,51676832.0,51430176.0,51559204.0,51619840.0
39,51866280.0,51619368.0,51749992.0,51803828.0
40,51893388.0,51674304.0,51778044.0,52018692.0
41,51901480.0,51812276.0,51837876.0,52088660.0
42,52028284.0,51824604.0,51846036.0,52112712.0
43,52026680.0,51764544.0,51793532.0,51980920.0
44,52137272.0,51858688.0,51980444.0,52104028.0
45,52324976.0,52012932.0,52358000.0,52385528.0
46,52633800.0,52276844.0,52626988.0,52825644.0
47,52575992.0,52332588.0,52664576.0,52837216.0
48,52584144.0,52444656.0,52650376.0,52795628.0
49,52433960.0,52197224.0,52323928.0,52470920.0
50,52402608.0,52092392.0,52260880.0,52435764.0
51,52411448.0,52150516.0,52390240.0,52453492.0
52,52377540.0,52102492.0,52338672.0,52415792.0
53,52428892.0,52149844.0,52279976.0,52449752.0
54,52444256.0,52162000.0,52289436.0,52400420.0
55,52471636.0,52174532.0,52377220.0,52438928.0
56,52577228.0,52263080.0,52493280.0,52592464.0
57,52668304.0,52401064.0,52707428.0,52745928.0
58,52824876.0,52627244.0,52957724.0,52946260.0
59,52871876.0,52640776.0,52934500.0,53100928.0
60,52835672.0,52565600.0,52708496.0,52977748.0
61,52842976.0,52535680.0,52674464.0,52831600.0
62,52876120.0,52571492.0,52779460.0,52934132.0
63,53136052.0,52847264.0,53163616.0,53227256.0
64,53193168.0,52938572.0,53232712.0,53273288.0
65,53245084.0,53005404.0,53310812.0,53413820.0
66,53112536.0,52951588.0,53227764.0,53331336.0
67,53146076.0,52881956.0,52953652.0,53094604.0
68,53148072.0,52910912.0,53025516.0,53168576.0
69,53309140.0,53143608.0,53265140.0,53410744.0
70,53332540.0,52521180.0,53283388.0,53355108.0
71,53436016.0,52648784.0,53324532.0,53393704.0
72,53553376.0,52757716.0,53264356.0,53388268.0
73,51731240.0,50917484.0,53446548.0,53569984.0
74,51836556.0,50293140.0,52157580.0,53102668.0
75,50834220.0,50395476.0,52319616.0,51778376.0
76,49445936.0,49797992.0,51890040.0,51207936.0
77,49485456.0,49160044.0,51239040.0,51320936.0
78,48918684.0,49268992.0,50025304.0,50044796.0
79,49001256.0,49445572.0,50108824.0,50168080.0
