kbdirty,ceph01,ceph02,ceph03,ceph04
0,206628.0,220340.0,192696.0,298044.0
1,271828.0,288568.0,153904.0,343228.0
2,370700.0,373632.0,241888.0,164864.0
3,409464.0,226944.0,295204.0,144560.0
4,108124.0,178192.0,290156.0,240352.0
5,106472.0,220424.0,270444.0,270432.0
6,177164.0,221112.0,231912.0,290528.0
7,261040.0,278364.0,194256.0,364004.0
8,358188.0,383792.0,218348.0,223460.0
9,367116.0,263672.0,304584.0,138088.0
10,212640.0,135716.0,308324.0,213376.0
11,75388.0,188840.0,268744.0,273416.0
12,154020.0,151740.0,227808.0,240752.0
13,231244.0,228704.0,178208.0,298568.0
14,329996.0,325268.0,169416.0,237176.0
15,331724.0,318604.0,265672.0,130588.0
16,341472.0,129716.0,334368.0,215776.0
17,105920.0,199436.0,296004.0,294108.0
18,130948.0,179224.0,266480.0,279472.0
19,224464.0,228624.0,241028.0,293752.0
20,291156.0,355360.0,204852.0,284780.0
21,285060.0,356504.0,235620.0,164056.0
22,361436.0,163916.0,296836.0,190292.0
23,179440.0,175424.0,263772.0,251092.0
24,132804.0,198656.0,272592.0,263852.0
25,209400.0,210896.0,203852.0,211264.0
26,237248.0,283668.0,174916.0,240508.0
27,255392.0,359236.0,197460.0,194072.0
28,356112.0,207956.0,273288.0,172824.0
29,321232.0,163232.0,260784.0,260060.0
30,148724.0,228124.0,314520.0,351820.0
31,199676.0,210676.0,261296.0,232816.0
32,219760.0,320788.0,191844.0,265096.0
33,258400.0,380048.0,188896.0,281376.0
34,339764.0,311448.0,261804.0,143228.0
35,368852.0,132584.0,233960.0,215320.0
36,180180.0,192592.0,285636.0,295588.0
37,171556.0,194896.0,245224.0,216740.0
38,188032.0,246708.0,209260.0,224900.0
39,220724.0,312788.0,167960.0,268540.0
40,309268.0,317056.0,230688.0,174224.0
41,377260.0,151156.0,223420.0,204560.0
42,241140.0,194080.0,286632.0,290316.0
43,87888.0,171812.0,230736.0,205084.0
44,109136.0,227856.0,246740.0,214516.0
45,186972.0,310752.0,237796.0,292896.0
46,269608.0,322760.0,219672.0,258040.0
47,374368.0,224292.0,259296.0,198076.0
48,313072.0,184240.0,284784.0,265444.0
49,93024.0,160508.0,282880.0,244208.0
50,133028.0,264872.0,307316.0,243908.0
51,219380.0,342488.0,234516.0,329272.0
52,301632.0,346808.0,229116.0,335408.0
53,375728.0,303016.0,275192.0,199736.0
54,337812.0,182112.0,250456.0,191852.0
55,89304.0,120324.0,247784.0,183672.0
56,101440.0,198844.0,257332.0,177720.0
57,180576.0,277436.0,227428.0,257316.0
58,271660.0,287696.0,180968.0,322016.0
59,368004.0,325532.0,250220.0,242976.0
60,287956.0,191824.0,243220.0,172928.0
61,87920.0,129252.0,281648.0,224220.0
62,117500.0,214824.0,271780.0,213392.0
63,189892.0,288668.0,294712.0,263132.0
64,291572.0,286560.0,178252.0,335152.0
65,370176.0,346360.0,235072.0,279088.0
66,341016.0,247584.0,235052.0,135428.0
67,138744.0,131748.0,268988.0,219404.0
68,110784.0,242380.0,252624.0,229204.0
69,190552.0,337768.0,287660.0,246348.0
70,291660.0,279124.0,187508.0,337300.0
71,419404.0,424980.0,218632.0,277408.0
72,365540.0,409708.0,227648.0,134624.0
73,182092.0,142368.0,268180.0,279428.0
74,175004.0,155944.0,258140.0,207484.0
75,239940.0,292688.0,389432.0,223516.0
76,237944.0,229144.0,213144.0,266536.0
77,224228.0,201064.0,163228.0,132600.0
78,153568.0,225240.0,186344.0,97312.0
79,148036.0,168296.0,243296.0,239628.0
80,128768.0,160956.0,205972.0,234488.0
81,192328.0,203736.0,279412.0,223532.0
82,244072.0,236904.0,290288.0,322712.0
83,286968.0,283080.0,233920.0,240208.0
84,210624.0,283732.0,165684.0,120880.0
85,163164.0,207744.0,247052.0,214680.0
86,155528.0,216416.0,289724.0,272552.0
87,243564.0,258268.0,281312.0,254764.0
88,265632.0,235268.0,285996.0,302060.0
89,292332.0,256128.0,176600.0,211220.0
90,285276.0,299632.0,136112.0,130880.0
91,195520.0,282528.0,227416.0,224500.0
92,185856.0,184072.0,305492.0,298588.0
93,233176.0,249936.0,299992.0,300556.0
94,243220.0,185980.0,328512.0,274804.0
95,305232.0,214136.0,201464.0,229824.0
96,288556.0,273924.0,130676.0,145280.0
97,207112.0,328088.0,194960.0,177992.0
98,232652.0,207060.0,280160.0,272576.0
99,196760.0,256904.0,287532.0,330612.0
100,232552.0,171100.0,310992.0,238112.0
101,319580.0,208532.0,265996.0,222716.0
102,293568.0,274612.0,135424.0,172568.0
103,251076.0,350772.0,159972.0,171724.0
104,271988.0,291284.0,241668.0,251372.0
105,154952.0,261552.0,292224.0,319148.0
106,227044.0,174544.0,294260.0,269144.0
107,305184.0,178472.0,256644.0,193696.0
108,291052.0,263008.0,184756.0,209160.0
109,315332.0,344528.0,178960.0,187540.0
110,291720.0,375388.0,261528.0,265656.0
111,152596.0,225652.0,315220.0,348308.0
112,187016.0,132236.0,291804.0,330220.0
113,200144.0,126336.0,269092.0,140164.0
114,224400.0,206596.0,166904.0,196524.0
