kbinact,ceph01,ceph02,ceph03,ceph04
0,28569484.0,48664996.0,28542212.0,48321716.0
1,28660228.0,48727840.0,28610140.0,48375172.0
2,28787628.0,48838196.0,28718620.0,48448144.0
3,28772392.0,48907204.0,28793164.0,48523160.0
4,28825892.0,48981716.0,28858800.0,48599660.0
5,28901604.0,49103252.0,28986916.0,48673588.0
6,28985204.0,49156160.0,29028900.0,48751548.0
7,29065272.0,49237188.0,29106532.0,48820840.0
8,29150300.0,49320904.0,29193692.0,48891180.0
9,29215576.0,49403712.0,29298700.0,48968280.0
10,29281896.0,49548524.0,29368236.0,49030964.0
11,29365224.0,49466064.0,29341984.0,49097224.0
12,29434144.0,49527516.0,29410588.0,49155328.0
13,29505128.0,49603932.0,29478528.0,49217704.0
14,29597588.0,49739224.0,29613572.0,49293204.0
15,29681712.0,49792048.0,29672908.0,49371704.0
16,29748624.0,49868120.0,29751844.0,49448660.0
17,29810660.0,49943732.0,29823216.0,49514016.0
18,29922504.0,50015372.0,29896152.0,49570920.0
19,29917616.0,50103000.0,29980500.0,49642476.0
20,30006880.0,50220032.0,30091904.0,49720628.0
21,30066176.0,50316452.0,30195856.0,49789512.0
22,30140572.0,50242412.0,30126492.0,49857752.0
23,30198740.0,50313368.0,30193212.0,49913152.0
24,30283364.0,50395620.0,30275164.0,49979696.0
25,30351892.0,50470324.0,30342652.0,50047336.0
26,30418820.0,50545164.0,30410416.0,50111452.0
27,30490700.0,50622772.0,30484748.0,50171744.0
28,30584700.0,50704892.0,30580672.0,50251484.0
29,30652756.0,50781556.0,30657824.0,50326036.0
30,30724780.0,50868872.0,30739708.0,50400500.0
31,30836492.0,50952724.0,30813636.0,50467788.0
32,30884732.0,51068552.0,30906756.0,50541712.0
33,30964056.0,51175980.0,31030968.0,50604332.0
34,31033952.0,51102236.0,30975300.0,50674540.0
35,31114768.0,51175928.0,31043364.0,50743884.0
36,31244248.0,51256596.0,31125580.0,50815316.0
37,31180620.0,51344180.0,31212680.0,50885940.0
38,31251296.0,51413552.0,31274304.0,50948708.0
39,31311784.0,51475340.0,31340616.0,51002680.0
40,31396028.0,51570444.0,31433456.0,51069392.0
41,31475840.0,51635812.0,31507716.0,51140240.0
42,31545584.0,51731340.0,31598972.0,51219944.0
43,31611356.0,51792424.0,31658476.0,51280664.0
44,31686600.0,51875616.0,31735584.0,51345892.0
45,31761024.0,52000912.0,31846388.0,51410988.0
46,31837364.0,52095920.0,31937868.0,51469584.0
47,31926252.0,52055932.0,31918960.0,51550328.0
48,32029924.0,52121540.0,31977776.0,51632720.0
49,32078516.0,52208932.0,32067488.0,51704836.0
50,32165380.0,52294616.0,32140852.0,51780572.0
51,32235992.0,52365644.0,32212216.0,51856156.0
52,32338268.0,52444716.0,32304204.0,51920556.0
53,32457312.0,52554040.0,32417064.0,51988284.0
54,32408408.0,52597480.0,32461888.0,52051668.0
55,32450852.0,52656628.0,32504244.0,52100464.0
56,32521752.0,52751676.0,32600904.0,52164348.0
57,32596868.0,52742968.0,32734100.0,52229872.0
58,32675956.0,52805436.0,32667648.0,52300784.0
59,32758652.0,52885676.0,32735612.0,52369112.0
60,32827640.0,52968680.0,32821140.0,52445492.0
61,32929748.0,53048464.0,32890952.0,52517812.0
62,32976252.0,53133136.0,32973680.0,52582960.0
63,33043312.0,53199216.0,33039612.0,52644080.0
64,33130704.0,53284752.0,33117668.0,52725772.0
65,33247784.0,53408032.0,33241580.0,52789208.0
66,33293416.0,53453508.0,33296952.0,52869320.0
67,33352120.0,53535208.0,33379756.0,52935776.0
68,33425260.0,53605444.0,33445524.0,52996236.0
69,33494396.0,53716184.0,33554736.0,53064464.0
70,33592468.0,53763696.0,33668308.0,53136164.0
71,33739116.0,53714308.0,33598352.0,53200080.0
72,33642416.0,53761440.0,33650852.0,53256752.0
73,33532136.0,53660384.0,33694928.0,53287496.0
74,33584540.0,53701892.0,33686596.0,53290948.0
75,33578876.0,53736664.0,33719688.0,53229724.0
76,33492144.0,53726876.0,33732440.0,53211956.0
77,33549732.0,53768632.0,33723820.0,53267256.0
78,33559456.0,53799856.0,33683840.0,53219780.0
79,33643512.0,53884712.0,33780312.0,53296860.0
80,33700164.0,53903264.0,33777024.0,53343376.0
81,33759720.0,54007188.0,33891804.0,53340924.0
82,33879076.0,53971552.0,33852404.0,53415008.0
83,33922432.0,54050920.0,33931516.0,53492396.0
84,33978232.0,54104880.0,33940776.0,53499860.0
85,34052908.0,54178720.0,34024880.0,53573668.0
86,34130812.0,54263056.0,34097460.0,53637540.0
87,34218352.0,54345336.0,34178232.0,53702672.0
88,34364728.0,54433936.0,34265564.0,53776892.0
89,34275224.0,54499520.0,34327248.0,53838940.0
90,34349088.0,54577604.0,34403156.0,53898628.0
91,34426484.0,54654324.0,34491344.0,53980036.0
92,34495432.0,54734272.0,34567668.0,54044340.0
93,34573084.0,54836676.0,34668068.0,54113476.0
94,34662920.0,54821456.0,34646508.0,54194344.0
95,34762120.0,54901996.0,34712420.0,54249496.0
96,34794192.0,54966312.0,34788696.0,54314356.0
97,34863160.0,55030072.0,34850292.0,54377500.0
98,34937292.0,55102672.0,34934996.0,54453288.0
99,35017028.0,55187316.0,35020268.0,54523812.0
100,35106348.0,55273052.0,35110992.0,54599092.0
101,35250888.0,55407436.0,35240228.0,54670480.0
102,35202280.0,55369952.0,35193188.0,54721860.0
103,35265700.0,55431720.0,35287328.0,54786192.0
104,35341444.0,55506548.0,35338936.0,54858632.0
105,35412032.0,55585232.0,35410124.0,54933388.0
106,35493572.0,55666320.0,35497776.0,55002104.0
107,35581792.0,55761976.0,35583232.0,55080260.0
108,35663020.0,55845400.0,35659576.0,55148424.0
109,35764624.0,55931028.0,35747944.0,55218812.0
110,35803376.0,55999780.0,35823640.0,55292316.0
111,35874676.0,56069668.0,35896428.0,55360628.0
112,35942980.0,56176968.0,35983344.0,55412852.0
113,36008836.0,56279456.0,36086672.0,55470088.0
114,36072284.0,56230188.0,36020172.0,55540464.0
115,36154588.0,56291768.0,36094156.0,55615368.0
116,36224348.0,56360928.0,36180164.0,55683708.0
117,36296660.0,56431500.0,36251104.0,55739600.0
118,36407128.0,56505252.0,36319300.0,55803256.0
119,36369460.0,56572392.0,36387756.0,55862464.0
120,36453408.0,56662332.0,36467604.0,55933532.0
121,36535664.0,56751836.0,36550552.0,56003724.0
122,36595116.0,56827632.0,36633036.0,56080068.0
123,36667988.0,56892160.0,36710348.0,56145364.0
124,36742940.0,57011324.0,36822108.0,56208168.0
125,36823232.0,57113332.0,36928112.0,56274868.0
126,36890776.0,57038080.0,36845300.0,56341844.0
127,36969020.0,57113188.0,36912328.0,56416596.0
128,37042552.0,57195804.0,37001560.0,56482428.0
129,37139520.0,57277020.0,37088648.0,56549380.0
130,37195604.0,57347860.0,37157728.0,56619008.0
131,37255504.0,57419696.0,37230776.0,56672368.0
132,37331620.0,57504200.0,37307992.0,56736056.0
133,37411744.0,57608472.0,37405220.0,56805764.0
134,37542408.0,57677936.0,37480216.0,56890384.0
135,37626832.0,57739496.0,37547548.0,56953120.0
136,37577440.0,57837164.0,37645072.0,57028112.0
137,37629016.0,57822364.0,37761692.0,57071844.0
