kbmenfree,ceph01,ceph02,ceph03,ceph04
0,109705752.0,89628652.0,109668352.0,89760656.0
1,109115000.0,89069216.0,109088808.0,89171224.0
2,108885100.0,88848804.0,108909048.0,88920380.0
3,108828648.0,88681756.0,108788812.0,88769040.0
4,108798032.0,88670968.0,108835800.0,88837232.0
5,108789532.0,88648644.0,108786476.0,88832812.0
6,108687296.0,88566196.0,108683296.0,88718612.0
7,108421768.0,88362552.0,108376020.0,88496892.0
8,108404080.0,88386328.0,108300388.0,88429736.0
9,108477176.0,88333216.0,108487676.0,88563628.0
10,108313532.0,88173376.0,108400348.0,88532248.0
11,108168284.0,88187392.0,108326840.0,88386964.0
12,107987552.0,88031700.0,107980108.0,88118476.0
13,107594928.0,87520068.0,107478780.0,87655520.0
14,107456712.0,87349872.0,107274824.0,87520240.0
15,107573820.0,87471856.0,107411876.0,87540988.0
16,107517132.0,87336308.0,107499020.0,87518224.0
17,107285860.0,87303000.0,107405700.0,87549252.0
18,107178824.0,87156332.0,107232048.0,87350892.0
19,107093900.0,86954312.0,106990936.0,87156676.0
20,106998432.0,86858132.0,106863708.0,87049820.0
21,106942968.0,86784692.0,106935368.0,87089356.0
22,106781764.0,86750488.0,106955064.0,86993244.0
23,106670820.0,86669940.0,106898228.0,86904212.0
24,106493704.0,86518932.0,106726468.0,86722404.0
25,106401324.0,86417268.0,106619296.0,86627940.0
26,106294592.0,86313748.0,106449876.0,86495796.0
27,106030744.0,86039048.0,106083912.0,86129524.0
28,105878032.0,85828880.0,105954784.0,86003376.0
29,105756972.0,85697512.0,105913004.0,85928152.0
30,105497152.0,85559444.0,105712052.0,85733976.0
31,105474400.0,85588296.0,105674884.0,85861576.0
32,105373484.0,85399088.0,105479148.0,85680280.0
33,105228064.0,85219568.0,105264116.0,85515656.0
34,105172816.0,85234420.0,105386128.0,85396716.0
35,104962756.0,85039364.0,105151592.0,85222232.0
36,104637908.0,84889340.0,104983512.0,85120120.0
37,104732188.0,84820544.0,104887484.0,85077776.0
38,104744272.0,84796236.0,104828848.0,84994772.0
39,104495976.0,84536364.0,104569584.0,84743904.0
40,104370592.0,84355628.0,104436056.0,84458132.0
41,104242200.0,84145060.0,104296632.0,84311384.0
42,104025996.0,84001540.0,104193516.0,84198032.0
43,103987512.0,84002764.0,104177912.0,84253080.0
44,103843272.0,83812600.0,103902304.0,84064060.0
45,103563900.0,83536440.0,103403368.0,83710056.0
46,103151996.0,83170156.0,103035736.0,83201412.0
47,103065572.0,83159220.0,103008228.0,83102312.0
48,102919988.0,82952920.0,102955980.0,83048652.0
49,103042012.0,83118676.0,103184340.0,83305160.0
50,103061720.0,83135544.0,103159624.0,83252116.0
51,102984104.0,83006720.0,102954656.0,83154360.0
52,102876056.0,82968412.0,102925896.0,83115704.0
53,102681568.0,82766304.0,102866780.0,83008268.0
54,102687008.0,82738524.0,102799804.0,82979688.0
55,102651052.0,82675748.0,102660232.0,82901208.0
56,102498060.0,82482044.0,102443976.0,82677992.0
57,102315136.0,82368320.0,102060972.0,82453828.0
58,102045872.0,82040592.0,101904052.0,82148864.0
59,101851720.0,81927300.0,101847392.0,81909356.0
60,101796220.0,81899896.0,101980304.0,81959388.0
61,101741788.0,81837076.0,101925400.0,82024032.0
62,101686852.0,81713068.0,101723012.0,81852736.0
63,101344060.0,81404640.0,101259412.0,81489644.0
64,101159572.0,81186092.0,101104032.0,81337372.0
65,100942032.0,80974520.0,100899328.0,81118048.0
66,101015044.0,80964172.0,100915132.0,81130992.0
67,100939516.0,80975456.0,101103976.0,81296520.0
68,100891268.0,80866764.0,100947848.0,81154496.0
69,100666512.0,80514792.0,100590512.0,80836604.0
70,100508632.0,81059004.0,100448024.0,80803856.0
71,100211252.0,80964536.0,100472480.0,80673052.0
72,100192988.0,80807532.0,100474872.0,80629560.0
73,102124688.0,82774084.0,100242532.0,80410488.0
74,102006760.0,83368104.0,101545528.0,80870140.0
