%memused,ceph01,ceph02,ceph03,ceph04
0,44.5,54.66,44.52,54.59
1,44.8,54.94,44.81,54.89
2,44.92,55.05,44.91,55.02
3,44.95,55.14,44.97,55.09
4,44.96,55.14,44.94,55.06
5,44.97,55.15,44.97,55.06
6,45.02,55.2,45.02,55.12
7,45.15,55.3,45.17,55.23
8,45.16,55.29,45.21,55.27
9,45.12,55.31,45.12,55.2
10,45.21,55.39,45.16,55.21
11,45.28,55.39,45.2,55.29
12,45.37,55.47,45.38,55.42
13,45.57,55.73,45.63,55.66
14,45.64,55.81,45.73,55.73
15,45.58,55.75,45.66,55.71
16,45.61,55.82,45.62,55.73
17,45.73,55.84,45.67,55.71
18,45.78,55.91,45.75,55.81
19,45.82,56.01,45.88,55.91
20,45.87,56.06,45.94,55.96
21,45.9,56.1,45.9,55.94
22,45.98,56.11,45.89,55.99
23,46.04,56.16,45.92,56.04
24,46.13,56.23,46.01,56.13
25,46.17,56.28,46.06,56.18
26,46.23,56.34,46.15,56.24
27,46.36,56.47,46.33,56.43
28,46.44,56.58,46.4,56.49
29,46.5,56.65,46.42,56.53
30,46.63,56.72,46.52,56.63
31,46.64,56.7,46.54,56.56
32,46.69,56.8,46.64,56.66
33,46.77,56.89,46.75,56.74
34,46.8,56.88,46.69,56.8
35,46.9,56.98,46.81,56.89
36,47.07,57.06,46.89,56.94
37,47.02,57.09,46.94,56.96
38,47.01,57.1,46.97,57.0
39,47.14,57.23,47.1,57.13
40,47.2,57.33,47.17,57.27
41,47.27,57.43,47.24,57.35
42,47.38,57.51,47.29,57.41
43,47.39,57.5,47.3,57.38
44,47.47,57.6,47.44,57.47
45,47.61,57.74,47.69,57.65
46,47.82,57.93,47.88,57.91
47,47.86,57.93,47.89,57.96
48,47.93,58.04,47.92,57.99
49,47.87,57.95,47.8,57.86
50,47.86,57.94,47.81,57.88
51,47.9,58.01,47.92,57.93
52,47.96,58.03,47.93,57.95
53,48.06,58.13,47.96,58.01
54,48.05,58.14,48.0,58.02
55,48.07,58.18,48.07,58.06
56,48.15,58.27,48.18,58.17
57,48.24,58.33,48.37,58.29
58,48.38,58.5,48.45,58.44
59,48.48,58.55,48.48,58.56
60,48.5,58.57,48.41,58.54
61,48.53,58.6,48.44,58.51
62,48.56,58.66,48.54,58.59
63,48.73,58.82,48.77,58.78
64,48.83,58.93,48.85,58.85
65,48.94,59.04,48.96,58.96
66,48.9,59.04,48.95,58.96
67,48.94,59.04,48.85,58.87
68,48.96,59.09,48.93,58.95
69,49.07,59.27,49.11,59.11
70,49.15,58.99,49.19,59.12
71,49.31,59.04,49.17,59.19
72,49.31,59.12,49.17,59.21
73,48.34,58.13,49.29,59.32
74,48.4,57.83,48.63,59.09
75,47.88,57.9,48.73,58.37
76,47.13,57.59,48.52,58.07
77,47.18,57.29,48.18,58.15
78,46.91,57.37,47.54,57.47
79,46.98,57.5,47.63,57.57
80,47.02,57.18,47.29,57.6
81,47.17,57.36,47.46,57.45
82,47.29,57.41,47.56,57.59
83,47.26,57.37,47.57,57.59
84,47.29,57.4,47.2,57.23
85,47.36,57.5,47.27,57.27
86,47.42,57.55,47.32,57.32
87,47.49,57.64,47.42,57.43
88,47.59,57.7,47.49,57.48
89,47.55,57.73,47.52,57.5
90,47.67,57.81,47.61,57.61
91,47.73,57.89,47.66,57.66
92,47.87,58.03,47.78,57.78
93,47.94,58.12,47.9,57.88
94,47.95,58.12,47.89,57.9
95,47.99,58.14,47.94,57.92
96,48.03,58.18,47.95,57.97
97,48.16,58.29,48.04,58.05
98,48.24,58.4,48.14,58.13
99,48.34,58.52,48.25,58.25
100,48.36,58.58,48.31,58.3
101,48.41,58.61,48.36,58.33
102,48.4,58.57,48.34,58.35
103,48.56,58.68,48.45,58.45
104,48.69,58.82,48.57,58.58
105,48.81,58.98,48.72,58.72
106,48.85,59.02,48.77,58.77
107,48.79,58.96,48.75,58.75
108,48.85,59.02,48.81,58.8
109,48.95,59.09,48.86,58.85
110,48.98,59.16,48.9,58.9
111,49.04,59.24,48.97,58.93
112,49.06,59.24,49.03,58.97
113,49.11,59.29,49.11,59.02
114,49.2,59.31,49.14,59.09
115,49.26,59.38,49.2,59.15
116,49.33,59.44,49.24,59.2
117,49.4,59.53,49.29,59.24
118,49.43,59.55,49.34,59.3
119,49.46,59.62,49.41,59.37
120,49.55,59.7,49.52,59.46
121,49.64,59.78,49.63,59.54
122,49.7,59.84,49.69,59.62
123,49.72,59.9,49.7,59.64
124,49.77,59.97,49.79,59.71
125,49.82,60.03,49.85,59.75
126,49.89,60.04,49.87,59.8
127,49.97,60.11,49.98,59.87
128,50.04,60.19,50.04,59.96
129,50.16,60.26,50.09,60.01
130,50.18,60.3,50.11,60.05
131,50.22,60.36,50.18,60.14
132,50.34,60.49,50.32,60.29
133,50.5,60.66,50.51,60.45
134,50.57,60.7,50.55,60.49
135,50.65,60.78,50.55,60.51
136,50.58,60.78,50.55,60.48
137,50.6,60.77,50.6,60.52
138,50.73,60.87,50.68,60.68
139,50.84,60.97,50.85,60.84
140,50.94,61.08,50.93,60.92
141,50.97,61.12,50.97,60.96
142,50.94,61.13,50.9,60.86
143,50.99,61.2,50.98,60.94
144,51.06,61.28,51.09,61.03
145,51.13,61.36,51.17,61.08
146,51.2,61.39,51.19,61.08
147,51.26,61.43,51.24,61.12
148,51.26,61.46,51.25,61.17
149,51.36,61.58,51.35,61.28
150,51.46,61.7,51.48,61.4
151,51.53,61.67,51.44,61.44
152,51.62,61.71,51.48,61.45
153,51.62,61.74,51.51,61.51
154,51.67,61.86,51.58,61.56
155,51.83,61.99,51.73,61.68
156,52.05,62.18,51.96,61.93
157,52.11,62.24,52.04,62.01
158,52.16,62.27,52.09,62.05
159,52.17,62.27,52.11,62.08
160,52.14,62.22,52.04,61.97
161,52.31,62.42,52.24,62.16
162,52.48,62.55,52.36,62.34
163,52.54,62.62,52.43,62.43
164,52.5,62.64,52.47,62.43
165,52.52,62.62,52.47,62.44
166,52.56,62.6,52.49,62.46
167,52.61,62.73,52.51,62.48
168,52.74,62.79,52.58,62.57
169,52.67,62.8,52.62,62.57
170,52.71,62.81,52.69,62.6
171,52.77,62.87,52.76,62.64
172,52.84,62.95,52.78,62.69
173,52.89,63.01,52.84,62.73
174,52.98,63.15,52.95,62.82
175,53.03,63.16,52.95,62.89
176,53.06,63.17,53.01,62.93
177,53.14,63.25,53.12,62.99
178,53.18,63.27,53.13,63.03
179,53.24,63.3,53.16,63.08
180,53.29,63.38,53.22,63.14
181,53.34,63.43,53.29,63.19
182,53.42,63.52,53.4,63.3
183,53.48,63.56,53.46,63.37
184,53.58,63.62,53.53,63.42
185,53.64,63.73,53.6,63.46
186,53.72,63.8,53.65,63.49
187,53.67,63.79,53.68,63.55
188,53.72,63.84,53.75,63.65
189,53.81,63.96,53.85,63.76
190,53.91,64.05,53.97,63.84
191,54.02,64.15,54.02,63.93
192,54.05,64.15,54.0,63.92
193,54.13,64.25,54.09,64.0
194,54.2,64.39,54.22,64.09
195,54.34,64.52,54.35,64.25
196,54.43,64.62,54.46,64.33
197,54.47,64.65,54.46,64.35
198,54.51,64.61,54.41,64.36
199,54.55,64.68,54.48,64.44
200,54.6,64.74,54.56,64.49
201,54.74,64.86,54.71,64.67
202,54.85,64.95,54.8,64.74
203,54.93,64.97,54.84,64.73
204,54.91,65.0,54.84,64.75
205,54.91,65.05,54.88,64.77
206,55.04,65.2,55.06,64.9
207,55.16,65.3,55.15,65.04
208,55.23,65.42,55.23,65.14
209,55.2,65.35,55.18,65.02
210,55.26,65.38,55.2,65.07
211,55.31,65.38,55.2,65.12
212,55.4,65.52,55.31,65.22
213,55.55,65.64,55.5,65.39
214,55.68,65.8,55.64,65.53
215,55.72,65.85,55.71,65.58
216,55.69,65.8,55.64,65.48
217,55.75,65.86,55.66,65.53
218,55.84,65.96,55.75,65.61
219,55.97,66.12,55.9,65.78
220,56.01,66.14,55.96,65.85
221,56.0,66.09,55.97,65.81
222,56.02,66.13,56.02,65.82
223,56.09,66.16,56.04,65.88
224,56.18,66.26,56.15,65.96
225,56.28,66.37,56.23,66.08
226,56.35,66.44,56.3,66.15
227,56.34,66.4,56.31,66.14
228,56.38,66.45,56.34,66.18
229,56.45,66.51,56.36,66.23
230,56.56,66.62,56.47,66.35
231,56.72,66.76,56.64,66.47
232,56.72,66.81,56.65,66.49
233,56.74,66.82,56.7,66.5
234,56.83,66.91,56.81,66.59
235,56.87,66.96,56.85,66.61
236,56.94,67.0,56.87,66.67
237,57.04,67.12,56.97,66.77
238,57.03,67.12,57.0,66.74
239,57.09,67.22,57.06,66.81
240,57.17,67.33,57.19,66.9
241,57.23,67.31,57.19,66.93
242,57.32,67.35,57.26,67.05
243,57.39,67.4,57.31,67.1
244,57.4,67.41,57.34,67.1
245,57.47,67.52,57.41,67.14
246,57.57,67.57,57.5,67.23
247,57.58,67.68,57.58,67.31
248,57.63,67.76,57.65,67.37
249,57.69,67.85,57.7,67.41
250,57.72,67.51,57.72,67.43
251,57.87,67.7,57.85,67.54
252,57.94,67.81,57.96,67.62
253,58.05,67.85,58.0,67.7
254,58.14,67.93,58.09,67.79
255,57.79,67.95,58.05,67.81
256,57.85,68.01,58.13,67.51
257,57.97,68.14,58.23,67.24
258,58.09,67.88,57.66,66.95
259,57.83,67.62,57.66,67.05
260,57.18,67.34,57.37,67.2
261,56.93,67.5,57.08,66.97
262,57.07,67.68,57.22,66.71
263,57.23,66.7,57.0,66.8
264,57.02,66.57,56.67,66.9
265,56.92,66.65,56.41,67.03
266,57.07,66.75,56.43,67.14
267,57.2,66.85,56.52,66.89
268,57.29,66.95,56.64,67.01
269,57.04,67.04,56.76,67.12
270,57.16,67.15,56.86,66.85
271,57.29,67.26,56.97,66.96
272,57.01,67.38,57.1,67.07
273,57.13,67.09,57.23,67.22
274,57.23,67.18,57.35,67.31
275,57.34,67.3,57.49,67.04
276,57.45,67.4,57.24,67.15
277,57.57,67.4,57.26,67.26
278,57.7,67.5,57.39,67.39
279,57.85,67.65,57.54,67.55
280,57.95,67.74,57.65,67.62
281,58.02,67.84,57.77,67.71
282,58.13,67.95,57.89,67.83
283,58.23,68.04,57.99,67.93
284,58.35,68.13,58.11,68.04
285,58.53,67.81,58.27,68.18
286,58.65,67.9,58.4,68.3
287,58.76,68.0,58.53,68.4
288,58.87,68.02,58.58,68.49
289,58.59,68.09,58.72,68.59
290,57.99,68.18,58.86,68.73
291,58.02,68.26,58.97,68.75
292,58.04,68.34,58.66,68.51
293,58.13,68.02,58.79,68.23
294,58.19,68.09,58.86,68.32
295,58.24,68.12,58.52,68.37
296,58.38,68.26,58.69,68.53
297,58.45,68.33,58.78,68.62
298,58.45,68.36,58.83,68.27
299,58.51,68.44,58.92,68.34
300,58.55,68.5,58.71,68.38
301,58.59,68.52,58.59,68.42
302,58.68,68.6,58.67,68.49
303,58.74,68.64,58.73,68.53
304,58.78,68.68,58.77,68.58
305,58.86,68.75,58.87,68.67
306,58.94,68.81,58.94,68.75
307,59.04,68.88,59.02,68.79
