rxkB/s,ceph01,ceph02,ceph03,ceph04
0,287517.0,293484.0,305711.0,287115.0
1,373906.0,369462.0,384729.0,371405.0
2,243774.0,269335.0,246363.0,238806.0
3,285439.0,282047.0,285461.0,281962.0
4,251995.0,243110.0,269322.0,248229.0
5,252194.0,265186.0,267027.0,250126.0
6,273879.0,274360.0,276746.0,269624.0
7,322815.0,328075.0,327639.0,321071.0
8,243838.0,258622.0,243939.0,236978.0
9,234034.0,240789.0,245181.0,230872.0
10,235629.0,242343.0,251000.0,235374.0
11,274706.0,284875.0,264409.0,269902.0
12,312478.0,306749.0,324841.0,308967.0
13,346710.0,359380.0,357627.0,348889.0
14,244673.0,246866.0,255494.0,243052.0
15,242411.0,252086.0,249214.0,240124.0
16,266032.0,270805.0,259903.0,259969.0
17,273805.0,275727.0,294368.0,271442.0
18,261230.0,264190.0,281849.0,262607.0
19,293785.0,303101.0,297781.0,289618.0
20,267672.0,274473.0,255960.0,259699.0
21,228814.0,228883.0,238937.0,228206.0
22,270340.0,289225.0,275783.0,266776.0
23,183376.0,192437.0,202254.0,181755.0
24,282164.0,282480.0,281879.0,276941.0
25,261029.0,259098.0,252717.0,255037.0
26,283769.0,284406.0,305722.0,282821.0
27,327221.0,335511.0,345370.0,327386.0
28,246896.0,267391.0,242699.0,238885.0
29,272693.0,254170.0,283089.0,272627.0
30,304682.0,330103.0,297818.0,298126.0
31,227278.0,226488.0,237672.0,226002.0
32,302948.0,317152.0,309334.0,300804.0
33,270978.0,269622.0,284878.0,272436.0
34,249601.0,254988.0,253730.0,243729.0
35,315480.0,326194.0,320296.0,311777.0
36,278566.0,269067.0,296560.0,275998.0
37,222922.0,236461.0,228833.0,221137.0
38,238251.0,246706.0,237390.0,236975.0
39,322053.0,317256.0,333391.0,319995.0
40,276563.0,293428.0,291387.0,274885.0
41,280638.0,282939.0,292235.0,276880.0
42,260335.0,268108.0,254156.0,256876.0
43,206755.0,207010.0,220543.0,204185.0
44,330452.0,331859.0,343848.0,328174.0
45,335338.0,339495.0,343430.0,332401.0
46,318970.0,323618.0,312452.0,314279.0
47,236926.0,256997.0,262222.0,235382.0
48,264934.0,279581.0,254219.0,261038.0
49,218090.0,217997.0,247579.0,217324.0
50,281128.0,286291.0,261946.0,273238.0
51,289964.0,293996.0,250015.0,287950.0
52,244130.0,257713.0,303058.0,238127.0
53,252157.0,262682.0,263010.0,252527.0
54,244157.0,244002.0,248281.0,241086.0
55,199126.0,189952.0,203975.0,196810.0
56,286768.0,308360.0,305772.0,283248.0
57,336607.0,339940.0,338227.0,334112.0
58,298664.0,305463.0,304282.0,295682.0
59,268213.0,258906.0,270653.0,267618.0
60,213133.0,220860.0,163119.0,209931.0
61,245568.0,255308.0,327107.0,242909.0
62,316380.0,329962.0,322582.0,313132.0
63,344860.0,329201.0,353443.0,346391.0
64,266440.0,275908.0,256755.0,261104.0
65,298257.0,318749.0,270977.0,293247.0
66,225871.0,229317.0,230207.0,223414.0
67,201827.0,205746.0,210150.0,201087.0
68,269539.0,262285.0,320824.0,266416.0
69,332125.0,355739.0,303202.0,328223.0
70,240024.0,237240.0,228007.0,238618.0
71,282194.0,281171.0,284952.0,276940.0
72,164058.0,186021.0,201525.0,153898.0
73,153429.0,142350.0,130327.0,157222.0
74,127245.0,162611.0,181946.0,118954.0
75,215878.0,206351.0,247659.0,216470.0
76,139840.0,133081.0,80708.7,136313.0
