txkB/s,ceph01,ceph02,ceph03,ceph04
0,298892.0,279733.0,287775.0,289138.0
1,383577.0,365235.0,374709.0,377127.0
2,266424.0,258943.0,232535.0,245385.0
3,287429.0,283993.0,277983.0,287924.0
4,256501.0,234756.0,262292.0,252487.0
5,277665.0,252440.0,250997.0,252297.0
6,282011.0,265936.0,273647.0,273994.0
7,344339.0,320996.0,319541.0,327285.0
8,240521.0,253649.0,235290.0,242936.0
9,251455.0,232621.0,232976.0,232162.0
10,262835.0,230955.0,235885.0,236354.0
11,286624.0,283041.0,258738.0,273308.0
12,308715.0,305134.0,318493.0,311827.0
13,369002.0,350803.0,342274.0,351218.0
14,267263.0,235746.0,241280.0,243021.0
15,260159.0,249708.0,238056.0,244243.0
16,270222.0,267291.0,258254.0,263948.0
17,281233.0,267000.0,283523.0,275608.0
18,280864.0,253083.0,266338.0,265322.0
19,311285.0,293222.0,288184.0,294468.0
20,272969.0,275420.0,249619.0,264490.0
21,232277.0,223376.0,237283.0,229024.0
22,294510.0,272386.0,263002.0,271584.0
23,199573.0,183847.0,192335.0,184764.0
24,301301.0,281644.0,274008.0,276924.0
25,255185.0,259421.0,240680.0,259897.0
26,299947.0,275514.0,294874.0,287462.0
27,346120.0,324851.0,333488.0,334449.0
28,256140.0,257846.0,235144.0,242070.0
29,284261.0,253478.0,275944.0,277439.0
30,316532.0,319195.0,286921.0,300783.0
31,236881.0,219575.0,231977.0,228536.0
32,326675.0,308369.0,291994.0,306578.0
33,282768.0,264288.0,279528.0,277271.0
34,249064.0,253910.0,245460.0,245673.0
35,340778.0,311478.0,302894.0,315701.0
36,287637.0,262806.0,288599.0,282913.0
37,242745.0,231408.0,217971.0,224921.0
38,245828.0,239338.0,236905.0,240812.0
39,327941.0,309184.0,319665.0,324552.0
40,302322.0,280573.0,276905.0,277549.0
41,288119.0,277211.0,282403.0,282796.0
42,269059.0,265649.0,248485.0,259816.0
43,215260.0,199860.0,214181.0,205695.0
44,349506.0,322076.0,329320.0,332432.0
45,360446.0,337755.0,333911.0,336326.0
46,313081.0,318482.0,304900.0,316633.0
47,257054.0,246556.0,249305.0,238963.0
48,283020.0,269769.0,243175.0,264215.0
49,236357.0,206031.0,237908.0,220512.0
50,288130.0,286260.0,260053.0,278604.0
51,296561.0,283148.0,240794.0,292549.0
52,261918.0,248064.0,287087.0,245863.0
53,269294.0,252286.0,249634.0,257835.0
54,262216.0,240536.0,241960.0,244529.0
55,195647.0,185610.0,195745.0,200848.0
56,304527.0,298870.0,296244.0,285452.0
57,355639.0,331722.0,322467.0,339013.0
58,309748.0,301673.0,293764.0,298558.0
59,275410.0,262874.0,270829.0,266502.0
60,228973.0,207648.0,148143.0,211863.0
61,256443.0,246798.0,320872.0,246175.0
62,337139.0,316906.0,310186.0,320743.0
63,348709.0,330978.0,348794.0,353226.0
64,273344.0,267595.0,247821.0,261138.0
65,323054.0,306731.0,252196.0,298583.0
66,232662.0,223649.0,224978.0,229282.0
67,221725.0,202103.0,201964.0,203971.0
68,268244.0,256370.0,307461.0,275009.0
69,348191.0,347677.0,291362.0,331931.0
70,267071.0,225545.0,211717.0,240840.0
71,293045.0,279470.0,282120.0,280847.0
72,157840.0,182376.0,195643.0,158738.0
73,175782.0,131435.0,119026.0,157310.0
74,150308.0,150316.0,169739.0,119414.0
75,232653.0,205161.0,235834.0,218802.0
76,135040.0,127870.0,83934.2,137094.0
77,239199.0,231041.0,238144.0,214239.0
78,233680.0,189294.0,181964.0,219034.0
79,331207.0,311866.0,308247.0,310998.0
80,169821.0,179967.0,207509.0,160617.0
81,350267.0,328630.0,295390.0,346392.0
82,292823.0,277223.0,284705.0,275043.0
83,219442.0,201988.0,203032.0,205172.0
84,222743.0,195703.0,183920.0,212549.0
85,288415.0,297897.0,302213.0,279005.0
86,273070.0,259074.0,251226.0,261730.0
87,335444.0,301769.0,299237.0,316459.0
88,263612.0,258373.0,262398.0,261061.0
89,237528.0,237012.0,239632.0,227904.0
90,328670.0,294209.0,288446.0,306482.0
91,271733.0,252282.0,251354.0,263740.0
92,351989.0,343500.0,338091.0,338021.0
93,268876.0,273859.0,277447.0,273782.0
94,253261.0,239984.0,247842.0,231778.0
95,257587.0,218350.0,204483.0,235825.0
96,252088.0,254136.0,257494.0,238485.0
97,329440.0,318197.0,317646.0,327034.0
98,281948.0,258047.0,252814.0,276499.0
99,306210.0,292516.0,300322.0,293407.0
100,297388.0,288700.0,290588.0,279587.0
101,253231.0,242728.0,241401.0,250167.0
102,240785.0,217379.0,206680.0,236187.0
103,349675.0,326474.0,325354.0,329546.0
104,332206.0,316797.0,323441.0,304139.0
105,296042.0,295610.0,289743.0,295876.0
106,254084.0,241436.0,243494.0,252026.0
107,245671.0,239616.0,240175.0,225755.0
108,294528.0,277735.0,271368.0,288637.0
109,288435.0,263875.0,259029.0,268779.0
110,282553.0,285982.0,286401.0,281042.0
111,286699.0,269763.0,267876.0,270981.0
112,226273.0,195417.0,198032.0,205874.0
113,260036.0,247441.0,240757.0,253356.0
114,293346.0,290093.0,288374.0,293138.0
115,294980.0,284602.0,296171.0,269970.0
116,267878.0,241726.0,234099.0,257678.0
117,252632.0,236759.0,235000.0,237040.0
118,237751.0,246530.0,256881.0,238597.0
119,254898.0,225437.0,225032.0,236594.0
120,332540.0,305972.0,302675.0,306664.0
121,317251.0,310986.0,308754.0,303843.0
122,253263.0,254943.0,257409.0,260990.0
123,254505.0,232136.0,231372.0,238180.0
124,282375.0,265408.0,272431.0,259986.0
125,279847.0,255451.0,248576.0,262906.0
126,294372.0,291518.0,290092.0,295919.0
127,311072.0,280686.0,273119.0,294826.0
128,295043.0,283722.0,292954.0,276686.0
129,287386.0,279752.0,279248.0,272703.0
130,245763.0,236700.0,236503.0,240430.0
131,281668.0,264352.0,249871.0,278001.0
132,358085.0,328430.0,328012.0,339960.0
133,337432.0,334331.0,341245.0,322337.0
134,234857.0,223295.0,227490.0,219079.0
135,279099.0,262036.0,245640.0,277869.0
136,211095.0,203932.0,214033.0,197419.0
137,216807.0,199102.0,199084.0,199375.0
138,368086.0,346026.0,344795.0,354879.0
139,316377.0,314374.0,312141.0,322790.0
140,279754.0,253379.0,248648.0,255182.0
141,257932.0,256832.0,266487.0,246191.0
142,231453.0,206556.0,197805.0,214140.0
143,324518.0,307060.0,299598.0,321371.0
144,288144.0,274060.0,272631.0,276119.0
145,271846.0,262267.0,269944.0,250907.0
146,256051.0,244705.0,235886.0,251249.0
147,205489.0,186728.0,185491.0,193993.0
148,224924.0,223851.0,225142.0,229869.0
149,366695.0,338818.0,331552.0,351136.0
150,317893.0,297958.0,298693.0,294086.0
151,242014.0,236911.0,232480.0,230024.0
152,242695.0,255907.0,252974.0,251984.0
153,256128.0,240452.0,244023.0,235663.0
154,315760.0,276603.0,267819.0,294396.0
155,359616.0,334554.0,331792.0,337925.0
156,342739.0,352791.0,360254.0,339076.0
157,263129.0,241848.0,242982.0,257468.0
158,294757.0,279810.0,270484.0,281317.0
159,261252.0,233352.0,234333.0,241877.0
160,227511.0,217903.0,216005.0,215845.0
161,379139.0,385944.0,381357.0,390382.0
162,358230.0,342340.0,346377.0,341578.0
163,238781.0,223792.0,229462.0,221198.0
164,269134.0,232105.0,222091.0,246799.0
165,246582.0,264086.0,271276.0,247130.0
166,278617.0,268995.0,268309.0,277531.0
167,311062.0,272888.0,264732.0,289256.0
168,317934.0,298481.0,296626.0,301644.0
169,230845.0,205549.0,218346.0,208225.0
170,250691.0,267651.0,266142.0,245940.0
171,270919.0,249270.0,247420.0,261142.0
172,265740.0,234903.0,221723.0,249372.0
173,242637.0,235902.0,241830.0,228341.0
