await,ceph01,ceph02,ceph03,ceph04
0,0.11875,0.66375,1.63875,0.7775
1,0.18375,0.23125,1.19875,0.18
2,0.16375,0.29,0.5675,1.705
3,0.3625,1.74625,0.2425,1.54875
4,2.3125,1.31375,0.895,0.14375
5,1.3,0.63375,1.49625,0.5975
6,0.16,0.90125,1.42625,0.8525
7,0.155,0.16,1.655,0.18
8,0.12375,0.12625,0.85,1.60625
9,0.4725,1.33,0.10625,1.4575
10,2.04125,1.85875,0.545,0.2025
11,1.84875,0.22625,1.3725,0.2075
12,0.24875,0.89875,1.28,0.615
13,0.1475,0.605,1.00875,0.47125
14,0.12,0.1175,1.07625,1.13875
15,0.69625,0.68625,0.29125,1.30875
16,0.6825,1.99375,0.2475,0.5125
17,1.975,0.52875,0.82375,0.1425
18,1.3425,0.735,0.97375,1.11875
19,0.38375,0.77625,1.94625,1.4175
20,0.465,0.4825,1.4875,1.14875
21,1.255,0.35,1.36,1.60625
22,0.59,2.1025,0.7775,2.33
23,1.74,2.19,1.2225,0.3375
24,2.42375,0.98625,0.4925,0.49625
25,0.2375,0.82125,1.5625,1.71625
26,1.08,0.1675,1.6225,0.98625
27,1.1475,0.1675,0.97125,1.06
28,0.13125,1.6075,0.16125,1.18625
29,0.80875,1.68,0.845,0.17875
30,1.7575,0.33,0.4825,0.11625
31,0.68875,0.81375,1.12125,1.16625
32,0.4625,0.20625,1.09875,1.05375
33,0.62375,0.15125,0.88125,0.5175
34,0.11375,1.135,0.1375,1.32625
35,0.32,1.385,0.90875,0.80375
36,1.71375,0.49375,0.5825,0.13875
37,1.375,0.81625,0.75125,1.20125
38,0.69125,0.85875,1.25625,1.03125
39,0.56125,0.15625,1.80875,0.19875
40,0.15,0.5725,0.59375,1.44875
41,0.14375,1.75,0.82125,1.115
42,1.455,0.76625,0.59375,0.15375
43,1.94,0.87125,0.6725,1.31875
44,0.5,0.5,0.95875,0.88875
45,0.24125,0.14625,1.4025,0.155
46,0.1225,0.6225,0.92875,1.2725
47,0.10625,1.68375,0.76375,1.50875
48,1.14375,1.39125,0.71,0.8975
49,1.73375,0.9275,0.725,1.115
50,1.315,0.65625,1.385,1.1975
51,0.4175,0.3975,1.93875,0.1425
52,0.1575,0.585,1.53375,0.63375
53,0.405,1.1525,0.325,1.4625
54,0.69625,1.6475,0.89,1.0075
55,2.14375,1.8125,0.90625,1.2825
56,1.02875,0.8925,0.7025,1.2425
57,0.14375,0.17375,1.07375,0.2725
58,0.38,0.63875,1.54875,0.2175
59,0.14,0.51625,0.2125,1.2725
60,1.08125,1.355,0.755,1.2625
61,1.77875,1.5625,0.4375,0.38625
62,0.88875,0.14625,0.90625,0.93
63,0.15625,0.175,0.72625,0.76875
64,0.12375,0.86125,1.11,0.11625
65,0.13875,0.4475,0.5525,1.145
66,0.87,1.07375,0.77125,1.76875
67,1.79625,1.71375,0.3375,0.1925
68,1.22625,0.1675,0.75625,0.69625
69,0.23125,0.1525,0.99875,0.8925
70,0.1475,3.155,1.31875,0.12375
71,0.29875,0.5225,1.52,1.14875
72,1.4475,0.95,0.6375,2.01875
73,2.58875,7.00375,0.52125,0.685
74,1.06375,2.0775,6.3425,1.29125
75,7.725,0.1175,0.5025,2.2075
76,1.69375,4.38125,6.77125,3.245
77,0.42875,3.65875,1.69375,0.84875
78,2.0475,0.4975,1.3175,3.04
79,1.36875,1.42,0.42,0.9525
80,0.7475,2.73625,3.37375,0.38625
81,0.1625,0.22,0.4525,2.055
82,0.3875,0.73625,0.7075,0.25625
83,1.1125,0.655,1.69875,1.6175
84,1.3175,0.6375,2.32875,1.9775
85,1.2775,1.33,0.55625,0.1475
86,1.145,1.62625,1.3975,0.575
87,0.28,0.93125,1.41125,0.825
88,0.775,1.03,0.94625,1.2625
89,0.56375,0.7775,1.34125,1.16625
90,0.74625,0.42125,1.2125,1.43
91,1.37375,0.94375,0.54625,0.60875
92,1.32625,1.59625,0.20875,0.15375
93,0.94,0.2825,0.675,0.6625
94,0.60375,0.945,0.7225,1.5275
95,0.5625,0.7725,1.385,1.23
96,0.655,0.12125,1.5275,1.42875
97,1.39,0.27875,0.6375,0.7175
98,1.045,1.49,0.12375,0.12625
99,1.1525,0.91875,0.8825,0.37375
100,0.7,1.20625,0.685,1.5325
101,0.13125,0.87,1.24375,1.1375
102,0.68875,0.14,2.0425,1.1525
103,1.1775,0.145,0.6775,0.775
104,0.865,1.11125,0.16125,0.1775
105,1.0575,1.04,0.5125,0.14375
106,0.41,1.5725,0.92375,0.87125
107,0.155,1.0675,0.6875,1.53875
108,0.63125,0.12875,1.7725,0.75125
109,0.685,0.13125,1.51125,1.0125
110,0.9,0.3725,0.18375,0.87
111,1.24,1.39625,0.17,0.1825
112,0.80125,1.72,0.7575,1.335
113,0.27,0.995,1.1875,1.61875
114,0.87,0.4325,1.29,0.89875
115,0.2325,0.125,1.43,0.58
116,1.73875,0.6375,0.66,1.3075
117,1.80375,2.265,0.4275,0.14
118,1.03625,1.9,1.19,0.41875
119,0.80875,0.68375,1.7375,1.81875
120,0.73375,0.17125,1.31375,1.3625
121,0.12875,0.34,1.265,0.315
122,1.105,0.43,0.77,0.78625
123,1.82,1.67,0.11625,0.19625
124,1.22875,1.47375,0.58625,0.555
125,0.73125,0.55125,0.7975,1.48125
126,0.425,0.16125,1.0175,0.86875
127,0.1125,0.1425,1.69,0.18375
128,0.48125,0.4675,0.79,0.82
129,1.64375,1.3625,0.1425,0.68375
130,1.94,1.39625,0.8025,0.6125
131,0.5125,1.08125,0.72,1.395
132,0.13125,0.18125,0.6775,1.24375
133,0.165,0.16625,1.29875,0.1725
134,0.1075,0.94625,1.40375,0.5125
