rMB/s,ceph01,ceph02,ceph03,ceph04
0,0.0,0.0025,0.0,0.0025
1,0.00125,0.0,0.0,0.0025
2,0.00125,0.00125,0.0025,0.0
3,0.00375,0.0,0.00125,0.0
4,0.0,0.00125,0.0,0.00375
5,0.00375,0.00125,0.0,0.0
6,0.00125,0.0025,0.0,0.0
7,0.00125,0.00125,0.00125,0.0
8,0.0025,0.0,0.0025,0.00125
9,0.00125,0.00375,0.00375,0.0
10,0.00125,0.0,0.0,0.0
11,0.005,0.00125,0.0,0.0025
12,0.0,0.00125,0.00375,0.0025
13,0.0,0.0025,0.00125,0.00375
14,0.00375,0.00125,0.00125,0.0025
15,0.00125,0.0,0.0025,0.0
16,0.00125,0.00125,0.005,0.00375
17,0.0,0.0,0.0,0.00125
18,0.0,0.0,0.00125,0.0025
19,0.00625,0.0,0.00125,0.0
20,0.0,0.00125,0.0025,0.00125
21,0.0,0.0,0.00125,0.0025
22,0.0,0.00375,0.00375,0.00125
23,0.00125,0.00125,0.0,0.00125
24,0.00125,0.0025,0.0,0.0
25,0.0,0.00125,0.0,0.00125
26,0.00125,0.00125,0.0,0.00125
27,0.0,0.00125,0.0,0.0
28,0.00375,0.00125,0.00125,0.0
29,0.00125,0.00375,0.00125,0.0025
30,0.0,0.0,0.0025,0.0
31,0.005,0.00125,0.0,0.0
32,0.00125,0.0,0.0,0.0
33,0.00125,0.0,0.0,0.0
34,0.0,0.0,0.0,0.00125
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0025,0.0,0.0
38,0.0,0.0025,0.0,0.0
39,0.0,0.0,0.00125,0.0
40,0.0,0.0,0.00125,0.0025
41,0.00125,0.0,0.00125,0.0
42,0.0,0.0025,0.0025,0.0025
43,0.0,0.00125,0.0,0.0
44,0.0025,0.00125,0.0,0.0
45,0.00125,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0025
47,0.0,0.0,0.0,0.0025
48,0.0,0.0025,0.0,0.00375
49,0.0025,0.0025,0.00375,0.005
50,0.0,0.0,0.0025,0.0
51,0.0,0.00125,0.0,0.0
52,0.0,0.00125,0.0,0.00125
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.00125,0.0,0.00125,0.0
57,0.0,0.0,0.0,0.0
58,0.0025,0.0025,0.0,0.0
59,0.0,0.0025,0.0,0.0
60,0.0,0.0,0.0025,0.005
61,0.00125,0.00125,0.0,0.0
62,0.0,0.0,0.0,0.00125
63,0.0,0.00125,0.0,0.0
64,0.0025,0.00125,0.0,0.0
65,0.0,0.0,0.0075,0.0
66,0.0,0.00125,0.00125,0.00125
67,0.0,0.0,0.00125,0.0
68,0.00125,0.00125,0.0,0.0
69,0.00125,0.0,0.00125,0.0
70,0.0025,0.0075,0.0,0.0025
