svctm,ceph01,ceph02,ceph03,ceph04
0,0.0675,0.07,0.08125,0.0825
1,0.09875,0.11,0.085,0.09375
2,0.075,0.0775,0.06625,0.0875
3,0.07375,0.08625,0.07625,0.08
4,0.08375,0.06125,0.0675,0.06875
5,0.07375,0.08375,0.07375,0.07625
6,0.0775,0.075,0.07125,0.06375
7,0.08375,0.08125,0.12125,0.08625
8,0.06375,0.065,0.0625,0.0825
9,0.06625,0.09125,0.06125,0.05875
10,0.15375,0.0575,0.08375,0.0775
11,0.06375,0.08875,0.10125,0.075
12,0.09125,0.07875,0.09375,0.07875
13,0.07875,0.09375,0.09,0.08375
14,0.0625,0.0625,0.0675,0.0825
15,0.06375,0.0875,0.06875,0.06375
16,0.08125,0.06375,0.0775,0.05875
17,0.09125,0.07375,0.06125,0.07375
18,0.07375,0.07125,0.075,0.075
19,0.0675,0.0825,0.09625,0.07875
20,0.07875,0.0675,0.0625,0.07125
21,0.06,0.08,0.07375,0.06375
22,0.07625,0.0725,0.0775,0.08875
23,0.08,0.07,0.06125,0.0525
24,0.08125,0.08625,0.07875,0.08
25,0.0675,0.05875,0.06375,0.08125
26,0.085,0.08125,0.11,0.07375
27,0.09875,0.085,0.08,0.10625
28,0.0675,0.08625,0.06375,0.075
29,0.09625,0.07,0.06125,0.07375
30,0.06625,0.0975,0.08625,0.07
31,0.065,0.055,0.08375,0.0775
32,0.08375,0.07375,0.09375,0.0875
33,0.07875,0.075,0.07,0.10625
34,0.065,0.115,0.06875,0.06125
35,0.09125,0.06375,0.085,0.08625
36,0.08,0.07125,0.07125,0.06875
37,0.06875,0.05875,0.05625,0.07125
38,0.0925,0.0725,0.0625,0.075
39,0.0825,0.085,0.0875,0.09625
40,0.07375,0.07625,0.0725,0.07
41,0.0725,0.07,0.0825,0.06625
42,0.1075,0.06875,0.06125,0.07375
43,0.05625,0.0725,0.06,0.08125
44,0.08375,0.095,0.1075,0.07375
45,0.08625,0.07875,0.1075,0.0825
46,0.0725,0.0875,0.08625,0.1275
47,0.05875,0.0825,0.08125,0.06375
48,0.12,0.0725,0.05875,0.0725
49,0.0575,0.05375,0.05625,0.08
50,0.08375,0.0725,0.09625,0.0675
51,0.0775,0.0775,0.09375,0.06625
52,0.075,0.08125,0.06625,0.0725
53,0.07375,0.09375,0.08375,0.07125
54,0.0725,0.07,0.05625,0.0725
55,0.06125,0.0625,0.09625,0.0625
56,0.085,0.0825,0.0675,0.08625
57,0.0775,0.0875,0.10125,0.0875
58,0.07625,0.08625,0.07875,0.0725
59,0.0725,0.0675,0.0675,0.08125
60,0.07375,0.08,0.06125,0.07
61,0.07125,0.06125,0.0925,0.06625
62,0.075,0.07875,0.0775,0.0775
63,0.085,0.09,0.11125,0.08625
64,0.06625,0.08,0.05875,0.065
65,0.075,0.06875,0.085,0.08875
66,0.08,0.0875,0.065,0.06
67,0.0875,0.06125,0.06,0.065
68,0.06125,0.08125,0.0625,0.09125
