%util,ceph01,ceph02,ceph03,ceph04
0,29.575,36.4875,51.9625,44.35
1,32.85,37.2875,44.675,31.6
2,35.975,36.575,36.7125,59.9125
3,33.7125,54.2875,33.1625,55.875
4,73.0375,52.025,44.875,33.725
5,54.2375,37.625,47.125,35.3625
6,34.3875,45.6375,46.425,41.275
7,34.4875,34.45,57.3875,35.15
8,30.7625,31.0,44.3,54.6125
9,30.1375,45.0,28.0875,53.35
10,53.6125,60.5,34.6125,29.55
11,64.775,37.0875,48.0125,31.7875
12,34.3,40.9625,47.0625,40.8125
13,30.3125,38.7625,47.3875,34.7375
14,32.2,32.2125,49.0875,50.8125
15,38.275,42.775,35.525,57.9625
16,37.4375,68.6,33.325,32.3375
17,63.8375,31.1875,37.8375,28.9375
18,47.6375,35.6875,39.9125,40.1625
19,31.8375,44.3375,59.4375,46.5875
20,36.7625,33.6625,48.9,47.3625
21,38.3375,28.775,44.7,54.625
22,29.3375,64.625,33.3,55.375
23,46.925,49.075,36.8625,20.1
24,68.75,36.975,34.325,35.15
25,29.0125,38.6875,45.95,50.025
26,34.7625,31.05,48.975,39.55
27,44.8625,34.075,42.525,42.0375
28,33.75,53.325,31.625,57.5875
29,39.2875,61.85,42.0,32.975
30,68.15,39.4,35.775,29.1375
31,39.975,39.75,44.175,50.1
32,37.0875,30.85,53.1625,48.05
33,42.0125,34.1125,47.3,38.65
34,27.1375,44.25,31.4,52.925
35,31.4625,61.7625,44.9375,39.5875
36,63.2375,35.6,38.9875,32.0625
37,52.6,37.4,35.6625,43.2625
38,33.95,34.525,37.725,41.3375
39,32.975,28.275,52.55,30.8125
40,33.9,37.875,39.5875,53.45
41,32.775,59.55,47.1625,42.4
42,51.5875,43.1125,36.4,34.5
43,56.6125,34.925,33.2,45.475
44,38.1125,43.6625,44.65,42.625
45,35.425,31.425,49.25,32.5375
46,30.2125,37.1125,46.8375,45.9125
47,31.1125,55.7875,42.3375,60.15
48,48.25,57.5,40.825,39.4
49,70.5,41.75,36.4625,49.425
50,47.8875,36.1875,50.775,44.9375
51,32.8125,32.5125,57.2875,28.4625
52,33.9375,34.8,54.4375,36.175
53,28.475,39.55,33.5125,56.0875
54,31.2875,53.5125,38.0,38.6125
55,52.3,44.15,27.5,28.1375
56,46.25,38.15,40.1625,47.7375
57,31.475,35.375,45.2875,35.125
58,35.75,38.6,58.025,30.75
59,34.7125,37.5875,32.9875,52.2375
60,42.25,53.8125,44.4125,48.475
61,59.9,52.5125,35.175,31.6
62,43.7375,32.1,45.55,41.4375
63,33.1625,34.15,41.0875,40.7
64,31.925,46.0875,52.75,30.7125
65,32.6125,32.5,40.775,47.7625
66,44.6125,44.85,46.9375,66.9
67,49.1,56.825,28.875,30.1
68,42.25,30.925,35.7375,33.325
69,32.325,31.0875,41.6625,38.1375
70,31.3875,49.875,50.9875,29.325
71,32.6,36.475,48.525,49.425
72,36.6625,36.575,31.6875,54.175
73,39.475,66.4875,12.775,13.9875
74,31.9,32.825,39.1375,25.1625
75,41.575,21.1625,26.75,40.4625
76,20.85,29.9125,38.7375,26.5875
77,25.9375,39.1,47.0375,35.1625
78,39.3875,24.65,33.8875,45.4125
79,50.15,49.2875,36.2375,36.1625
80,32.6125,45.1375,44.1125,23.7625
81,26.9625,27.675,29.525,42.175
82,36.675,38.8625,45.55,36.4125
83,41.8625,33.0625,60.3,49.875
84,30.2875,29.1,49.2875,49.4125
85,52.675,50.525,38.3625,32.1
86,46.475,51.2875,41.9625,31.75
87,30.9375,36.2,46.5,42.4
88,36.0375,48.3375,43.175,43.675
89,32.9,35.5,48.075,43.0375
90,32.9125,31.2875,47.6625,48.9375
91,53.95,44.3,36.875,36.35
92,47.875,61.75,37.75,30.15
93,41.575,35.2,38.4,40.5875
94,37.7625,48.3625,42.35,50.65
95,25.1375,36.8875,47.4625,39.1125
96,34.3,26.1,48.625,47.6375
97,51.3875,32.05,35.725,36.4375
98,44.65,55.8125,31.0625,31.8625
99,47.95,45.7125,43.4625,37.575
100,41.425,47.8375,38.7875,56.8
101,30.9875,43.8,47.25,46.3
102,27.575,25.975,52.2875,37.3875
103,46.5225,30.95,40.925,43.65
104,47.25,45.775,34.025,35.725
105,53.5625,51.4875,38.675,32.425
106,34.85,52.75,44.8125,43.8125
107,33.5125,49.3625,38.6875,58.8
108,38.3625,29.475,53.7625,42.2625
109,35.975,30.15,54.85,40.4375
110,45.775,32.7,34.55,41.7125
111,51.2,51.9375,24.2875,26.8625
112,33.9375,51.5875,35.275,39.275
113,27.475,36.725,37.65,55.5
114,37.8125,27.4625,50.225,40.975
115,32.45,30.7375,52.5125,37.1625
116,51.6375,31.9125,35.375,44.0
117,52.1375,54.195,25.9375,25.4875
118,40.2375,57.225,40.35,31.0875
119,30.2,32.4625,46.875,56.75
120,39.675,36.2,49.525,44.525
121,31.4125,32.475,52.2625,37.0625
122,45.525,32.9625,40.7125,42.525
123,57.9625,50.0,26.8,29.4875
124,42.9875,57.1125,35.5,35.3125
125,39.22,38.025,39.7125,53.8375
126,31.1875,28.95,45.825,40.5375
127,29.65,33.0875,60.8375,37.8875
128,40.0125,32.8125,41.6625,42.175
129,59.3625,52.025,33.175,36.3625
130,56.9625,48.4875,41.875,33.6375
131,37.2625,41.6,38.8875,47.925
132,28.9,32.8375,38.925,52.975
133,33.05,34.3375,54.5875,33.825
134,31.625,44.375,52.5125,35.0375
135,49.6875,46.0,36.4875,41.15
136,63.1625,35.875,37.12,33.0625
137,32.35,37.8,22.875,34.6375
138,31.2125,33.025,29.2,55.4875
139,34.625,33.3,56.1875,35.4125
140,30.4125,49.025,62.535,42.5
141,40.8875,44.3875,39.925,56.3875
142,68.9375,39.6625,38.45,34.5375
143,45.7375,45.0,34.85,34.4125
144,25.075,32.7125,27.6,55.4625
145,32.1,39.0,43.025,51.225
146,24.875,48.75,57.2125,30.175
147,37.25,20.1125,38.3125,44.45
148,61.825,43.8,37.4125,28.9375
149,36.5375,47.7625,36.8125,33.7625
150,36.725,39.1375,34.575,42.5125
151,30.35,39.2875,40.1375,58.8875
152,27.9375,47.2375,53.2125,33.0
153,33.2625,28.8875,51.475,44.5375
154,68.9,47.4,35.7675,34.9125
155,46.1625,43.8,34.7125,36.0125
156,32.825,38.1375,32.2625,40.275
157,37.4875,45.9875,37.275,57.0375
158,38.1625,44.1375,50.6,45.0875
159,31.0375,33.2625,67.9125,43.2125
160,56.4375,46.475,44.8625,37.4875
161,66.8,45.0,30.6375,32.7875
162,40.25,36.875,33.7125,35.9125
163,34.2125,50.35,35.5625,56.75
164,37.65,37.475,52.7875,54.9125
165,35.3125,41.2125,55.3125,38.425
166,42.0625,37.25,55.75,42.1375
167,62.4875,40.475,32.8375,30.0625
168,49.55,45.3,30.975,37.325
169,29.5125,54.575,29.9875,47.2125
170,29.1625,36.1375,44.325,64.8875
171,31.3875,35.8,63.15,26.275
172,34.275,25.9,52.875,36.2125
173,44.225,31.125,29.9875,37.35
174,52.2625,51.6375,31.0375,33.0
175,40.5375,57.4,30.8375,41.325
176,35.425,30.275,32.525,65.5625
177,30.35,39.5875,63.2125,33.3625
178,31.65,29.075,64.9125,33.1
179,46.8625,34.4125,48.4375,41.275
180,53.475,60.1,28.3625,29.0375
181,34.3625,53.6125,22.825,33.2
182,29.8625,36.2375,26.075,62.675
183,31.6375,40.65,48.35,44.95
184,36.25,33.2125,74.1,31.7
185,46.725,26.7875,49.025,36.825
186,57.3625,50.1375,24.25,25.5375
187,43.275,56.6625,35.35,42.2875
188,34.1125,41.3,32.05,53.05
189,33.7625,35.025,38.6,49.55
190,35.0625,32.575,69.7875,37.8375
191,43.6375,33.9875,56.325,45.6625
192,53.9,52.475,34.925,33.2125
193,54.5,46.675,30.35,39.1625
194,33.3125,48.7,32.95,44.8875
195,32.6625,39.325,38.8,57.735
196,33.625,30.9,61.8375,34.2375
197,42.75,35.7875,67.5625,42.0625
198,51.825,51.175,41.35,41.25
199,53.05,46.525,29.45,46.775
