wMB/s,ceph01,ceph02,ceph03,ceph04
0,16.93,22.56,40.0138,24.7212
1,13.0825,13.1262,27.5262,13.0463
2,18.9813,23.9062,23.4425,55.8537
3,21.9637,46.0812,19.7512,40.8125
4,72.6312,45.75,31.2775,19.3375
5,39.17,28.4325,35.45,26.715
6,17.8012,28.1963,37.61,30.4225
7,16.2613,16.4325,34.0625,15.85
8,18.9513,18.6288,32.215,51.5312
9,24.6013,43.9038,18.1913,48.8312
10,50.5825,51.58,25.4288,16.1663
11,51.8062,19.1938,34.1575,19.0738
12,16.8888,27.5562,33.5225,26.7325
13,14.6738,17.9425,31.6562,17.8225
14,20.3475,19.8462,37.115,41.8487
15,31.1988,32.8287,21.9625,49.4412
16,26.7838,59.0725,21.4563,23.4062
17,55.82,19.8513,31.1938,15.265
18,34.4288,28.01,30.5038,32.4412
19,22.1975,25.3625,42.3787,34.5213
20,23.4875,22.7188,44.025,39.9587
21,36.9087,21.375,36.5512,48.61
22,19.795,60.7463,24.2575,36.34
23,49.3038,44.945,37.4763,15.8337
24,46.8963,28.11,25.5725,26.0925
25,17.8313,32.9862,42.1275,40.7763
26,27.025,14.82,31.5088,27.4087
27,29.2612,15.4825,24.9262,31.555
28,19.5962,50.3612,20.6087,40.345
29,29.7812,44.585,34.0037,17.3788
30,55.395,20.1663,22.0438,16.5587
31,27.6738,34.2963,38.635,44.9787
32,26.8762,17.9062,37.9375,30.0988
33,25.3975,17.7462,33.2825,23.8475
34,16.645,37.6937,18.14,49.0437
35,17.3225,52.6262,29.6137,21.7025
36,53.8325,22.5837,23.3038,17.9312
37,43.2625,31.9838,33.41,41.4075
38,24.8938,21.185,33.5425,29.825
39,20.8825,12.965,34.3675,12.5975
40,18.115,27.53,24.1375,43.7075
41,17.515,54.2638,30.4288,31.1638
42,45.4263,29.4112,25.5688,18.2438
43,57.4575,28.1525,31.5513,39.7
44,23.5125,21.5575,26.1688,29.29
45,16.6863,15.5038,34.5425,15.1913
46,16.2688,24.9988,26.7075,30.7825
47,20.49,47.43,32.6037,49.7075
48,37.15,39.3175,30.48,31.115
49,66.0512,37.2613,32.9975,41.0175
50,42.9912,25.6825,34.6825,34.8425
51,19.9438,19.6937,47.5087,16.6637
52,17.715,26.41,47.1137,31.0438
53,19.0512,38.1763,19.9475,47.035
54,28.6275,51.2425,31.495,30.1012
55,61.6587,41.8462,21.7562,29.3325
56,31.885,22.61,28.6937,33.3588
57,15.655,15.895,27.3375,17.0637
58,22.2375,26.5575,40.9738,19.8137
59,19.5025,25.6888,20.4175,41.855
60,35.43,49.7425,37.1662,44.4275
61,64.415,45.8788,23.5288,22.1412
62,29.8337,16.1438,29.1862,29.2637
63,15.435,14.7563,23.3025,21.6412
64,19.0325,31.9725,47.6262,18.7388
65,17.1312,22.3262,21.1525,38.5637
66,38.3413,42.5175,37.05,57.8088
67,54.79,54.335,20.1463,18.6375
68,34.1,15.0512,30.9838,23.2713
69,16.6525,14.4225,24.0213,25.535
70,17.2288,43.2462,43.2425,18.6925
71,21.0813,22.905,30.44,31.5263
72,38.885,35.2775,30.5188,58.8175
73,55.3462,63.95,9.4275,10.2888
74,35.885,29.8087,38.1137,26.45
75,34.2575,12.1575,21.8963,43.785
76,21.6825,30.6413,46.7338,20.58
77,19.1575,22.7525,39.4062,32.55
78,38.0775,22.0625,31.1625,51.005
79,33.0213,35.52,18.7325,26.3362
80,30.3588,36.5525,35.555,19.3775
81,11.9387,14.4962,15.155,33.0825
82,22.0287,32.3225,30.3237,20.81
83,44.9725,29.2225,53.6875,50.5937
84,29.8425,25.0162,45.7188,48.475
85,44.1662,35.1487,22.7125,16.87
86,34.48,47.5375,31.4725,22.8725
87,17.8888,29.1038,31.1125,29.8662
88,30.5762,35.735,32.8125,35.325
89,24.6737,29.585,43.61,42.265
90,25.3925,19.9363,33.1337,37.3837
91,44.1313,32.8612,23.1988,22.5575
92,31.6875,40.7275,14.66,13.8788
93,27.815,19.32,29.0875,29.05
94,31.77,43.96,31.7987,38.1475
95,21.8538,30.1487,42.6013,34.88
96,29.1662,15.725,41.2075,40.0425
97,37.8813,16.5987,19.4812,23.54
98,30.0938,45.2088,18.3313,18.9263
99,35.085,27.8513,28.7288,22.1913
100,28.3,41.4163,25.8575,41.985
101,18.805,32.7512,40.1387,36.305
102,25.9412,14.19,44.8838,34.1887
103,32.1112,15.5813,24.7262,28.4425
104,28.6412,35.4513,16.3287,16.0
105,44.5775,38.9988,23.0387,16.8612
106,26.5913,44.3987,33.3125,41.3337
107,21.9962,34.245,34.8038,47.7775
108,31.855,16.35,44.5463,26.4862
109,23.6462,16.82,36.815,36.5162
110,32.7588,21.7975,18.1563,23.2025
111,46.9088,47.7263,15.855,15.285
