wrqm/s,ceph01,ceph02,ceph03,ceph04
0,0.0,0.0,0.125,0.0
1,0.0,0.0,0.125,0.0
2,0.0,0.0,0.0,0.5
3,0.125,0.375,0.0,0.0
4,0.375,0.0,0.125,0.0
5,0.0,0.125,0.125,0.125
6,0.0,0.0,0.125,0.0
7,0.0,0.0,0.125,0.0
8,0.0,0.0,0.0,0.375
9,0.125,0.125,0.0,0.125
10,0.25,0.125,0.125,0.0
11,0.125,0.0,0.125,0.0
12,0.0,0.0,0.0,0.125
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.25
15,0.125,0.0,0.0,0.125
16,0.0,0.25,0.0,0.0
17,0.375,0.0,0.0,0.0
18,0.0,0.125,0.25,30.5
19,28.5,0.0,55.625,53.25
20,2.0,70.25,71.875,39.375
21,61.375,0.0,77.5,31.125
22,45.5,120.875,31.0,32.25
23,45.5,166.875,23.625,19.875
24,58.75,85.125,0.125,0.125
25,0.0,36.25,25.125,100.5
26,72.5,0.0,0.125,0.125
27,26.125,0.0,0.0,0.25
28,0.0,0.375,0.0,0.0
29,0.125,0.0,0.125,0.0
30,0.125,0.0,0.0,0.0
31,0.0,0.125,0.125,0.25
32,0.125,0.0,0.25,0.125
33,0.125,0.0,0.125,0.0
34,0.0,0.25,0.0,0.125
35,0.0,0.125,0.125,0.0
36,0.25,0.0,0.0,0.0
37,0.0,0.125,0.125,0.375
38,0.125,0.0,0.125,0.0
39,0.125,0.0,0.125,0.0
40,0.0,0.125,0.0,0.25
41,0.0,0.375,0.125,0.0
42,0.25,0.0,0.0,0.0
43,0.375,0.125,0.125,0.375
44,0.125,0.0,0.125,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.125,0.0,0.25
47,0.0,0.125,41.5,38.5
48,0.125,0.0,0.0,98.125
49,0.375,0.25,0.125,0.125
50,119.875,56.875,81.125,66.25
51,40.0,38.5,88.0,0.0
52,0.0,0.0,160.75,36.25
53,26.625,43.375,0.0,0.125
54,0.25,97.125,0.125,0.125
55,50.125,75.0,45.75,80.375
56,0.125,60.625,0.0,53.0
57,0.0,0.0,0.125,0.0
58,28.25,0.125,0.125,0.0
59,0.0,0.125,0.0,0.375
60,0.25,0.375,0.125,0.25
61,57.125,0.125,0.125,0.0
62,0.125,0.0,0.0,0.125
63,0.0,0.0,0.125,0.0
64,0.0,0.125,0.125,0.0
65,0.0,0.0,0.0,0.125
66,0.25,0.25,0.125,0.375
67,0.375,0.25,0.0,0.0
68,0.125,0.0,0.0,0.125
69,0.0,0.0,0.0,0.0
70,0.0,0.125,0.25,0.0
71,0.125,0.0,0.0,0.25
72,0.0,0.375,0.125,0.25
73,1.0,0.375,0.125,0.0
74,0.375,0.125,0.0,0.125
75,0.25,0.0,0.25,0.125
76,0.0,0.5,0.125,0.0
77,0.125,0.0,0.125,0.25
78,0.25,0.375,0.5,0.375
79,0.25,0.25,15.75,89.375
80,0.125,0.0,0.875,11.375
81,0.0,0.0,0.0,0.125
82,0.125,46.875,0.0,0.0
83,122.25,37.375,67.5,5.875
84,0.25,91.75,90.875,58.75
85,80.125,0.125,11.0,0.0
86,63.0,120.625,148.875,23.875
87,13.0,99.75,22.625,0.0
88,16.125,0.125,11.375,145.875
89,0.125,56.75,0.125,0.25
90,0.25,0.0,0.125,0.125
91,0.25,0.25,0.0,0.0
92,67.625,0.0,0.0,0.0
93,0.0,0.0,0.125,0.125
94,0.25,0.25,0.0,0.125
95,13.75,0.125,0.25,0.25
96,0.375,0.0,0.25,0.0
97,0.375,0.0,0.0,0.0
98,0.25,0.25,0.0,0.0
99,0.125,0.0,0.25,0.0
100,0.125,0.25,0.0,0.25
101,0.0,0.125,0.25,0.125
102,0.25,0.0,0.125,0.125
103,0.12375,0.0,0.0,0.0
104,0.0,0.25,0.0,0.0
105,0.375,0.0,0.125,0.0
106,0.0,0.25,0.0,0.125
107,0.0,0.125,0.125,0.25
108,0.25,0.0,15.375,0.125
109,0.125,0.0,14.0,49.5
110,0.0,0.0,0.0,0.0
111,0.375,0.375,0.0,4.875
112,0.0,0.25,0.25,46.25
113,0.125,0.125,0.125,0.375
114,0.125,73.5,0.125,52.125
115,0.0,0.0,29.875,7.375
116,140.625,71.625,75.5,43.75
117,0.125,154.579,42.125,0.0
118,45.875,83.875,59.625,0.0
119,13.375,0.125,61.375,0.5
120,58.0,0.0,0.0,122.875
121,0.0,6.875,0.125,0.0
122,0.125,0.125,0.0,0.125
123,0.0,0.375,0.0,0.0
124,20.375,0.25,0.125,0.125
125,0.12375,0.0,0.125,0.375
126,0.125,0.0,0.125,0.0
127,0.0,0.0,0.125,0.0
128,0.0,0.125,0.125,0.125
129,18.25,0.375,0.0,0.0
130,28.875,0.25,0.125,0.25
131,0.125,0.0,0.125,0.25
132,0.0,0.0,0.125,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.125,0.125,0.125
135,0.25,0.375,0.0,0.125
136,0.125,0.0,0.1225,0.0
137,0.125,0.25,0.0,0.125
138,0.0,0.0,0.0,0.0
139,0.0,0.0,2.75,5.125
140,0.0,0.25,51.2375,16.25
141,0.25,0.125,0.0,0.375
142,0.25,0.25,0.25,0.0
143,0.0,0.0,0.0,31.25
144,0.0,0.0,0.0,50.25
145,10.125,9.25,0.125,0.0
146,1.375,0.875,0.125,0.0
147,91.75,0.0,50.375,0.25
148,0.125,64.375,106.25,47.25
149,0.0,97.125,11.375,32.375
150,51.0,26.875,13.25,0.25
151,0.0,28.625,13.375,93.625
152,0.125,0.375,0.25,0.125
153,0.0,0.0,0.375,0.25
154,68.625,0.375,0.0,0.0
155,0.0,0.0,0.0,0.0
156,15.75,0.0,0.0,0.0
157,0.125,0.375,0.125,0.125
158,0.125,0.125,0.125,0.125
159,0.125,0.125,0.25,0.25
160,0.25,0.125,0.0,0.0
161,0.0,0.125,0.0,0.0
162,32.125,0.0,0.0,0.0
163,0.0,0.375,0.0,0.25
