w/s,ceph01,ceph02,ceph03,ceph04
0,4333.88,5290.12,7609.0,5829.25
1,3349.0,3360.0,6115.38,3340.25
2,4859.5,4845.75,5505.38,8999.75
3,4772.88,8100.62,4389.75,9140.12
4,12188.0,10076.8,6901.25,4950.62
5,8455.0,5487.88,6703.5,5016.88
6,4557.5,6660.0,7320.38,7252.62
7,4163.0,4206.75,6251.88,4057.88
8,4851.5,4769.12,7707.62,7936.12
9,5422.25,6144.12,4657.0,11050.2
10,6489.88,11413.4,4743.38,3833.75
11,12110.6,4137.62,6456.62,4166.38
12,3839.75,5953.88,6853.0,5812.88
13,3756.75,4184.12,6631.25,4172.75
14,5208.88,5081.12,8007.75,7311.0
15,6202.88,5634.62,5173.38,10134.0
16,5321.12,12124.2,4565.38,5545.38
17,10153.9,4240.88,6941.88,3908.25
18,7258.62,5324.38,5754.62,5531.5
19,4802.0,6050.12,7303.62,6404.62
20,4775.0,4995.88,8809.0,7557.62
21,6834.38,3826.12,6776.62,9371.75
22,4367.75,10820.6,4480.12,7172.88
23,7772.25,8060.25,6852.0,3677.0
24,10154.1,4805.38,5163.38,4976.5
25,4237.75,7357.25,8260.38,7802.75
26,5325.5,3794.12,6045.12,6173.88
27,5712.12,3963.5,5907.0,4906.38
28,5016.5,8119.38,4965.0,9366.88
29,4293.75,9919.88,7348.62,4425.62
30,11652.0,4169.0,4211.0,4238.88
31,6394.38,7897.25,7528.12,7957.5
32,5453.75,4157.88,7316.88,6867.88
33,5948.75,4542.62,7491.62,4255.12
34,4261.5,4904.12,4632.75,10324.4
35,3485.12,11982.8,5833.88,4792.25
36,9381.0,5087.38,5522.5,4590.25
37,8778.5,6428.25,6801.75,6960.38
38,5335.12,4879.88,6283.62,7017.25
39,5157.0,3319.12,6513.25,3225.12
40,4637.5,5401.12,5750.38,7802.88
41,4483.88,10011.9,6053.62,6965.25
42,6367.25,6750.0,6124.25,4670.25
43,12338.9,5341.12,6317.62,6629.5
44,5175.5,5385.25,4685.5,6947.62
45,4150.0,3968.75,6614.62,3888.5
46,4164.5,4784.62,6376.38,4377.5
47,5245.62,8190.38,5816.38,11154.8
48,4929.12,9067.88,7322.25,5392.38
49,14492.5,7569.25,6600.38,7592.12
50,6985.62,5298.5,6187.0,7702.25
51,4330.62,4292.62,7846.25,4168.38
52,4534.75,5282.12,9280.12,5027.0
53,3971.88,6241.25,4054.62,10270.8
54,4987.75,10210.8,7358.12,6316.12
55,11184.1,7652.62,3377.38,5043.5
56,7071.75,4658.75,6928.25,6708.38
57,4007.62,4069.0,5083.38,4050.25
58,4804.62,5265.25,8661.5,4292.25
59,4933.25,6274.0,4867.12,7941.12
60,6780.75,8615.0,7799.88,8821.5
61,10976.5,9382.38,3944.5,5559.38
62,6541.0,4132.75,7160.25,5699.88
63,3951.5,3776.88,3905.12,5102.38
64,4872.38,6380.5,9863.25,4797.0
65,4386.12,5423.12,4971.5,6185.5
66,7086.75,6482.75,7738.5,12214.9
67,9173.12,11665.1,4727.88,4401.25
68,8086.62,3853.0,6102.12,4167.75
69,3814.88,3692.0,4695.25,6122.12
70,4410.25,6351.12,8437.38,4785.88
71,4587.25,5248.38,6698.5,5520.25
72,5214.0,4891.0,6079.88,11503.1
73,6627.75,7614.38,2138.5,1888.5
74,6214.0,4323.0,2634.88,2727.88
75,2189.0,3111.88,5362.5,5799.12
76,2060.38,3831.38,3749.88,1982.75
77,4477.62,2908.38,6645.62,6053.5
78,4736.25,4466.75,4777.75,6148.62
79,7185.0,6855.38,4421.38,4905.25
80,6375.62,5882.25,4689.62,3767.38
81,3056.25,2936.0,3632.5,4937.12
82,4911.38,7050.12,5347.38,4409.0
83,7788.88,6150.25,10579.4,8157.25
84,4619.62,4761.62,6756.75,9083.75
85,9126.75,5749.75,4943.75,4318.88
86,7233.0,9063.12,4967.75,4469.12
87,4112.25,4841.75,7112.62,5910.25
88,6334.5,7908.88,5892.75,6614.25
89,5379.75,5888.88,8871.0,7488.62
90,4111.75,4971.38,6608.88,8084.12
91,9542.88,5036.12,5488.5,5339.25
92,5754.75,9791.25,3752.75,3552.75
93,5871.5,4586.0,5683.25,5758.25
94,7065.12,8615.62,6597.75,7835.0
95,4848.12,6137.75,8388.75,6476.38
96,4656.5,4025.25,7956.75,7924.25
97,8597.38,3466.0,4526.75,5513.5
98,5517.88,8766.5,4692.25,4845.25
99,7816.88,6246.88,5605.0,4255.0
100,6144.12,7567.62,6173.25,8537.88
101,4813.25,7310.12,6753.5,7079.62
102,4758.0,3632.38,8698.0,6244.5
103,6359.41,3988.75,5838.5,6796.0
104,5568.25,5511.88,4180.25,4096.12
105,9070.88,8958.12,4184.0,4316.25
106,6277.0,7594.62,7990.5,7083.0
107,4997.62,8090.25,6322.88,9792.88
