lat,ceph01_volume-0f9251c6-b47b-47cd-8d82-6b9e40dcb47d,ceph01_volume-14df5c45-05ec-4948-8b37-b0a75f45f39f,ceph01_volume-17d8eb9d-b2f0-47c6-ad31-677d68f273b9,ceph01_volume-2325319c-20a4-42bc-a276-a23979295249,ceph01_volume-23d22056-4d10-4ea7-a524-738a10df0ae7,ceph01_volume-2410935d-498e-4e8f-af6a-267ee8652592,ceph01_volume-27c40d03-e47f-4493-a341-ca7b9877096c,ceph01_volume-3a348ac5-c173-4be3-a48b-41863d612a5b,ceph01_volume-3a50cef3-a9e8-4a80-91c5-98650b3ae9cc,ceph01_volume-3d2c8a4a-c251-43db-af53-0c56e925634c,ceph01_volume-3ddbbee3-7fa4-4412-a235-7c06bd55d280,ceph01_volume-46699afd-79a7-4533-b001-0b3d0e48846e,ceph02_volume-4d3fb549-56c0-4b92-8ed2-5c68a0ce7323,ceph02_volume-528ad611-1b5f-467c-94bb-9d12a200ac7d,ceph02_volume-572a1623-8e19-48d2-a446-30d0b70ba1f7,ceph02_volume-5f7be806-1865-4ae4-81c7-fd5c0681c62b,ceph02_volume-63b287ff-773b-4afb-86b1-3be67ce0a368,ceph02_volume-651d9c42-a8a5-48a3-a00e-f28b16334518,ceph02_volume-68876b21-5e5b-4616-a1d4-df8a458be420,ceph02_volume-6f9ee210-882b-4743-8d96-c041085512c1,ceph02_volume-77fddc94-2a92-4018-8862-6cad679f90ba,ceph02_volume-790ba75e-0cb9-4c05-bb1a-5b9dd760b188,ceph02_volume-81137809-6c5c-46ee-82e1-65c37fe79c2f,ceph02_volume-81364064-4601-4015-ac99-51b9064d68b8,ceph03_volume-8646ab1f-ca66-4007-88a8-202664786297,ceph03_volume-89e41357-2136-4563-9422-8b35664430e8,ceph03_volume-9594445c-4de7-43b7-935d-11ac9e565647,ceph03_volume-96bd0904-5227-44fc-b993-d78e5770e887,ceph03_volume-98094404-11f0-4079-8946-ef23d339f614,ceph03_volume-9d114a88-0fbe-4634-b63b-8c21a2f4fecb,ceph03_volume-a4b2ee3d-ea47-4036-8784-b28d803eca52,ceph03_volume-a4c83135-44f6-4343-9564-45f3bc141860,ceph03_volume-a694efda-3177-44fc-925c-e8658af52ba3,ceph03_volume-b6cfbcca-5a67-4b17-aa25-c7c768755e4d,ceph03_volume-b805fad5-325d-4e9b-9364-51514f3c7d9d,ceph03_volume-b80a9d9b-a5fe-4d14-86e6-764dc9b823e7,ceph04_volume-b83d8b50-d0dd-4528-89ef-a2e8ca8474d4,ceph04_volume-c117ee3d-d52c-4034-97d8-53fe9fce41bd,ceph04_volume-c29c35b0-6cab-48c1-b44d-1fa91a46981f,ceph04_volume-c5265c8a-1f4f-4641-80a9-569915133bd7,ceph04_volume-c89efedf-dac7-40dc-9b0e-daf57df871e9,ceph04_volume-d1b62d52-1ed9-4880-9fab-ef3a6911c614,ceph04_volume-e7609d93-cf74-4908-9a07-dad1541298c1,ceph04_volume-ea8d61dc-14a0-4065-b55e-a4bb4bdaa3d7,ceph04_volume-eb7a2798-ea0f-46af-ab9a-f78cd559203d,ceph04_volume-ef064ec8-d1e3-4d72-82a5-7c4ba53c05d0,ceph04_volume-f82e661e-b776-4645-af92-18fd00b66f26,ceph04_volume-fe7cf3bd-7e6c-4fbb-9be9-457c5c2f23e5
0,3078,12823,7569,13619,8558,7590,16404,12284,5197,5792,10591,11064,4763,9767,15627,2950,7206,13428,7384,8007,17615,8742,6934,8287,5579,11544,12133,6025,5350,6607,7486,7307,10121,7430,8726,18925,15159,13086,5474,7010,7977,7945,8047,14417,8657,5781,5146,5571
1,6382,2177,42007,6829,33158,4856,20157,8488,30536,40894,26689,6780,32617,10398,12919,40264,18795,9458,47810,13411,5786,3446,4095,5095,4801,41232,4203,26611,2878,35767,4190,6831,17405,53404,20070,6108,17562,5074,5915,22929,16378,16345,36476,44639,34343,42668,50466,30418
2,9987,17744,11609,7711,18936,14717,7221,6694,16640,5957,24656,18257,4703,5108,18696,21051,17361,6223,10957,6576,19109,9521,7460,20742,7779,3145,11730,6596,31621,6094,24907,8065,6552,15270,5349,4514,8823,3260,11140,6778,9261,2691,7648,17348,8768,6590,9736,7250
3,4961,5579,14337,13066,19357,6023,5050,20230,11933,22579,18970,10472,8975,13853,14699,12040,8804,16247,6588,16658,5614,11116,19251,6672,22093,20924,7710,4792,11351,6091,11938,9369,5346,12920,10339,4275,8729,7691,7927,14180,5855,9665,14264,10873,8324,10224,6258,9782
4,1242,4851,4957,9792,8183,6430,5512,7869,9495,9152,4089,23143,1141,1593,7910,8243,5514,5938,30950,9326,3552,3513,61674,2474,18172,1963,39330,8569,6562,7694,7555,8020,9555,8699,9318,9833,5743,12004,2649,16728,7585,5031,5081,11723,18464,9258,13223,7646
5,11281,60656,2208,6784,23131,10515,7721,2903,45169,35864,2272,64827,1908,4766,21863,1637,3452,39696,26037,51564,5735,3313,20790,7413,33756,7167,8585,33429,47489,3030,6739,8053,783,24090,47372,8084,27775,2293,1674,6601,15038,39246,27853,4005,3532,55957,2307,35581
6,27108,2355,6821,5558,8309,6365,6131,9531,4141,4428,10982,21639,27503,4126,25390,48322,10615,3840,2358,5391,2511,8886,5949,6849,9216,15196,4914,12126,2897,9704,19384,7925,7237,5078,12483,4067,11344,6512,10304,8318,8480,9689,12419,7781,9329,5104,9849,8183
7,5298,3606,8398,4967,14155,4968,7361,37807,6633,5880,3438,21618,6511,6726,6617,23905,12224,39085,16604,20585,27081,8315,2864,14048,17664,3168,28518,2072,3290,33637,51748,15368,13760,15773,6011,39014,23798,38595,3611,22987,42582,6001,34442,3604,6552,3043,9478,8616
8,11634,9806,49966,40162,7002,6216,3379,16140,7682,15202,12854,2086,8207,43111,25952,5491,38799,2531,15380,3901,3473,16778,44035,13247,8190,45080,39261,4129,37043,66922,21371,17804,17183,5080,8643,13842,37383,4659,10301,29450,17433,6298,34312,29812,6045,4343,23930,8928
9,9000,4321,5009,5351,16902,32653,7247,4203,4307,5778,2725,4782,7494,3773,4696,3996,2569,14321,16821,5254,58444,7156,1496,30094,7576,11740,7640,31946,21884,3428,22315,5250,19155,33487,10690,9913,3538,19306,58349,31916,27310,9704,39973,3395,30258,27282,2808,18082
10,10663,33173,1919,14402,29817,13716,3881,5136,67024,4155,4084,1292,16968,10484,2641,24377,3600,5192,2001,1430,6105,1022,24189,12296,57861,1570,32679,2767,32796,4473,15887,5968,76360,54990,26379,8110,2352,23804,3820,31512,74848,8570,2362,37518,33319,1386,15348,1845
11,23825,21088,9206,4873,9104,8118,10723,4250,6737,2500,3463,5597,8292,3341,12518,11411,8691,8092,2460,5265,4399,4918,12015,26368,9875,14543,7815,10137,10711,9282,16769,5666,5044,6901,10548,10966,7219,31872,7779,5161,8839,35715,6708,10715,7452,6787,3065,41897
12,13945,6767,8778,15681,4998,5042,12959,9020,15131,4129,3248,4216,8330,15357,6853,6552,7557,7202,5960,6884,8789,3616,7122,13051,4686,5806,6541,8070,4429,6941,3227,8225,5508,5852,4549,5427,11050,6836,31260,8263,5417,4766,10728,7875,9951,2845,8007,2114
13,36204,6741,42948,8285,1704,12243,8923,7776,2973,3587,29239,19067,1253,44721,1347,6727,37725,3216,33388,12738,3775,35768,23770,6877,8833,44353,52202,12968,29670,3370,9228,5594,5278,3129,3787,3536,34366,47780,30254,3082,9901,7781,4541,6201,7622,5780,3720,2160
14,18438,38675,42343,32818,1426,9088,3380,28522,6102,35287,4884,9553,58257,25778,30159,50522,6910,1989,37286,78441,28896,10024,3694,1966,53662,6370,15324,13644,2966,50775,12670,5690,5074,1640,42493,8046,16464,35949,20724,40749,12550,24988,32340,4982,6903,40312,10426,35720
15,13510,5330,9564,17953,7209,1331,34164,10465,4961,24226,12863,9307,2899,6474,5555,13044,7296,5968,10366,10305,10067,12095,12465,1973,8287,9178,7688,5195,5362,11625,6740,7553,28164,6168,11602,8422,30433,6850,12056,4206,11208,11215,18786,11714,13663,14133,27183,1945
16,18133,9341,9164,12508,14323,4249,6094,14613,6652,8015,7633,11166,9383,11809,6590,6578,11444,11383,5364,7091,10452,10714,7551,9426,8296,6746,8160,6574,11888,9858,13433,27694,5756,14399,18882,56524,9678,6205,12841,6635,11485,9201,7475,14397,11657,11158,11378,10192
17,4613,10169,20747,3286,15108,6557,16441,8136,8525,3874,9373,12474,16709,8828,5162,13711,6629,2217,23433,12464,7959,9814,7032,5185,6636,7620,10078,9018,8010,8816,10873,8400,13200,9952,5529,7524,3756,11921,11876,8025,17536,6186,8070,7828,8411,6194,9822,4468
18,18544,22182,37599,5388,5258,2442,11632,43849,4256,1108,10157,8683,16592,28044,12914,5093,7002,27282,25117,9234,15609,6274,13703,15266,8182,7249,4285,36313,3540,21635,1882,4635,9487,7716,4880,30375,9831,43821,3059,5718,5832,12212,5435,5112,2914,7588,6821,9179
19,7652,36036,5084,9996,9702,17580,6602,2761,5647,6745,7257,4782,26264,10775,28088,1849,4978,3549,29736,5835,5704,1527,8710,8059,10142,7504,8089,4445,1693,7208,4794,7216,9106,11078,5600,8294,1987,3254,4559,6703,11665,17893,3307,7679,6899,11060,2726,10828
20,15648,17772,29389,2910,6919,39497,42847,2670,32911,19563,14841,7684,11305,20508,5537,9179,6432,10397,37337,6903,44160,7289,6638,36991,2466,9989,4301,4491,35688,2709,5802,6434,6269,2161,20930,46555,4065,6961,12739,6315,30419,11291,5017,1735,4606,5144,32277,27787
21,21668,6718,5779,11103,7491,7909,9785,11277,5009,8195,10362,11321,9452,10522,14281,13548,16311,10037,9383,14961,7464,11882,3471,5128,13007,13412,6334,9655,6335,11921,8725,11691,4893,11126,8976,3430,15700,7978,8347,9585,2450,9726,10486,10457,4502,12641,15367,8019
