apply_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0.028665,0.034411,0.042786,0.040367,0.023773,0.021255,0.033199,0.029362,0.031194,0.021996,0.019493,0.013841,0.04401,0.038389,0.007263,0.036454,0.100761,0.070704,0.009625,0.013543,0.014764,0.035734,0.027444,0.011863,0.054288,0.030583,0.035078,0.031561,0.042596,0.074511,0.061462,0.017321
1,0.195661,0.214443,0.264358,0.25522,0.256873,0.358008,0.340346,0.399184,0.075496,0.007944,0.142625,0.031812,0.086722,0.184718,0.014705,0.012684,0.252669,0.134356,0.033223,0.049074,0.048041,0.0777,0.075233,0.054358,0.244409,0.341513,0.058754,0.270377,0.303599,0.114614,0.130412,0.025868
2,0.057966,0.092113,0.40709,0.445033,0.469014,0.60872,0.146454,0.251211,0.033684,0.036995,0.148341,0.076408,0.023696,0.034206,0.107742,0.032431,0.321165,0.143145,0.027395,0.049137,0.028365,0.083702,0.046065,0.040645,0.697081,0.71252,0.485079,1.002514,0.700438,0.493364,0.520064,0.380038
3,0.622222,0.683596,0.873463,0.848699,0.701937,0.788495,0.397046,0.547478,0.386924,0.360269,0.457898,0.468377,0.302834,0.356463,0.414007,0.314533,0.654387,0.423335,0.355817,0.368431,0.300365,0.464337,0.317954,0.354293,0.856135,0.866998,0.69921,1.091935,1.078438,0.910896,0.817899,0.771335
4,0.945399,1.049671,1.110042,1.05511,1.121451,1.193473,0.935925,1.140743,0.748166,0.653563,0.793715,0.780776,0.603844,0.747419,0.973847,0.878029,0.913542,0.651438,0.737579,0.739761,0.611506,0.759414,0.630331,0.720391,1.144575,1.21296,0.884728,1.187886,1.550456,1.425012,1.264821,1.247772
5,0.974381,1.183508,1.467997,1.415749,1.195228,1.344624,1.098251,1.386795,1.065858,0.93849,1.526584,1.468636,0.878769,1.027833,1.638469,1.41003,1.331781,0.906727,0.804757,0.841561,0.633217,0.80577,0.773067,0.901323,1.608515,1.749013,0.833903,1.22939,2.046846,1.94459,1.764399,1.787911
6,0.832191,1.078533,1.49663,1.46104,1.35827,1.531207,0.943378,1.334681,0.906712,0.856382,1.587173,1.50276,1.375086,1.595959,1.648138,1.344494,1.790378,1.275729,1.154126,1.212853,0.714403,0.880899,1.41464,1.439746,1.47809,1.671883,0.702811,1.109687,2.247828,2.113048,1.864311,1.906811
7,0.81249,1.098953,1.783902,1.748081,1.481749,1.815817,0.749013,1.23574,0.715533,0.70402,1.461677,1.378628,1.528558,1.87017,1.753167,1.257763,1.823536,1.127853,1.093428,1.101671,1.270645,1.443326,1.749868,1.873797,1.919343,2.233061,0.998598,1.49801,2.411361,2.250608,1.954735,1.990877
8,1.30839,1.693158,2.197059,2.026312,1.360728,1.709588,0.677157,1.181841,0.652949,0.674678,1.564368,1.473459,1.655259,1.978262,1.821465,1.343578,1.740922,1.025378,1.188487,1.225632,1.450294,1.630583,1.790083,1.891674,2.080373,2.476493,1.095465,1.605154,2.99928,2.830375,2.38072,2.401184
9,1.203781,1.605438,2.170108,2.073865,1.837759,2.218903,0.935082,1.460828,0.629848,0.598401,1.569978,1.465996,1.55577,2.003235,2.311816,1.690797,1.803221,1.094831,1.270197,1.241606,1.341518,1.55321,1.849452,2.007258,2.04575,2.483882,1.04353,1.529302,2.860428,2.698481,2.609219,2.637565
10,0.770026,1.404803,2.247215,2.08469,2.085664,2.466915,1.420512,2.033157,0.828094,0.738966,1.999979,1.972071,1.403881,1.868225,2.501202,2.011496,1.893932,1.0495,1.197203,1.062735,1.333429,1.527966,1.809113,2.004806,1.895525,2.318707,0.841427,1.515008,2.699603,2.491781,2.57176,2.599426
11,0.591578,1.192846,2.057074,1.869345,1.791269,2.336857,1.096814,1.858402,0.864085,0.776817,1.766628,1.663764,1.786923,2.580307,2.285693,1.565607,2.29037,1.190805,1.313791,1.263634,1.249402,1.398156,1.53913,1.862108,1.542145,2.170002,0.559967,1.198928,2.768892,2.485398,2.565771,2.60117
12,0.531705,1.100817,1.897941,1.688644,1.509174,2.051291,0.955504,1.686169,0.748576,0.684063,1.594567,1.446854,1.767617,2.475991,2.103749,1.403735,2.147162,1.00795,1.404848,1.412175,1.493345,1.683665,1.903293,2.173229,1.990673,2.665051,0.520874,1.156739,2.948713,2.567997,2.431624,2.422984
13,0.116188,0.9126,1.942963,1.578148,1.206866,1.817845,0.565351,1.40124,0.330862,0.294218,1.418711,1.270596,1.546823,2.246441,1.890423,1.235432,1.952627,0.816095,1.145813,1.166214,1.20405,1.517673,1.703157,1.989396,2.108125,2.80847,0.526307,1.423121,2.954712,2.83706,2.772814,2.742975
14,0.479412,1.023029,2.17275,1.8877,0.978591,1.853038,0.189855,1.117105,0.144489,0.127461,1.14389,0.948103,1.31019,2.273398,1.905087,0.986208,1.994744,0.461812,0.776608,0.807388,0.887891,1.262764,1.532573,1.90515,1.975233,2.764652,0.316961,1.195019,2.868186,2.761946,2.900125,2.896046
15,0.359063,0.972409,1.765676,1.423982,1.037192,1.867605,0.325834,1.384807,0.088538,0.051784,1.227428,0.914558,0.965466,1.88151,1.901301,1.256207,1.626471,0.258064,0.647679,0.582442,0.722492,0.995973,1.273812,1.566308,1.510859,2.411901,0.088179,1.013452,2.656176,2.344129,2.587773,2.660928
16,0.123018,0.762128,1.664821,1.25011,0.669786,1.742923,0.209512,1.424222,0.18747,0.178894,1.303989,1.140941,0.913512,1.881538,1.725581,0.879836,1.744952,0.285588,0.620786,0.359128,0.420244,0.743312,1.001102,1.384118,1.299621,2.268708,0.075112,0.723388,2.315,2.063738,2.393039,2.472574
