journal_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,4096,0,0,0,0,0,0,0,8192,8192,0,0,0,0,0,0,40960,24576,32768,16384,24576,8192,24576,8192,8192,16384,4096,12288,8192,24576,24576,57344
1,22769664,26849280,27922432,21573632,21872640,20647936,23252992,19763200,19402752,19628032,18767872,19132416,11874304,9338880,19927040,19259392,13037568,11206656,20598784,19587072,19607552,19288064,21274624,19922944,20779008,20213760,22228992,20013056,18493440,19292160,20824064,18812928
2,47546368,47538176,48795648,46379008,45658112,47775744,45694976,47296512,45326336,45760512,45789184,44892160,35164160,39415808,45993984,45264896,40153088,35545088,26820608,26693632,18403328,16826368,15691776,13012992,50290688,17592320,51200000,51933184,47464448,56520704,50970624,47108096
3,91090944,95997952,94699520,93310976,89280512,93442048,85041152,93175808,84025344,86339584,83501056,84836352,72650752,78553088,89415680,83714048,82087936,72937472,66854912,68161536,58974208,63500288,61755392,56860672,56156160,58818560,43634688,60727296,52002816,37183488,39624704,34304000
4,66908160,68182016,81780736,73224192,143372288,146198528,145051648,150642688,146362368,144871424,142471168,145547264,130719744,138428416,146976768,143552512,141873152,130658304,134160384,126017536,115843072,117182464,112283648,113946624,116490240,119980032,101421056,117063680,108929024,101679104,104271872,94134272
5,114692096,122957824,132710400,117964800,103149568,108908544,76795904,88485888,192368640,193859584,192495616,192155648,181600256,191471616,81502208,67756032,190058496,178634752,177053696,177315840,164139008,166477824,161828864,163352576,157700096,161472512,148598784,164728832,152928256,141406208,147800064,144625664
6,162988032,169861120,178601984,170606592,153382912,165023744,130572288,144076800,113393664,108048384,113618944,106975232,69566464,82116608,136192000,119689216,93458432,69357568,228700160,230854656,215785472,217653248,216641536,215781376,210522112,214986752,198299648,218595328,205283328,193482752,201555968,196792320
7,213618688,222044160,234532864,223580160,206909440,216932352,182673408,196542464,165412864,164999168,170156032,159064064,123224064,137900032,193617920,172875776,148439040,119795712,103063552,104030208,67461120,74371072,98758656,100204544,261660672,269881344,250744832,274350080,257855488,244899840,256524288,250286080
8,275279872,279293952,294412288,277188608,260096000,276856832,237535232,252645376,227659776,215953408,219545600,216576000,175206400,199553024,249229312,223707136,196923392,180068352,163086336,159297536,121323520,134868992,146776064,160636928,137138176,150962176,83390464,110051328,152711168,139042816,317210624,310923264
9,101363712,121987072,150188032,136507392,319205376,333107200,298897408,315408384,282587136,280010752,278544384,271978496,232923136,253652992,304271360,280756224,263385088,232579072,214958080,217747456,181096448,191496192,209969152,216289280,190636032,211169280,144642048,172822528,215277568,197660672,183750656,181698560
