journal_ops,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10,6,8,4,6,2,6,2,2,4,1,3,2,6,6,14
1,2786,3282,3408,2644,2668,2527,2846,2424,2392,2402,2288,2334,1443,1137,2440,2352,1587,1365,2519,2399,2407,2357,2609,2438,2538,2472,2710,2448,2261,2368,2550,2316
2,5789,5795,5946,5659,5559,5825,5571,5772,5536,5579,5572,5467,4271,4798,5613,5514,4881,4320,3259,3243,2236,2042,1908,1581,6119,2134,6231,6331,5783,6896,6212,5753
3,11072,11676,11519,11359,10857,11368,10349,11345,10240,10506,10156,10316,8822,9553,10885,10184,9973,8857,8125,8276,7163,7710,7497,6908,6821,7138,5304,7379,6321,4513,4807,4166
4,8128,8269,9921,8883,17424,17774,17635,18314,17806,17609,17311,17688,15864,16824,17876,17453,17230,15867,16296,15297,14066,14221,13633,13845,14142,14564,12310,14218,13232,12344,12658,11430
5,13939,14925,16098,14321,12523,13238,9316,10737,23398,23555,23388,23353,22041,23270,9893,8234,23076,21697,21506,21528,19929,20213,19647,19850,19155,19603,18040,20010,18574,17167,17946,17564
6,19804,20623,21674,20718,18624,20056,15847,17490,13772,13120,13799,12990,8455,9979,16536,14544,11347,8433,27783,28031,26200,26419,26310,26216,25570,26107,24073,26558,24933,23493,24472,23905
7,25948,26960,28468,27154,25124,26362,22184,23865,20091,20036,20674,19320,14973,16753,23515,21007,18029,14559,12520,12634,8196,9033,12009,12172,31779,32781,30443,33329,31318,29742,31145,30406
8,33438,33922,35736,33663,31589,33634,28847,30672,27651,26225,26669,26308,21285,24239,30270,27182,23921,21878,19812,19348,14738,16381,17846,19504,16658,18343,10127,13362,18545,16884,38519,37773
9,12316,14822,18235,16586,38771,40460,36304,38297,34321,34002,33836,33036,28297,30817,36951,34113,31995,28259,26103,26448,21996,23263,25517,26268,23159,25658,17566,20994,26147,23995,22309,22076
10,17259,19613,23052,21199,14254,17226,41464,43009,38629,38657,38823,37678,32912,35966,17101,12427,36568,32576,30791,31302,27036,27905,30418,31071,28123,30579,22768,25834,30660,28556,27548,27082
