op_queue_bytes,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,0,0,0,0,0,0,0,0,0,4408,0,0,0,0,0,0,0,0,0,9026,0,4548,0,4408,0,0,0,0,0,0,0,0
1,1652322,1510924,3200903,1916401,1671256,3309137,2525498,2694863,1898158,173142,1199929,925369,2506783,3037619,24304,968486,5040502,4089313,815850,411292,532096,1721044,1215413,169550,3194254,2786692,666549,1473972,2383917,3465034,1684522,82466
2,3684453,4254430,6742675,7963884,7970143,10650198,7566759,8259720,15710,96864,5228752,1841818,60550,1310281,1519132,713324,3900014,1046697,223449,706502,163183,305688,2337101,2303795,9376239,10176278,3798184,12732077,9690964,5593328,5706704,2296501
3,7755372,10926631,18413417,17762202,20625807,23244235,7842229,13833925,7383552,7661787,10835688,10018970,4987289,5680050,8998378,6207481,16899777,9843719,5420915,6007488,5578147,10853936,7243279,7579892,24587339,25747663,19255428,31714545,26574957,19064116,21753825,20297207
4,36441838,39194941,44947713,41712063,42022172,44946327,25126379,32978659,27022665,23171808,28526922,29220802,22069379,27770586,27622177,22497364,36807456,24582399,28563447,26571307,21901769,28423425,22265861,26831263,42829881,45164513,36241804,50672770,52227060,49321795,48531657,45020074
5,33774475,42372377,50618294,45934586,39585707,45951877,37092418,47314058,39905419,35260961,43611842,40338977,21849956,29521926,49035066,40658624,36109646,22440767,28134958,28748856,22311009,29286706,23725409,28002811,52930616,56494120,29551998,44658700,67261635,61472259,56882164,58277745
6,31329743,39919333,53688289,51218553,42589088,49830754,36392668,53126623,36053463,31718486,60572791,55540096,45390602,56933549,62302643,52110751,62263715,43639701,34985665,36579496,22105917,29321280,38653652,43064665,55343308,63370328,25869307,42016615,83114260,75366569,69955250,70525397
7,29942505,40719862,62876655,59708974,56337156,67397819,33225845,49550778,32378266,32571605,58101779,54094554,53957311,67054782,63600571,46433157,70983516,47931310,43936656,46688740,42314899,48373647,62313591,66892380,57629994,69036463,25073970,41829125,80591021,75365380,72688198,72324667
8,36485311,47671088,70457033,65907482,54777394,68909115,28775978,46840356,28825553,27393589,54186655,52742400,58523960,77300004,69987599,48318483,65112409,41115144,45883060,43747860,52719724,62609788,64369236,74008143,73377624,88224024,45449025,64763392,100195086,95201630,88239602,87600371
9,58195100,74955943,94339024,89593637,58739636,74660567,30562185,51262325,32430926,31597857,68332142,64627299,70474616,89805429,79323698,57757564,73240556,45103165,55941091,57432757,62681185,70458696,76555168,84181190,86089380,105955143,46085943,67611325,117797066,111915464,105894411,104801707
10,29358107,50474584,74817317,68500775,67704131,85629028,44122988,64434910,20447508,20527972,59974206,47400242,46386603,68340665,91486547,68379862,64739013,32590722,38501888,37262843,41865404,50152006,63445703,71699380,64416623,85620032,29879152,51172832,98445211,91173052,93134685,94937790
11,22781594,43129132,76233553,69640572,66693754,84737856,44556691,69787983,31261220,28296971,66517636,62142804,52358533,76411030,83811383,60282708,75718395,41057969,38429486,31417235,43783527,50642558,54503615,63802682,59967096,79296537,25664616,48337034,94195820,86017974,92465664,91798426
12,27681246,49933442,81642973,66470109,61379715,84180579,41549722,67463650,32191810,32515876,62008022,62207126,65436205,93634312,76759742,53013572,79427310,40482858,53804090,52659451,56247556,64065984,63886862,72242907,56893600,84590928,20628585,48043245,101535205,91537621,92407176,91654766
13,7294711,34369917,64579667,55641965,46123558,67744478,27265972,55035340,19026646,17781517,52548442,46388144,57546403,88693446,73624147,46689277,75219244,30444812,44810368,46982978,44263625,54822856,63680917,74721038,75868910,100644755,19960381,48655948,107866126,103453176,86844547,85896558
14,9840168,28174949,70567966,60634150,23941984,50718810,3780500,35481834,60460,0,35555560,31319983,41706134,72314725,53899604,27931458,60954704,14692474,26377418,27664451,29384142,41779066,49562078,61675306,61986013,88620782,8227489,40132570,93021003,87273056,96673153,97568646
15,16622859,36970431,67600957,55443941,40335412,71378238,3489173,40582023,2459183,323937,37038026,31412224,42324110,75358948,70791575,44861307,64654367,14533594,27334097,26381449,29725178,40721372,49664943,63261371,58052630,88843814,5686501,39295621,94662879,88157800,95002342,97280446
16,9401658,32200526,61487357,46327677,29968908,64108081,11708530,51825634,12092274,9820748,48387996,44068245,28252442,63951942,64359393,38066167,53282847,5027607,16716548,14714636,21278425,29331289,42010446,51065182,48903599,83321741,4342491,31305299,86078370,77268566,87250850,92072048
17,11292538,36067172,65410759,51229027,28985931,67988056,15298929,60600466,11016087,10882339,47253741,43848398,45991461,82482138,63570537,32795851,68386016,18620921,30684248,23959981,22215584,35894653,36485451,46237699,54658972,89353262,13773971,33893721,89308488,76827139,95614421,98253581
18,157112,24606531,55716123,38926572,20429132,61985733,5428111,50676649,5700064,8175342,45501469,36452228,46418793,86897486,61395564,27989199,63667360,11277283,29602566,23043502,38791068,49721815,55773059,67865210,42280201,79411139,0,22664799,93005514,80164147,85677198,87876804
19,4843351,6759345,49338083,23379404,5089327,41804379,4815647,32273038,1566488,3640119,23439129,9351413,19937396,65552003,41514119,8080166,40717656,344909,5774484,5997,19761278,32657068,34414917,48372852,39883619,80497972,12694733,20355156,77679016,72738797,79995212,81908544
20,14393633,16988746,48407031,33975608,4609725,31324574,4913909,23435827,6067,169246,11711202,0,13417884,57717463,45704334,1399838,38908891,1378411,1034307,1885303,12880237,25161469,26844076,43591204,27762469,79000490,4039211,15473933,75841088,71012543,80439631,84374780
21,0,1292598,32437693,15365450,9775444,35188682,6837621,20216058,23988,36262,18155238,1918129,6516770,53488530,44080857,4357466,36316344,1508589,1623162,1240060,8636510,22979011,23169521,37567751,10319864,65276205,247557,2027866,67566509,58297917,67796701,75627734
22,10315395,11557386,31485361,11644716,11843661,36262080,11943352,18975788,20220853,22305102,13612740,24738728,11812381,42611914,33138753,13229924,23633384,10742868,13423677,8721028,11368539,11694535,9694519,24403963,11329891,62139566,10795108,11487884,65865374,52623679,64356175,72978461
23,14158852,14929822,32699986,15678245,18268790,41914419,16059375,26639880,22337764,27670898,17185772,29327416,35575214,68837348,38084566,16513840,43223736,32580262,36415365,33861309,14497816,16020068,15576395,29775032,12236272,67150086,15580934,19447626,78244506,58100069,69548006,80761991
24,8296402,10033128,24783390,9165220,9493515,38564641,10000156,18786772,19397305,24047743,10163428,25451880,31051226,69454969,32899223,10921716,39714793,20784379,24521826,26213749,24557388,24175482,29882582,43543175,11618663,64671658,8563607,9694741,79611355,72846253,62086073,75318818
